Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rugoglobigerina rugosa,Hedbergella holmdelensis,Subbotina simplissima,Guembelitria cretacea,Globoconusa daubjergensis,Globigerina fringa,Globanomalina compressa,Subbotina triloculinoides,Globorotaloides turgida,Globigerinatheka index,Acarinina primitiva,Subbotina linaperta,Porticulasphaera semiinvoluta,Catapsydrax dissimilis,Sphaeroidinellopsis disjuncta,Globorotalia miotumida,Globoquadrina dehiscens,Orbulina universa,Globorotalia sphericomiozea,Globorotalia puncticulata,Globigerinoides conglobatus,Sphaeroidinellopsis paenedehiscens,Globorotalia pliozea,Globorotalia crassaconica,Neogloboquadrina pachyderma,Globorotalia puncticuloides,Globorotalia inflata triangula,Globorotalia inflata,Globigerinita glutinata,Globigerina falconensis,Globigerina bulloides,Globorotalia crassaformis dextral,Globigerinoides ruber,Globorotalia tosaensis,Globorotalia crassacarina,Sphaeroidinella dehiscens,Neogloboquadrina dutertrei,Globorotalia crassula,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia scitula,Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C,  9,H, 4, 107.00,     89.7700,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,                 ,                           ,                         ,                           ,                                  ,                    ,                         ,P                          ,F                          ,F                             ,A                   ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 10,H, 1,  76.00,     94.4600,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,P                ,                           ,                         ,                           ,                                  ,F                   ,                         ,P                          ,R                          ,F                             ,A                   ,P                      ,P                      ,P                    ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 11,H, 1,  89.00,    104.0900,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,                 ,                           ,R                        ,                           ,P                                 ,R                   ,A                        ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 11,H, 3,  74.00,    106.9400,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,P                ,A                          ,R                        ,P                          ,                                  ,                    ,                         ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 22,X, 5, 124.00,    214.5400,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,F                            ,A                     ,F                      ,                 ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 42,X, 3,  98.00,    404.0800,forams   ,Planktonic Foraminifers                      ,T              ,P                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,R                     ,                             ,                      ,                       ,                 ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 44,X, 1,  67.00,    419.9700,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,R                      ,F                     ,F                  ,R                  ,R                            ,                      ,                             ,                      ,                       ,                 ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 44,X, 5,  93.00,    426.2300,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,A                      ,F                     ,F                  ,R                  ,R                            ,                      ,                             ,                      ,                       ,                 ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 44,X, 6,  50.00,    427.3000,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                      ,                        ,                     ,                     ,                         ,                  ,                       ,                         ,A                      ,R                     ,F                  ,                   ,                             ,                      ,                             ,                      ,                       ,                 ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 46,X,CC,  29.00,    445.8300,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                      ,                        ,R                    ,                     ,F                        ,                  ,D                      ,R                        ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,                 ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 47,X,CC,  16.00,    457.4600,forams   ,Planktonic Foraminifers                      ,               ,                  ,                      ,                        ,R                    ,P                    ,R                        ,F                 ,F                      ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,                 ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1124,C, 49,X,CC,   0.00,    473.0200,forams   ,Planktonic Foraminifers                      ,T              ,M                 ,P                     ,P                       ,                     ,                     ,                         ,                  ,                       ,                         ,                       ,                      ,                   ,                   ,                             ,                      ,                             ,                      ,                       ,                 ,                           ,                         ,                           ,                                  ,                    ,                         ,                           ,                           ,                              ,                    ,                       ,                       ,                     ,                                 ,                     ,                      ,                         ,                         ,                          ,                     ,                   ,                             ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
