Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria britannica,Watznaueria barnesae,Parhabdolithus infinitus,Microstaurus chiastius,Micrantholithus obtusus,Micrantholithus hoschulzii,Lithraphidites carniolensis carniolensis,Hayesites bulbus,Haqius circumradiatus,Diazomatolithus lehmanii,Braarudosphaera regularis,Assipetra infracretacea,Watznaueria supracretacea,Watznaueria biporta,Rucinolithus irregularis,Rhagodiscus asper,Parhabdolithus embergeri,Nannoconus truitti,Manivitella pemmatoidea,Hayesites albiensis,Eprolithus floralis,Braarudosphaera batilliformis,Tranolithus phacelosus,Stradneria crenulata,Retemediaformis sp. 1,Retecapsa angustiforata,Reinhardtites anthophorus,Quadrum gartneri,Micula decussata,Marthasterites furcatus,Eiffellithus eximius,Chiastozygus litterarius,Aspidolithus parcus parcus,Aspidolithus parcus constrictus,Tetrapodorhabdus decorus,Ceratolithoides aculeus,Micula prinsii,Micula murus,Lithraphidites quadratus,Ceratolithoides kamptneri,Lithraphidites kennethii,Cylindralithus oweinae,Arkhangelskiella cymbiformis,Toweius africanus,Thoracosphaera spp.,Placozygus sigmoides,Neochiastozygus saepes,Ericsonia subpertusa,Ericsonia robusta,Ericsonia cava,Cruciplacolithus tenuis,Cruciplacolithus primus (small),Cruciplacolithus primus (large),Cruciplacolithus primus,Cruciplacolithus edwardsii,Chiasmolithus edwardsii,Chiasmolithus danicus,Reticulofenestra umbilica,Ericsonia formosa,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus solitus,Chiasmolithus grandis,Chiasmolithus gigas,Braarudosphaera bigelowii,Zygrhablithus bijugatus,Sphenolithus predistentus,Sphenolithus furcatolithoides labradorensis,Markalius inversus,Discoaster barbadiensis,Rhabdosphaera tenuis,Campylosphaera dela,Pemma papillatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,CP1b,,171,1049,B,6,X,CC,42.00,100.2800,Self-Trail,Nannofossils                                 ,A              ,G                 ,                      ,                    ,                        ,                      ,                       ,                          ,                                        ,                ,                     ,                        ,                         ,                       ,                         ,                   ,                        ,                 ,                        ,                  ,                       ,                   ,                   ,                             ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,                        ,                       ,              ,            ,                        ,                         ,                        ,                      ,                            ,A                ,F                  ,F                   ,R                     ,C                   ,F                ,C             ,R                      ,C                              ,C                              ,R                      ,F                         ,C                      ,F                    ,                         ,                 ,                     ,                       ,                     ,                     ,                   ,                         ,                       ,                         ,                                           ,                  ,                       ,                    ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC26,,171,1049,B,8,H,7,20.00,117.7100,Self-Trail,Nannofossils                                 ,A              ,VG                ,                      ,                    ,                        ,                      ,                       ,                          ,                                        ,                ,                     ,                        ,                         ,                       ,                         ,                   ,                        ,                 ,                        ,                  ,                       ,                   ,                   ,                             ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,                        ,                       ,              ,+           ,+                       ,                         ,+                       ,+                     ,+                           ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,                         ,                 ,                     ,                       ,                     ,                     ,                   ,                         ,                       ,                         ,                                           ,                  ,                       ,                    ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CP3,,171,1049,B,8,H,CC,0.00,118.5300,Self-Trail,Nannofossils                                 ,A              ,G                 ,                      ,                    ,                        ,                      ,                       ,                          ,                                        ,                ,                     ,                        ,                         ,                       ,                         ,                   ,                        ,                 ,                        ,                  ,                       ,                   ,                   ,                             ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,                        ,                       ,+             ,+           ,+                       ,+                        ,                        ,                      ,                            ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,                         ,                 ,                     ,                       ,                     ,                     ,                   ,                         ,                       ,                         ,                                           ,                  ,                       ,                    ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,                  ,CC25,,171,1049,B,9,X,CC,19.00,128.2000,Self-Trail,Nannofossils                                 ,T              ,                  ,                      ,                    ,                        ,                      ,                       ,                          ,                                        ,                ,                     ,                        ,                         ,                       ,                         ,                   ,                        ,                 ,                        ,                  ,                       ,                   ,                   ,                             ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,+                       ,+                      ,              ,            ,                        ,                         ,                        ,                      ,                            ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,                         ,                 ,                     ,                       ,                     ,                     ,                   ,                         ,                       ,                         ,                                           ,                  ,                       ,                    ,                   ,                ,CC25a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,,171,1049,B,10,X,CC,13.00,128.2300,Self-Trail,Nannofossils                                 ,               ,                  ,                      ,+                   ,                        ,                      ,                       ,                          ,                                        ,                ,                     ,                        ,                         ,                       ,                         ,+                  ,                        ,                 ,                        ,                  ,+                      ,                   ,r                  ,                             ,+                     ,+                   ,+                    ,+                      ,+                        ,+               ,+               ,r                      ,+                   ,+                       ,+                         ,+                              ,                        ,                       ,              ,            ,                        ,                         ,                        ,                      ,                            ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,                         ,                 ,                     ,                       ,                     ,                     ,                   ,                         ,                       ,                         ,                                           ,                  ,                       ,                    ,                   ,                ,Massive reworking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Aptian           ,                  ,"CC7(Watkins, ODP171)",,171,1049,B,11,X,CC,33.00,140.8000,Self-Trail,Nannofossils                                 ,C              ,P                 ,+                     ,+                   ,                        ,                      ,                       ,                          ,+                                       ,                ,                     ,                        ,+                        ,                       ,+                        ,+                  ,+                       ,+                ,+                       ,+                 ,+                      ,+                  ,+                  ,+                            ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,                        ,                       ,              ,            ,                        ,                         ,                        ,                      ,                            ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,                         ,                 ,                     ,                       ,                     ,                     ,                   ,                         ,                       ,                         ,                                           ,                  ,                       ,                    ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Aptian           ,                  ,"CC7(Watkins, ODP171)",,171,1049,B,12,X,CC,16.00,153.6600,Self-Trail,Nannofossils                                 ,T              ,                  ,+                     ,+                   ,+                       ,+                     ,+                      ,+                         ,+                                       ,+               ,+                    ,+                       ,+                        ,+                      ,                         ,                   ,                        ,                 ,                        ,                  ,                       ,                   ,                   ,                             ,                      ,                    ,                     ,                       ,                         ,                ,                ,                       ,                    ,                        ,                          ,                               ,                        ,                       ,              ,            ,                        ,                         ,                        ,                      ,                            ,                 ,                   ,                    ,                      ,                    ,                 ,              ,                       ,                               ,                               ,                       ,                          ,                       ,                     ,                         ,                 ,                     ,                       ,                     ,                     ,                   ,                         ,                       ,                         ,                                           ,                  ,                       ,                    ,                   ,                ,       
