Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Nodosariidae (taxa)	Fontbotia wuellerstorfi	Eggerella bradyi	Stilostomella lepidula	Quinqueloculina venusta	Pyrgo spp.	Pullenia bulloides	Oridorsalis spp.	Nuttallides umbonifera	Melonis pompilioides	Melonis barleeanus	Lenticulina sp.	Gyroidina zealandica	Gyroidina lamarckiana	Globocassidulina subglobosa	Epistominella exigua	Ehrenbergina trigona	Cibicidoides kullenbergi	Bolivina pseudopunctata	Valvulineria sp.	Triloculina tricarinata	Trifarina angulosa	Sphaeroidina bulloides	Pullenia salisburyi	Pleurostomella acuta	Laticarinina pauperata	Gyroidina soldanii	Eponides tumidulus	Bulimina alazanensis	Bolivina silvestri	Astrononion gallowayi	Karreriella bradyi	Hyperammina sp	Fursenkoina spp.	Quinqueloculina oblonga	Pullenia quinqueloba	Bolivina decussata	Astrononion sp.	Sigmoilina schlumbergeri	Uvigerina proboscidea	Stainforthia complanata	Eponides tenera	Species 2	Species 1	Cibicidoides robertsonianus	Cibicidoides cicatricosus	Haplophragmoides sp.	Cassidulina sp.	Rectuvigerina sp.	Comment

  SR	                 	                 	                  	              	145	 887	A	 12	H	 2	  95.00	    104.1500	Ishman   	Benthic Foraminifers                         	               	M                 	10                 	                       	16              	1                     	1                      	3         	11                	52              	58                    	1                   	19                	5              	2                   	                     	28                         	13                  	                    	7                       	                       	                	                       	1                 	                      	5                  	3                   	1                     	                  	                  	1                   	                  	                     	                  	              	                	1                      	                    	2                 	               	                        	20                   	1                      	               	         	         	                           	                         	                    	               	                 	Total count = 262; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 3	  23.00	    104.9300	Ishman   	Benthic Foraminifers                         	               	M                 	19                 	6                      	10              	2                     	                       	1         	13                	21              	80                    	                    	49                	1              	1                   	3                    	31                         	12                  	1                   	7                       	                       	                	                       	                  	1                     	4                  	3                   	4                     	                  	                  	                    	                  	                     	                  	              	                	                       	1                   	2                 	               	                        	7                    	                       	3              	         	         	                           	1                        	                    	               	                 	Total count = 283; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 3	  43.00	    105.1300	Ishman   	Benthic Foraminifers                         	               	M                 	4                  	3                      	2               	3                     	1                      	          	16                	19              	37                    	                    	14                	1              	                    	9                    	12                         	7                   	1                   	3                       	                       	                	                       	                  	2                     	                   	1                   	                      	                  	                  	                    	                  	                     	                  	              	                	                       	                    	1                 	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 136; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 3	  63.00	    105.3300	Ishman   	Benthic Foraminifers                         	               	M                 	8                  	                       	13              	                      	                       	1         	35                	60              	51                    	                    	34                	2              	                    	4                    	28                         	12                  	                    	11                      	                       	                	                       	                  	1                     	                   	                    	4                     	2                 	                  	2                   	                  	                     	                  	              	                	                       	                    	3                 	               	                        	4                    	                       	               	         	         	                           	                         	1                   	               	                 	Total count = 276; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 3	  85.00	    105.5500	Ishman   	Benthic Foraminifers                         	               	M                 	4                  	4                      	1               	                      	1                      	2         	10                	9               	22                    	                    	5                 	2              	                    	3                    	12                         	2                   	                    	8                       	                       	                	                       	1                 	3                     	1                  	10                  	1                     	                  	                  	                    	                  	                     	                  	              	                	                       	                    	1                 	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 102; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 3	 105.00	    105.7500	Ishman   	Benthic Foraminifers                         	               	M                 	7                  	6                      	2               	2                     	1                      	2         	30                	38              	55                    	                    	19                	               	                    	2                    	22                         	13                  	                    	7                       	                       	                	                       	                  	3                     	1                  	                    	2                     	                  	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	2                        	                    	               	                 	Total count = 214; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 3	 127.00	    105.9700	Ishman   	Benthic Foraminifers                         	               	M                 	3                  	8                      	8               	                      	3                      	14        	62                	20              	54                    	                    	63                	1              	2                   	                     	42                         	27                  	                    	                        	                       	                	                       	                  	2                     	6                  	                    	                      	                  	                  	                    	1                 	                     	                  	              	                	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	2                        	                    	               	                 	Total count = 318; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 4	  55.00	    106.7500	Ishman   	Benthic Foraminifers                         	               	M                 	6                  	3                      	                	                      	                       	          	11                	16              	16                    	                    	25                	               	                    	                     	26                         	5                   	                    	4                       	                       	                	                       	                  	1                     	2                  	4                   	                      	2                 	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	3                    	                       	               	         	         	                           	                         	                    	               	                 	Total count = 124; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 4	  77.00	    106.9700	Ishman   	Benthic Foraminifers                         	               	M                 	8                  	7                      	5               	                      	                       	          	20                	26              	43                    	1                   	15                	               	                    	                     	27                         	4                   	                    	3                       	                       	                	                       	                  	                      	                   	                    	1                     	2                 	                  	                    	                  	                     	                  	              	                	                       	2                   	                  	               	                        	2                    	                       	1              	         	         	                           	                         	                    	               	                 	Total count = 167; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 4	  95.00	    107.1500	Ishman   	Benthic Foraminifers                         	               	M                 	8                  	9                      	3               	1                     	                       	2         	24                	38              	44                    	                    	30                	               	                    	                     	61                         	12                  	                    	4                       	                       	                	                       	1                 	                      	2                  	1                   	2                     	                  	                  	                    	                  	                     	                  	              	                	                       	                    	1                 	               	                        	14                   	                       	               	         	         	                           	3                        	                    	               	                 	Total count = 260; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 4	 113.00	    107.3300	Ishman   	Benthic Foraminifers                         	               	M                 	2                  	1                      	3               	2                     	                       	1         	7                 	4               	39                    	                    	12                	               	                    	2                    	18                         	3                   	                    	3                       	                       	                	                       	                  	                      	1                  	                    	3                     	                  	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	8                    	                       	               	         	         	1                          	                         	                    	               	                 	Total count = 110; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 4	 135.00	    107.5500	Ishman   	Benthic Foraminifers                         	               	M                 	10                 	                       	10              	                      	                       	          	6                 	11              	23                    	                    	12                	               	                    	                     	36                         	                    	                    	                        	                       	                	                       	                  	1                     	                   	                    	1                     	                  	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	3                    	                       	               	         	         	                           	                         	                    	               	                 	Total count = 113; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 5	   5.00	    107.7500	Ishman   	Benthic Foraminifers                         	               	M                 	16                 	10                     	14              	2                     	                       	          	47                	47              	52                    	                    	17                	               	                    	2                    	54                         	6                   	                    	5                       	                       	                	                       	1                 	2                     	3                  	1                   	3                     	3                 	                  	                    	                  	                     	                  	              	                	                       	4                   	1                 	               	                        	                     	                       	               	1        	2        	                           	                         	                    	               	                 	Total count = 293; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 5	  23.00	    107.9300	Ishman   	Benthic Foraminifers                         	               	M                 	9                  	3                      	20              	                      	                       	          	18                	25              	39                    	                    	12                	               	                    	                     	37                         	                    	                    	6                       	                       	                	                       	2                 	2                     	11                 	                    	1                     	3                 	                  	                    	                  	                     	                  	              	                	                       	4                   	1                 	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 193; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 5	  43.00	    108.1300	Ishman   	Benthic Foraminifers                         	               	M                 	9                  	5                      	7               	1                     	1                      	1         	24                	27              	19                    	                    	16                	               	                    	3                    	26                         	2                   	                    	3                       	                       	                	                       	                  	2                     	2                  	2                   	                      	4                 	                  	                    	                  	                     	1                 	              	                	                       	                    	                  	               	                        	1                    	2                      	1              	         	         	                           	                         	                    	               	                 	Total count = 159; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 5	  66.00	    108.3600	Ishman   	Benthic Foraminifers                         	               	M                 	2                  	10                     	3               	                      	                       	          	10                	20              	15                    	4                   	8                 	               	                    	3                    	15                         	2                   	                    	                        	                       	                	                       	                  	                      	                   	                    	                      	                  	                  	1                   	                  	                     	                  	              	                	                       	10                  	1                 	               	                        	1                    	                       	               	         	         	                           	                         	                    	               	                 	Total count = 105; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 5	  83.00	    108.5300	Ishman   	Benthic Foraminifers                         	               	M                 	3                  	4                      	4               	                      	                       	          	15                	9               	25                    	1                   	11                	2              	                    	                     	                           	1                   	                    	1                       	                       	                	                       	                  	                      	2                  	                    	                      	1                 	2                 	                    	                  	                     	                  	              	                	                       	                    	                  	               	1                       	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 82; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 6	  13.00	    109.3300	Ishman   	Benthic Foraminifers                         	               	M                 	10                 	13                     	14              	                      	                       	3         	54                	29              	44                    	                    	29                	4              	1                   	3                    	1                          	                    	                    	3                       	                       	                	                       	                  	2                     	2                  	1                   	                      	2                 	                  	                    	                  	                     	                  	              	                	                       	1                   	                  	4              	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 220; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 6	  34.00	    109.5400	Ishman   	Benthic Foraminifers                         	               	M                 	24                 	12                     	13              	                      	2                      	1         	40                	29              	56                    	2                   	27                	2              	2                   	8                    	1                          	6                   	                    	7                       	                       	                	                       	                  	8                     	4                  	2                   	3                     	2                 	                  	                    	                  	                     	                  	1             	                	1                      	5                   	2                 	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 260; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 6	  55.00	    109.7500	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                       	4               	                      	                       	          	                  	                	                      	                    	                  	               	                    	                     	                           	                    	                    	                        	                       	                	                       	                  	                      	                   	                    	                      	                  	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 4; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 6	  73.00	    109.9300	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                       	4               	                      	                       	          	                  	                	                      	                    	                  	               	                    	                     	                           	                    	                    	                        	                       	                	                       	                  	                      	                   	                    	                      	                  	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 4; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 6	  95.00	    110.1500	Ishman   	Benthic Foraminifers                         	               	M                 	2                  	                       	7               	                      	                       	          	4                 	4               	16                    	                    	5                 	               	                    	                     	2                          	                    	                    	3                       	                       	                	                       	                  	2                     	                   	                    	                      	                  	                  	                    	                  	                     	3                 	1             	2               	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 51; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 6	 113.00	    110.3300	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                       	1               	                      	                       	          	                  	                	                      	                    	                  	               	                    	                     	                           	                    	                    	                        	                       	                	                       	                  	                      	                   	                    	                      	                  	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 1; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 7	   5.00	    110.7500	Ishman   	Benthic Foraminifers                         	               	M                 	29                 	5                      	35              	2                     	                       	2         	35                	37              	79                    	                    	22                	               	3                   	21                   	                           	3                   	                    	15                      	                       	1               	1                      	1                 	4                     	7                  	2                   	1                     	4                 	1                 	1                   	1                 	1                    	                  	              	                	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 313; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 7	  23.00	    110.9300	Ishman   	Benthic Foraminifers                         	               	M                 	19                 	4                      	16              	5                     	1                      	5         	24                	44              	73                    	3                   	9                 	1              	4                   	7                    	1                          	8                   	1                   	2                       	4                      	                	                       	                  	                      	                   	                    	                      	                  	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 231; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 7	  44.00	    111.1400	Ishman   	Benthic Foraminifers                         	               	M                 	                   	                       	6               	                      	                       	          	                  	                	                      	                    	                  	               	                    	                     	                           	                    	                    	                        	                       	                	                       	                  	                      	                   	                    	                      	                  	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 6; from Leg 145 SR; Ch 8; Table 6; p 148-149

  SR	                 	                 	                  	              	145	 887	A	 12	H	 7	  66.00	    111.3600	Ishman   	Benthic Foraminifers                         	               	M                 	1                  	1                      	6               	                      	                       	          	                  	                	                      	                    	                  	               	                    	                     	                           	                    	                    	                        	                       	                	                       	                  	                      	                   	                    	                      	                  	                  	                    	                  	                     	                  	              	                	                       	                    	                  	               	                        	                     	                       	               	         	         	                           	                         	                    	               	                 	Total count = 8; from Leg 145 SR; Ch 8; Table 6; p 148-149

