Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella sp. cf. Blefuscuiana aptica	Globigerinelloides cf. bentonensis	Globigerinelloides cf. aptiense	Globigerinelloides aptiense	Hedbergella sp. cf. H. planispira	Hedbergella cf. punctata	Hedbergella trocoidea	Clavihedbergella sp.	Hedbergella planispira	Hedbergella yezoana	Hedbergella simplicissima	Planomalina buxtorfi	Schackoina cenomana	Praeglobotruncana delrioensis	Planomalina praebuxtorfi	Rotalipora ticinensis	Rotalipora appenninica	Comment
  SR	Albian           	                 	                  	              	123	 766	A	 18	R	 2	  83.00	    164.4300	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	                        	                     	                    	                      	R                  	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 18	R	 3	  65.00	    165.7500	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	C                       	                     	R                   	C                     	A                  	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 18	R	 5	  93.00	    169.0300	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	R                       	                     	                    	A                     	A                  	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 18	R	CC	   9.00	    170.2400	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	R                       	                     	C                   	A                     	A                  	                         	                    	                   	                             	                        	                     	                      	uncertain identity of Glomospirella sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 19	R	 4	  23.00	    176.4300	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	R                       	                     	                    	A                     	C                  	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 19	R	CC	  20.00	    178.6000	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	                                 	                        	                     	R                   	A                     	C                  	                         	                    	                   	                             	                        	                     	                      	uncertain identity of Glomospirella sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 20	R	 1	  47.00	    181.8700	Haig     	Planktonic Foraminifers                      	               	                  	R                                      	R                                 	                               	                           	R                                	                        	R                    	                    	A                     	                   	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 20	R	 2	  48.00	    183.3800	Haig     	Planktonic Foraminifers                      	               	                  	                                       	R                                 	                               	                           	R                                	                        	                     	R                   	A                     	                   	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 20	R	 3	  68.00	    185.0800	Haig     	Planktonic Foraminifers                      	               	                  	R                                      	                                  	                               	                           	A                                	                        	                     	A                   	                      	                   	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 20	R	CC	  13.00	    186.5200	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	A                                	                        	C                    	A                   	                      	                   	                         	                    	                   	                             	                        	                     	                      	uncertain identity of Glomospirella sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 21	R	 1	  90.00	    191.9000	Haig     	Planktonic Foraminifers                      	               	                  	R                                      	                                  	                               	                           	A                                	R                       	                     	                    	                      	                   	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 21	R	 2	  52.00	    193.0200	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	A                                	                        	                     	                    	                      	                   	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Albian           	                 	                  	              	123	 766	A	 21	R	CC	  10.00	    193.5700	Haig     	Planktonic Foraminifers                      	               	                  	                                       	                                  	                               	                           	A                                	                        	C                    	                    	                      	                   	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Aptian           	                 	                  	              	123	 766	A	 24	R	CC	  23.00	    221.6300	Haig     	Planktonic Foraminifers                      	               	                  	C                                      	C                                 	                               	                           	A                                	                        	                     	                    	                      	                   	                         	                    	                   	                             	                        	                     	                      	uncertain identity of Glomospirella sp.; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Aptian           	                 	                  	              	123	 766	A	 25	R	 1	  33.00	    229.9300	Haig     	Planktonic Foraminifers                      	               	                  	A                                      	R                                 	R                              	                           	A                                	R                       	                     	                    	                      	                   	                         	                    	                   	                             	                        	                     	                      	from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

  SR	Aptian           	                 	                  	              	123	 766	A	 25	R	CC	  16.00	    230.6800	Haig     	Planktonic Foraminifers                      	               	                  	A                                      	C                                 	C                              	A                          	                                 	                        	                     	                    	                      	                   	                         	                    	                   	                             	                        	                     	                      	uncertain identity of Frondicularia sp; from ODP Leg 123 SR Chapter 14 Tables 1-4 and Fig 2 pp 273-277

