Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella sigali	Blefuscuiana daminiae	Praehedbergella ruka contritus	Hedbergella kuznetsovae	Globigerinelloides ferreolensis	Blefuscuiana rudis sensu stricto	Blefuscuiana hispaniae	Praehedbergella tuschepsensis grigelisi	Praehedbergella tatianae	Leupoldina cabri	Guembelitriella graysonensis	Globigerinelloides barri	Globigerinelloides algerianus	Blefuscuiana aptiana orientalis	Hedbergella infracretacea	Blefuscuiana excelsa cumulus	Blefuscuiana convexa	Praehedbergella tuschepsensis perforare	Hedbergella trocoidea	Hedbergella bizonae	Globigerinelloides aptiense	Blefuscuiana infracretacea occidentalis	Blefuscuiana albiana	Hedbergella delrioensis	Hedbergella gorbachikae	Hedbergella rischi	Hedbergella planispira	Favusella hiltermanni	Rotalipora appenninica	Whiteinella baltica	Hedbergella loetterlei	Globigerinelloides bentonensis	Archaeoglobigerina blowi	Hedbergella holmdelensis	Globotruncanita stuartiformis	Globotruncanita elevata	Globotruncana linneiana	Contusotruncana fornicata	Marginotruncana undulata	Marginotruncana sinuosa	Marginotruncana pseudolinneiana	Globotruncana lapparenti	Pseudotextularia brownei	Pseudoguembelina costulata	Laeviheterohelix pulchra	Heterohelix globulosa	Globigerinelloides messinae	Globigerinelloides alvarezi	Globotruncana ventricosa	Globotruncana arca	Contusotruncana plummerae	Pseudotextularia elegans	Pseudoguembelina excolata	Globotruncanella havanensis	Rugoglobigerina pennyi	Globotruncanita stuarti	Globotruncanita conica	Contusotruncana contusa	Rugoglobigerina rugosa	Rugotruncana subpennyi	Rugoglobigerina hexacamerata	Laeviheterohelix glabrans	Rugotruncana subcircumnodifer	Pseudoguembelina palpebra	Rugoglobigerina rotundata	Racemiguembelina fructicosa	Globotruncana aegyptiaca	Gansserina gansseri	Rugoglobigerina macrocephala	Globotruncanella citae	Woodringina hornerstownensis	Ventilabrella multicamerata	Abathomphalus intermedius	Praemurica pseudoinconstans	Parasubbotina pseudobulloides	Globoconusa daubjergensis	Globanomalina archeocompressa	Eoglobigerina eobulloides	Subbotina velascoensis	Subbotina triloculinoides	Subbotina cancellata	Parasubbotina varianta	Morozovella angulata	Acarinina nitida	Igorina albeari	Morozovella velascoensis	Morozovella conicotruncata	Globanomalina pseudomenardii	Morozovella occlusa	Acarinina subsphaerica	Morozovella pasionensis	Morozovella aequa	Globanomalina chapmani	Globanomalina australiformis	Morozovella subbotinae	Morozovella marginodentata	Morozovella edgari	Acarinina soldadoensis	Acarinina quetra	Subbotina eocaena	Pseudohastigerina micra	Planorotalites pseudoscitulus	Planorotalites palmerae	Igorina broedermanni	Acarinina primitiva	Acarinina bullbrooki	Morozovella aragonensis	Globigerinatheka senni	Truncorotaloides rohri	Morozovella spinulosa	Hantkenina bolivariana	Acarinina spinuloinflata	Acarinina pentacamerata	Turborotalia pomeroli	Turborotalia cerroazulensis	Subbotina praeturritilina	Subbotina frontosa	Globigerinatheka mexicana	Globigerinatheka subconglobata	Globigerina corpulenta	Chiloguembelina cubensis	Acarinina matthewsae	Turborotalia possagnoensis	Morozovella lehneri	Globigerinatheka kugleri	Subbotina hagni	Subbotina cryptomphala	Hantkenina alabamensis	Globigerinatheka index	Globigerinatheka beckmanni	Turborotalia increbescens	Turborotalia cunialensis	Turborotalia ampliapertura	Globoquadrina tripartita	Globigerina praebulloides	Turborotalia pseudoampliapertura	Globigerina officinalis	Globigerina euapertura	Catapsydrax dissimilis	Hantkenina primitiva	Globigerina ouachitaensis	Globigerina yeguaensis	Globigerina venezuelana	Globigerina tapuriensis	Globigerina pseudovenezuelana	Pseudohastigerina naguewichiensis	Globigerina cryptomphala	Globigerina sellii	Subbotina gortanii	Subbotina angiporoides	Paragloborotalia opima nana	Paragloborotalia opima opima	Globigerina ciperoensis	Globigerina angulisuturalis	Globoquadrina praedehiscens	Zeaglobigerina woodi	Sphaeroidinellopsis disjuncta	Globoquadrina dehiscens	Globoquadrina binaiensis	Globigerinoides trilobus	Globigerinoides immaturus	Globigerina angustiumbilicata	Fohsella peripheroronda	Fohsella birnageae	Dentoglobigerina altispira	Neogloboquadrina continuosa	Praeorbulina sicana	Globigerinoides sacculifer	Globigerinoides quadrilobatus	Globigerinoides obliquus	Globigerinoides bisphericus	Jenkinsella mayeri	Fohsella fohsi fohsi	Orbulina suturalis	Zeaglobigerina druryi	Fohsella lobata	Fohsella robusta	Globorotalia praemenardii	Comment

  IR	                 	                 	                  	              	192	1183	A	  6	R	CC	  23.00	    371.0000	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	A                      	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	F                   	R                            	D                      	                        	R                       	                         	                             	                       	                  	A                         	F                          	                   	R                         	F                            	                        	                           	A                 	A                   	R                 	R                    	R              	                	                         	Zone M9a - 12.3-12.5 Ma

  IR	                 	                 	                  	              	192	1183	A	  7	R	CC	  23.00	    380.1300	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	A                      	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	R                   	R                            	D                      	                        	R                       	                         	                             	                       	                  	A                         	F                          	                   	R                         	R                            	                        	                           	A                 	A                   	R                 	                     	               	                	                         	Zone M8 - 12.5-12.7 Ma

  IR	                 	                 	                  	              	192	1183	A	  8	R	CC	  28.00	    391.9800	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	A                      	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	F                   	F                            	D                      	                        	R                       	                         	                             	                       	                  	A                         	F                          	                   	R                         	R                            	R                       	                           	A                 	A                   	+                 	R                    	               	                	                         	Zone M8 - 12.5-12.7 Ma

  IR	                 	                 	                  	              	192	1183	A	  9	R	CC	  24.00	    397.9300	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	F                      	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	F                   	R                            	D                      	                        	F                       	                         	                             	                       	                  	A                         	F                          	                   	F                         	F                            	R                       	                           	A                 	A                   	P                 	                     	               	                	                         	Zone M8 - 12.5-12.7 Ma

  IR	                 	                 	                  	              	192	1183	A	 10	R	CC	  23.00	    412.6500	Sikora   	Planktonic Foraminifers                      	               	                  	                  	                     	                              	                       	                               	                                	                      	                                       	                        	                	                            	                        	                             	                               	                         	                            	                    	                                       	                     	                   	                           	                                       	                    	                       	                       	                  	                      	                     	                      	                   	                      	                              	                        	                        	                             	                       	                       	                         	                        	                       	                               	                        	                        	                          	                        	                     	                           	                           	                        	                  	                         	                        	                         	                           	                      	                       	                      	                       	                      	                      	                            	                         	                             	                         	                         	                           	                        	                   	                            	                      	                            	                           	                         	                           	                             	                         	                             	                         	                      	                         	                    	                      	                    	                	               	                        	                          	                            	                   	                      	                       	                 	                      	                            	                      	                          	                  	                      	                	                 	                       	                             	                       	                    	                   	                    	                       	                      	                      	                     	                      	                        	                       	                     	                           	                         	                  	                         	                              	                      	                        	                    	                          	                   	                        	               	                      	                      	                      	                          	                         	                        	                          	                        	                         	                                	                       	                      	                      	                    	                         	                      	F                      	                       	                             	                                 	                        	                  	                  	                      	                           	                            	                       	                           	                           	F                   	R                            	D                      	                        	F                       	                         	                             	                       	                  	A                         	A                          	                   	F                         	F                            	R                       	                           	A                 	F                   	                  	                     	               	                	                         	Zone M8 - 12.5-12.7 Ma
