Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Pulleniatina praecursor	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina humerosa	Neogloboquadrina acostaensis (dextral)	Globorotaloides hexagona	Globorotalia scitula	Globorotalia margaritae	Globorotalia limbata	Globorotalia crassaformis crassaformis	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides sacculifer	Globigerinoides obliquus extremus	Globigerinoides conglobatus	Globigerinita glutinata	Globigerina falconensis	Globigerina decoraperta	Globigerina bulloides	Orbulina universa	Globorotalia puncticulata	Globigerinoides ruber (white)	Globigerinella aequilateralis	Neogloboquadrina dutertrei	Globorotalia crassaformis viola	Globorotalia tumida	Globorotalia miocenica	Neogloboquadrina pseudopima	Globorotalia exilis	Globigerinoides tenellus	Globigerina apertura	Globorotalia crassula	Sphaeroidinella dehiscens	Globorotalia menardii	Globorotalia crassaformis hessi	Globigerinoides obliquus obliquus	Globigerinoides sp. cf. G. fistulosus	Pulleniatina obliquiloculata	Pulleniatina primalis	Globorotalia inflata	Globorotalia truncatulinoides	Globorotalia triangula	Globigerina quinqueloba	Beella digitata	Globorotalia tosaensis	Globigerinella calida	Globigerinoides ruber (pink)	Candeina nitida	Comment

  SR	                 	                 	G. truncatulinoides	              	108	 662	A	  5	H	CC	   1.00	     41.1600	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                       	                                       	C                                    	                         	                                      	                        	                    	                       	                    	                                      	                       	F                       	R                         	                                 	                           	R                      	                       	                       	R                    	                 	                         	C                            	R                            	C                         	                               	                   	                      	                           	                   	                        	                    	                     	R                        	                     	R                              	R                                	                                     	F                           	                     	R                   	R                            	                      	                       	               	                      	                     	R                           	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	G. truncatulinoides	              	108	 662	A	  6	H	CC	  15.00	     50.6500	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                       	                                       	F                                    	                         	                                      	                        	                    	                       	                    	                                      	                       	R                       	R                         	                                 	                           	R                      	                       	                       	R                    	                 	                         	                             	                             	C                         	                               	                   	                      	                           	                   	R                       	                    	                     	                         	F                    	R                              	                                 	                                     	R                           	                     	C                   	R                            	                      	                       	               	                      	                     	                            	               	large number of reworked species from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	G. truncatulinoides	              	108	 662	A	  7	H	CC	  11.00	     60.2400	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	R                                    	                         	                                      	R                       	R                   	                       	                    	                                      	                       	F                       	R                         	                                 	                           	R                      	                       	                       	                     	F                	                         	C                            	                             	C                         	                               	                   	                      	                           	                   	R                       	                    	                     	R                        	                     	R                              	                                 	P                                    	R                           	                     	R                   	R                            	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	G. truncatulinoides	              	108	 662	A	  8	H	CC	   9.00	     69.7900	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                       	                                       	F                                    	                         	R                                     	R                       	                    	                       	                    	R                                     	                       	R                       	R                         	                                 	                           	R                      	R                      	                       	                     	R                	                         	C                            	R                            	C                         	                               	                   	                      	F                          	                   	                        	                    	                     	R                        	                     	R                              	                                 	                                     	R                           	                     	                    	R                            	                      	                       	               	                      	R                    	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	G. truncatulinoides	              	108	 662	A	  9	H	CC	  11.00	     78.4800	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	R                                    	                         	                                      	                        	                    	                       	                    	R                                     	                       	C                       	R                         	                                 	                           	R                      	                       	                       	R                    	R                	                         	C                            	                             	C                         	                               	                   	                      	F                          	                   	                        	                    	                     	R                        	                     	R                              	                                 	                                     	F                           	                     	                    	R                            	                      	                       	               	R                     	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	G. truncatulinoides	              	108	 662	A	 10	H	 3	   8.00	     82.2800	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	R                                    	                         	                                      	R                       	                    	                       	                    	                                      	                       	F                       	R                         	                                 	R                          	R                      	                       	                       	R                    	R                	                         	C                            	R                            	R                         	                               	                   	                      	R                          	                   	                        	                    	                     	R                        	                     	                               	                                 	                                     	F                           	                     	R                   	R                            	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL6               	              	108	 662	A	 10	H	 5	  48.00	     85.6800	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	                                     	                         	                                      	                        	R                   	                       	                    	                                      	                       	F                       	R                         	                                 	R                          	R                      	R                      	                       	                     	R                	                         	C                            	R                            	                          	                               	                   	                      	                           	                   	                        	                    	                     	R                        	F                    	R                              	R                                	                                     	F                           	                     	                    	                             	                      	                       	               	                      	                     	                            	               	large number of reworked species from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL6               	              	108	 662	A	 10	H	CC	   7.00	     88.7400	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                       	                                       	F                                    	F                        	                                      	                        	R                   	                       	                    	R                                     	                       	F                       	R                         	                                 	                           	F                      	                       	                       	                     	R                	                         	C                            	R                            	C                         	                               	                   	                      	F                          	                   	R                       	                    	R                    	R                        	R                    	                               	R                                	                                     	F                           	                     	                    	                             	                      	                       	R              	                      	                     	                            	               	large number of reworked species from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL6               	              	108	 662	A	 11	H	CC	  13.00	     98.3200	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	                                     	                         	                                      	                        	R                   	                       	                    	                                      	                       	F                       	F                         	                                 	                           	F                      	                       	                       	R                    	R                	                         	C                            	                             	C                         	                               	                   	                      	                           	                   	R                       	                    	                     	R                        	C                    	                               	R                                	P                                    	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	large number of reworked species from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL6               	              	108	 662	A	 12	H	CC	  12.00	    107.8900	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                       	                                       	C                                    	                         	                                      	                        	R                   	                       	                    	                                      	                       	R                       	R                         	                                 	R                          	F                      	                       	                       	F                    	R                	                         	C                            	                             	C                         	                               	R                  	                      	                           	                   	                        	                    	                     	R                        	F                    	R                              	R                                	                                     	R                           	                     	F                   	                             	                      	R                      	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL6               	              	108	 662	A	 13	H	CC	  12.00	    117.3800	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                       	                                       	A                                    	                         	                                      	                        	R                   	                       	                    	                                      	                       	R                       	                          	                                 	R                          	F                      	                       	                       	R                    	R                	                         	F                            	R                            	F                         	                               	                   	                      	R                          	                   	                        	                    	                     	                         	                     	                               	R                                	                                     	R                           	                     	F                   	R                            	R                     	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL6               	              	108	 662	A	 14	H	CC	  12.00	    126.5000	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                       	                                       	R                                    	                         	                                      	                        	R                   	                       	                    	                                      	                       	R                       	R                         	R                                	                           	C                      	                       	R                      	F                    	                 	                         	C                            	R                            	F                         	R                              	                   	                      	C                          	                   	                        	                    	                     	                         	F                    	                               	                                 	                                     	R                           	                     	R                   	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL6               	              	108	 662	A	 15	H	CC	  14.00	    136.3200	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	R                                    	                         	                                      	                        	R                   	                       	                    	R                                     	                       	F                       	F                         	R                                	R                          	F                      	R                      	R                      	R                    	R                	                         	A                            	R                            	F                         	                               	                   	                      	F                          	                   	                        	                    	                     	R                        	                     	                               	                                 	P                                    	                            	F                    	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL6               	              	108	 662	A	 16	H	 1	 136.00	    137.5600	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	                                     	F                        	                                      	                        	R                   	                       	                    	R                                     	                       	C                       	R                         	                                 	                           	R                      	                       	F                      	                     	R                	                         	C                            	                             	                          	                               	                   	                      	C                          	                   	                        	                    	                     	R                        	                     	                               	R                                	                                     	R                           	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL5               	              	108	 662	A	 16	H	 3	 135.00	    140.5500	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	                                     	C                        	                                      	                        	R                   	                       	                    	R                                     	                       	C                       	R                         	                                 	                           	R                      	                       	R                      	                     	R                	R                        	C                            	R                            	                          	                               	                   	R                     	F                          	                   	                        	                    	R                    	                         	                     	                               	R                                	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL5               	              	108	 662	A	 16	H	CC	  16.00	    145.9200	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	R                                    	                         	                                      	                        	R                   	                       	                    	F                                     	                       	F                       	F                         	                                 	R                          	F                      	                       	F                      	R                    	R                	                         	C                            	                             	C                         	R                              	                   	F                     	F                          	R                  	                        	                    	R                    	                         	                     	                               	R                                	P                                    	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL5               	              	108	 662	A	 17	H	CC	  15.00	    154.6700	Weaver   	Planktonic Foraminifers                      	C              	M                 	                              	                       	                                       	R                                    	                         	                                      	                        	R                   	                       	                    	F                                     	                       	F                       	R                         	R                                	                           	F                      	                       	R                      	F                    	R                	R                        	F                            	R                            	F                         	R                              	                   	R                     	C                          	                   	                        	                    	R                    	                         	                     	                               	R                                	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL5               	              	108	 662	A	 18	H	CC	  15.00	    164.8400	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	F                                    	F                        	                                      	                        	R                   	                       	                    	R                                     	                       	F                       	F                         	F                                	                           	F                      	                       	F                      	R                    	R                	R                        	F                            	R                            	C                         	                               	                   	F                     	                           	F                  	                        	                    	                     	R                        	                     	R                              	                                 	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL5               	              	108	 662	A	 19	H	 2	  64.00	    166.8400	Weaver   	Planktonic Foraminifers                      	A              	G                 	                              	                       	                                       	R                                    	C                        	                                      	                        	R                   	                       	F                   	                                      	                       	F                       	F                         	F                                	R                          	F                      	                       	F                      	                     	R                	F                        	F                            	R                            	R                         	                               	                   	                      	R                          	R                  	                        	                    	                     	R                        	R                    	                               	                                 	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL4               	              	108	 662	A	 19	H	 3	  73.00	    168.4300	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	                       	                                       	R                                    	F                        	                                      	R                       	R                   	                       	R                   	                                      	F                      	F                       	F                         	R                                	                           	F                      	                       	F                      	R                    	                 	R                        	F                            	                             	R                         	                               	R                  	R                     	                           	                   	                        	                    	F                    	                         	                     	                               	                                 	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL3               	              	108	 662	A	 19	H	CC	  13.00	    174.1900	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                             	                       	                                       	R                                    	                         	                                      	R                       	R                   	                       	                    	                                      	F                      	R                       	R                         	F                                	R                          	F                      	F                      	F                      	                     	R                	F                        	R                            	R                            	F                         	R                              	                   	F                     	F                          	F                  	R                       	R                   	                     	                         	                     	                               	                                 	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL3               	              	108	 662	A	 20	H	CC	  14.00	    183.8900	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	                       	                                       	F                                    	F                        	F                                     	R                       	R                   	                       	F                   	R                                     	F                      	F                       	R                         	R                                	R                          	F                      	R                      	F                      	R                    	R                	                         	R                            	R                            	F                         	                               	R                  	R                     	                           	                   	                        	                    	                     	                         	                     	                               	                                 	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL3               	              	108	 662	A	 21	H	CC	  12.00	    193.2300	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	R                      	F                                      	R                                    	                         	R                                     	R                       	R                   	                       	C                   	F                                     	F                      	F                       	F                         	F                                	R                          	F                      	R                      	F                      	                     	R                	                         	                             	R                            	R                         	                               	                   	                      	                           	                   	                        	                    	                     	                         	                     	                               	                                 	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL3               	              	108	 662	A	 22	H	 3	 134.00	    197.5400	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                             	                       	                                       	                                     	F                        	                                      	R                       	R                   	                       	R                   	R                                     	F                      	F                       	F                         	C                                	R                          	F                      	                       	F                      	R                    	R                	                         	                             	R                            	F                         	R                              	                   	                      	                           	                   	                        	                    	                     	                         	                     	                               	                                 	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL2               	              	108	 662	A	 22	H	 5	 134.00	    200.5400	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                             	F                      	                                       	                                     	C                        	                                      	R                       	R                   	R                      	R                   	R                                     	F                      	F                       	F                         	C                                	                           	F                      	                       	R                      	R                    	R                	R                        	F                            	R                            	                          	                               	                   	                      	                           	                   	                        	                    	                     	                         	                     	                               	                                 	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

  SR	                 	                 	PL2               	              	108	 662	A	 22	H	CC	  15.00	    202.9800	Weaver   	Planktonic Foraminifers                      	A              	G                 	R                             	R                      	F                                      	R                                    	F                        	R                                     	R                       	R                   	R                      	F                   	F                                     	F                      	F                       	F                         	F                                	R                          	F                      	R                      	R                      	F                    	                 	                         	                             	                             	                          	                               	                   	                      	                           	                   	                        	                    	                     	                         	                     	                               	                                 	                                     	                            	                     	                    	                             	                      	                       	               	                      	                     	                            	               	from ODP Leg 108 SR Chapter 5 Table 10 p 84

