Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Hastigerina digitata	Globorotalia tumida flexuosa	Globorotalia tumida	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia fimbriata	Globorotalia crassaformis viola	Globorotalia crassaformis hessi	Globorotalia crassaformis crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerina calida calida	Globigerina bulloides	Bolliella adamsi	Comment
  IR	Late Pleistocene 	                 	X                 	              	155	 942	A	  6	H	CC	  35.00	     51.3200	Showers  	Planktonic Foraminifers                      	C              	G                 	F                           	C                         	-                   	F                           	A                  	F                            	-                     	R                    	-                   	-                     	-                     	-                              	-                              	-                                     	R                                	F                                  	R                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Late Pleistocene 	                 	X                 	              	155	 942	A	  7	H	CC	   3.00	     61.0400	Showers  	Planktonic Foraminifers                      	C              	G                 	F                           	C                         	-                   	F                           	C                  	F                            	-                     	R                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	F                                  	R                            	-                           	R                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Late Pleistocene 	                 	X                 	              	155	 942	A	  8	H	 4	  60.00	     65.9000	Showers  	Planktonic Foraminifers                      	A              	G                 	F                           	F                         	-                   	-                           	R                  	-                            	-                     	C                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	F                                  	C                            	F                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	  8	H	CC	  18.00	     70.2900	Showers  	Planktonic Foraminifers                      	F              	M                 	C                           	F                         	-                   	-                           	-                  	F                            	-                     	-                    	R                   	-                     	-                     	-                              	-                              	-                                     	C                                	R                                  	C                            	F                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	  9	H	CC	  32.00	     77.2500	Showers  	Planktonic Foraminifers                      	F              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	-                                  	F                            	-                           	R                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 10	H	CC	  32.00	     90.0000	Showers  	Planktonic Foraminifers                      	C              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	F                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 11	H	CC	  19.00	     96.8600	Showers  	Planktonic Foraminifers                      	F              	G                 	-                           	C                         	-                   	-                           	-                  	F                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	R                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 12	H	CC	  21.00	    104.0600	Showers  	Planktonic Foraminifers                      	R              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	F                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 13	X	CC	  10.00	    108.9000	Showers  	Planktonic Foraminifers                      	A              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	F                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 14	X	CC	  11.00	    114.7100	Showers  	Planktonic Foraminifers                      	C              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	R                              	-                                     	C                                	F                                  	C                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 15	X	CC	  12.00	    126.1000	Showers  	Planktonic Foraminifers                      	F              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	C                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 16	X	CC	  11.00	    135.7000	Showers  	Planktonic Foraminifers                      	F              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	C                                  	C                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 17	X	CC	  11.00	    145.3900	Showers  	Planktonic Foraminifers                      	F              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	R                              	-                                     	C                                	C                                  	F                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 18	X	CC	   9.00	    156.0400	Showers  	Planktonic Foraminifers                      	F              	G                 	-                           	C                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	C                                	R                                  	F                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	                 	                 	                  	              	155	 942	A	 19	X	CC	  10.00	    165.7100	Showers  	Planktonic Foraminifers                      	B              	                  	-                           	-                         	-                   	-                           	-                  	-                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	-                                	-                                  	-                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

  IR	Middle Pleistocene	                 	W                 	              	155	 942	A	 20	X	CC	  28.00	    171.1800	Showers  	Planktonic Foraminifers                      	R              	G                 	-                           	A                         	-                   	-                           	-                  	C                            	-                     	-                    	-                   	-                     	-                     	-                              	-                              	-                                     	F                                	-                                  	R                            	-                           	-                        	-                    	-               	from Leg 155IR p 551 Table 4

