Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella roberti,Ticinella raynaudi,Ticinella primula,Clavihedbergella subcretacea,Globigerinelloides bentonensis,Clavihedbergella moremani,Ticinella madecassiana,Clavihedbergella simplex,Hedbergella planispira,Biticinella breggiensis,Heterohelix moremani,Costellagerina libyca,Hedbergella delrioensis,Guembelitria cenomana,Whiteinella baltica,Rotalipora brotzeni,Globigerinelloides caseyi,Schackoina cenomana,Rotalipora gandolfii,Whiteinella archaeocretacea,Heterohelix reussi,Heterohelix globulosa,Whiteinella inornata,Whiteinella brittonensis,Marginotruncana pseudolinneiana,Rugoglobigerina rugosa,Globigerinelloides prairiehillensis,Gansserina gansseri,Subbotina velascoensis,Morozovella occlusa,Morozovella aequa,Morozovella acuta,Acarinina soldadoensis,Acarinina nitida,Subbotina triangularis,Morozovella velascoensis,Igorina albeari,Subbotina triloculinoides,Morozovella subbotinae,Acarinina coalingensis,Subbotina patagonica,Morozovella allisonensis,Acarinina esnaensis,Acarinina sibaiyaensis,Acarinina wilcoxensis,Morozovella acutispira,Igorina broedermanni,Pseudohastigerina wilcoxensis,Morozovella marginodentata,Morozovella gracilis,Chiloguembelina wilcoxensis,Turborotalia praecentralis,Pseudohastigerina micra,Morozovella formosa,Globigerina lozanoi,Chiloguembelina midwayensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  5,R,CC,   0.00,    167.0100,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,P                     ,                ,                      ,                        ,               ,                         ,P                     ,P                     ,P                   ,                        ,                   ,                      ,P                    ,                      ,P                   ,                             ,P                         ,                    ,P                          ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  6,R,CC,   8.00,    169.6800,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,P                     ,                ,P                     ,                        ,               ,                         ,P                     ,                      ,P                   ,                        ,                   ,                      ,                     ,                      ,                    ,P                            ,P                         ,P                   ,P                          ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  7,R,CC,   5.00,    186.2000,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,P                     ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  8,R, 5,   0.00,    193.2000,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,P                ,                 ,P                     ,                ,                      ,P                       ,               ,                         ,P                     ,P                     ,P                   ,                        ,                   ,                      ,                     ,P                     ,P                   ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  8,R, 5, 140.00,    194.6000,forams   ,Planktonic Foraminifers                      ,A              ,M                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,P                     ,                ,                      ,P                       ,               ,                         ,                      ,P                     ,                    ,                        ,P                  ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  8,R, 6,   0.00,    194.7000,forams   ,Planktonic Foraminifers                      ,A              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,P                ,                 ,P                     ,                ,P                     ,P                       ,               ,                         ,                      ,                      ,P                   ,                        ,P                  ,P                     ,P                    ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  8,R, 6,  53.00,    195.2300,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,+                ,                 ,P                     ,                ,                      ,+                       ,               ,                         ,                      ,                      ,+                   ,P                       ,P                  ,P                     ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  8,R, 6,  67.00,    195.3700,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,P                ,                 ,P                     ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,P                       ,P                  ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  8,R,CC,  18.00,    197.0200,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,P                ,                 ,                      ,                ,                      ,P                       ,               ,                         ,P                     ,P                     ,P                   ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C,  9,R,CC,   0.00,    203.5700,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,P                  ,                 ,                 ,P                     ,                ,                      ,P                       ,               ,P                        ,P                     ,P                     ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 10,R,CC,   0.00,    245.3000,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,P                     ,P                  ,P                ,                 ,                      ,P               ,P                     ,P                       ,P              ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 12,R, 1,   0.00,    254.9000,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,P                     ,P                  ,P                ,P                ,P                     ,P               ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 12,R,CC,  19.00,    264.8200,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,P                    ,                    ,                        ,                               ,P                     ,P                                  ,P                  ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 15,R,CC,   6.00,    394.3000,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,                 ,                            ,                              ,                         ,                      ,                        ,                      ,                       ,                    ,                     ,                       ,                     ,P                  ,                   ,                         ,                   ,                    ,P                          ,P                 ,                     ,P                   ,                        ,P                              ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 17,R,CC,  18.00,    402.7500,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                 ,                  ,                 ,                            ,P                             ,                         ,                      ,+                       ,                      ,                       ,                    ,                     ,                       ,                     ,P                  ,                   ,                         ,                   ,                    ,P                          ,P                 ,                     ,                    ,P                       ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 18,R, 3, 112.00,    408.0100,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,                  ,                 ,                            ,P                             ,                         ,                      ,P                       ,                      ,                       ,                    ,                     ,                       ,                     ,P                  ,                   ,                         ,                   ,                    ,+                          ,P                 ,                     ,P                   ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 19,R,CC,   4.00,    410.9600,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,                 ,                            ,P                             ,                         ,                      ,P                       ,                      ,                       ,+                   ,                     ,+                      ,                     ,P                  ,                   ,                         ,                   ,                    ,P                          ,P                 ,P                    ,+                   ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 20,R,CC,   0.00,    414.5000,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,                  ,                 ,                            ,P                             ,                         ,                      ,+                       ,                      ,                       ,P                   ,                     ,P                      ,                     ,+                  ,                   ,                         ,                   ,                    ,+                          ,+                 ,+                    ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 21,R,CC,   0.00,    420.3700,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                 ,                  ,                 ,                            ,+                             ,                         ,                      ,P                       ,                      ,                       ,P                   ,                     ,P                      ,                     ,P                  ,P                  ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 22,R,CC,  14.00,    428.2600,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,                 ,                            ,P                             ,                         ,                      ,P                       ,P                     ,                       ,P                   ,                     ,P                      ,                     ,P                  ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 23,R,CC,  16.00,    432.6600,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,                 ,                            ,P                             ,                         ,                      ,+                       ,+                     ,                       ,P                   ,                     ,P                      ,                     ,+                  ,P                  ,                         ,P                  ,P                   ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 24,R,CC,  16.00,    436.2600,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,                 ,                            ,+                             ,                         ,                      ,                        ,                      ,                       ,+                   ,                     ,P                      ,P                    ,P                  ,+                  ,P                        ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 25,R,CC,   8.00,    442.1700,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                 ,                  ,                 ,                            ,P                             ,                         ,                      ,                        ,P                     ,                       ,                    ,                     ,P                      ,P                    ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 26,R,CC,   0.00,    445.7700,forams   ,Planktonic Foraminifers                      ,               ,                  ,                 ,                  ,                 ,                            ,+                             ,                         ,                      ,+                       ,+                     ,                       ,                    ,                     ,+                      ,+                    ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 26,R,CC,  10.00,    445.8700,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                  ,                 ,                            ,P                             ,                         ,                      ,P                       ,P                     ,                       ,                    ,                     ,P                      ,P                    ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 27,R, 1,   8.00,    447.5800,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,P                ,                  ,P                ,                            ,P                             ,                         ,                      ,P                       ,                      ,                       ,P                   ,P                    ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 27,R, 1,  85.00,    448.3500,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,P                ,                  ,P                ,                            ,P                             ,                         ,                      ,P                       ,                      ,P                      ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1258,C, 27,R, 2,  87.00,    449.7800,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,+                ,                  ,P                ,                            ,P                             ,                         ,+                     ,P                       ,                      ,                       ,                    ,                     ,                       ,                     ,                   ,                   ,                         ,                   ,                    ,                           ,                  ,                     ,                    ,                        ,                               ,                      ,                                   ,                   ,                      ,                   ,                 ,                 ,                      ,                ,                      ,                        ,               ,                         ,                      ,                      ,                    ,                        ,                   ,                      ,                     ,                      ,                    ,                             ,                          ,                    ,                           ,                          ,                       ,                   ,                   ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
