Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia crassaformis	Sphaeroidinellopsis seminulina	Menardella limbata	Globoturborotalita woodi	Globoturborotalita nepenthes	Globigerinoides obliquus	Globigerinoides extremus	Jenkinsella mayeri	Globoconella puncticulata	Globoturborotalita rubescens	Dentoglobigerina altispira	Sphaeroidinellopsis paenedehiscens	Globigerina falconensis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Hirsutella margaritae	Globoquadrina venezuelana	Neogloboquadrina pachyderma	Menardella multicamerata	Hirsutella hirsuta	Globoturborotalita decoraperta	Globorotalia plesiotumida	Globigerina bulloides	Menardella miocenica	Menardella exilis	Globoconella inflata	Globoturborotalita apertura	Globoquadrina baroemoenensis	Truncorotalia tosaensis	Truncorotalia crassaformis hessi	Comment
  IR	                 	Middle Pliocene  	N20               	N21           	172	1062	B	 19	X	 3	  70.00	    165.8000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	F                         	                              	R                 	R                       	                            	                        	R                       	                  	                         	R                           	                          	                                  	R                      	R                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	R                   	R                	                    	                           	                            	                       	                                	       

  IR	                 	Middle Pliocene  	N20               	N21           	172	1062	B	 19	X	 4	  70.00	    167.3000	Chaisson 	Planktonic Foraminifers                      	F              	M                 	+                         	                              	                  	+                       	                            	                        	                        	                  	                         	                            	                          	                                  	                       	+                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	+                   	                 	                    	+                          	                            	                       	                                	glauconite Cib city

  IR	                 	Middle Pliocene  	                  	N21           	172	1062	B	 19	X	 5	  70.00	    168.8000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                              	                  	                        	                            	                        	                        	                  	                         	                            	                          	                                  	                       	+                        	                            	                     	                         	                           	                        	                  	+                             	                         	                     	                    	                 	                    	                           	                            	+                      	                                	< 3.2 Ma

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	B	 19	X	 6	  70.00	    170.3000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	                  	+                       	                            	                        	                        	                  	                         	                            	                          	                                  	+                      	                         	                            	                     	                         	+                          	                        	                  	                              	                         	                     	                    	+                	                    	                           	                            	                       	                                	       

  IR	                 	Middle Pliocene  	N19               	N20           	172	1062	B	 19	X	CC	  25.00	    171.9100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	R                         	                              	                  	                        	                            	                        	                        	                  	                         	                            	                          	                                  	                       	R                        	R                           	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	pyrite

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	B	 20	X	 1	  70.00	    172.4000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	                  	+                       	                            	+                       	                        	                  	                         	+                           	                          	                                  	                       	                         	                            	                     	                         	+                          	                        	                  	                              	                         	                     	+                   	                 	                    	                           	                            	                       	                                	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	B	 20	X	 2	  70.00	    173.9000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                              	                  	+                       	                            	+                       	+                       	                  	                         	+                           	                          	                                  	                       	+                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	+                   	                 	                    	                           	                            	                       	                                	       

  IR	Middle Pliocene  	Late Pliocene    	                  	N20           	172	1062	B	 20	X	 3	  71.00	    175.4100	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                              	                  	+                       	                            	                        	+                       	                  	                         	+                           	r                         	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	+                           	                       	                                	       

  IR	                 	Middle Pliocene  	                  	N20           	172	1062	B	 20	X	 4	  70.00	    176.9000	Chaisson 	Planktonic Foraminifers                      	C              	G                 	F                         	                              	                  	+                       	                            	F                       	R                       	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	+                 	                              	                         	R                    	F                   	                 	                    	R                          	                            	                       	                                	no altispira found no margaritae <3.6 Ma

  IR	                 	                 	                  	              	172	1062	B	 20	X	 5	  70.00	    178.4000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	S                         	                              	                  	S                       	                            	                        	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	glauconite

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	B	 20	X	 6	  70.00	    179.9000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                              	                  	+                       	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	+                          	                        	                  	                              	                         	                     	+                   	                 	+                   	                           	                            	                       	                                	glauconite

  IR	                 	Late Pliocene    	                  	N21           	172	1062	B	 20	X	CC	  25.00	    181.2400	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                              	                  	                        	                            	                        	                        	                  	                         	                            	                          	                                  	                       	+                        	+                           	                     	                         	                           	                        	R                 	                              	                         	                     	1                   	                 	                    	                           	                            	                       	                                	pyrite 1 ostracode

  IR	                 	Middle Pliocene  	N20               	N21           	172	1062	B	 21	X	 1	  70.00	    182.0000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	                  	+                       	                            	+                       	+                       	                  	+                        	                            	                          	                                  	+                      	+                        	                            	                     	                         	+                          	                        	                  	                              	                         	                     	+                   	                 	                    	                           	                            	                       	                                	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	B	 21	X	 2	  70.00	    183.3800	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                              	                  	                        	                            	+                       	+                       	                  	                         	                            	                          	                                  	                       	+                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	+                   	+                	                    	                           	                            	                       	                                	pyrite

  IR	                 	                 	                  	              	172	1062	B	 21	X	 3	  70.00	    184.8800	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                              	                  	                        	                            	+                       	+                       	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	                 	                 	                  	              	172	1062	B	 21	X	 4	  70.00	    186.3800	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                              	                  	                        	                            	+                       	+                       	                  	                         	                            	                          	                                  	                       	+                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	                 	                 	                  	              	172	1062	B	 21	X	 6	  70.00	    189.3800	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                              	                  	                        	                            	                        	+                       	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	Middle Pliocene  	Late Pliocene    	N20               	N21           	172	1062	B	 21	X	CC	  24.00	    191.0500	Chaisson 	Planktonic Foraminifers                      	F              	P                 	                          	                              	                  	                        	                            	                        	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	+                   	                 	                    	                           	                            	                       	                                	pyrite

  IR	Early Pliocene   	Middle Pliocene  	N19               	N20           	172	1062	B	 22	X	 1	  70.00	    191.6000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	+                 	+                       	                            	+                       	+                       	                  	                         	                            	+                         	                                  	                       	+                        	                            	                     	+                        	+                          	+                       	+                 	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	altispira LO 3.12 Ma multicamerata LO 3.11 Ma no miocenica no margaritae

  IR	                 	                 	                  	              	172	1062	B	 22	X	 2	  70.00	    193.1000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                              	                  	                        	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	+                        	                            	                     	                         	+                          	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	Early Pliocene   	Middle Pliocene  	N19               	N20           	172	1062	B	 22	X	 3	  70.00	    194.6000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	                  	+                       	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	+                        	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	glauconite no marker species

  IR	                 	                 	                  	              	172	1062	B	 22	X	 5	  70.00	    197.6000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	                  	                        	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	mostly pyrite no marker species

  IR	Early Pliocene   	Middle Pliocene  	N19               	N20           	172	1062	B	 22	X	 6	  70.00	    199.1000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                              	                  	+                       	                            	+                       	+                       	r                 	+                        	                            	+                         	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	no margaritae no miocenica

  IR	                 	                 	                  	              	172	1062	B	 22	X	CC	  33.00	    200.4300	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                              	+                 	                        	                            	                        	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	+                       	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	pyrite

  IR	Early Pliocene   	Middle Pliocene  	N19               	N20           	172	1062	B	 23	X	 1	  67.00	    201.1700	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	                  	+                       	                            	+                       	                        	                  	+                        	                            	+                         	                                  	+                      	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	mica no margaritae

  IR	                 	Early Pliocene   	                  	N19           	172	1062	B	 23	X	 2	  67.00	    202.6700	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	                              	+                 	                        	                            	+                       	+                       	                  	                         	                            	+                         	                                  	                       	                         	                            	+                    	                         	                           	                        	+                 	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	                 	                 	                  	              	172	1062	B	 23	X	 3	  67.00	    204.1700	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                              	                  	                        	                            	+                       	+                       	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	Early Pliocene   	Middle Pliocene  	N19               	N20           	172	1062	B	 23	X	 4	  67.00	    205.6700	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                              	                  	+                       	                            	+                       	                        	                  	                         	                            	+                         	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	                 	Early Pliocene   	                  	N19           	172	1062	B	 23	X	CC	  29.00	    210.3700	Chaisson 	Planktonic Foraminifers                      	F              	M                 	                          	F                             	R                 	F                       	                            	F                       	                        	                  	                         	R                           	                          	F                                 	R                      	R                        	                            	R                    	                         	R                          	+                       	F                 	+                             	r                        	R                    	                    	                 	                    	                           	                            	                       	                                	glauconite

  IR	Early Pliocene   	Middle Pliocene  	N19               	N20           	172	1062	B	 24	X	 1	  70.00	    210.9000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                             	                  	                        	                            	+                       	                        	                  	                         	                            	+                         	+                                 	                       	+                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	Early Pliocene   	Middle Pliocene  	N19               	N20           	172	1062	B	 24	X	 2	  70.00	    212.4000	Chaisson 	Planktonic Foraminifers                      	R              	P                 	                          	                              	                  	+                       	                            	+                       	                        	                  	                         	                            	+                         	+                                 	+                      	+                        	                            	                     	+                        	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	                 	                 	                  	              	172	1062	B	 24	X	 6	  69.00	    218.3900	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                              	                  	+                       	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	Early Pliocene   	Middle Pliocene  	N19               	N20           	172	1062	B	 24	X	CC	  36.00	    219.4400	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	+                             	                  	                        	                            	                        	                        	                  	                         	                            	                          	                                  	                       	+                        	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	glauconite

  IR	                 	                 	                  	              	172	1062	B	 25	X	 2	  70.00	    222.0000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                              	                  	                        	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	                 	                 	                  	              	172	1062	B	 25	X	 3	  70.00	    223.5000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                              	                  	                        	                            	                        	                        	                  	                         	                            	+                         	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	pyrite single planktic foram

  IR	                 	                 	                  	              	172	1062	B	 25	X	 5	  70.00	    226.5000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                              	                  	+                       	                            	+                       	+                       	                  	                         	                            	                          	+                                 	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	pyrite

  IR	                 	Early Pliocene   	                  	N19           	172	1062	B	 25	X	 6	  72.00	    228.0200	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                              	                  	                        	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	                         	                            	+                    	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	                 	Early Pliocene   	                  	N19           	172	1062	B	 25	X	CC	  17.00	    228.9700	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	                              	                  	                        	                            	+                       	                        	                  	                         	                            	                          	                                  	                       	+                        	+                           	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	> 4.1 Ma < 4.7 Ma many pyrite burrows

  IR	                 	                 	                  	              	172	1062	B	 26	X	 2	  70.00	    231.6000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                              	                  	+                       	                            	                        	+                       	                  	                         	                            	                          	+                                 	+                      	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	Early Pliocene   	Middle Pliocene  	N19               	N20           	172	1062	B	 26	X	 3	  70.00	    233.1000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	+                             	                  	+                       	                            	+                       	                        	                  	                         	+                           	+                         	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	pyrite

  IR	                 	                 	                  	              	172	1062	B	 26	X	 4	  69.00	    234.5900	Chaisson 	Planktonic Foraminifers                      	T              	P                 	+                         	                              	                  	                        	                            	                        	                        	r                 	+                        	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	                 	                 	                  	              	172	1062	B	 26	X	 5	  70.00	    236.1000	Chaisson 	Planktonic Foraminifers                      	T              	P                 	                          	                              	                  	+                       	                            	                        	                        	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	       

  IR	                 	Early Pliocene   	                  	N19           	172	1062	B	 26	X	CC	  24.00	    238.9800	Chaisson 	Planktonic Foraminifers                      	R              	P                 	+                         	+                             	+                 	+                       	+                           	+                       	+                       	                  	                         	                            	                          	                                  	                       	                         	                            	                     	                         	                           	                        	                  	                              	                         	                     	                    	                 	                    	                           	                            	                       	                                	much pyrite >4.27 Ma < 4.7 Ma

