Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum speculum,Distephanus boliviensis,Dictyocha spp. (tilt; etc.),Dictyocha pulchella,Dictyocha perlaevis,Dictyocha perfecta,Dictyocha longa var. paxilla,Dictyocha longa,Dictyocha fibula s. ampl.,Dictyocha brevispina,Dictyocha angulata,Distephanus crux s. ampl.,Dictyocha sp. A,Distephanus quinquangellus,Dictyocha sp. cf. D. concavata,Dictyocha vexativa,Dictyocha stapedia stapedia,Dictyocha stapedia aspinosa,Dictyocha sp.cf. D. concinna,Dictyocha calida calida,Dictyocha aegea,Dictyocha delicata var. bisecta,Dictyocha arbutusensis,Dictyocha ornata africana,Dictyocha flexatella,Dictyocha sp. aff. D. longa,Dictyocha sp. cf. D. calida calida,Distephanus sp. A,Dictyocha calida ampliata,Octactis pulchra,Distephanus boliviensis s. ampl.,Dictyocha longispina,Dictyocha subaculeata,Dictyocha species diversae (asperoid),Dictyocha aculeata aculeata s. ampl.,Bachmannocena quadrangula,Dictyocha lingii,Dictyocha aculeata aculeata,Bachmannocena sp. aff. B. circulus (polar),Dictyocha sp cf. D. hessii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,B. quadrangula    ,              ,108, 662,A,  5,H, 5,  69.00,     38.3900,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,P                          ,                   ,P                  ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,P                          ,                           ,                            ,P                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,P                        ,                ,P                          ,                                          ,P                         ,data shown as % Total specimens= 20 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,B. quadrangula    ,              ,108, 662,A,  6,H, 2,  69.00,     43.3900,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,T                            ,                       ,2                          ,                   ,2                  ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,22                         ,6                          ,                            ,17                     ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,1                ,1                        ,                ,                                ,                    ,                     ,                                     ,2                                   ,40                       ,4               ,2                          ,                                          ,1                         ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,B. quadrangula    ,              ,108, 662,A,  6,H, 5,  69.00,     47.8900,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,8                          ,                   ,1                  ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,33                         ,14                         ,                            ,13                     ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,1                        ,                ,                                ,                    ,                     ,                                     ,6                                   ,1                        ,                ,16                         ,7                                         ,                          ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,B. quadrangula    ,              ,108, 662,A,  7,H, 2,  69.00,     52.8900,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,15                         ,                   ,9                  ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,33                         ,2                          ,                            ,7                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,2                        ,1               ,                                ,                    ,8                    ,                                     ,                                    ,24                       ,                ,                           ,                                          ,                          ,data shown as % Total specimens= 105 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,B. quadrangula    ,              ,108, 662,A,  7,H, 4, 120.00,     56.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                            ,                       ,T                          ,                   ,47                 ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,23                         ,                           ,                            ,1                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,                ,T                               ,                    ,                     ,                                     ,8                                   ,18                       ,T               ,                           ,                                          ,                          ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,B. quadrangula    ,              ,108, 662,A,  9,H, 2,  68.00,     71.8800,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                            ,                       ,T                          ,                   ,T                  ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,21                         ,2                          ,                            ,1                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,1               ,                                ,                    ,                     ,                                     ,                                    ,73                       ,                ,                           ,                                          ,                          ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,B. quadrangula    ,              ,108, 662,A, 10,H, 2,  70.00,     81.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,3                          ,                   ,1                  ,                  ,                            ,               ,                         ,                    ,                  ,                         ,               ,                          ,                              ,                  ,47                         ,3                          ,                            ,2                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,T                ,T                        ,T               ,1                               ,                    ,                     ,                                     ,3                                   ,39                       ,                ,                           ,                                          ,                          ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,D. m. stapedia    ,              ,108, 662,A, 11,H, 2,  70.00,     90.9000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,2                          ,                   ,36                 ,                  ,                            ,               ,                         ,                    ,                  ,3                        ,               ,                          ,                              ,                  ,45                         ,6                          ,                            ,2                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,1               ,                                ,                    ,5                    ,2                                    ,1                                   ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,D. m. stapedia    ,              ,108, 662,A, 12,H, 2,  70.00,    100.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,8                          ,                   ,3                  ,1                 ,                            ,               ,                         ,                    ,                  ,                         ,               ,1                         ,                              ,1                 ,71                         ,13                         ,                            ,3                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,1                ,                         ,                ,                                ,                    ,1                    ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens= 200 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,D. m. stapedia    ,              ,108, 662,A, 13,H, 2,  68.00,    109.8800,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                            ,                       ,1                          ,                   ,38                 ,                  ,                            ,               ,                         ,                    ,                  ,5                        ,               ,                          ,                              ,                  ,48                         ,                           ,                            ,2                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,1               ,                                ,                    ,3                    ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,D. m. stapedia    ,              ,108, 662,A, 14,H, 2,  69.00,    119.3900,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,4                            ,                       ,11                         ,                   ,19                 ,                  ,                            ,               ,                         ,                    ,                  ,11                       ,               ,                          ,                              ,                  ,44                         ,                           ,                            ,1                      ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,3               ,1                               ,5                   ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens= 300 from ODP Leg 108 SR Chapter 30 Table 2 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. m. stapedia    ,              ,108, 662,A, 15,H, 2,  68.00,    128.8800,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,3                            ,                       ,2                          ,                   ,5                  ,                  ,                            ,               ,                         ,                    ,                  ,3                        ,               ,                          ,                              ,                  ,67                         ,                           ,                            ,1                      ,               ,                               ,                      ,10                       ,1                   ,                           ,                                  ,6                ,2                        ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 100 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. m. stapedia    ,              ,108, 662,A, 15,H, 5,  68.00,    133.3800,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,4                            ,                       ,6                          ,                   ,11                 ,                  ,                            ,               ,                         ,                    ,                  ,3                        ,               ,1                         ,                              ,                  ,55                         ,3                          ,                            ,                       ,               ,                               ,                      ,                         ,                    ,                           ,17                                ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 100 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. m. stapedia    ,              ,108, 662,A, 16,H, 2,  67.00,    138.3700,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                            ,                       ,17                         ,2                  ,4                  ,                  ,                            ,               ,24                       ,                    ,                  ,                         ,               ,2                         ,                              ,                  ,28                         ,1                          ,1                           ,                       ,               ,                               ,                      ,1                        ,1                   ,                           ,21                                ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 200 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. m. stapedia    ,              ,108, 662,A, 17,H, 2,  70.00,    147.9000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                            ,                       ,6                          ,                   ,                   ,                  ,                            ,               ,1                        ,                    ,                  ,                         ,               ,1                         ,                              ,                  ,51                         ,29                         ,                            ,                       ,               ,                               ,                      ,                         ,4                   ,8                          ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 200 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. m. stapedia    ,              ,108, 662,A, 17,H, 5,  70.00,    152.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,4                            ,5                      ,11                         ,                   ,                   ,1                 ,                            ,               ,4                        ,                    ,                  ,1                        ,3              ,6                         ,                              ,                  ,58                         ,5                          ,                            ,                       ,               ,                               ,                      ,                         ,2                   ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 100 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. m. stapedia    ,              ,108, 662,A, 18,H, 2,  70.00,    157.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,2                            ,                       ,7                          ,                   ,3                  ,                  ,                            ,               ,1                        ,                    ,                  ,                         ,81             ,                          ,                              ,                  ,2                          ,1                          ,                            ,                       ,               ,                               ,                      ,                         ,3                   ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 100 D.s.stapedia count =2? from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. fibula         ,              ,108, 662,A, 18,H, 5,  70.00,    161.9000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,30                           ,3                      ,11                         ,                   ,1                  ,                  ,                            ,               ,                         ,                    ,                  ,                         ,54             ,                          ,                              ,                  ,                           ,1                          ,                            ,                       ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 100 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. fibula         ,              ,108, 662,A, 19,H, 2,  70.00,    166.9000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,23                           ,1                      ,                           ,                   ,1                  ,                  ,                            ,14             ,34                       ,                    ,1                 ,                         ,               ,1                         ,                              ,                  ,                           ,                           ,                            ,1                      ,1              ,                               ,                      ,25                       ,1                   ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 200 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. fibula         ,              ,108, 662,A, 20,H, 2,  70.00,    176.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,24                           ,                       ,10                         ,                   ,6                  ,2                 ,                            ,8              ,39                       ,1                   ,                  ,                         ,4              ,                          ,                              ,                  ,                           ,                           ,                            ,2                      ,               ,4                              ,1                     ,                         ,                    ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 100 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. fibula         ,              ,108, 662,A, 21,H, 2,  70.00,    185.9000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,20                           ,                       ,3                          ,T                  ,10                 ,2                 ,6                           ,16             ,37                       ,                    ,                  ,                         ,               ,1                         ,                              ,1                 ,1                          ,1                          ,T                           ,2                      ,T              ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 300 D.s.stapedia count =1? from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. fibula         ,              ,108, 662,A, 21,H, 5,  70.00,    190.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,21                           ,                       ,7                          ,                   ,1                  ,5                 ,18                          ,2              ,34                       ,                    ,                  ,                         ,9              ,3                         ,3                             ,                  ,                           ,                           ,                            ,                       ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 200 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. fibula         ,              ,108, 662,A, 22,H, 2,  70.00,    195.4000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                             ,                       ,                           ,2                  ,2                  ,                  ,                            ,6              ,46                       ,10                  ,                  ,2                        ,32             ,                          ,                              ,                  ,                           ,                           ,                            ,                       ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 50 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,D. fibula         ,              ,108, 662,A, 22,H, 5,  70.00,    199.9000,Bukry    ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,10                           ,1                      ,8                          ,1                  ,4                  ,17                ,3                           ,15             ,38                       ,1                   ,2                 ,                         ,               ,                          ,                              ,                  ,                           ,                           ,                            ,                       ,               ,                               ,                      ,                         ,                    ,                           ,                                  ,                 ,                         ,                ,                                ,                    ,                     ,                                     ,                                    ,                         ,                ,                           ,                                          ,                          ,data shown as % Total specimens = 100 from ODP Leg 108 SR Chapter 30 Table 3 p 488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
