Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Zeaglobigerina nepenthes group,Zeaglobigerina decoraperta,Sphaeroidinellopsis spp.,Neogloboquadrina acostaensis (dextral),Globorotalia scitula,Globigerinoides trilobus,Globigerinoides obliquus,Globigerinita juvenilis,Globigerinita glutinata,Globigerina falconensis,Globigerina bulloides,Turborotalita quinqueloba,Orbulina universa,Neogloboquadrina acostaensis (sinistral),Globigerinoides sacculifer,Globigerinoides quadrilobatus,Globigerinella obesa,Zeaglobigerina nepenthes,Globigerinita uvula,Globigerinella siphonifera,Globigerina bulbosa,Globigerinoides ruber,Globigerinoides gomitulus,Neogloboquadrina pachyderma (sinistral),Globigerinoides elongatus,Neogloboquadrina pachyderma (dextral),Tenuitella anfracta,Beella digitata,Zeaglobigerina rubescens,Hastigerina pelagica,Globorotalia margaritae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 3,  40.00,     91.8000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,7                   ,9                             ,1                         ,2                       ,16                                    ,                    ,34                      ,7                       ,24                     ,9                      ,15                     ,1                    ,+                        ,9                ,1                                       ,3                         ,3                            ,                    ,                        ,                   ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance =16 . Total specimens=141 . from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 3, 130.00,     92.7000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,17                  ,13                            ,4                         ,3                       ,16                                    ,+                   ,2                       ,66                      ,18                     ,23                     ,111                    ,2                    ,+                        ,18               ,1                                       ,                          ,3                            ,                    ,3                       ,+                  ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance =19 . Total specimens= 300. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 4,  40.00,     93.3000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,10                  ,6                             ,15                        ,19                      ,32                                    ,+                   ,8                       ,66                      ,10                     ,17                     ,52                     ,5                    ,6                        ,36               ,2                                       ,4                         ,16                           ,                    ,1                       ,                   ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 20. Total specimens=305 . from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 4, 120.00,     94.1000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,14                  ,12                            ,3                         ,35                      ,18                                    ,3                   ,5                       ,48                      ,17                     ,10                     ,109                    ,4                    ,1                        ,42               ,1                                       ,1                         ,+                            ,+                   ,                        ,                   ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,1                      ,Species abundance = 20. Total specimens= 324. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5,   3.00,     94.4300,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,3                   ,5                             ,4                         ,23                      ,66                                    ,9                   ,41                      ,17                      ,25                     ,24                     ,14                     ,2                    ,1                        ,36               ,                                        ,12                        ,19                           ,2                   ,                        ,                   ,2                         ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,1                       ,1                   ,                       ,Species abundance = 22. Total specimens= 307. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5,   7.00,     94.4700,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,13                  ,4                             ,3                         ,57                      ,6                                     ,+                   ,23                      ,54                      ,16                     ,6                      ,15                     ,                     ,+                        ,67               ,1                                       ,2                         ,34                           ,                    ,                        ,                   ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 18. Total specimens= 301. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5,  30.00,     94.7000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,16                  ,2                             ,12                        ,28                      ,20                                    ,1                   ,3                       ,65                      ,14                     ,8                      ,74                     ,                     ,2                        ,47               ,1                                       ,3                         ,4                            ,                    ,1                       ,                   ,1                         ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,+              ,                        ,                    ,                       ,Species abundance = 21. Total specimens= 302. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5,  50.00,     94.9000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,7                   ,9                             ,3                         ,33                      ,43                                    ,2                   ,9                       ,35                      ,13                     ,26                     ,45                     ,6                    ,1                        ,47               ,3                                       ,6                         ,12                           ,3                   ,                        ,3                  ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 21. Total specimens= 306. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5,  70.00,     95.1000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,5                   ,5                             ,11                        ,82                      ,15                                    ,                    ,1                       ,44                      ,17                     ,17                     ,48                     ,13                   ,1                        ,45               ,                                        ,                          ,+                            ,1                   ,+                       ,+                  ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 19. Total specimens= 305. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5,  80.00,     95.2000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,2                   ,+                             ,4                         ,36                      ,40                                    ,+                   ,                        ,55                      ,12                     ,30                     ,34                     ,12                   ,+                        ,51               ,5                                       ,                          ,                             ,20                  ,                        ,+                  ,4                         ,+                  ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 20. Total specimens=305 . from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5,  91.00,     95.3100,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,8                   ,+                             ,10                        ,79                      ,19                                    ,+                   ,7                       ,79                      ,15                     ,4                      ,17                     ,7                    ,+                        ,49               ,                                        ,4                         ,12                           ,2                   ,                        ,                   ,3                         ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 19. Total specimens= 315. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5, 117.00,     95.5700,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,15                  ,4                             ,12                        ,50                      ,11                                    ,                    ,2                       ,84                      ,7                      ,7                      ,40                     ,4                    ,+                        ,62               ,                                        ,                          ,5                            ,                    ,1                       ,                   ,1                         ,1                  ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance =19 . Total specimens= 306. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5, 120.00,     95.6000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,3                   ,21                            ,3                         ,58                      ,17                                    ,                    ,2                       ,77                      ,9                      ,19                     ,33                     ,4                    ,1                        ,47               ,2                                       ,+                         ,                             ,2                   ,3                       ,1                  ,1                         ,1                  ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 22. Total specimens= 304. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 5, 145.00,     95.8500,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,14                  ,9                             ,14                        ,24                      ,29                                    ,+                   ,36                      ,16                      ,15                     ,10                     ,25                     ,                     ,+                        ,59               ,4                                       ,14                        ,27                           ,+                   ,11                      ,                   ,3                         ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 22. Total specimens= 310. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 6,   9.00,     95.9900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,3                   ,11                            ,11                        ,56                      ,3                                     ,                    ,3                       ,71                      ,13                     ,27                     ,60                     ,7                    ,1                        ,31               ,8                                       ,                          ,                             ,2                   ,4                       ,4                  ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 19. Total specimens= 315. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 6,  19.00,     96.0900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,5                   ,26                            ,5                         ,32                      ,10                                    ,                    ,2                       ,59                      ,20                     ,20                     ,49                     ,9                    ,1                        ,28               ,20                                      ,1                         ,2                            ,2                   ,6                       ,8                  ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,+                  ,+              ,                        ,                    ,                       ,Species abundance = 23. Total specimens= 305. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 6,  29.00,     96.1900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,9                   ,14                            ,8                         ,44                      ,29                                    ,                    ,                        ,25                      ,13                     ,29                     ,52                     ,9                    ,1                        ,56               ,                                        ,                          ,                             ,5                   ,4                       ,1                  ,                          ,                   ,                     ,                         ,+                                      ,                         ,+                                    ,                   ,               ,                        ,                    ,                       ,Species abundance =19 . Total specimens=299 . from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 6,  39.00,     96.2900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,9                   ,20                            ,6                         ,                        ,52                                    ,1                   ,                        ,53                      ,15                     ,37                     ,45                     ,3                    ,                         ,76               ,2                                       ,                          ,                             ,2                   ,3                       ,1                  ,2                         ,                   ,2                    ,                         ,                                       ,                         ,+                                    ,                   ,               ,                        ,                    ,                       ,Species abundance =18 . Total specimens= 329. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,Sphaer. acme subzone,              ,160, 969,B, 11,H, 6,  49.00,     96.3900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,9                   ,12                            ,12                        ,45                      ,42                                    ,+                   ,+                       ,67                      ,29                     ,42                     ,4                      ,2                    ,1                        ,26               ,1                                       ,                          ,                             ,3                   ,2                       ,1                  ,2                         ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 21. Total specimens= 300. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 6,  59.00,     96.4900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,4                   ,4                             ,6                         ,                        ,63                                    ,+                   ,1                       ,62                      ,9                      ,3                      ,2                      ,52                   ,5                        ,96               ,3                                       ,                          ,1                            ,6                   ,                        ,                   ,1                         ,2                  ,                     ,                         ,+                                      ,                         ,+                                    ,                   ,               ,                        ,                    ,                       ,Species abundance = 22. Total specimens= 320. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 6,  69.00,     96.5900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,18                  ,6                             ,16                        ,                        ,9                                     ,                    ,9                       ,87                      ,11                     ,13                     ,9                      ,25                   ,5                        ,61               ,3                                       ,8                         ,10                           ,2                   ,14                      ,2                  ,                          ,+                  ,                     ,                         ,                                       ,+                        ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 21. Total specimens= 308. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 6,  79.00,     96.6900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,9                   ,21                            ,35                        ,3                       ,4                                     ,+                   ,                        ,63                      ,26                     ,52                     ,3                      ,26                   ,5                        ,35               ,26                                      ,                          ,                             ,+                   ,7                       ,+                  ,                          ,                   ,+                    ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 17. Total specimens= 315. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 6,  90.00,     96.8000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,8                   ,22                            ,24                        ,                        ,1                                     ,                    ,                        ,93                      ,30                     ,43                     ,+                      ,31                   ,1                        ,33               ,17                                      ,                          ,                             ,1                   ,3                       ,+                  ,1                         ,+                  ,2                    ,+                        ,+                                      ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 21. Total specimens= 310. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 6,  98.00,     96.8800,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,+                   ,6                             ,18                        ,                        ,3                                     ,                    ,1                       ,87                      ,16                     ,47                     ,4                      ,5                    ,5                        ,65               ,7                                       ,                          ,                             ,6                   ,10                      ,2                  ,+                         ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 19. Total specimens= 282. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 6, 108.00,     96.9800,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,8                   ,13                            ,9                         ,                        ,58                                    ,+                   ,                        ,97                      ,18                     ,35                     ,                       ,28                   ,+                        ,25               ,3                                       ,                          ,                             ,1                   ,3                       ,+                  ,+                         ,1                  ,                     ,1                        ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance =19 . Total specimens= 300. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 6, 117.00,     97.0700,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,10                  ,4                             ,3                         ,                        ,54                                    ,3                   ,1                       ,87                      ,17                     ,4                      ,2                      ,12                   ,2                        ,100              ,+                                       ,                          ,                             ,4                   ,                        ,1                  ,+                         ,                   ,+                    ,2                        ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 20. Total specimens=306 . from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,MPL1              ,              ,160, 969,B, 11,H, 6, 124.00,     97.1400,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,3                   ,14                            ,4                         ,                        ,29                                    ,                    ,29                      ,56                      ,19                     ,9                      ,+                      ,11                   ,1                        ,84               ,                                        ,15                        ,34                           ,+                   ,+                       ,                   ,1                         ,+                  ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 18. Total specimens=309 . from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 969,B, 11,H, 6, 128.00,     97.1800,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,10                  ,21                            ,20                        ,1                       ,34                                    ,1                   ,                        ,7                       ,27                     ,28                     ,1                      ,3                    ,2                        ,14               ,1                                       ,1                         ,3                            ,                    ,3                       ,                   ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 17. Total specimens= 177. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 969,B, 11,H, 6, 139.00,     97.2900,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,15                  ,27                            ,13                        ,1                       ,35                                    ,                    ,35                      ,32                      ,29                     ,17                     ,1                      ,3                    ,15                       ,46               ,1                                       ,4                         ,26                           ,1                   ,4                       ,1                  ,2                         ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance = 20. Total specimens= 308. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 969,B, 11,H, 7,   8.00,     97.4800,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,5                   ,6                             ,1                         ,7                       ,48                                    ,6                   ,30                      ,35                      ,21                     ,13                     ,36                     ,5                    ,D                        ,21               ,1                                       ,2                         ,4                            ,2                   ,                        ,                   ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance =20. Total specimens= 243. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,160, 969,B, 11,H, 7,  40.00,     97.8000,Spezzaferri,Planktonic Foraminifers                      ,               ,                  ,2                   ,11                            ,2                         ,1                       ,3                                     ,1                   ,3                       ,4                       ,4                      ,8                      ,4                      ,1                    ,                         ,                 ,                                        ,                          ,                             ,                    ,                        ,                   ,                          ,                   ,                     ,                         ,                                       ,                         ,                                     ,                   ,               ,                        ,                    ,                       ,Species abundance =12 . Total specimens=44. from Leg 160SR Ch 2 Table 7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
