Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies/neoabies,Reticulofenestra umbilica,Reticulofenestra spp. (small - medium),Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Florisphaera profunda,Discoaster variabilis,Discoaster loeblichii,Coccolithus pelagicus,Calcidiscus macintyrei,Discoaster brouweri,Discoaster neohamatus,Calcidiscus leptoporus,Catinaster coalitus,Discoaster pentaradiatus,Coronocyclus nitescens,Pontosphaera spp.,Discoaster hamatus,Sphenolithus spp.,Discoaster quinqueramus,Discoaster berggrenii,Umbilicosphaera sibogae,Reticulofenestra minutula,Reticulofenestra minuta,Discoaster surculus,Discoaster intercalaris,Dictyococcites productus,Discoaster pansus,Discoaster blackstockae,Triquetrorhabdulus rugosus,Discoaster sanmiguelensis,Amaurolithus primus,Triquetrorhabdulus striatus,Amaurolithus delicatus,Discoaster challengeri,Discoaster neorectus,Rhabdosphaera clavigera,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9b              ,CN9b          ,184,1143,C, 35,X,CC,  60.00,    322.3500,nannos   ,Nannofossils                                 ,A              ,M                 ,A                          ,                         ,                                      ,C                               ,C                    ,A                    ,R                    ,                     ,C                    ,                      ,F                  ,                     ,C                     ,                   ,                        ,                      ,                 ,                  ,                 ,C                      ,C                    ,F                      ,A                        ,A                      ,F                  ,R                      ,A                       ,                 ,                       ,F                         ,R                        ,R                  ,R                          ,R                     ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9b              ,CN9b          ,184,1143,C, 36,X,CC,  13.00,    333.6000,nannos   ,Nannofossils                                 ,A              ,P                 ,A                          ,                         ,                                      ,F                               ,C                    ,A                    ,                     ,                     ,F                    ,                      ,F                  ,F                    ,F                     ,                   ,R                       ,                      ,                 ,                  ,                 ,C                      ,C                    ,F                      ,A                        ,C                      ,F                  ,                       ,C                       ,                 ,                       ,R                         ,R                        ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9b              ,CN9b          ,184,1143,C, 37,X,CC,  39.00,    338.4200,nannos   ,Nannofossils                                 ,A              ,P                 ,A                          ,                         ,                                      ,F                               ,F                    ,A                    ,R                    ,                     ,F                    ,F                     ,F                  ,                     ,F                     ,                   ,R                       ,                      ,                 ,                  ,                 ,C                      ,C                    ,                       ,C                        ,C                      ,F                  ,R                      ,A                       ,                 ,                       ,R                         ,                         ,R                  ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 38,X,CC,   0.00,    347.8200,nannos   ,Nannofossils                                 ,A              ,P                 ,A                          ,                         ,                                      ,C                               ,F                    ,A                    ,                     ,                     ,R                    ,R                     ,                   ,                     ,F                     ,                   ,R                       ,                      ,                 ,                  ,                 ,F                      ,C                    ,R                      ,C                        ,C                      ,F                  ,                       ,A                       ,                 ,                       ,F                         ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 39,X,CC,  34.00,    362.2800,nannos   ,Nannofossils                                 ,A              ,P                 ,A                          ,                         ,                                      ,R                               ,C                    ,A                    ,R                    ,                     ,C                    ,                      ,F                  ,F                    ,C                     ,                   ,R                       ,                      ,                 ,                  ,                 ,C                      ,C                    ,F                      ,C                        ,C                      ,F                  ,                       ,R                       ,                 ,                       ,R                         ,R                        ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 40,X,CC,  32.00,    370.8100,nannos   ,Nannofossils                                 ,A              ,M                 ,A                          ,                         ,                                      ,                                ,F                    ,A                    ,R                    ,                     ,F                    ,R                     ,C                  ,F                    ,F                     ,                   ,                        ,                      ,                 ,                  ,                 ,C                      ,C                    ,F                      ,C                        ,C                      ,R                  ,                       ,R                       ,                 ,R                      ,R                         ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 41,X,CC,  33.00,    381.3800,nannos   ,Nannofossils                                 ,A              ,G                 ,A                          ,                         ,                                      ,R                               ,C                    ,A                    ,R                    ,                     ,F                    ,R                     ,C                  ,F                    ,F                     ,                   ,R                       ,                      ,                 ,                  ,                 ,C                      ,C                    ,F                      ,C                        ,C                      ,R                  ,R                      ,C                       ,R                ,R                      ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 42,X,CC,  42.00,    391.3500,nannos   ,Nannofossils                                 ,A              ,M                 ,A                          ,                         ,                                      ,                                ,C                    ,A                    ,R                    ,                     ,F                    ,R                     ,F                  ,F                    ,F                     ,                   ,R                       ,                      ,                 ,                  ,                 ,F                      ,C                    ,C                      ,R                        ,A                      ,R                  ,F                      ,A                       ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 43,X,CC,  48.00,    399.5700,nannos   ,Nannofossils                                 ,A              ,M                 ,A                          ,                         ,A                                     ,                                ,F                    ,F                    ,F                    ,R                    ,                     ,R                     ,F                  ,F                    ,R                     ,                   ,R                       ,                      ,                 ,                  ,C                ,R                      ,F                    ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 44,X,CC,  46.00,    410.2100,nannos   ,Nannofossils                                 ,A              ,M                 ,C                          ,                         ,A                                     ,                                ,F                    ,C                    ,C                    ,C                    ,R                    ,R                     ,C                  ,F                    ,R                     ,                   ,F                       ,R                     ,                 ,                  ,C                ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 45,X,CC,  34.00,    420.3900,nannos   ,Nannofossils                                 ,A              ,M                 ,C                          ,                         ,A                                     ,F                               ,F                    ,C                    ,C                    ,F                    ,R                    ,                      ,F                  ,C                    ,R                     ,                   ,F                       ,R                     ,                 ,                  ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 46,X,CC,  48.00,    427.9000,nannos   ,Nannofossils                                 ,A              ,M                 ,C                          ,                         ,A                                     ,F                               ,F                    ,C                    ,C                    ,F                    ,                     ,                      ,F                  ,F                    ,                      ,                   ,                        ,R                     ,                 ,                  ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 47,X,CC,  36.00,    439.7000,nannos   ,Nannofossils                                 ,A              ,P                 ,C                          ,                         ,A                                     ,C                               ,F                    ,C                    ,C                    ,F                    ,R                    ,                      ,F                  ,F                    ,                      ,                   ,F                       ,                      ,                 ,                  ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN9a              ,CN9a          ,184,1143,C, 48,X,CC,  33.00,    448.1200,nannos   ,Nannofossils                                 ,A              ,P                 ,C                          ,                         ,A                                     ,C                               ,F                    ,C                    ,C                    ,F                    ,                     ,                      ,F                  ,C                    ,R                     ,                   ,F                       ,                      ,                 ,                  ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN8a              ,CN9a          ,184,1143,C, 49,X,CC,  42.00,    458.1900,nannos   ,Nannofossils                                 ,F              ,P                 ,C                          ,R                        ,C                                     ,C                               ,F                    ,C                    ,C                    ,R                    ,                     ,R                     ,R                  ,F                    ,                      ,C                  ,R                       ,R                     ,R                ,F                 ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN8a              ,CN8a          ,184,1143,C, 50,X,CC,  27.00,    467.6000,nannos   ,Nannofossils                                 ,A              ,P                 ,C                          ,R                        ,C                                     ,C                               ,F                    ,C                    ,C                    ,F                    ,R                    ,                      ,R                  ,                     ,                      ,C                  ,R                       ,R                     ,                 ,                  ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN8a              ,CN8a          ,184,1143,C, 51,X,CC,  41.00,    476.3500,nannos   ,Nannofossils                                 ,A              ,P                 ,C                          ,                         ,C                                     ,C                               ,F                    ,C                    ,C                    ,F                    ,                     ,R                     ,R                  ,R                    ,                      ,C                  ,                        ,                      ,                 ,                  ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN8a              ,CN8a          ,184,1143,C, 52,X,CC,  44.00,    487.3700,nannos   ,Nannofossils                                 ,A              ,P                 ,C                          ,R                        ,C                                     ,C                               ,F                    ,C                    ,C                    ,F                    ,R                    ,R                     ,R                  ,R                    ,R                     ,                   ,                        ,                      ,                 ,                  ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN8a              ,CN8a          ,184,1143,C, 53,X,CC,  48.00,    496.9400,nannos   ,Nannofossils                                 ,A              ,P                 ,C                          ,R                        ,C                                     ,C                               ,R                    ,F                    ,C                    ,F                    ,R                    ,C                     ,R                  ,                     ,                      ,                   ,                        ,                      ,                 ,                  ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,CN8a              ,CN8a          ,184,1143,C, 54,X,CC,  43.00,    500.4600,nannos   ,Nannofossils                                 ,A              ,P                 ,C                          ,R                        ,C                                     ,C                               ,F                    ,C                    ,C                    ,F                    ,R                    ,C                     ,                   ,                     ,                      ,                   ,                        ,                      ,                 ,                  ,                 ,                       ,                     ,                       ,                         ,                       ,                   ,                       ,                        ,                 ,                       ,                          ,                         ,                   ,                           ,                      ,                      ,                    ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
