Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Reticulofenestra samodurovii,Ericsonia formosa,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus cf. abisectus,Cyclicargolithus abisectus,Coccolithus pelagicus,Zygrhablithus bijugatus,Sphenolithus pseudoradians,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus ciperoensis,Reticulofenestra sp.,Helicosphaera euphratis,Discoaster spp.,Discoaster deflandrei,Cyclicargolithus spp.,Coccoliths spp.,Reticulofenestra umbilicus (>14um),Helicosphaera spp.,Helicosphaera compacta,Ericsonia subditicha,Discoaster tanii ornatus,Discoaster barbadiensis,Clausicoccus fenestratus,Chiasmolithus spp.,Bramletteius serraculoides,Reticulofenestra daviesii,Sphenolithus conicus,Coronocyclus nitescens,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Oligocene        ,Oligocene        ,NP25              ,NP25          ,195,1201,B,  4,H, 3,  68.00,     29.8800,cur      ,Nannofossils                                 ,A              ,M                 ,R                        ,                            ,                 ,C                      ,                           ,                              ,F                         ,F                    ,                       ,                          ,C                      ,                      ,R                       ,                    ,R                      ,               ,A                    ,A                    ,A              ,                                  ,                  ,                      ,                    ,                        ,                       ,A                       ,                  ,                          ,                         ,F                   ,F                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Oligocene        ,Oligocene        ,NP25              ,NP25          ,195,1201,B,  4,H, 3,  95.00,     30.1500,cur      ,Nannofossils                                 ,A              ,M                 ,R                        ,                            ,                 ,C                      ,                           ,                              ,A                         ,C                    ,                       ,                          ,C                      ,                      ,F                       ,                    ,R                      ,               ,F                    ,A                    ,A              ,                                  ,                  ,                      ,                    ,                        ,R                      ,A                       ,                  ,                          ,                         ,F                   ,F                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Oligocene        ,Oligocene        ,NP25              ,NP25          ,195,1201,B,  4,H, 3, 113.00,     30.3300,cur      ,Nannofossils                                 ,A              ,M                 ,F                        ,                            ,                 ,C                      ,                           ,                              ,C                         ,                     ,R                      ,                          ,                       ,                      ,F                       ,                    ,                       ,               ,C                    ,R                    ,               ,                                  ,                  ,                      ,                    ,                        ,R                      ,                        ,                  ,                          ,                         ,F                   ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Oligocene        ,Oligocene        ,NP25              ,NP25          ,195,1201,B,  4,H, 3, 127.00,     30.4700,cur      ,Nannofossils                                 ,A              ,M                 ,F                        ,C                           ,                 ,C                      ,                           ,                              ,C                         ,C                    ,                       ,                          ,C                      ,                      ,R                       ,                    ,F                      ,C              ,C                    ,A                    ,A              ,                                  ,                  ,                      ,                    ,                        ,R                      ,A                       ,                  ,                          ,                         ,R                   ,F                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B,  4,H,CC,  21.00,     36.1800,cur      ,Nannofossils                                 ,T              ,P                 ,                         ,                            ,                 ,                       ,                           ,                              ,                          ,                     ,                       ,                          ,                       ,                      ,                        ,                    ,                       ,               ,                     ,                     ,R              ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B,  7,X, 2,  49.00,     48.6900,cur      ,Nannofossils                                 ,T              ,P                 ,                         ,                            ,                 ,                       ,R                          ,                              ,                          ,                     ,                       ,                          ,R                      ,                      ,                        ,R                   ,                       ,               ,                     ,                     ,               ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B,  7,X, 2, 103.00,     49.2300,cur      ,Nannofossils                                 ,F              ,P                 ,F                        ,R                           ,                 ,F                      ,C                          ,                              ,C                         ,C                    ,R                      ,                          ,C                      ,                      ,F                       ,C                   ,                       ,R              ,                     ,C                    ,C              ,                                  ,                  ,                      ,                    ,                        ,                       ,F                       ,                  ,                          ,R                        ,                    ,                      ,Dissolution and then overgrown
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B,  8,X,CC,  30.00,     59.9800,cur      ,Nannofossils                                 ,R              ,M                 ,R                        ,R                           ,R                ,F                      ,                           ,F                             ,                          ,                     ,                       ,                          ,R                      ,                      ,                        ,                    ,                       ,               ,R                    ,F                    ,R              ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B,  9,X,CC,  47.00,     62.7600,cur      ,Nannofossils                                 ,T              ,M                 ,                         ,                            ,                 ,C                      ,                           ,C                             ,                          ,R                    ,                       ,                          ,                       ,                      ,                        ,                    ,                       ,               ,                     ,                     ,               ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B, 10,X, 1,  68.00,     71.7800,cur      ,Nannofossils                                 ,C              ,M                 ,C                        ,C                           ,                 ,C                      ,                           ,C                             ,C                         ,C                    ,F                      ,R                         ,F                      ,R                     ,F                       ,                    ,F                      ,               ,R                    ,                     ,               ,R                                 ,                  ,F                     ,                    ,F                       ,                       ,C                       ,                  ,R                         ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B, 10,X, 1,  93.00,     72.0300,cur      ,Nannofossils                                 ,C              ,M                 ,C                        ,C                           ,                 ,C                      ,C                          ,C                             ,C                         ,C                    ,R                      ,                          ,R                      ,R                     ,R                       ,                    ,R                      ,               ,R                    ,                     ,               ,F                                 ,                  ,R                     ,                    ,F                       ,                       ,C                       ,                  ,R                         ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B, 10,X, 1, 100.00,     72.1000,cur      ,Nannofossils                                 ,F              ,M                 ,C                        ,R                           ,                 ,F                      ,C                          ,                              ,F                         ,C                    ,R                      ,R                         ,A                      ,F                     ,R                       ,                    ,                       ,F              ,F                    ,C                    ,               ,R                                 ,                  ,R                     ,F                   ,                        ,                       ,C                       ,                  ,R                         ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B, 10,X, 1, 117.00,     72.2700,cur      ,Nannofossils                                 ,C              ,M                 ,C                        ,F                           ,                 ,F                      ,A                          ,                              ,F                         ,C                    ,F                      ,R                         ,C                      ,F                     ,R                       ,                    ,                       ,F              ,F                    ,C                    ,               ,R                                 ,F                 ,R                     ,R                   ,F                       ,F                      ,C                       ,R                 ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B, 10,X,CC,  38.00,     72.9800,cur      ,Nannofossils                                 ,R              ,M                 ,F                        ,F                           ,R                ,F                      ,C                          ,C                             ,                          ,C                    ,R                      ,R                         ,F                      ,R                     ,R                       ,C                   ,R                      ,R              ,F                    ,C                    ,C              ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,195,1201,B, 11,X,CC,  32.00,     81.0200,cur      ,Nannofossils                                 ,R              ,P                 ,C                        ,R                           ,R                ,F                      ,C                          ,C                             ,C                         ,C                    ,                       ,                          ,                       ,                      ,                        ,                    ,                       ,               ,                     ,                     ,               ,                                  ,                  ,                      ,                    ,                        ,                       ,                        ,                  ,                          ,                         ,                    ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
