Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Denticulopsis lauta,Denticulopsis hyalina,Coscinodiscus marginatus,Thalassiothrix spp.,Denticulopsis hustedtii,Crucidenticula nicobarica,Coscinodiscus nodulifer,Actinocyclus tsugaruensis,Thalassiosira yabei,Denticulopsis punctata,Denticulopsis praedimorpha,Thalassiothrix longissima,Thalassionema schraderi,Thalassionema nitzschioides,Thalassionema hirosakiensis,Denticulopsis dimorpha,Neodenticula seminae,Pinn* spp.,Sponge spicules,Neodenticula cf. N. seminae,Comment
  IR,Late Miocene     ,                 ,NPD 6B            ,              ,167,1010,E,  9,H,CC,   0.00,     85.1200,Maruyama ,Diatoms                                      ,A              ,G                 ,                   ,                     ,F                       ,D                  ,rR                     ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,C                      ,A                          ,                           ,                      ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 6B            ,              ,167,1010,E, 10,H,CC,   0.00,     94.5900,Maruyama ,Diatoms                                      ,C              ,M                 ,                   ,                     ,A                       ,                   ,rR                     ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,                       ,R                          ,                           ,                      ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 5D            ,              ,167,1010,E, 11,H,CC,  21.00,    104.5400,Maruyama ,Diatoms                                      ,C              ,M                 ,                   ,                     ,F                       ,                   ,F                      ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,R                      ,C                          ,                           ,R                     ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,NPD 5D            ,              ,167,1010,E, 12,H,CC,   0.00,    113.6000,Maruyama ,Diatoms                                      ,F              ,M                 ,                   ,                     ,F                       ,                   ,                       ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,R                      ,F                          ,R                          ,F                     ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,NPD 5C            ,              ,167,1010,E, 13,H,CC,   0.00,    123.0600,Maruyama ,Diatoms                                      ,F              ,P                 ,                   ,                     ,F                       ,                   ,F                      ,                         ,                       ,R                        ,                   ,                      ,                          ,F                        ,                       ,                           ,                           ,                      ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,NPD 5B            ,              ,167,1010,E, 14,H,CC,  13.00,    132.9100,Maruyama ,Diatoms                                      ,A              ,G                 ,                   ,                     ,                        ,D                  ,F                      ,                         ,R                      ,                         ,                   ,                      ,A                         ,                         ,                       ,                           ,                           ,                      ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,NPD 5B            ,              ,167,1010,E, 15,H,CC,  10.00,    142.3100,Maruyama ,Diatoms                                      ,A              ,G                 ,                   ,                     ,                        ,D                  ,F                      ,                         ,R                      ,                         ,                   ,                      ,A                         ,                         ,                       ,                           ,                           ,                      ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,NPD 5B            ,              ,167,1010,E, 16,H,CC,  14.00,    151.8900,Maruyama ,Diatoms                                      ,A              ,G                 ,                   ,                     ,                        ,D                  ,A                      ,                         ,R                      ,R                        ,R                  ,R                     ,R                         ,                         ,                       ,                           ,                           ,                      ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,NPD 5A            ,              ,167,1010,E, 17,X,CC,  28.00,    161.2000,Maruyama ,Diatoms                                      ,C              ,M                 ,                   ,                     ,C                       ,                   ,R                      ,                         ,                       ,R                        ,                   ,                      ,                          ,                         ,                       ,                           ,                           ,                      ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,NPD 5A            ,              ,167,1010,E, 18,X,CC,  18.00,    170.5800,Maruyama ,Diatoms                                      ,A              ,VG                ,                   ,                     ,                        ,D                  ,A                      ,F                        ,F                      ,C                        ,                   ,                      ,                          ,                         ,                       ,                           ,                           ,                      ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,                 ,NPD 4B            ,NPD 4C        ,167,1010,E, 19,X,CC,  19.00,    180.2100,Maruyama ,Diatoms                                      ,F              ,P                 ,F                  ,C                    ,C                       ,                   ,                       ,                         ,                       ,                         ,                   ,                      ,                          ,                         ,                       ,                           ,                           ,                      ,                    ,          ,               ,                           ,from IR.Ch 4.Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
