file,path,empty_rows_columns,remove_identical_rows,remove_identical_columns,add_expedition_section_cols,rename_label_id,add_sample_name
367_macroscopic_U1500A.csv,Lithology_CSV/367_macroscopic_U1500A.csv,False,False,False,True,False,False
330_sediment_U1374A.csv,Lithology_CSV/330_sediment_U1374A.csv,False,False,False,False,True,False
341_core_description_U1419B.csv,Lithology_CSV/341_core_description_U1419B.csv,False,False,False,True,False,False
341_core_description_U1418F.csv,Lithology_CSV/341_core_description_U1418F.csv,False,False,False,True,False,False
354_macroscopic_U1455B.csv,Lithology_CSV/354_macroscopic_U1455B.csv,False,False,False,True,False,False
376_macroscopic_U1530A_2.csv,Lithology_CSV/376_macroscopic_U1530A_2.csv,False,False,False,True,False,False
349_macroscopic_U1431A.csv,Lithology_CSV/349_macroscopic_U1431A.csv,False,False,False,True,False,False
344_sediment_U1413A.csv,Lithology_CSV/344_sediment_U1413A.csv,False,False,False,False,True,False
356-U1459B_macroscopic.csv,Lithology_CSV/356-U1459B_macroscopic.csv,False,False,False,True,False,False
339_sediment_U1391B.csv,Lithology_CSV/339_sediment_U1391B.csv,False,False,False,False,False,False
353_macroscopic_U1443A.csv,Lithology_CSV/353_macroscopic_U1443A.csv,False,False,False,True,False,False
X363-U1490A-macroscopic.csv,Lithology_CSV/X363-U1490A-macroscopic.csv,False,False,False,True,False,False
359-U1467D_macroscopic.csv,Lithology_CSV/359-U1467D_macroscopic.csv,False,False,False,True,False,False
346_description_U1425D.csv,Lithology_CSV/346_description_U1425D.csv,False,False,False,True,False,False
339_sediment_U1387B.csv,Lithology_CSV/339_sediment_U1387B.csv,False,False,False,False,False,False
320 Core Description_U1333B.csv,Lithology_CSV/320 Core Description_U1333B.csv,True,False,False,False,True,False
317_Lithostratigraphy_U1351A.csv,Lithology_CSV/317_Lithostratigraphy_U1351A.csv,True,False,False,False,True,False
361_macroscopic_U1479D.csv,Lithology_CSV/361_macroscopic_U1479D.csv,False,False,False,False,False,True
361_macroscopic_U1474C.csv,Lithology_CSV/361_macroscopic_U1474C.csv,False,False,False,False,False,True
369_U1513E_macroscopic_mgt.csv,Lithology_CSV/369_U1513E_macroscopic_mgt.csv,False,False,False,True,False,False
323 Core Description Template_U1340B.csv,Lithology_CSV/323 Core Description Template_U1340B.csv,False,False,False,False,False,False
334_sediment_U1380A.csv,Lithology_CSV/334_sediment_U1380A.csv,True,False,False,False,True,False
361_macroscopic_U1474A.csv,Lithology_CSV/361_macroscopic_U1474A.csv,False,False,False,False,False,True
361_macroscopic_U1475E.csv,Lithology_CSV/361_macroscopic_U1475E.csv,False,False,False,False,False,True
366_macroscopic_U1497A.csv,Lithology_CSV/366_macroscopic_U1497A.csv,False,False,False,True,False,False
361_macroscopic_U1478B.csv,Lithology_CSV/361_macroscopic_U1478B.csv,False,False,False,False,False,True
361_macroscopic_U1479F.csv,Lithology_CSV/361_macroscopic_U1479F.csv,False,False,False,False,False,True
346_description_U1424B.csv,Lithology_CSV/346_description_U1424B.csv,False,False,False,True,False,False
353_macroscopic_U1443C.csv,Lithology_CSV/353_macroscopic_U1443C.csv,False,False,False,True,False,False
346_description_U1428A.csv,Lithology_CSV/346_description_U1428A.csv,False,False,False,True,False,False
374_U1524C_macroscopic.csv,Lithology_CSV/374_U1524C_macroscopic.csv,False,True,False,True,False,False
344_sediment_U1413C.csv,Lithology_CSV/344_sediment_U1413C.csv,False,False,False,False,True,False
349_macroscopic_U1431C.csv,Lithology_CSV/349_macroscopic_U1431C.csv,False,False,False,True,False,False
U1456C_macroscopic_20160421.csv,Lithology_CSV/U1456C_macroscopic_20160421.csv,False,False,False,True,False,False
341_core_description_U1418D.csv,Lithology_CSV/341_core_description_U1418D.csv,False,False,False,True,False,False
334_sediment_U1379C.csv,Lithology_CSV/334_sediment_U1379C.csv,True,True,False,False,True,False
342_sediment_U1404C.csv,Lithology_CSV/342_sediment_U1404C.csv,False,False,False,False,True,False
X363-U1484A-macroscopic.csv,Lithology_CSV/X363-U1484A-macroscopic.csv,False,False,False,True,False,False
342_sediment_U1408A.csv,Lithology_CSV/342_sediment_U1408A.csv,False,False,False,False,True,False
359-U1466B_macroscopic.csv,Lithology_CSV/359-U1466B_macroscopic.csv,False,False,False,True,False,False
369_U1514A_macroscopic_gt.csv,Lithology_CSV/369_U1514A_macroscopic_gt.csv,False,False,False,True,False,False
342_sediment_U1404B.csv,Lithology_CSV/342_sediment_U1404B.csv,True,False,False,False,True,False
367_macroscopic_U1500B.csv,Lithology_CSV/367_macroscopic_U1500B.csv,False,False,False,True,False,False
356-U1462C_macroscopic.csv,Lithology_CSV/356-U1462C_macroscopic.csv,False,False,False,True,False,False
341_core_description_U1418E.csv,Lithology_CSV/341_core_description_U1418E.csv,False,False,False,True,False,False
341_core_description_U1419A.csv,Lithology_CSV/341_core_description_U1419A.csv,False,False,False,True,False,False
354_macroscopic_U1455A.csv,Lithology_CSV/354_macroscopic_U1455A.csv,False,False,False,True,False,False
376_macroscopic_U1530A_1.csv,Lithology_CSV/376_macroscopic_U1530A_1.csv,False,False,False,True,False,False
349_macroscopic_U1431B.csv,Lithology_CSV/349_macroscopic_U1431B.csv,False,False,False,True,False,False
344_sediment_U1413B.csv,Lithology_CSV/344_sediment_U1413B.csv,False,False,False,False,True,False
353_macroscopic_U1443B.csv,Lithology_CSV/353_macroscopic_U1443B.csv,False,False,False,True,False,False
339_sediment_U1387A.csv,Lithology_CSV/339_sediment_U1387A.csv,False,False,False,False,False,False
320 Core Description_U1333A.csv,Lithology_CSV/320 Core Description_U1333A.csv,True,False,False,False,True,False
346_description_U1424C.csv,Lithology_CSV/346_description_U1424C.csv,False,False,False,True,False,False
X363-U1482B-macroscopic.csv,Lithology_CSV/X363-U1482B-macroscopic.csv,False,False,False,True,False,False
361_macroscopic_U1479G.csv,Lithology_CSV/361_macroscopic_U1479G.csv,False,False,False,False,False,True
317_Lithostratigraphy_U1351B.csv,Lithology_CSV/317_Lithostratigraphy_U1351B.csv,True,False,False,False,True,False
361_macroscopic_U1478C.csv,Lithology_CSV/361_macroscopic_U1478C.csv,False,False,False,False,False,True
361_macroscopic_U1475D.csv,Lithology_CSV/361_macroscopic_U1475D.csv,False,False,False,False,False,True
323 Core Description Template_U1340A.csv,Lithology_CSV/323 Core Description Template_U1340A.csv,False,False,False,False,False,False
340_sediment_U1399A.csv,Lithology_CSV/340_sediment_U1399A.csv,False,False,False,False,True,False
340_sediment_U1395B.csv,Lithology_CSV/340_sediment_U1395B.csv,False,False,False,False,True,False
320 Core Description_U1334B.csv,Lithology_CSV/320 Core Description_U1334B.csv,True,False,False,False,True,False
