Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys sp. P,Lipmanella redondoensis,Cornutella profunda,Botryostrobus aquilonaris,Axoprunum acquilonius,Stichocorys delmontensis,Sphaeropyle robusta,Botryostrobus auritus/australis,Stylosphaera angelina,Diplocyclas cornutoides,Lychnocanium nipponicum,Lithocarpium titan,Androcyclas heteroporos,Cyrtocapsella tetrapera,Diplocyclas davisiana,Eucyrtidium cienkowskii,Comment
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 882,A, 14,H,CC,   0.00,    132.3700,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,R                    ,                        ,                   ,R                              ,R                    ,                       ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 882,A, 15,H,CC,   6.00,    141.6100,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,R                    ,                        ,                   ,                               ,R                    ,                       ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 882,A, 16,H,CC,   9.00,    151.5300,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,R                    ,                        ,                   ,                               ,R                    ,                       ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,A. acquilonius    ,              ,145, 882,A, 17,H,CC,  17.00,    161.0800,Shilov   ,Radiolarians                                 ,R              ,M                 ,                 ,                       ,                   ,R                        ,                     ,                        ,                   ,                               ,R                    ,F                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,Late Pliocene    ,A. acquilonius    ,              ,145, 882,A, 18,H,CC,  25.00,    170.8800,Shilov   ,Radiolarians                                 ,R              ,M                 ,                 ,                       ,                   ,                         ,R                    ,                        ,                   ,                               ,R                    ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 19,H,CC,  25.00,    180.1800,Shilov   ,Radiolarians                                 ,R              ,M                 ,                 ,                       ,                   ,R                        ,R                    ,                        ,R                  ,                               ,F                    ,                       ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 20,H,CC,  24.00,    189.3200,Shilov   ,Radiolarians                                 ,R              ,M                 ,R                ,                       ,                   ,R                        ,R                    ,                        ,                   ,                               ,R                    ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 21,H,CC,  23.00,    199.3100,Shilov   ,Radiolarians                                 ,R              ,M                 ,                 ,                       ,                   ,R                        ,R                    ,                        ,                   ,                               ,                     ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 22,H,CC,  24.00,    208.7900,Shilov   ,Radiolarians                                 ,R              ,M                 ,                 ,                       ,                   ,R                        ,                     ,                        ,                   ,                               ,R                    ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 23,H,CC,  21.00,    218.3100,Shilov   ,Radiolarians                                 ,R              ,M                 ,R                ,                       ,                   ,R                        ,                     ,                        ,                   ,                               ,                     ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 24,H,CC,  20.00,    227.7900,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,R                  ,R                        ,                     ,                        ,                   ,R                              ,R                    ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 25,H,CC,  20.00,    237.2200,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                ,                       ,R                  ,                         ,R                    ,                        ,                   ,                               ,                     ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 26,H,CC,  20.00,    246.7700,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,R                  ,                         ,                     ,                        ,                   ,R                              ,R                    ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 27,H,CC,  21.00,    256.1500,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,                     ,                        ,                   ,R                              ,                     ,R                      ,                       ,                  ,R                      ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 28,H,CC,  10.00,    265.6800,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,                     ,                        ,                   ,                               ,                     ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 29,H,CC,  27.00,    275.3600,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,rR                     ,                   ,                         ,                     ,                        ,                   ,R                              ,                     ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 30,H,CC,  21.00,    284.2100,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,                     ,                        ,                   ,                               ,                     ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 31,H,CC,  25.00,    294.2200,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,rR                     ,                   ,                         ,                     ,                        ,                   ,R                              ,                     ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 32,H,CC,  20.00,    303.8400,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,                     ,                        ,R                  ,R                              ,R                    ,                       ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 33,H,CC,  15.00,    312.6500,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                ,                       ,                   ,                         ,                     ,                        ,R                  ,                               ,R                    ,                       ,R                      ,                  ,R                      ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 34,H,CC,  23.00,    322.6900,Shilov   ,Radiolarians                                 ,F              ,G                 ,R                ,rR                     ,                   ,                         ,F                    ,?                       ,                   ,R                              ,R                    ,                       ,R                      ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,A. acquilonius    ,              ,145, 882,A, 35,H,CC,   8.00,    331.9800,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,R                    ,                        ,                   ,                               ,R                    ,                       ,                       ,                  ,R                      ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Early Pliocene   ,A.. acq.-L. redond.,              ,145, 882,A, 36,H,CC,  26.00,    341.6800,Shilov   ,Radiolarians                                 ,F              ,G                 ,R                ,R                      ,R                  ,                         ,F                    ,R                       ,R                  ,                               ,R                    ,                       ,R                      ,R                 ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,A.. acq.-L. redond.,              ,145, 882,A, 37,H,CC,  24.00,    350.8400,Shilov   ,Radiolarians                                 ,R              ,M                 ,                 ,                       ,R                  ,                         ,R                    ,                        ,                   ,                               ,R                    ,                       ,R                      ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,A.. acq.-L. redond.,              ,145, 882,A, 38,H,CC,  24.00,    360.5400,Shilov   ,Radiolarians                                 ,R              ,G                 ,                 ,                       ,                   ,                         ,R                    ,                        ,                   ,                               ,R                    ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,A.. acq.-L. redond.,              ,145, 882,A, 39,H,CC,  27.00,    369.3200,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                ,R                      ,R                  ,R                        ,R                    ,                        ,R                  ,                               ,F                    ,R                      ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,A.. acq.-L. redond.,              ,145, 882,A, 40,H,CC,  20.00,    379.7600,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                ,                       ,                   ,                         ,R                    ,                        ,R                  ,R                              ,                     ,                       ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,A.. acq.-L. redond.,              ,145, 882,A, 41,H,CC,  30.00,    389.3500,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                ,R                      ,R                  ,R                        ,R                    ,R                       ,                   ,                               ,                     ,                       ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,A.. acq.-L. redond.,              ,145, 882,A, 42,H,CC,  24.00,    398.8200,Shilov   ,Radiolarians                                 ,R              ,G                 ,R                ,R                      ,R                  ,R                        ,R                    ,                        ,                   ,                               ,                     ,                       ,                       ,                  ,                       ,                       ,                     ,                       ,from Leg 145 SR; Ch 5; Table 1; p 96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
