Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paralia sulcata	Nitzschia praecurta	Denticulopsis simonsenii	Rouxia californica	Nitzschia donahuensis	Thalassiosira oliverana var. sparsa	Rhizosolenia styliformis	Rhizosolenia hebetata f. semispina	Eucampia antarctica	Thalassiosira torokina	Thalassiosira oestrupii	Nitzschia fossilis	Hemidiscus ovalis	Thalassiosira oliverana	Thalassiosira inura	Nitzschia reinholdii	Nitzschia aurica	Nitzschia arcula	Nitzschia praeinterfrigidaria	Actinocyclus karstenii	Thalassiosira complicata	Thalassiosira fasciculata	Thalassiosira striata	Odontella aurita	Thalassionema nitzschioides	Nitzschia kerguelenis	Comment
  IR	                 	                 	                  	              	178	1097	A	 16	R	CC	  10.00	    126.4100	Winter   	Diatoms                                      	C              	M                 	               	R                  	                        	R                 	                     	                                   	                        	                                  	                   	+                     	F                      	                  	                 	+                      	+                  	                    	F               	                	R                            	                      	                        	                         	                     	                	                           	                     	No F. barronii, good assemblage likely age - 4.48 - 5.62

  IR	                 	                 	                  	              	178	1097	A	 17	R	CC	  20.00	    133.3400	Winter   	Diatoms                                      	F              	P                 	               	                   	                        	                  	                     	                                   	                        	                                  	                   	R                     	                       	                  	                 	                       	                   	+                   	                	                	                             	F                     	                        	                         	                     	                	                           	                     	NADP

  IR	                 	                 	                  	              	178	1097	A	 18	R	CC	  10.00	    141.2100	Winter   	Diatoms                                      	F              	P                 	               	                   	                        	                  	                     	                                   	                        	                                  	                   	+                     	                       	                  	                 	                       	+                  	                    	                	                	                             	+                     	                        	                         	                     	                	                           	                     	NADP

  IR	                 	                 	                  	              	178	1097	A	 19	R	CC	   6.00	    151.0800	Winter   	Diatoms                                      	C              	MP                	               	                   	+                       	                  	                     	                                   	                        	                                  	R                  	R                     	                       	                  	                 	+                      	R                  	+                   	+               	                	+                            	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 22	R	CC	  14.00	    169.3400	Winter   	Diatoms                                      	C              	MP                	               	                   	                        	                  	                     	                                   	                        	                                  	                   	                      	+                      	                  	                 	+                      	+                  	                    	+               	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 23	R	CC	  12.00	    179.6900	Winter   	Diatoms                                      	A              	MP                	               	                   	R                       	+                 	                     	                                   	                        	                                  	R                  	R                     	R                      	                  	                 	                       	+                  	+                   	+               	+               	+                            	+                     	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 24	R	CC	  18.00	    188.6800	Winter   	Diatoms                                      	F              	P                 	               	                   	+                       	                  	                     	                                   	+                       	                                  	R                  	R                     	                       	                  	                 	                       	+                  	+                   	R               	R               	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 25	R	 1	 147.00	    199.5700	Winter   	Diatoms                                      	T              	P                 	               	                   	                        	                  	                     	                                   	                        	                                  	                   	                      	                       	                  	                 	                       	T                  	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 32	R	CC	  26.00	    265.5600	Winter   	Diatoms                                      	F              	P                 	F              	                   	                        	                  	                     	                                   	                        	                                  	                   	+                     	                       	                  	                 	+                      	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 34	R	CC	   9.00	    288.7900	Winter   	Diatoms                                      	R              	P                 	+              	+                  	+                       	+                 	                     	                                   	                        	                                  	                   	                      	+                      	+                 	+                	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 35	R	CC	  24.00	    296.2000	Winter   	Diatoms                                      	F              	P                 	F              	                   	                        	                  	                     	R                                  	                        	                                  	                   	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 36	R	CC	  20.00	    308.7900	Winter   	Diatoms                                      	C              	P                 	C              	                   	+                       	                  	                     	                                   	                        	                                  	                   	+                     	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 38	R	CC	  17.00	    322.8700	Winter   	Diatoms                                      	R              	P                 	F              	                   	+                       	                  	                     	                                   	                        	                                  	+                  	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 39	R	CC	  16.00	    334.0700	Winter   	Diatoms                                      	T              	P                 	               	                   	                        	                  	                     	T                                  	                        	                                  	                   	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 40	R	CC	  21.00	    343.7800	Winter   	Diatoms                                      	R              	MP                	+              	                   	                        	                  	                     	+                                  	+                       	+                                 	                   	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 41	R	CC	  25.50	    347.1550	Winter   	Diatoms                                      	R              	P                 	R              	                   	                        	                  	                     	                                   	                        	                                  	                   	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 42	R	CC	   5.00	    353.9700	Winter   	Diatoms                                      	F              	MP                	F              	                   	                        	                  	                     	+                                  	                        	                                  	                   	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 44	R	CC	  21.00	    365.3900	Winter   	Diatoms                                      	R              	P                 	R              	                   	R                       	                  	                     	+                                  	                        	                                  	                   	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 45	R	CC	  12.00	    373.5900	Winter   	Diatoms                                      	R              	P                 	               	+                  	R                       	+                 	+                    	                                   	                        	                                  	                   	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

  IR	                 	                 	                  	              	178	1097	A	 46	R	CC	  10.00	    382.7200	Winter   	Diatoms                                      	F              	P                 	F              	+                  	+                       	                  	                     	                                   	                        	                                  	                   	                      	                       	                  	                 	                       	                   	                    	                	                	                             	                      	                        	                         	                     	                	                           	                     	       

