Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassionema nitzschioides var. nitzschioides,Neodelphineis pelagica,Cyclotella spp.,Chaetoceros spp. (resting spores),Aulacoseira granulata/islandica,Actinoptychus vulgaris,Actinoptychus senarius,Actinocyclus ellipticus,Thalassiothrix spp. (incl. Lioloma),Thalassiosira spp.,Skeletonema costatum,Silicoflagellates (all taxa),Rhizosolenia setigera/pungens,Pseudoeunotia doliolus,Nitzschia reinholdii,Ditylum brightwelli,Coscinodiscus spp.,Bacteriastrum comosum,"other Freshwater (Achnanthes; Fragilaria, etc.)",X Phytoliths diff. shapes,Nitzschia fossilis,Hemidiscus cuneiformis,non-planktonic diatoms,Z Actiniscus pentasterias,Rhizosolenia styliformis,Paralia sulcata,Asteromphalus spp.,Coscinodiscus plicatus,Stephanodiscus astraea,Hemiaulus sinensis,Stephanopyxis spore (apiculata),Rhizosolenia bergonii,Nitzschia marina,Proboscia alata,Cerataulina bicornis (spore),Thalassionema hirosakiensis,Stephanopyxis palmeriana,Pseudosolenia calcar-avis,Cyclotella litoralis,Rhizosolenia robusta,Cyclotella stylorum,Thalassionema nitzschioides  var. parva,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 17        ,175,1075,A,  4,H, 1,  70.00,     21.2000,Lange    ,Diatoms                                      ,A              ,                  ,1039                                          ,                      ,43             ,387                              ,5                              ,5                     ,1                     ,                       ,                                   ,10                ,                    ,5                           ,                             ,2                     ,                    ,                   ,+                 ,                     ,1                                              ,2                        ,                  ,                      ,                      ,1                        ,                        ,               ,                  ,                      ,                      ,                  ,                               ,1                    ,1               ,1              ,                            ,                           ,                        ,+                        ,23                  ,                    ,3                  ,                                       ,a counted= 5.58 mm2 a slide= 484 mm2 aggregates of Thalassionema
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 17        ,175,1075,A,  4,H,CC,  19.00,     30.2900,Lange    ,Diatoms                                      ,A              ,                  ,957                                           ,3                     ,84             ,794                              ,6                              ,                      ,1                     ,                       ,                                   ,                  ,21                  ,1                           ,4                            ,                      ,                    ,                   ,                  ,                     ,8                                              ,1                        ,                  ,                      ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,2                          ,                        ,                         ,3                   ,1                   ,                   ,                                       ,a counted= 5.58 mm2 a slide= 484 mm2 *setae Ch. radicans
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 17        ,175,1075,A,  5,H,CC,  16.00,     39.9500,Lange    ,Diatoms                                      ,A              ,                  ,780                                           ,                      ,5              ,841                              ,3                              ,1                     ,                      ,                       ,                                   ,                  ,2                   ,5                           ,                             ,7                     ,                    ,                   ,                  ,+                    ,1                                              ,7                        ,                  ,                      ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,3                    ,3               ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,a counted= 5.58 mm2 a slide= 484 mm2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 17        ,175,1075,A,  6,H,CC,  20.00,     49.4500,Lange    ,Diatoms                                      ,A              ,                  ,2423                                          ,1                     ,14             ,808                              ,6                              ,                      ,                      ,                       ,+                                  ,                  ,1                   ,14                          ,                             ,                      ,                    ,                   ,                  ,8                    ,1                                              ,1                        ,                  ,                      ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,1               ,               ,                            ,                           ,                        ,1                        ,2                   ,                    ,                   ,                                       ,a counted= 5.58 mm2 a slide= 484 mm2 diverse resting spores Chaet.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 17        ,175,1075,A,  7,H,CC,  15.00,     59.0500,Lange    ,Diatoms                                      ,A              ,                  ,1059                                          ,                      ,-              ,672                              ,4                              ,1                     ,3                     ,                       ,                                   ,                  ,183                 ,8                           ,+                            ,2                     ,                    ,                   ,                  ,                     ,                                               ,2                        ,                  ,                      ,2                     ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,1               ,               ,                            ,                           ,1                       ,                         ,                    ,                    ,                   ,                                       ,a counted= 5.58 mm2 a counted= 5.58 mm2 a slide= 484 mm2 *fragm. Ethmodiscus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A,  8,H,CC,  22.00,     68.7500,Lange    ,Diatoms                                      ,A              ,                  ,1242                                          ,                      ,1              ,794                              ,18                             ,3                     ,                      ,                       ,                                   ,7                 ,                    ,6                           ,1                            ,                      ,                    ,                   ,                  ,                     ,2                                              ,4                        ,                  ,                      ,                      ,2                        ,1                       ,               ,                  ,                      ,                      ,                  ,2                              ,                     ,                ,               ,                            ,                           ,                        ,2                        ,                    ,                    ,                   ,                                       ,a counted= 5.58 mm2 a slide= 484 mm2 plant debris *setae diverse Chaet.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 17        ,175,1075,A,  9,H,CC,  26.00,     78.2700,Lange    ,Diatoms                                      ,A              ,                  ,1201                                          ,2                     ,5              ,894                              ,7                              ,                      ,                      ,                       ,+                                  ,                  ,3                   ,12                          ,                             ,3                     ,                    ,                   ,                  ,3                    ,5                                              ,3                        ,                  ,                      ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,2                    ,4               ,               ,                            ,3                          ,2                       ,                         ,                    ,                    ,                   ,                                       ,"a counted= 5.58 mm2 a slide= 484 mm2 *setae Chaet. lorenz., messan."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 17        ,175,1075,A, 10,H,CC,  26.00,     87.8100,Lange    ,Diatoms                                      ,F              ,                  ,104                                           ,                      ,6              ,58                               ,6                              ,                      ,                      ,                       ,                                   ,                  ,1                   ,3                           ,                             ,                      ,                    ,                   ,                  ,                     ,7                                              ,19                       ,                  ,                      ,2                     ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,a counted= 5.58 mm2 a slide= 484 mm2 *setae Ch. lorenzianus
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 17        ,175,1075,A, 11,H,CC,  34.00,     97.1200,Lange    ,Diatoms                                      ,C              ,                  ,1376                                          ,                      ,13             ,825                              ,5                              ,                      ,5                     ,                       ,                                   ,                  ,5                   ,10                          ,                             ,3                     ,                    ,                   ,4                 ,2                    ,5                                              ,2                        ,                  ,                      ,2                     ,                         ,3                       ,               ,                  ,                      ,                      ,                  ,5                              ,                     ,                ,               ,2                           ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,a counted= 11.16 mm2 a slide= 484 mm2 *fragm. Ethmodiscus * setae Chaet.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 17        ,175,1075,A, 12,H,CC,  28.00,    106.8400,Lange    ,Diatoms                                      ,A              ,                  ,1395                                          ,1                     ,1              ,440                              ,6                              ,2                     ,3                     ,                       ,                                   ,                  ,3                   ,30                          ,                             ,1                     ,                    ,                   ,                  ,                     ,3                                              ,4                        ,                  ,+                     ,5                     ,2                        ,                        ,               ,                  ,                      ,                      ,                  ,2                              ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,a counted= 5.58 mm2 a  slide= 484 mm2 *fragm. Ethmodiscus Mesocena
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 13,H,CC,  18.00,    116.1900,Lange    ,Diatoms                                      ,A              ,                  ,1164                                          ,1                     ,2              ,385                              ,4                              ,3                     ,5                     ,                       ,                                   ,                  ,3                   ,13                          ,                             ,                      ,                    ,                   ,                  ,                     ,2                                              ,3                        ,5                 ,1                     ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,2                              ,                     ,1               ,1              ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,a counted= 5.854 mm2 a counted= 5.854 mm2 a slide= 484 mm2 *fragm Ethmodiscus *sponge spic *Mesocena
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 16B       ,175,1075,A, 14,H,CC,  29.00,    125.7600,Lange    ,Diatoms                                      ,A              ,                  ,611                                           ,                      ,7              ,591                              ,1                              ,2                     ,9                     ,1                      ,+                                  ,                  ,                    ,10                          ,1                            ,2                     ,+                   ,4                  ,                  ,                     ,2                                              ,-                        ,                  ,1                     ,                      ,1                        ,                        ,               ,1                 ,                      ,                      ,                  ,2                              ,1                    ,1               ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,"a counted= 5.58 mm2 a slide= 484 mm2 *Octactis, Mesocena *sponge spic"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 15,H,CC,  33.00,    135.2600,Lange    ,Diatoms                                      ,C              ,                  ,238                                           ,2                     ,19             ,202                              ,7                              ,1                     ,3                     ,5                      ,+                                  ,12                ,                    ,-                           ,3                            ,                      ,                    ,6                  ,                  ,                     ,2                                              ,1                        ,                  ,                      ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,a counted= 5.66 mm2 a slide= 484 mm2 no silicoflagellates?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 16,H,CC,  19.00,    144.4900,Lange    ,Diatoms                                      ,A              ,                  ,563                                           ,110                   ,11             ,330                              ,3                              ,3                     ,8                     ,2                      ,+                                  ,4                 ,                    ,9                           ,                             ,1                     ,                    ,10                 ,3                 ,                     ,1                                              ,1                        ,+                 ,                      ,1                     ,1                        ,                        ,               ,                  ,1                     ,1                     ,2                 ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,"a counted= 0.456  mm2 a counted= 5.58 mm2 a slide= 484 mm2 *fragm. Ethmodiscus aggregates T. nitzsch., large lanceolate"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 16B       ,175,1075,A, 17,H,CC,  24.00,    154.2000,Lange    ,Diatoms                                      ,C              ,                  ,245                                           ,37                    ,9              ,294                              ,4                              ,1                     ,4                     ,                       ,                                   ,                  ,                    ,9                           ,2                            ,3                     ,1                   ,15                 ,1                 ,1                    ,3                                              ,                         ,                  ,2                     ,1                     ,+                        ,                        ,               ,                  ,+                     ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,a counted= 5.58 mm2 a slide= 484 mm2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 16B       ,175,1075,A, 18,H,CC,  15.00,    163.6800,Lange    ,Diatoms                                      ,C              ,                  ,505                                           ,13                    ,8              ,208                              ,1                              ,                      ,1                     ,1                      ,+                                  ,                  ,                    ,2                           ,                             ,                      ,1                   ,4                  ,                  ,                     ,1                                              ,1                        ,                  ,                      ,1                     ,+                        ,1                       ,1              ,1                 ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,a counted= 5.854 mm2 a slide= 484 mm2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 16B       ,175,1075,A, 19,H, 7,  80.00,    172.8000,Lange    ,Diatoms                                      ,A              ,                  ,42                                            ,5                     ,6              ,88                               ,4                              ,                      ,4                     ,                       ,1                                  ,13                ,2                   ,5                           ,                             ,                      ,                    ,2                  ,                  ,                     ,1                                              ,                         ,                  ,1                     ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,"a counted= 0.684 mm2 a slide= 484 mm2 pyrite, brownish flocs *fragm Ethmodiscus"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 16B       ,175,1075,A, 20,H,CC,  19.00,    183.1600,Lange    ,Diatoms                                      ,A              ,                  ,65                                            ,5                     ,-              ,42                               ,1                              ,9                     ,1                     ,                       ,2                                  ,                  ,                    ,1                           ,1                            ,2                     ,                    ,8                  ,                  ,                     ,2                                              ,2                        ,1                 ,+                     ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,"a counted= 0.639 mm2 a counted= 0.639 mm2 a slide= 484 mm2 pyrite in diatoms(T. punctigera present), setae Chaet."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NTD 16B       ,175,1075,A, 21,H, 7,  15.00,    191.1500,Lange    ,Diatoms                                      ,A              ,                  ,21                                            ,2                     ,3              ,70                               ,                               ,10                    ,5                     ,                       ,+                                  ,9                 ,1                   ,4                           ,1                            ,5                     ,+                   ,2                  ,2                 ,3                    ,                                               ,                         ,                  ,                      ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,area counted= 0.50 mm2 a slide= 484 mm2 *pyrite *T. punctigera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,175,1075,A, 22,H,CC,  19.00,    201.5900,Lange    ,Diatoms                                      ,A              ,                  ,67                                            ,28                    ,45             ,13                               ,3                              ,15                    ,3                     ,2                      ,                                   ,                  ,                    ,                            ,                             ,                      ,                    ,                   ,                  ,                     ,                                               ,                         ,                  ,                      ,                      ,                         ,                        ,               ,                  ,                      ,                      ,                  ,                               ,                     ,                ,               ,                            ,                           ,                        ,                         ,                    ,                    ,                   ,                                       ,a counted= 0.547 mm2 a slide= 484 mm2 small-size specimens!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
