Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Stichocorys delmontensis,Didymocyrtis laticonus,Didymocyrtis antepenultima,Diartus petterssoni,Diartus hughesi,Calocycletta caepa,Phormostichoartus fistula,Lychnodictyum audax,Siphostichartus corona,Phormostichoartus doliolum,Didymocyrtis penultima,Dendrospyris bursa,Anthocyrtidium pliocenica,Lithopera bacca,Acrobotrys tritubus,Stichocorys johnsoni,Solenosphaera omnitubus,Didymocyrtis avita,Anthocyrtidium michelinae,Spongaster berminghami,Pterocanium prismatium,Amphirhopalum ypsilon,Anthocyrtidium jenghisi,Didymocyrtis tetrathalamus,Spongaster tetras,Pterocorys campanula,Lamprocyrtis neoheteroporos,Anthocyrtidium angulare,Theocorythium trachelium,Stylatractus universus,Lamprocyrtis nigriniae,Anthocyrtidium euryclathrum,Pterocorys hertwigii,Collosphaera tuberosa,Collosphaera orthoconus,Buccinosphaera invaginata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare RN13  ,              ,115, 710,A,  2,H, 4,  70.00,     14.7000,Johnson  ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                      ,                          ,                   ,               ,                  ,                         ,                   ,                      ,                          ,                      ,                  ,                         ,               ,                   ,                    ,                       ,                  ,R                        ,                      ,-                     ,F                    ,-                      ,C                         ,                 ,F                   ,F                          ,R                      ,R                       ,R                     ,-                     ,-                          ,-                   ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN12              ,              ,115, 710,A,  2,H, 6,  70.00,     17.7000,Johnson  ,Radiolarians                                 ,F              ,M                 ,-                    ,                        ,                      ,                          ,                   ,               ,                  ,                         ,                   ,                      ,                          ,                      ,                  ,                         ,               ,                   ,                    ,                       ,                  ,R                        ,                      ,F                     ,F                    ,-                      ,C                         ,                 ,F                   ,F                          ,-                      ,R                       ,R                     ,-                     ,-                          ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN12              ,              ,115, 710,A,  2,H,CC,  10.00,     19.0500,Johnson  ,Radiolarians                                 ,C              ,G                 ,-                    ,                        ,                      ,                          ,                   ,               ,                  ,-                        ,-                  ,                      ,-                         ,                      ,                  ,                         ,               ,                   ,                    ,                       ,                  ,F                        ,                      ,R                     ,F                    ,-                      ,R                         ,R                ,F                   ,F                          ,-                      ,F                       ,R                     ,-                     ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,RN12              ,              ,115, 710,A,  3,H, 2,  70.00,     21.4000,Johnson  ,Radiolarians                                 ,F              ,G                 ,-                    ,                        ,                      ,                          ,                   ,               ,                  ,-                        ,-                  ,                      ,-                         ,                      ,                  ,-                        ,F              ,                   ,                    ,                       ,-                 ,R                        ,                      ,R                     ,F                    ,F                      ,R                         ,                 ,R                   ,R                          ,-                      ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 710,A,  3,H, 3,  95.00,     23.1500,Johnson  ,Radiolarians                                 ,F              ,G                 ,F                    ,-                       ,                      ,                          ,                   ,               ,                  ,-                        ,-                  ,                      ,-                         ,                      ,                  ,-                        ,               ,                   ,                    ,                       ,-                 ,F                        ,                      ,F                     ,F                    ,F                      ,F                         ,F                ,R                   ,R                          ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 710,A,  3,H,CC,   9.00,     23.7900,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,-                       ,                      ,                          ,                   ,               ,                  ,VR                       ,-                  ,                      ,-                         ,                      ,                  ,R                        ,               ,                   ,                    ,                       ,R                 ,F                        ,                      ,F                     ,R                    ,F                      ,F                         ,F                ,F                   ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 710,A,  4,H, 2,  70.00,     31.0000,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,-                       ,                      ,                          ,                   ,               ,                  ,R                        ,R                  ,-                     ,F                         ,                      ,                  ,R                        ,               ,                   ,                    ,-                      ,R                 ,C                        ,                      ,C                     ,VR                   ,F                      ,F                         ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 710,A,  4,H, 4,  70.00,     34.0000,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,-                       ,                      ,                          ,                   ,               ,                  ,R                        ,R                  ,-                     ,F                         ,                      ,                  ,F                        ,C              ,-                  ,-                   ,-                      ,F                 ,C                        ,-                     ,R                     ,-                    ,R                      ,R                         ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. pentas         ,              ,115, 710,A,  4,H, 6,  70.00,     37.0000,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,-                       ,                      ,                          ,                   ,               ,                  ,R                        ,F                  ,-                     ,C                         ,-                     ,                  ,R                        ,               ,-                  ,-                   ,-                      ,F                 ,F                        ,-                     ,F                     ,-                    ,F                      ,R                         ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 710,A,  4,H,CC,   9.00,     38.4800,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,VR                      ,                      ,                          ,                   ,               ,                  ,F                        ,R                  ,-                     ,C                         ,-                     ,                  ,R                        ,C              ,-                  ,-                   ,R                      ,F                 ,F                        ,R                     ,VR                    ,-                    ,R                      ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 710,A,  6,H, 2,  75.00,     50.1500,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,VR                      ,                      ,                          ,                   ,               ,                  ,R                        ,F                  ,F                     ,C                         ,-                     ,                  ,F                        ,               ,R                  ,R                   ,R                      ,C                 ,F                        ,                      ,-                     ,-                    ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 710,A,  6,H, 4,  45.00,     52.8500,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,VR                      ,                      ,                          ,                   ,               ,                  ,R                        ,R                  ,R                     ,C                         ,R                     ,                  ,R                        ,               ,R                  ,R                   ,F                      ,F                 ,                         ,R                     ,-                     ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 710,A,  6,H, 6,  75.00,     56.1500,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,F                       ,                      ,-                         ,                   ,               ,                  ,R                        ,F                  ,R                     ,C                         ,F                     ,-                 ,F                        ,               ,R                  ,F                   ,R                      ,C                 ,R                        ,R                     ,-                     ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 710,A,  6,H,CC,  14.00,     57.4300,Johnson  ,Radiolarians                                 ,F              ,M                 ,C                    ,C                       ,                      ,-                         ,                   ,-              ,                  ,R                        ,F                  ,R                     ,R                         ,F                     ,-                 ,F                        ,               ,R                  ,R                   ,R                      ,F                 ,                         ,                      ,-                     ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S. peregrina(SWSR85),              ,115, 710,A,  7,H, 2,  70.00,     59.7000,Johnson  ,Radiolarians                                 ,C              ,G                 ,C                    ,F                       ,                      ,-                         ,                   ,-              ,                  ,R                        ,F                  ,R                     ,C                         ,R                     ,R                 ,                         ,               ,R                  ,R                   ,R                      ,R                 ,                         ,R                     ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. penultima (RN8),              ,115, 710,A,  7,H, 4,  70.00,     62.7000,Johnson  ,Radiolarians                                 ,C              ,G                 ,F                    ,C                       ,                      ,R                         ,                   ,-              ,VR                ,R                        ,                   ,F                     ,C                         ,F                     ,R                 ,                         ,F              ,R                  ,R                   ,-                      ,VR                ,R                        ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. penultima (RN8),              ,115, 710,A,  7,H, 6,  70.00,     65.7000,Johnson  ,Radiolarians                                 ,C              ,M                 ,F                    ,C                       ,                      ,VR                        ,                   ,R              ,                  ,R                        ,F                  ,R                     ,C                         ,C                     ,R                 ,R                        ,               ,R                  ,R                   ,-                      ,                  ,                         ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. penultima (RN8),              ,115, 710,A,  7,H,CC,   9.00,     66.9700,Johnson  ,Radiolarians                                 ,F              ,M                 ,R                    ,F                       ,                      ,R                         ,                   ,VR             ,                  ,R                        ,R                  ,F                     ,F                         ,F                     ,                  ,R                        ,R              ,-                  ,                    ,                       ,                  ,                         ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. antepenultima RN7,              ,115, 710,A,  8,H, 2,  70.00,     69.3000,Johnson  ,Radiolarians                                 ,C              ,M                 ,-                    ,R                       ,                      ,C                         ,-                  ,C              ,                  ,R                        ,R                  ,                      ,R                         ,R                     ,F                 ,                         ,               ,-                  ,                    ,                       ,                  ,                         ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. antepenultima RN7,              ,115, 710,A,  8,H, 4,  70.00,     72.3000,Johnson  ,Radiolarians                                 ,F              ,M                 ,-                    ,R                       ,R                     ,R                         ,-                  ,R              ,-                 ,                         ,F                  ,                      ,                          ,VR                    ,                  ,                         ,R              ,                   ,                    ,                       ,                  ,                         ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. antepenultima RN7,              ,115, 710,A,  8,H, 6,  70.00,     75.3000,Johnson  ,Radiolarians                                 ,F              ,P                 ,-                    ,R                       ,VR                    ,R                         ,-                  ,R              ,-                 ,                         ,F                  ,                      ,                          ,-                     ,                  ,                         ,R              ,                   ,                    ,                       ,                  ,                         ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. antepenultima RN7,              ,115, 710,A,  8,H,CC,  19.00,     76.2200,Johnson  ,Radiolarians                                 ,C              ,G                 ,-                    ,F                       ,VR                    ,C                         ,-                  ,F              ,-                 ,R                        ,F                  ,                      ,F                         ,-                     ,R                 ,R                        ,               ,                   ,                    ,                       ,                  ,                         ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,115, 710,A,  9,H, 2,  70.00,     78.8000,Johnson  ,Radiolarians                                 ,F              ,M                 ,-                    ,F                       ,R                     ,-                         ,F                  ,VR             ,-                 ,R                        ,F                  ,R                     ,R                         ,-                     ,                  ,                         ,               ,                   ,                    ,                       ,                  ,                         ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,115, 710,A,  9,H, 4,  70.00,     81.8000,Johnson  ,Radiolarians                                 ,F              ,P                 ,-                    ,F                       ,R                     ,-                         ,R                  ,-              ,-                 ,R                        ,F                  ,                      ,                          ,                      ,                  ,                         ,               ,                   ,                    ,                       ,                  ,                         ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. petterssoni (RN6),              ,115, 710,A,  9,H, 6,  70.00,     84.8000,Johnson  ,Radiolarians                                 ,F              ,P                 ,-                    ,F                       ,R                     ,-                         ,R                  ,-              ,R                 ,                         ,                   ,                      ,                          ,                      ,                  ,                         ,               ,                   ,                    ,                       ,                  ,                         ,                      ,                      ,                     ,                       ,                          ,                 ,                    ,                           ,                       ,                        ,                      ,                      ,                           ,                    ,                     ,                       ,                         ,from 115 SR. Chapter 22. Table 5. page 399.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
