Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera (unspecified taxon or taxa)	Sphenolithus pseudoradians	Sphenolithus predistentus	Sphenolithus moriformis	Reticulofenestra umbilica	Reticulofenestra (unspecified taxon or taxa)	Pontosphaera (unspecified taxon or taxa)	Helicosphaera recta	Helicosphaera compacta	Discoaster tanii	Discoaster deflandrei	Cyclicargolithus floridanus	Cyclicargolithus (unspecified taxon or taxa)	Coronocyclus (unspecified taxon or taxa)	Coccolithus pelagicus	Coccolithus formosus	Coccolithus (unspecified taxon or taxa)	Clausicoccus (unspecified taxon or taxa)	Zeugrhabdotus (unspecified taxon or taxa)	Reticulofenestra hillae	Discoaster barbadiensis	Braarudosphaera spp.	Sphenolithus distentus	Micrantholithus (unspecified taxon or taxa)	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Sphenolithus (unspecified taxon or taxa)	Reticulofenestra pseudoumbilica	Discoaster variabilis	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster brouweri	Discoaster bollii	Calcidiscus macintyrei	Triquetrorhabdulus rugosus	Discoaster triradiatus	Discoaster hamatus	Calcidiscus (unspecified taxon or taxa)	Discoaster quinqueramus	Discoaster berggrenii	Discoaster surculus	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus sp. c	Rhabdosphaera (unspecified taxon or taxa)	Discoaster asymmetricus	Ceratolithus (unspecified taxon or taxa)	Helicosphaera (unspecified taxon or taxa)	Amaurolithus tricorniculatus	Crenalithus (unspecified taxon or taxa)	Ceratolithus cristatus	Umbilicosphaera (unspecified taxon or taxa)	Scyphosphaera (unspecified taxon or taxa)	Pseudoemiliania (unspecified taxon or taxa)	Ceratolithus rugosus	Pontosphaera japonica	Discoaster tamalis	Hayaster perplexus	Scapholithus (unspecified taxon or taxa)	Helicosphaera sellii	Gephyrocapsids (small)	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Ceratolithus armatus	Comment

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  1	H	CC	  12.00	      7.1900	Clark    	Nannofossils                                 	A              	G                 	F                                         	                          	                         	                       	                         	rR                                          	R                                       	                   	                      	                	                     	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	rR                   	                        	                     	rR                 	                 	rR                    	                          	                      	                  	C                                      	rR                     	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	C                                      	C                     	C                                          	C                                        	A                                          	                    	                     	                  	                  	                                        	                    	A                     	A                    	C                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  2	H	 1	  89.00	      8.2900	Clark    	Nannofossils                                 	C              	M                 	C                                         	                          	                         	                       	rR                       	                                            	R                                       	                   	                      	                	                     	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	rR                                      	                               	                     	                        	                     	                   	                 	rR                    	                          	                      	                  	C                                      	rR                     	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	C                                      	C                     	C                                          	F                                        	R                                          	                    	                     	                  	                  	R                                       	                    	C                     	A                    	                         	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  2	H	 2	  89.00	      9.7900	Clark    	Nannofossils                                 	C              	G                 	F                                         	                          	                         	                       	                         	                                            	R                                       	                   	                      	                	                     	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	rR                                      	                               	rR                   	                        	                     	rR                 	                 	                      	                          	                      	                  	C                                      	                       	                     	rR                 	                   	                      	                  	C                                        	                       	                                        	C                                        	                            	C                                      	F                     	C                                          	C                                        	R                                          	                    	                     	                  	                  	                                        	                    	C                     	A                    	                         	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  2	H	 4	  89.00	     12.7900	Clark    	Nannofossils                                 	C              	M                 	R                                         	                          	                         	                       	                         	                                            	                                        	                   	                      	                	                     	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	R                   	                      	                                           	                            	                        	rR                                      	                               	                     	                        	                     	                   	                 	                      	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	R                                        	                            	C                                      	R                     	C                                          	F                                        	C                                          	                    	                     	                  	                  	                                        	                    	rC                    	A                    	A                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  2	H	 5	  89.00	     14.2900	Clark    	Nannofossils                                 	C              	M                 	F                                         	                          	                         	                       	                         	                                            	                                        	                   	                      	                	rR                   	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	R                   	                      	                                           	                            	                        	rR                                      	rR                             	                     	rR                      	                     	rR                 	                 	                      	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	C                                      	F                     	F                                          	C                                        	A                                          	                    	                     	rR                	                  	                                        	                    	F                     	C                    	                         	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  2	H	 6	  89.00	     15.7900	Clark    	Nannofossils                                 	C              	M                 	F                                         	                          	                         	                       	                         	                                            	F                                       	                   	                      	                	                     	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	                        	                     	                   	                 	                      	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	F                                        	                       	                                        	F                                        	                            	C                                      	F                     	F                                          	F                                        	A                                          	                    	                     	                  	                  	                                        	                    	C                     	A                    	                         	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  2	H	CC	  32.00	     17.4300	Clark    	Nannofossils                                 	C              	M                 	F                                         	                          	                         	                       	                         	                                            	F                                       	                   	                      	                	                     	                           	                                            	                                        	                     	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	rR                                      	                               	                     	                        	                     	rR                 	                 	                      	                          	                      	                  	A                                      	                       	                     	                   	                   	                      	                  	F                                        	                       	                                        	R                                        	                            	A                                      	F                     	F                                          	F                                        	C                                          	                    	                     	                  	                  	                                        	                    	C                     	C                    	                         	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  3	H	 1	  78.00	     17.6800	Clark    	Nannofossils                                 	C              	P                 	F                                         	                          	                         	rR                     	                         	                                            	                                        	                   	                      	                	                     	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	rR                      	                     	                   	                 	                      	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	F                                        	                       	                                        	R                                        	                            	A                                      	F                     	C                                          	F                                        	A                                          	                    	                     	                  	                  	                                        	                    	                      	                     	                         	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  3	H	 2	  78.00	     19.1800	Clark    	Nannofossils                                 	C              	M                 	F                                         	                          	                         	                       	                         	                                            	F                                       	                   	                      	                	                     	                           	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	rR                                      	                               	                     	                        	                     	rR                 	                 	                      	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	C                                      	F                     	C                                          	C                                        	A                                          	                    	R                    	                  	                  	                                        	                    	C                     	C                    	C                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	P. lacunosa       	              	110	 671	B	  3	H	 3	  78.00	     20.6800	Clark    	Nannofossils                                 	C              	M                 	C                                         	                          	                         	                       	                         	                                            	F                                       	                   	                      	                	                     	                           	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	rR                      	                     	                   	                 	                      	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	C                                      	F                     	C                                          	C                                        	A                                          	                    	R                    	                  	                  	                                        	                    	A                     	C                    	C                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	H. sellii         	              	110	 671	B	  3	H	 4	  78.00	     22.1800	Clark    	Nannofossils                                 	A              	G                 	F                                         	                          	                         	                       	                         	                                            	F                                       	                   	                      	                	                     	                           	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	                        	                     	rR                 	                 	F                     	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	C                                      	F                     	C                                          	C                                        	A                                          	                    	R                    	                  	                  	                                        	F                   	V                     	C                    	C                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	H. sellii         	              	110	 671	B	  3	H	 5	  78.00	     23.6800	Clark    	Nannofossils                                 	C              	M                 	F                                         	                          	                         	rR                     	                         	                                            	F                                       	                   	                      	                	                     	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	rR                      	                     	                   	                 	C                     	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	F                                      	F                     	C                                          	F                                        	C                                          	                    	                     	                  	                  	                                        	F                   	A                     	A                    	C                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	H. sellii         	              	110	 671	B	  3	H	CC	  12.00	     25.6800	Clark    	Nannofossils                                 	C              	G                 	F                                         	                          	                         	                       	                         	                                            	F                                       	                   	                      	                	rR                   	                           	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	rR                                      	                               	rR                   	                        	                     	                   	                 	C                     	                          	                      	                  	A                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	F                                      	C                     	C                                          	C                                        	A                                          	                    	F                    	                  	                  	                                        	F                   	A                     	A                    	C                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	H. sellii         	              	110	 671	B	  4	H	 1	  80.00	     27.2000	Clark    	Nannofossils                                 	C              	M                 	F                                         	                          	                         	                       	                         	                                            	F                                       	                   	                      	                	                     	rR                         	                                            	                                        	F                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	rR                      	                     	                   	                 	C                     	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	C                                      	F                     	F                                          	F                                        	C                                          	                    	                     	                  	                  	                                        	R                   	C                     	A                    	F                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	H. sellii         	              	110	 671	B	  4	H	 2	  80.00	     28.7000	Clark    	Nannofossils                                 	C              	P                 	F                                         	                          	                         	                       	                         	                                            	                                        	                   	                      	                	                     	                           	                                            	                                        	R                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	                        	                     	                   	                 	F                     	                          	                      	                  	F                                      	                       	                     	                   	                   	                      	                  	F                                        	                       	                                        	F                                        	                            	F                                      	F                     	F                                          	                                         	C                                          	                    	                     	                  	                  	                                        	                    	F                     	C                    	F                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	C.macintyrei (Gart.)	              	110	 671	B	  4	H	 3	  80.00	     30.2000	Clark    	Nannofossils                                 	C              	G                 	F                                         	                          	                         	                       	                         	                                            	F                                       	                   	                      	                	                     	                           	                                            	                                        	                     	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	                                        	                               	                     	                        	                     	                   	                 	C                     	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	F                                        	                            	F                                      	F                     	C                                          	C                                        	C                                          	                    	R                    	                  	                  	                                        	F                   	C                     	C                    	F                        	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.

  SR	Early Pleistocene	                 	C.macintyrei (Gart.)	              	110	 671	B	  4	H	 4	  80.00	     31.7000	Clark    	Nannofossils                                 	A              	G                 	C                                         	                          	                         	                       	                         	                                            	C                                       	                   	                      	                	rR                   	rR                         	                                            	                                        	R                    	                    	                                       	                                        	                                         	                       	                       	                    	                      	                                           	                            	                        	rF                                      	                               	                     	                        	                     	                   	                 	C                     	                          	                      	                  	C                                      	                       	                     	                   	                   	                      	                  	C                                        	                       	                                        	C                                        	                            	C                                      	F                     	C                                          	C                                        	A                                          	                    	F                    	                  	                  	                                        	F                   	A                     	C                    	                         	                    	from ODP 110 SR. Chapter 9. Table 1. back pocket microfiche.
