Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum speculum (multiwindowed)	Distephanus speculum speculum	Distephanus quinquangellus	Distephanus crux	Dictyocha varia	Dictyocha subclinata (long axis)	Dictyocha extnesa extensa (medusid)	Bachmannocena circulus	Dictyocha subclinata (short axis)	Dictyocha fibula fibula	Dictyocha extensa extensa	Bachmannocena elliptica	Dictyocha fibula ausonia	Dictyocha varia (cruxid)	Dictyocha fibula mutabilis	Hermesinum adriaticum	Dictyocha perlaevis perlaevis	Distephanus speculum tenuis	Distephanus pulchra	Dictyocha clinata	Dictyocha sp.	Bachmannocena diodon nodosa f. transenna	Bachmannocena diodon nodosa f. cocoensis	Bachmannocena diodon nodosa	Parathranium tenuipes	Dictyocha extensa longa	Distephanus speculum speculum (5-sided)	Dictyocha messanensis (5-sided)	Dictyocha messanensis	Dictyocha perlaevis flexatella	Dictyocha calida calida	Distephanus boliviensis	Dictyocha delicata bisecta	Bachmannocena quadrangula	Dictyocha aculeata subaculeata	Dictyocha aculeata aculeata	Comment
  SR	Late Pliocene    	                 	D. messanensis    	              	138	 851	B	  5	H	 1	 120.00	     37.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	4                            	67                        	                	               	                                	                                   	                      	                                 	                       	2                        	                       	                        	                        	                          	                     	4                            	                           	                   	                 	172          	                                        	                                        	                           	                     	15                     	10                                     	                               	23                   	3                             	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Pliocene    	                 	D. messanensis    	              	138	 851	B	  6	H	 1	 120.00	     46.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	17                           	                          	                	               	                                	                                   	2                     	                                 	                       	38                       	                       	                        	                        	                          	                     	20                           	                           	                   	                 	134          	                                        	                                        	                           	                     	14                     	                                       	                               	40                   	31                            	                       	6                      	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Pliocene    	                 	D. messanensis    	              	138	 851	B	  7	H	 1	 120.00	     56.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	5                                            	42                           	                          	                	               	                                	                                   	                      	                                 	10                     	18                       	                       	2                       	                        	1                         	1                    	7                            	                           	                   	                 	81           	                                        	                                        	                           	                     	19                     	                                       	                               	7                    	14                            	1                      	1                      	92                        	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Pliocene    	                 	D. messanensis    	              	138	 851	B	  8	H	 1	 120.00	     65.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	19                           	                          	                	               	                                	                                   	                      	                                 	5                      	21                       	                       	                        	                        	                          	1                    	4                            	                           	                   	                 	37           	                                        	                                        	                           	                     	11                     	                                       	                               	1                    	1                             	1                      	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 100; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Early Pliocene   	                 	D. messanensis    	              	138	 851	B	  9	H	 1	  50.00	     74.5000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	55                           	                          	                	51             	                                	                                   	                      	                                 	2                      	                         	                       	                        	                        	                          	                     	                             	                           	                   	                 	149          	                                        	                                        	                           	                     	37                     	3                                      	1                              	2                    	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Early Pliocene   	                 	D. extensa        	              	138	 851	B	 10	H	 1	 120.00	     84.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	40                           	                          	4               	3              	                                	                                   	                      	                                 	20                     	                         	                       	                        	                        	                          	                     	3                            	                           	                   	                 	226          	                                        	                                        	                           	                     	4                      	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 1; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Early Pliocene   	                 	D. extensa        	              	138	 851	B	 11	H	 1	 120.00	     94.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	34                           	                          	                	92             	                                	                                   	5                     	                                 	                       	2                        	                       	3                       	                        	                          	                     	1                            	                           	                   	                 	168          	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 1; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. extensa        	              	138	 851	B	 12	H	 1	  34.00	    102.8400	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	146                          	                          	7               	11             	                                	                                   	                      	                                 	18                     	8                        	29                     	                        	                        	                          	                     	                             	                           	                   	                 	78           	                                        	                                        	                           	2                    	3                      	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. extensa        	              	138	 851	B	 12	H	 4	 120.00	    108.2300	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	41                           	                          	3               	44             	                                	                                   	                      	                                 	1                      	7                        	1                      	1                       	                        	                          	                     	                             	                           	                   	                 	2            	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 100; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. extensa        	              	138	 851	B	 13	H	 1	 120.00	    113.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	48                           	1                         	2               	2              	                                	                                   	                      	                                 	11                     	30                       	                       	9                       	                        	                          	                     	                             	                           	                   	                 	4            	165                                     	12                                      	16                         	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 2; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. extensa        	              	138	 851	B	 13	H	 4	 120.00	    117.7400	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	49                           	                          	1               	17             	                                	                                   	                      	                                 	4                      	27                       	                       	                        	                        	                          	                     	                             	                           	                   	                 	2            	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 4; Total count = 100; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	Ds. speculum tenuis	              	138	 851	B	 14	H	 1	 120.00	    122.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	111                          	                          	4               	               	                                	                                   	                      	                                 	15                     	                         	                       	4                       	                        	3                         	1                    	125                          	38                         	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	Ds. speculum tenuis	              	138	 851	B	 15	H	 1	 120.00	    132.2000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	17                           	1                         	26              	1              	                                	                                   	                      	                                 	                       	150                      	                       	91                      	                        	1                         	                     	11                           	                           	                   	2                	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 1; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	Ds. speculum tenuis	              	138	 851	B	 16	X	 1	 120.00	    141.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	18                           	12                        	                	1              	                                	                                   	                      	                                 	71                     	159                      	                       	14                      	                        	17                        	                     	5                            	3                          	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 2; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	Ds. speculum tenuis	              	138	 851	B	 17	X	 1	 120.00	    151.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	21                           	                          	                	1              	                                	                                   	                      	                                 	43                     	199                      	                       	3                       	                        	10                        	                     	8                            	15                         	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 1; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	Ds. speculum tenuis	              	138	 851	B	 18	X	 1	 120.00	    161.0000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	18                           	                          	                	               	                                	                                   	                      	                                 	46                     	154                      	                       	6                       	                        	8                         	                     	2                            	65                         	1                  	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	Ds. speculum tenuis	              	138	 851	B	 19	X	 1	 120.00	    170.6000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	106                          	                          	                	28             	                                	                                   	                      	                                 	58                     	77                       	9                      	15                      	                        	                          	1                    	                             	7                          	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 1; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. varia          	              	138	 851	B	 20	X	 1	 120.00	    180.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	68                           	                          	                	9              	                                	                                   	                      	                                 	21                     	198                      	                       	1                       	                        	                          	1                    	3                            	                           	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. varia          	              	138	 851	B	 21	X	 1	 120.00	    189.5000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	24                           	                          	                	97             	                                	                                   	                      	                                 	2                      	176                      	                       	                        	                        	1                         	                     	                             	                           	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. varia          	              	138	 851	B	 22	X	 1	 120.00	    198.7000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                                            	62                           	                          	                	172            	2                               	2                                  	                      	                                 	40                     	21                       	                       	                        	1                       	                          	                     	                             	                           	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. varia          	              	138	 851	B	 23	X	 1	 120.00	    208.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                             	151                          	                          	2               	114            	                                	                                   	                      	                                 	20                     	6                        	                       	7                       	                        	                          	                     	                             	                           	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 4; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. varia          	              	138	 851	B	 24	X	 1	 120.00	    218.0000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                                            	28                           	                          	                	238            	                                	1                                  	                      	                                 	9                      	7                        	15                     	                        	                        	                          	                     	                             	                           	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. varia          	              	138	 851	B	 25	X	 1	 120.00	    227.6000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	2                                            	19                           	29                        	15              	153            	52                              	1                                  	                      	14                               	1                      	14                       	                       	                        	                        	                          	                     	                             	                           	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 300; from ODP 138SR Chapter 8 Table 8 p 142-143

  SR	Late Miocene     	                 	D. varia          	              	138	 851	B	 26	X	 1	 120.00	    237.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	1                                            	96                           	1                         	2               	197            	1                               	1                                  	1                     	                                 	                       	                         	                       	                        	                        	                          	                     	                             	                           	                   	                 	             	                                        	                                        	                           	                     	                       	                                       	                               	                     	                              	                       	                       	                          	                         	                              	                           	Aberrant specimens = 0; Total count = 299; from ODP 138SR Chapter 8 Table 8 p 142-143

