Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina peregrina,Stilostomella cf. consobrina,Oridorsalis umbonatus,Nodogenerina adolphina,Melonis barleeanus,Gyroidina neosoldanii,Frondicularia sp.,Dentalina sp.,Cibicides corpulentus,Bulimina striata mexicana,Trifarina angulosa,Globocassidulina subglobosa,Fissurina sp.,Cibicidoides mckannai,Globobulimina affinis,Cibicidoides wuellerstorfi,Bulimina striata striata,Uvigerina auberiana,Pullenia bulloides,Pleurostomella alternans,Nonionella auris,Cibicidoides hitchcockae,Hoeglundina elegans,Melonis pompilioides,Gyroidina orbicularis,Chilostomella ovoidea,Pyrgo murrhina,Uvigerina hollicki,Uvigerina bifurcata,Globobulimina turgida,Mucronina sp.,Gyroidina zelandica,Bulimina denudata,Bucella peruviana,Quinqueloculina seminulum,Miliolinella subrotundata,Cassidulina laevigata,Cassidulina crassa,Glandulina laevigata,Lagena sp.,Cibicidoides bradyi,Nonion sp.,Lagena gracillima,Cibicides lobatulus,Dentalina filiformis,"Clavulina sp. ""A""",Globobulimina spinifera,Uvigerina senticosa,Lagena striata,Epistominella pacifica,Dentalina communis,Bulimina alazanensis,Buliminella tenuata,Ehrenbergina glabra,Pullenia quinqueloba,Triloculina tricarinata,Cassidulinoides parkerae,Bolivina spissa,Astrononion sp.,Parafissurina ovata,Stainforthia complanata,Valvulineria laevigata,Cassidulinoides tenuis,Bolivina sp.,Pyrgo serrata,Martinottiella communis,Karreriella bradyi,Hormosina globulifera,Pyrgo oblonga,Miliolinella oblonga,Lenticulina sp.,Discanomalina coronata,Nonionella sp.,Hanzawaia sp.,Saccammina sphaerica,Anomalina globulosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  2,H, 4,  60.00,      8.1000,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,F                  ,                            ,R                    ,                      ,R                 ,                     ,                 ,             ,                     ,                         ,R                 ,                           ,R            ,                     ,R                    ,                          ,F                       ,                   ,R                 ,                        ,R               ,R                       ,F                  ,                    ,                     ,R                    ,R             ,                  ,R                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,                   ,              ,                      ,                  ,                    ,R                  ,                   ,R                   ,                       ,                        ,               ,               ,                   ,R                      ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  2,H, 6,  52.00,     11.0500,Spiegler ,Benthic Foraminifers                         ,R              ,M                 ,F                  ,                            ,R                    ,                      ,R                 ,                     ,                 ,             ,                     ,F                        ,R                 ,                           ,             ,                     ,                     ,                          ,R                       ,R                  ,R                 ,                        ,                ,R                       ,                   ,                    ,                     ,                     ,              ,                  ,R                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,R                   ,          ,                   ,R         ,R                ,                   ,                    ,                 ,                       ,                   ,              ,                      ,                  ,                    ,R                  ,                   ,                    ,                       ,                        ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,Rare unidentified taxa; from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  2,H,CC,  18.00,     12.8300,Spiegler ,Benthic Foraminifers                         ,C              ,G                 ,F                  ,                            ,R                    ,                      ,R                 ,R                    ,                 ,R            ,R                    ,R                        ,R                 ,                           ,R            ,                     ,F                    ,R                         ,                        ,                   ,R                 ,                        ,R               ,                        ,R                  ,                    ,                     ,R                    ,R             ,                  ,R                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,                    ,R         ,                   ,          ,R                ,R                  ,                    ,                 ,R                      ,R                  ,              ,R                     ,                  ,                    ,R                  ,                   ,                    ,R                      ,                        ,               ,               ,                   ,R                      ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  3,H, 2,  70.00,     14.7000,Spiegler ,Benthic Foraminifers                         ,A              ,M                 ,F                  ,                            ,R                    ,                      ,R                 ,R                    ,                 ,             ,                     ,R                        ,R                 ,                           ,             ,R                    ,                     ,F                         ,R                       ,                   ,R                 ,                        ,R               ,                        ,R                  ,                    ,                     ,                     ,R             ,                  ,F                  ,R                    ,             ,                   ,                 ,                 ,                         ,                         ,                     ,                  ,R                   ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,                   ,              ,R                     ,                  ,                    ,R                  ,                   ,                    ,R                      ,                        ,R              ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,R            ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  3,H, 3, 131.00,     16.8100,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,R                  ,                            ,R                    ,                      ,R                 ,                     ,                 ,             ,                     ,F                        ,R                 ,                           ,             ,                     ,R                    ,R                         ,R                       ,                   ,                  ,                        ,R               ,                        ,R                  ,                    ,                     ,                     ,              ,                  ,R                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,R                   ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,                   ,              ,R                     ,                  ,                    ,R                  ,                   ,                    ,                       ,                        ,R              ,               ,                   ,                       ,                      ,                      ,R           ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  3,H, 5,  60.00,     19.1000,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,F                  ,                            ,R                    ,                      ,R                 ,R                    ,                 ,             ,                     ,R                        ,R                 ,                           ,R            ,R                    ,                     ,                          ,R                       ,                   ,R                 ,                        ,                ,                        ,R                  ,                    ,R                    ,                     ,R             ,R                 ,R                  ,R                    ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,R                 ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,R                  ,              ,R                     ,                  ,                    ,                   ,                   ,                    ,                       ,                        ,               ,               ,                   ,R                      ,R                     ,                      ,            ,             ,                       ,R                 ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  3,H,CC,  41.00,     22.6600,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,R                  ,                            ,R                    ,                      ,                  ,R                    ,R                ,R            ,                     ,F                        ,                  ,                           ,R            ,                     ,R                    ,R                         ,R                       ,                   ,R                 ,                        ,                ,                        ,F                  ,                    ,                     ,R                    ,R             ,                  ,R                  ,R                    ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,R                   ,          ,                   ,          ,                 ,                   ,R                   ,                 ,R                      ,R                  ,R             ,                      ,                  ,                    ,R                  ,R                  ,R                   ,                       ,                        ,               ,               ,                   ,                       ,R                     ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,R                     ,              ,             ,                    ,                   ,Rare unidentified taxa; from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  4,H, 1,  37.00,     22.3700,Spiegler ,Benthic Foraminifers                         ,A              ,M                 ,R                  ,                            ,R                    ,                      ,R                 ,R                    ,                 ,             ,                     ,F                        ,R                 ,                           ,             ,                     ,R                    ,F                         ,R                       ,R                  ,                  ,                        ,                ,                        ,R                  ,                    ,                     ,                     ,              ,                  ,R                  ,R                    ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,R                 ,                    ,          ,                   ,          ,R                ,                   ,R                   ,R                ,                       ,R                  ,R             ,                      ,                  ,                    ,                   ,                   ,                    ,                       ,                        ,               ,               ,                   ,                       ,                      ,                      ,R           ,             ,                       ,                  ,                     ,             ,                    ,R              ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  4,H, 2,  70.00,     24.2000,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,R                  ,                            ,R                    ,                      ,                  ,                     ,                 ,             ,                     ,F                        ,                  ,                           ,R            ,                     ,R                    ,R                         ,R                       ,                   ,                  ,                        ,R               ,                        ,R                  ,                    ,                     ,                     ,              ,                  ,C                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,                    ,R         ,                   ,R         ,R                ,                   ,                    ,                 ,                       ,F                  ,              ,                      ,                  ,                    ,R                  ,                   ,                    ,                       ,                        ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  4,H, 4, 109.00,     27.5900,Spiegler ,Benthic Foraminifers                         ,R              ,M                 ,R                  ,                            ,                     ,                      ,                  ,                     ,                 ,             ,                     ,R                        ,                  ,                           ,             ,                     ,                     ,                          ,                        ,                   ,                  ,                        ,                ,                        ,R                  ,                    ,                     ,                     ,              ,                  ,F                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,F                  ,              ,R                     ,R                 ,                    ,R                  ,                   ,                    ,                       ,                        ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  4,H, 5,  68.00,     28.6800,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,F                  ,                            ,R                    ,                      ,R                 ,R                    ,                 ,             ,                     ,R                        ,                  ,                           ,R            ,                     ,R                    ,R                         ,                        ,                   ,R                 ,                        ,                ,                        ,F                  ,                    ,                     ,                     ,              ,                  ,R                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,R                  ,              ,                      ,                  ,                    ,                   ,                   ,                    ,                       ,                        ,               ,               ,                   ,                       ,R                     ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  4,H, 6,  66.00,     30.1600,Spiegler ,Benthic Foraminifers                         ,A              ,M                 ,R                  ,                            ,R                    ,                      ,                  ,                     ,                 ,             ,                     ,R                        ,                  ,                           ,             ,                     ,                     ,                          ,                        ,                   ,                  ,                        ,                ,                        ,R                  ,                    ,                     ,                     ,R             ,                  ,R                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,                     ,R                 ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,F                  ,              ,                      ,                  ,                    ,                   ,                   ,                    ,                       ,                        ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  4,H,CC,  50.00,     31.7700,Spiegler ,Benthic Foraminifers                         ,C              ,G                 ,F                  ,                            ,F                    ,                      ,                  ,R                    ,R                ,             ,                     ,F                        ,R                 ,                           ,R            ,                     ,R                    ,R                         ,R                       ,                   ,                  ,                        ,R               ,                        ,R                  ,                    ,                     ,                     ,R             ,                  ,R                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,                    ,          ,                   ,          ,                 ,R                  ,                    ,                 ,                       ,F                  ,              ,R                     ,                  ,                    ,R                  ,                   ,R                   ,R                      ,                        ,               ,               ,                   ,R                      ,                      ,                      ,            ,R            ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,Rare unidentified taxa; from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  5,H, 2,  10.00,     31.9000,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,R                  ,                            ,R                    ,                      ,                  ,                     ,                 ,             ,                     ,C                        ,R                 ,                           ,             ,                     ,R                    ,                          ,                        ,R                  ,                  ,                        ,                ,                        ,R                  ,                    ,                     ,                     ,              ,                  ,R                  ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,R                 ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,                   ,              ,R                     ,                  ,                    ,                   ,                   ,                    ,R                      ,                        ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,Rare unidentified taxa; from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  5,H, 3, 129.00,     34.5900,Spiegler ,Benthic Foraminifers                         ,R              ,M                 ,R                  ,                            ,                     ,                      ,R                 ,                     ,                 ,             ,                     ,R                        ,                  ,                           ,             ,                     ,R                    ,R                         ,                        ,                   ,R                 ,                        ,                ,                        ,R                  ,                    ,                     ,                     ,              ,                  ,                   ,                     ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,R                 ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,R                      ,C                  ,              ,R                     ,                  ,                    ,R                  ,                   ,                    ,                       ,                        ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,Rare unidentified taxa; from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  5,H, 4,  70.00,     35.5000,Spiegler ,Benthic Foraminifers                         ,R              ,P                 ,R                  ,                            ,                     ,                      ,                  ,                     ,                 ,             ,                     ,R                        ,                  ,                           ,             ,                     ,                     ,                          ,R                       ,                   ,                  ,                        ,                ,                        ,R                  ,                    ,                     ,                     ,              ,                  ,                   ,                     ,             ,                   ,                 ,                 ,                         ,                         ,                     ,                  ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,C                  ,              ,                      ,                  ,                    ,                   ,                   ,                    ,                       ,                        ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  5,H, 5,  59.00,     36.8900,Spiegler ,Benthic Foraminifers                         ,R              ,M                 ,R                  ,                            ,R                    ,                      ,                  ,                     ,R                ,             ,                     ,R                        ,R                 ,                           ,             ,R                    ,                     ,F                         ,                        ,                   ,                  ,                        ,R               ,R                       ,R                  ,                    ,                     ,                     ,              ,                  ,R                  ,R                    ,             ,                   ,                 ,                 ,                         ,                         ,R                    ,                  ,                    ,          ,                   ,          ,                 ,                   ,                    ,                 ,                       ,F                  ,              ,R                     ,                  ,                    ,                   ,                   ,                    ,                       ,                        ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,R              ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  5,H, 6, 130.00,     39.1000,Spiegler ,Benthic Foraminifers                         ,R              ,M                 ,                   ,                            ,R                    ,                      ,R                 ,                     ,                 ,             ,                     ,R                        ,                  ,R                          ,             ,                     ,                     ,R                         ,                        ,                   ,R                 ,                        ,R               ,                        ,R                  ,                    ,                     ,                     ,              ,                  ,F                  ,R                    ,             ,                   ,                 ,                 ,                         ,                         ,                     ,                  ,                    ,          ,                   ,          ,                 ,R                  ,                    ,                 ,                       ,                   ,              ,R                     ,                  ,                    ,R                  ,                   ,                    ,                       ,R                       ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,Rare unidentified taxa; from Leg 141SR; Ch 15; Table 1; back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,U. senticosa      ,              ,141, 861,C,  5,H, 7,   5.00,     39.3500,Spiegler ,Benthic Foraminifers                         ,C              ,M                 ,R                  ,                            ,R                    ,                      ,                  ,R                    ,                 ,             ,                     ,                         ,                  ,                           ,             ,                     ,                     ,F                         ,                        ,                   ,R                 ,                        ,                ,                        ,F                  ,                    ,                     ,                     ,              ,                  ,R                  ,                     ,             ,                   ,R                ,                 ,                         ,                         ,                     ,R                 ,R                   ,          ,                   ,          ,                 ,R                  ,                    ,                 ,                       ,R                  ,              ,R                     ,                  ,                    ,                   ,R                  ,                    ,                       ,                        ,               ,               ,                   ,                       ,                      ,                      ,            ,             ,                       ,                  ,                     ,             ,                    ,               ,                      ,              ,             ,                    ,                   ,from Leg 141SR; Ch 15; Table 1; back pocket
