Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia kugleri,Globorotalia cerroazulensis pomeroli,Globigerinoides primordius,Neogloboquadrina continuosa,Globorotalia mayeri,Globorotalia fohsi peripheroronda,Globoquadrina venezuelana,Globoquadrina praedehiscens,Globoquadrina dehiscens,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides quadrilobatus,Globigerinoides cf. altiapertura,Globigerinita glutinata,Globigerina angustiumbilicata,Catapsydrax dissimilis,Praeorbulina sicanus,Globigerinoides subquadratus,Globigerinoides immaturus,Catapsydrax unicavus,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Globigerina praebulloides,Globigerina decoraperta,Sphaeroidinellopsis disjuncta,Praeorbulina cf. sicanus,Globorotalia praescitula,Globorotalia bella,Globorotalia acrostoma,Globoquadrina tripartita,Globigerinoides obliquus,Globigerinella obesa,Praeorbulina transitoria,Praeorbulina glomerosa,Globorotalia archeomenardii,Orbulina suturalis,Globorotalia fohsi peripheroacuta,Globigerina druryi,Orbulina universa,Globigerina bulloides,Globorotalia praemenardii,Orbulina bilobata,Globorotalia fohsi fohsi,Globorotalia fohsi cf. lobata,Sphaeroidinellopsis subdehiscens,Globorotalia cf. scitula,Globigerinoides cf. mitra,Clavatorella bermudezi,Globorotalia fohsi lobata,Globorotalia scitula,Sphaeroidinellopsis seminulina,Globorotalia fohsi robusta,Globorotalia margaritae evoluta,Globorotalia inflata,Globorotalia exilis,Globoquadrina altispira globosa,Globigerina falconensis,Globorotalia aff. conoidea,Neogloboquadrina acostaensis,Globorotalia truncatulinoides,Globorotalia plesiotumida,Globorotalia limbata,Globorotalia cf. Gr. plesiotumida,Globigerinoides extremus,Globigerinoides conglobatus,Globigerinella aequilateralis,Globigerina nepenthes,Globorotalia menardii,Globigerinoides ruber,Globigerina woodi,Globorotalia merotumida,Globorotalia cf. paralenguaensis,Globigerinoides cf. conglobatus,Neogloboquadrina humerosa,Globorotalia paralenguaensis,Globorotalia juanai,Globorotalia cibaoensis,Globigerinoides cf. bollii,Globorotalia cf. Gr. multicamerata,Neogloboquadrina pseudopachyderma,Globigerinoides siegliei,Neogloboquadrina blowi,Hastigerina pelagica,Candeina nitida,Globigerinoides bulloideus,Sphaeroidinellopsis paenedehiscens,Globorotalia miocenica,Globorotalia margaritae margaritae,Globorotalia cf. Gr. juanai,Globoquadrina cf. baroemoenensis,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia multicamerata,Globorotalia flexuosa,Globorotalia cf. Gr. miocenica,Neogloboquadrina pseudopima,Globorotalia crassaformis oceanica,Globorotalia crassaformis crassaformis,Globorotalia aff. bermudezi,Globigerina rubescens,Globigerinoides trilobus fistulosus,Globigerinoides trilobus cf. fistulosus,Globorotalia pertenuis,Globorotalia crassaformis ronda,Globigerina incisa,Globorotalia crassaformis viola,Neogloboquadrina cf. acostaensis,Globorotalia planispira,Globorotalia tosaensis,Globorotalia crassaformis cf. hessi,Globorotalia ungulata,Globorotalia tumida,Globigerina calida calida,Globorotalia crassaformis hessi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. viola       ,              ,101, 627,B,  2,H, 3,  60.00,      9.4000,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,                        ,                             ,                                ,R                      ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,F                         ,                         ,R                      ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,F                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,D                   ,r                  ,                               ,R                      ,                          ,                            ,D                            ,                         ,                    ,                                 ,                        ,R                          ,R                            ,                     ,R                    ,F                    ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,r                     ,                                  ,                           ,                                ,R                        ,D                           ,R                         ,                          ,D                    ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,R                              ,                  ,T                              ,                                ,                       ,T                     ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. viola       ,              ,101, 627,B,  2,H, 6,  25.00,     13.5500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,F                       ,R                            ,                                ,R                      ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,F                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,F                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,r                  ,                               ,                       ,                          ,R                           ,T                            ,                         ,                    ,                                 ,                        ,R                          ,F                            ,                     ,R                    ,F                    ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,r                     ,                                  ,                           ,                                ,                         ,                            ,T                         ,                          ,                     ,                              ,                           ,                                  ,R                                     ,                           ,                     ,                                   ,R                                      ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,G. c. viola       ,              ,101, 627,B,  2,H,CC,  10.00,     15.1300,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,R                       ,C                            ,                                ,R                      ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,F                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,F                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,                   ,                               ,                       ,                          ,                            ,R                            ,                         ,                    ,                                 ,                        ,R                          ,R                            ,                     ,                     ,F                    ,                 ,                       ,                                ,                               ,                         ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,r                     ,                                  ,                           ,                                ,T                        ,                            ,F                         ,                          ,                     ,                              ,R                          ,                                  ,R                                     ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,R                     ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 627,B,  3,H, 3,  25.00,     18.7500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,                        ,C                            ,                                ,R                      ,                             ,                      ,                    ,                            ,C                        ,                    ,                            ,C                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,R                    ,                         ,R                ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,R                  ,                               ,                       ,                          ,                            ,                             ,                         ,                    ,                                 ,                        ,R                          ,F                            ,                     ,R                    ,C                    ,                 ,                       ,R                               ,                               ,R                        ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,T              ,                          ,                                  ,C                     ,                                  ,                           ,                                ,T                        ,                            ,                          ,                          ,                     ,                              ,F                          ,R                                 ,F                                     ,R                          ,                     ,                                   ,                                       ,r                     ,                               ,                  ,R                              ,T                               ,R                      ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 627,B,  3,H, 5,  25.00,     21.7500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,                        ,                             ,                                ,R                      ,                             ,                      ,                    ,                            ,C                        ,                    ,                            ,R                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,                    ,                        ,                      ,                           ,                  ,                                 ,                  ,F                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,R                  ,                               ,                       ,                          ,                            ,                             ,                         ,                    ,                                 ,R                       ,R                          ,R                            ,                     ,R                    ,F                    ,                 ,                       ,                                ,                               ,R                        ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,F                     ,                                  ,                           ,                                ,                         ,                            ,T                         ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,                     ,                                   ,                                       ,                      ,                               ,                  ,R                              ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. fistulosus     ,              ,101, 627,B,  3,H, 6,  25.00,     23.2500,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,                        ,F                            ,                                ,R                      ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,R                         ,                         ,                       ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,                     ,                         ,                 ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,R                  ,                               ,R                      ,                          ,                            ,                             ,                         ,                    ,                                 ,                        ,R                          ,F                            ,                     ,                     ,F                    ,                 ,                       ,                                ,                               ,R                        ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,F                     ,                                  ,                           ,                                ,                         ,                            ,                          ,                          ,                     ,                              ,                           ,                                  ,                                      ,                           ,R                    ,R                                  ,T                                      ,R                     ,R                              ,R                 ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. fistulosus     ,              ,101, 627,B,  3,H,CC,   9.00,     25.0400,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,                         ,                           ,                       ,                                 ,R                       ,R                            ,                                ,R                      ,                             ,                      ,                    ,                            ,F                        ,                    ,                            ,F                         ,                         ,R                      ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,C                ,                     ,                         ,R                ,                        ,                             ,                                ,                        ,                         ,                      ,                         ,                    ,                              ,                          ,                               ,                    ,R                  ,                               ,R                      ,                          ,                            ,                             ,                         ,                    ,                                 ,R                       ,R                          ,F                            ,                     ,                     ,F                    ,                 ,                       ,                                ,                               ,R                        ,                            ,                   ,                       ,                          ,R                                 ,                                 ,                        ,                      ,                    ,               ,                          ,                                  ,F                     ,                                  ,                           ,                                ,R                        ,                            ,                          ,                          ,                     ,                              ,                           ,F                                 ,                                      ,                           ,R                    ,R                                  ,R                                      ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. margaritae  ,              ,101, 627,B,  4,H, 2,  50.00,     27.2000,Melillo  ,Planktonic Foraminifers                      ,               ,G                 ,                    ,                                    ,                          ,                           ,                   ,                                 ,R                        ,                           ,                       ,R                                ,R                       ,                             ,                                ,R                      ,                             ,                      ,                    ,                            ,R                        ,                    ,                            ,F                         ,                         ,R                      ,                             ,                        ,                        ,                  ,                      ,                        ,                        ,R                   ,                        ,                      ,                           ,                  ,                                 ,                  ,A                ,                     ,                         ,R                ,                        ,                             ,                                ,                        ,                         ,F                     ,                         ,                    ,                              ,                          ,                               ,                    ,R                  ,                               ,R                      ,                          ,R                           ,                             ,                         ,                    ,                                 ,R                       ,R                          ,R                            ,                     ,                     ,F                    ,                 ,                       ,C                               ,                               ,R                        ,                            ,                   ,                       ,                          ,                                  ,                                 ,                        ,                      ,                    ,T              ,                          ,T                                 ,                      ,T                                 ,                           ,                                ,C                        ,                            ,                          ,                          ,                     ,                              ,                           ,F                                 ,R                                     ,T                          ,R                    ,                                   ,                                       ,                      ,                               ,                  ,                               ,                                ,                       ,                      ,                                   ,                     ,                   ,                         ,                               ,from Melillo; ODP 101 SR Ch 1 Fig 5 p 12-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
