Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globoturborotalita woodi,Globorotalia panda,Neogloboquadrina continuosa,Globigerina quinqueloba,Comment
  IR,                 ,                 ,                  ,              ,178,1096,B, 13,H,CC,  26.00,    115.7900,Osterman ,Planktonic Foraminifers                      ,C              ,VG                ,A                                      ,                                     ,rR                      ,rR                ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 14,X,CC,   0.00,    115.9000,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,P                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 16,H,CC,  24.00,    144.0100,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 18,H,CC,  30.00,    150.6500,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,+                                    ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 19,H,CC,  18.00,    157.6300,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 22,X,CC,  10.00,    168.8400,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 23,X,CC,  25.00,    180.9700,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 24,X,CC,  21.00,    192.9800,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 29,X,CC,  12.00,    239.7200,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1096,B, 32,X,CC,  14.00,    257.2100,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,+                                      ,                                     ,                        ,                  ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,
