Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ventilabrella multicamerata	Rugoglobigerina rugosa	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Pseudoguembelina excolata	Pseudoguembelina costulata	Heterohelix rajagopalani	Heterohelix carinata	Globotruncanita stuartiformis	Globotruncanita stuarti	Globotruncanella havanensis	Globotruncana orientalis	Globotruncana mariei	Globotruncana linneiana	Globotruncana falsostuarti	Globotruncana bulloides	Globotruncana arca	Globotruncana aegyptiaca	Globigerinelloides subcarinatus	Gansserina wiedenmayeri	Gansserina gansseri	Contusotruncana fornicata	Contusotruncana contusa	Abathomphalus intermedius	Globotruncanella petaloidea	Rugotruncana subcircumnodifer	Rugoglobigerina rotundata	Gublerina cuvillieri	Abathomphalus mayaroensis	Racemiguembelina fructicosa	Pseudotextularia elegans	Pseudoguembelina hariaensis	Heterohelix globulosa	Hedbergella holmdelensis	Praemurica uncinata	Praemurica inconstans	Parasubbotina variospira	Parasubbotina varianta	Morozovella velascoensis	Morozovella subbotinae	Morozovella pasionensis	Morozovella occlusa	Morozovella aequa	Morozovella acuta	Acarinina soldadoensis	Acarinina mckannai	Morozovella formosa	Igorina broedermanni	Globigerinatheka senni	Acarinina quetra	Acarinina primitiva	Acarinina pentacamerata	Subbotina lozanoi	Morozovella caucasica	Morozovella aragonensis	Subbotina eocaena	Globigerinatheka subconglobata	Globigerina cryptomphala	Acarinina bullbrooki	Turborotalia ampliapertura	Subbotina linaperta	Subbotina angiporoides	Hantkenina sp.	Catapsydrax unicavus	Tenuitella gemma	Globoquadrina tripartita	Globoquadrina baroemoenensis	Globigerina euapertura	Catapsydrax dissimilis	Paragloborotalia nana	Globorotaloides suteri	Globoquadrina venezuelana	Globoquadrina rohri	Globigerina praebulloides	Globigerina officinalis	Sphaeroidinellopsis subdehiscens	Sphaeroidinellopsis seminulina	Orbulina universa	Neogloboquadrina dutertrei	Neogloboquadrina acostaensis	Globoturborotalita nepenthes	Globorotalia tumida	Globorotalia menardii	Globorotalia margaritae	Globorotalia challengeri	Globigerinoides obliquus	Globigerinoides extremus	Globigerinoides conglobatus	Globigerina bulloides	Dentoglobigerina altispira	Truncorotalia crassaformis	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globorotalia puncticulata	Globigerinoides sacculifer	Sphaeroidinella dehiscens s.l.	Globorotalia inflata	Globorotalia crassula	Truncorotalia truncatulinoides	Truncorotalia tosaensis	Pulleniatina obliquiloculata	Globigerinoides ruber	Comment

  IR	                 	Early Pliocene   	N19-N20           	N18           	198	1211	B	  5	H	CC	  18.00	     44.4900	planks   	Planktonic Foraminifers                      	F              	G                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	R                               	R                             	R                	R                         	F                           	R                           	R                  	R                    	R                      	R                       	R                       	R                       	R                          	R                    	F                         	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Early Oligocene  	P21b              	P21b          	198	1211	B	  6	H	CC	  15.00	     53.8800	planks   	Planktonic Foraminifers                      	R              	P                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	F                   	                	R                       	                            	R                     	F                     	R                    	R                     	F                        	F                  	R                        	R                      	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	fragmented, dissolved

  IR	                 	Early Oligocene  	P21b              	P21b          	198	1211	B	  7	H	CC	  11.00	     63.1700	planks   	Planktonic Foraminifers                      	R              	P                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	R                         	                   	+                     	              	F                   	F               	F                       	                            	R                     	F                     	R                    	R                     	F                        	F                  	R                        	P                      	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	fragmentd, dissolved

  IR	                 	Early Oligocene  	P18               	P19           	198	1211	B	  8	H	CC	   8.00	     73.0300	planks   	Planktonic Foraminifers                      	F              	M                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	F                     	              	F                   	R               	F                       	R                           	F                     	+                     	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Late Eocene      	P17               	P17           	198	1211	B	  9	H	CC	   6.00	     81.8700	planks   	Planktonic Foraminifers                      	R              	P                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	R                         	R                  	R                     	R             	P                   	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Middle Eocene    	P12               	P10           	198	1211	B	 10	H	CC	  11.00	     91.8300	planks   	Planktonic Foraminifers                      	C              	M                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	F                   	R                     	                	                   	                       	R                	                     	F                      	R                	P                             	R                       	F                   	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Early Eocene     	P9                	P9            	198	1211	B	 11	H	CC	  10.00	    100.7800	planks   	Planktonic Foraminifers                      	C              	M                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	R                     	                       	                   	                 	                 	F                     	                  	                   	                    	                      	                	                   	F                      	R                	F                    	F                      	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Early Eocene     	P8                	P8            	198	1211	B	 12	H	CC	  11.00	    110.7500	planks   	Planktonic Foraminifers                      	C              	M                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	F                     	                  	F                  	P                   	P                     	R               	R                  	F                      	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Late Paleocene   	P5                	P5            	198	1211	B	 13	H	CC	  11.00	    120.3900	planks   	Planktonic Foraminifers                      	A              	M                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	F                       	R                     	F                      	F                  	R                	R                	F                     	F                 	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Early Paleocene  	P2                	P2            	198	1211	B	 14	H	CC	  15.00	    129.6800	planks   	Planktonic Foraminifers                      	F              	M                 	                           	                      	                            	                         	                         	                          	                        	                    	                             	                       	                           	                        	                    	                       	                          	                       	                  	                        	                               	                       	                   	                         	                       	                         	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	F                  	F                    	R                       	F                     	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Maestrichtian    	KS31              	KS31          	198	1211	B	 15	H	CC	  11.00	    139.3900	planks   	Planktonic Foraminifers                      	R              	P                 	                           	                      	                            	                         	                         	R                         	                        	R                   	F                            	R                      	R                          	                        	                    	F                      	                          	                       	                  	                        	F                              	                       	                   	                         	R                      	F                        	F                          	                             	R                        	                    	F                        	                           	                        	R                          	F                    	F                       	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Maestrichtian    	KS31              	KS31          	198	1211	B	 16	H	CC	  12.00	    148.9500	planks   	Planktonic Foraminifers                      	A              	G                 	F                          	F                     	F                           	F                        	R                        	F                         	F                       	F                   	F                            	R                      	R                          	F                       	                    	F                      	                          	                       	F                 	                        	                               	                       	                   	                         	F                      	F                        	F                          	F                            	R                        	F                   	R                        	F                          	R                       	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Maestrichtian    	KS31              	KS31          	198	1211	B	 17	H	CC	  16.00	    158.3300	planks   	Planktonic Foraminifers                      	A              	G                 	F                          	F                     	F                           	F                        	F                        	F                         	F                       	R                   	F                            	F                      	F                          	F                       	                    	F                      	                          	                       	R                 	                        	                               	                       	                   	                         	F                      	R                        	F                          	F                            	F                        	R                   	F                        	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Maestrichtian    	KS30              	KS30          	198	1211	B	 18	H	CC	   7.00	    162.9700	planks   	Planktonic Foraminifers                      	A              	G                 	R                          	R                     	F                           	F                        	F                        	F                         	R                       	+                   	F                            	F                      	R                          	F                       	                    	F                      	                          	F                      	F                 	                        	                               	                       	                   	                         	                       	R                        	R                          	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

  IR	                 	Maestrichtian    	KS30              	KS30          	198	1211	B	 19	H	CC	  12.00	    172.2100	planks   	Planktonic Foraminifers                      	F              	M                 	R                          	R                     	R                           	R                        	F                        	F                         	R                       	R                   	F                            	R                      	R                          	R                       	R                   	F                      	R                         	R                      	R                 	R                       	F                              	R                      	R                  	F                        	R                      	R                        	                           	                             	                         	                    	                         	                           	                        	                           	                     	                        	                   	                     	                        	                      	                        	                      	                       	                   	                 	                 	                      	                  	                   	                    	                      	                	                   	                       	                 	                     	                       	                 	                              	                        	                    	                          	                   	                      	              	                    	                	                        	                            	                      	                      	                     	                      	                         	                   	                         	                       	                                	                              	                 	                          	                            	                            	                   	                     	                       	                        	                        	                        	                           	                     	                          	                          	                                     	                    	                         	                          	                              	                    	                     	                              	                       	                            	                     	       

