Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globigerina quinqueloba,Globigerina bulloides,Neogloboquadrina asanoi,Globigerinita glutinata,Planktonic spp. indeterminate,Morozovella aragonensis,Catapsydrax sp.,Orbulina universa,Globorotalia crassaformis,Globigerinita uvula,Globigerina umbilicata,Comment
  SR,                 ,                 ,                  ,              ,146, 892,D,  5,X, 2, 132.00,     39.8200,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                                       ,                                     ,                          ,                       ,6                    ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D,  5,X, 3, 138.00,     41.3800,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,                                       ,                                     ,                          ,                       ,1                    ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D,  7,X, 4, 140.00,     59.6600,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                                       ,                                     ,                          ,                       ,1                    ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D,  7,X,CC,  17.00,     61.5800,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,1                                      ,                                     ,                          ,                       ,                     ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D,  9,X, 4,  27.00,     72.8600,Zellers  ,Planktonic Foraminifers                      ,               ,P                 ,                                       ,1                                    ,                          ,                       ,                     ,                       ,                       ,2                            ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D,  9,X,CC,  61.00,     75.9400,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,                                       ,3                                    ,                          ,                       ,                     ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D, 10,X, 6,  63.00,    106.9200,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,1                                      ,3                                    ,                          ,                       ,1                    ,1                      ,                       ,1                            ,1                      ,1              ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D, 11,X, 2,  38.00,    111.3800,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,2                                      ,4                                    ,                          ,                       ,1                    ,1                      ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D, 11,X,CC,  30.00,    113.0700,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,                                       ,                                     ,                          ,                       ,3                    ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD13              ,              ,146, 892,D, 12,X, 2,  85.00,    121.3500,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,8                                      ,10                                   ,                          ,3                      ,14                   ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D, 12,X,CC,  13.00,    124.7600,Zellers  ,Planktonic Foraminifers                      ,               ,P                 ,                                       ,1                                    ,                          ,                       ,                     ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D, 13,X,CC,  24.00,    128.7400,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,                                       ,                                     ,                          ,                       ,                     ,1                      ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D, 14,X,CC,  32.00,    140.0600,Zellers  ,Planktonic Foraminifers                      ,               ,G                 ,1                                      ,2                                    ,                          ,                       ,1                    ,                       ,                       ,1                            ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CD13              ,              ,146, 892,D, 15,X, 3,  65.00,    151.1500,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,7                                      ,13                                   ,                          ,2                      ,43                   ,1                      ,1                      ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D, 15,X,CC,  33.00,    152.5100,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,2                                      ,12                                   ,1                         ,3                      ,7                    ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 892,D, 16,X, 4,   6.00,    161.0700,Zellers  ,Planktonic Foraminifers                      ,               ,M                 ,1                                      ,                                     ,                          ,                       ,                     ,                       ,                       ,                             ,                       ,               ,                 ,                         ,                   ,                      ,from Leg 146 SR; Ch 5; Table 6; pp. 108-110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
