Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassiosira leptopus,Thalassiosira antiqua,Thalassionema nitzschioides,Rouxia californica,Rhizosolenia styliformis,Neodenticula kamtschatica,Delphineis spp.,Coscinodiscus spp. (large forms),Coscinodiscus marginatus,Chaetoceros spp. (resting spores),Actinoptychus senarius,Paralia sulcata,Nitzschia reinholdii,Nitzschia praereinholdii,Nitzschia aff. rolandii,Denticulopsis hustedtii,Thalassiosira aff. antiqua,Stephanopyxis dimorpha,Pseudoeunotia doliolus,Nitzschia fossilis,Neodenticula seminae,Freshwater diatoms,Simonseniella barboi,Actinocyclus ingens,Thalassiosira oestrupii,Neodenticula seminae-koizumii (undiffer.),Actinocyclus curvatulus,Thalassiosira spp.,Stephanopyxis spp.,Neodenticula koizumii,Hemidiscus cuneiformis,Azpeitia nodulifera,Proboscia alata,Thalassiosira aff. oestrupii,Thalassiosira aff. nativa,Nitzschia marina,Neodenticula aff. kamschatica,Crucidenticula sp.,Thalassiosira aff. jacksonii,Thalassiosira convexa var. aspinosa,Thalassiosira nativa,Thalassiosira minutissima,Thalassionema schraderi,Synedra jouseana,Rouxia fusiformis,Nitzschia cylindrica,Denticulopsis spp.,Denticulopsis dimorpha,Thalassiosira miocenica,Thalassiosira yabei,Thalassiosira grunowii,Simonseniella praebarboi,Rhizosolenia miocenica,Denticulopsis praedimorpha,Thalassiosira temperei,Lithodesmium californicum,Denticulopsis katayamae,Thalassiosira brunii,Lithodesmium cornigerum,Thalassiosira multipora,Simonseniella curvirostris,Thalassiosira jouseae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Quaternary       ,                  ,              ,146, 892,D,  4,X, 3,  28.00,     30.3000,Fourtanier,Diatoms                                      ,C              ,MG                ,                         ,                      ,F                    ,C                          ,                  ,                        ,                         ,F              ,R                               ,                        ,A                                ,R                     ,               ,                    ,                        ,                       ,                       ,F                         ,F                     ,                      ,                  ,C                   ,R                 ,R                   ,                   ,R                      ,                                         ,R                      ,F                 ,                  ,R                    ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,R                      ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Quaternary       ,                  ,              ,146, 892,D,  5,X, 1,  52.00,     37.5200,Fourtanier,Diatoms                                      ,C              ,M                 ,R                        ,                      ,R                    ,C                          ,r                 ,                        ,R                        ,F              ,                                ,R                       ,A                                ,R                     ,R              ,R                   ,                        ,                       ,r                      ,                          ,F                     ,                      ,                  ,R                   ,R                 ,                    ,                   ,R                      ,                                         ,                       ,F                 ,                  ,                     ,R                     ,                   ,R              ,                            ,                         ,                ,                             ,                  ,                            ,R                                  ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,R                      ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  5,X, 2,  95.00,     39.4500,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,R                     ,                     ,A                          ,C                 ,                        ,                         ,F              ,F                               ,R                       ,A                                ,R                     ,R              ,                    ,                        ,                       ,F                      ,                          ,                      ,                      ,                  ,                    ,R                 ,                    ,                   ,                       ,                                         ,R                      ,F                 ,R                 ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,R                   ,F                        ,R                      ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  5,X, 3, 125.00,     41.2500,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,R                     ,                     ,C                          ,F                 ,R                       ,                         ,               ,F                               ,R                       ,A                                ,R                     ,               ,                    ,                        ,                       ,F                      ,                          ,                      ,                      ,                  ,                    ,R                 ,R                   ,R                  ,                       ,                                         ,R                      ,F                 ,                  ,                     ,                      ,                   ,R              ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,F                        ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,R                      ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  6,X, 1,  83.00,     47.3300,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,                      ,                     ,A                          ,C                 ,R                       ,                         ,F              ,F                               ,R                       ,A                                ,F                     ,R              ,                    ,                        ,                       ,F                      ,                          ,                      ,                      ,                  ,                    ,R                 ,R                   ,R                  ,                       ,                                         ,R                      ,F                 ,                  ,                     ,                      ,R                  ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,F                   ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,R                     ,                          ,                      ,                         ,F                      ,R                   ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  6,X, 3,  91.00,     50.1600,Fourtanier,Diatoms                                      ,C              ,MP                ,R                        ,                      ,                     ,A                          ,R                 ,R                       ,                         ,R              ,F                               ,                        ,F                                ,R                     ,F              ,                    ,                        ,                       ,F                      ,                          ,                      ,                      ,                  ,                    ,R                 ,                    ,                   ,                       ,                                         ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,R                 ,                            ,                                   ,                    ,                         ,R                      ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  6,X, 4,  74.00,     51.4900,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,                      ,                     ,A                          ,F                 ,F                       ,                         ,R              ,R                               ,R                       ,A                                ,F                     ,R              ,                    ,                        ,                       ,C                      ,                          ,                      ,                      ,                  ,                    ,R                 ,R                   ,R                  ,                       ,                                         ,                       ,R                 ,R                 ,                     ,                      ,R                  ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,R                      ,R               ,                 ,                    ,R                 ,                      ,                       ,                   ,R                     ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  6,X, 5,  67.00,     52.9200,Fourtanier,Diatoms                                      ,C              ,M                 ,R                        ,                      ,                     ,A                          ,F                 ,R                       ,                         ,R              ,                                ,                        ,F                                ,R                     ,F              ,                    ,                        ,                       ,C                      ,                          ,                      ,                      ,                  ,                    ,R                 ,R                   ,R                  ,                       ,                                         ,                       ,                  ,                  ,                     ,                      ,R                  ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,R                      ,R               ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,R                     ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  7,X, 1,  73.00,     54.7300,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,R                     ,                     ,A                          ,C                 ,R                       ,                         ,F              ,F                               ,R                       ,A                                ,F                     ,               ,                    ,                        ,                       ,F                      ,                          ,                      ,                      ,                  ,                    ,R                 ,                    ,                   ,                       ,                                         ,                       ,F                 ,R                 ,                     ,                      ,R                  ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,F                   ,F                        ,                       ,                ,                 ,R                   ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  7,X, 2,  25.00,     55.7500,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,R                     ,                     ,A                          ,F                 ,F                       ,                         ,R              ,R                               ,R                       ,F                                ,F                     ,F              ,                    ,                        ,                       ,F                      ,                          ,                      ,                      ,                  ,                    ,R                 ,                    ,R                  ,                       ,                                         ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,R                   ,F                        ,                       ,R               ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,R                     ,                          ,                      ,                         ,R                      ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  7,X, 3,  74.00,     57.5000,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,                      ,                     ,A                          ,F                 ,                        ,                         ,R              ,R                               ,R                       ,A                                ,F                     ,               ,                    ,R                       ,                       ,F                      ,                          ,                      ,                      ,R                 ,                    ,R                 ,R                   ,R                  ,                       ,                                         ,                       ,F                 ,                  ,                     ,                      ,R                  ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,R                   ,R                        ,R                      ,R               ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,R                     ,                          ,R                     ,R                        ,C                      ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,146, 892,D,  7,X, 4, 113.00,     59.3900,Fourtanier,Diatoms                                      ,A              ,G                 ,R                        ,                      ,                     ,A                          ,F                 ,                        ,                         ,R              ,R                               ,R                       ,C                                ,R                     ,R              ,                    ,                        ,                       ,C                      ,                          ,                      ,                      ,                  ,                    ,R                 ,                    ,R                  ,                       ,                                         ,                       ,R                 ,R                 ,                     ,                      ,F                  ,               ,                            ,                         ,                ,                             ,R                 ,                            ,                                   ,                    ,                         ,                       ,R               ,                 ,                    ,R                 ,                      ,                       ,R                  ,R                     ,R                       ,R                     ,C                         ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  7,X, 5,  32.00,     60.0800,Fourtanier,Diatoms                                      ,C              ,MP                ,R                        ,R                     ,F                    ,C                          ,                  ,                        ,                         ,               ,F                               ,F                       ,F                                ,F                     ,F              ,R                   ,                        ,                       ,                       ,                          ,                      ,                      ,                  ,                    ,                  ,                    ,                   ,                       ,                                         ,                       ,                  ,C                 ,                     ,                      ,R                  ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,R                 ,                      ,R                      ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,                  ,              ,146, 892,D,  7,X, 6,  21.00,     61.2400,Fourtanier,Diatoms                                      ,C              ,M                 ,R                        ,R                     ,F                    ,A                          ,rF                ,R                       ,F                        ,R              ,R                               ,F                       ,F                                ,R                     ,R              ,                    ,                        ,                       ,r                      ,                          ,R                     ,                      ,R                 ,                    ,R                 ,R                   ,R                  ,                       ,R                                        ,                       ,                  ,R                 ,                     ,R                     ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,r?                     ,R               ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,                  ,              ,146, 892,D,  8,X, 1,  43.00,     62.1300,Fourtanier,Diatoms                                      ,A              ,MG                ,R                        ,                      ,F                    ,A                          ,C                 ,R                       ,R                        ,F              ,F                               ,F                       ,A                                ,R                     ,R              ,                    ,                        ,                       ,F                      ,                          ,                      ,                      ,R                 ,                    ,R                 ,R                   ,R                  ,                       ,                                         ,                       ,                  ,                  ,                     ,R                     ,R                  ,R              ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,R                   ,R                        ,R                      ,R               ,r                ,R                   ,F                 ,r                     ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,146, 892,D,  8,X, 2,  57.00,     63.5700,Fourtanier,Diatoms                                      ,C              ,M                 ,R                        ,                      ,F                    ,C                          ,R                 ,                        ,R                        ,F              ,                                ,F                       ,A                                ,                      ,               ,                    ,                        ,                       ,                       ,                          ,                      ,                      ,                  ,                    ,R                 ,R                   ,                   ,R                      ,                                         ,                       ,R                 ,                  ,R                    ,                      ,R                  ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,146, 892,D,  8,X, 2, 117.00,     64.1700,Fourtanier,Diatoms                                      ,C              ,MP                ,R                        ,                      ,R                    ,C                          ,                  ,                        ,R                        ,R              ,                                ,F                       ,C                                ,                      ,R              ,                    ,                        ,                       ,r                      ,                          ,                      ,                      ,                  ,                    ,R                 ,                    ,                   ,                       ,                                         ,                       ,                  ,                  ,                     ,R                     ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,R                                  ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,146, 892,D,  8,X, 3,  65.00,     65.1500,Fourtanier,Diatoms                                      ,C              ,MP                ,R                        ,                      ,F                    ,F                          ,                  ,R                       ,R                        ,R              ,R                               ,F                       ,F                                ,R                     ,R              ,R                   ,                        ,                       ,r                      ,                          ,F                     ,                      ,                  ,                    ,R                 ,R                   ,                   ,                       ,R                                        ,                       ,R                 ,F                 ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,F                                  ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,146, 892,D,  9,X, 2,  33.00,     71.1300,Fourtanier,Diatoms                                      ,A              ,MG                ,R                        ,                      ,                     ,F                          ,                  ,                        ,                         ,F              ,F                               ,R                       ,A                                ,                      ,               ,                    ,                        ,                       ,R                      ,                          ,F                     ,                      ,                  ,                    ,R                 ,R                   ,                   ,                       ,                                         ,                       ,F                 ,C                 ,R                    ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,146, 892,D,  9,X, 3,  35.00,     71.9600,Fourtanier,Diatoms                                      ,A              ,M                 ,R                        ,                      ,R                    ,C                          ,                  ,                        ,                         ,F              ,                                ,                        ,A                                ,                      ,               ,                    ,                        ,                       ,                       ,                          ,F                     ,                      ,                  ,                    ,R                 ,                    ,                   ,                       ,                                         ,                       ,R                 ,F                 ,R                    ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,146, 892,D,  9,X, 4,  34.00,     72.9300,Fourtanier,Diatoms                                      ,A              ,P                 ,R                        ,                      ,C                    ,C                          ,                  ,                        ,F                        ,F              ,R                               ,C                       ,C                                ,F                     ,R              ,                    ,                        ,                       ,                       ,                          ,                      ,                      ,                  ,                    ,R                 ,R                   ,                   ,R                      ,                                         ,                       ,R                 ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,R                           ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,146, 892,D,  9,X, 5,  33.00,     73.8500,Fourtanier,Diatoms                                      ,F-C            ,P                 ,R                        ,R                     ,                     ,C                          ,                  ,                        ,R                        ,               ,                                ,F                       ,F                                ,                      ,F              ,                    ,                        ,                       ,                       ,                          ,                      ,                      ,                  ,                    ,                  ,                    ,                   ,F                      ,                                         ,                       ,                  ,                  ,                     ,                      ,                   ,               ,                            ,                         ,                ,                             ,                  ,                            ,                                   ,                    ,                         ,                       ,                ,                 ,                    ,                  ,                      ,                       ,                   ,                      ,                        ,                      ,                          ,                      ,                         ,                       ,                    ,                       ,                       ,                          ,                     ,from Leg 146 SR; Ch 4; Table 3; pp. 68-71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
