Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Haplophragmoides spp.,Cyclammina spp.,Unidentified benthic forams,Cribrostomoides spp.,Saccorhiza spp.,Discammina spp.,Globocassidulina subglobosa,Bathysiphon spp.,Cibicidoides spp.,Uvigerina hispida,Ostracoda spp.,Hoeglundina elegans,Globobulimina spp.,Unilocular species,Trifarina angulosa,Lenticulina spp.,Dentalina spp.,Bulimina marginata,Pullenia spp.,Vulvulina spp.,Plectofrondicularia spp.,Quinqueloculina spp.,Gyroidinoides spp.,Triloculina spp.,Reophax spp.,Pyrgo spp.,Pullenia bulloides,Pleurostomella spp.,Osangularia culter,Oridorsalis umbonatus,Nummoloculina spp.,Miliolinella subrotundata,Uvigerina peregrina,Textularia spp.,Stilostomella spp.,Spirillina spp.,Sphaeroidina bulloides,Saracenaria spp.,Nonion spp.,Hanzawaia mantaensis,Dorothia spp.,Buliminella spp.,Bolivina spp.,Spiroloculina spp.,Karreriella bradyi,Eggerella bradyi,Nuttallides umbonifera,Nonionella spp.,Bulimina alazanensis,Laticarinina pauperata,Astacolus spp.,Sigmoilina tenuis,Notorotalia zelandica,Nodosaria spp.,Fontbotia wuellerstorfi,Cibicides lobatulus,Ceratobulimina spp.,Orthomorphina spp.,Nonionellina spp.,Parrelloides bradyi,Chilostomella oolina,Anomalinoides globulosus,Cassidulina spp.,Astrononion spp.,Globobulimina ovata,Epistominella exigua,Siphonina australis,Robertinoides spp.,Cassidulinoides spp.,Siphotextularia catenata,Melonis barleeanus,Marginulinopsis spp.,Bulimina aculeata,Pyrulina spp.,Polymorphina spp.,Cibicidoides mundulus,Gyroidina zealandica,Gyroidina orbicularis,Uvigerina hispidocostata,Rectuvigerina spp.,Inaequalina spp.,Hopkinsina mioindex,Anomalinoides spissiformis,Ehrenbergina spp.,Martinottiella communis,Rectuvigerina siphogenerinoides,Bolboforma capsula,Melonis pompilioides,Sigmoilopsis schlumbergeri,Bolivina huneri,Pseudoclavulina spp.,Bulimina mexicana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A,  5,H,CC,  38.00,     45.9600,benthics ,Benthic Foraminifers                         ,C              ,M                 ,                     ,               ,                           ,                    ,               ,               ,                           ,                ,T                ,                 ,R             ,                   ,                  ,R                 ,                  ,A               ,R             ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,          ,                  ,                   ,R                 ,F                    ,                  ,                         ,                   ,R              ,R                 ,               ,                      ,                ,           ,                    ,             ,                ,             ,                  ,                  ,                ,                      ,               ,R                   ,R                     ,              ,                 ,                     ,              ,                       ,R                  ,                   ,                  ,                 ,T                  ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,F                 ,                    ,                 ,             ,                 ,F                    ,                    ,                     ,                        ,                  ,                ,T                  ,                          ,R                ,                       ,                               ,                  ,                    ,R                         ,               ,R                   ,                 ,"B/P: 1/99, low fragmentation, moderate org. carbon, mod. oxygenation"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A,  6,H,CC,  26.00,     55.2400,benthics ,Benthic Foraminifers                         ,A              ,P                 ,                     ,               ,                           ,                    ,               ,               ,R                          ,                ,R                ,                 ,T             ,                   ,                  ,                  ,                  ,                ,              ,                  ,T            ,              ,                        ,F                   ,                  ,                ,            ,R         ,                  ,R                  ,T                 ,F                    ,                  ,                         ,R                  ,               ,C                 ,               ,T                     ,                ,           ,                    ,T            ,                ,             ,                  ,                  ,                ,                      ,               ,F                   ,                      ,              ,                 ,                     ,              ,R                      ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,T                  ,                  ,                    ,T                       ,F                 ,                    ,                 ,             ,                 ,                     ,                    ,                     ,                        ,                  ,                ,R                  ,                          ,                 ,                       ,                               ,                  ,                    ,R                         ,F              ,                    ,                 ,"B/P: 1/20,strong fragmentation"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A,  7,H,CC,  24.00,     64.9300,benthics ,Benthic Foraminifers                         ,C              ,P                 ,                     ,               ,                           ,                    ,               ,               ,                           ,                ,                 ,                 ,R             ,                   ,                  ,                  ,                  ,                ,T             ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,T         ,                  ,                   ,                  ,                     ,                  ,                         ,                   ,               ,F                 ,               ,                      ,                ,           ,                    ,             ,                ,             ,                  ,                  ,                ,                      ,               ,                    ,                      ,              ,                 ,                     ,              ,F                      ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,T                 ,                    ,                 ,             ,                 ,                     ,T                   ,                     ,                        ,                  ,                ,T                  ,                          ,                 ,                       ,                               ,                  ,                    ,                          ,T              ,                    ,                 ,"B/P: 1/50, strong fragmentation"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A,  8,H,CC,   8.00,     73.5800,benthics ,Benthic Foraminifers                         ,C              ,P                 ,                     ,               ,                           ,                    ,               ,               ,R                          ,                ,F                ,                 ,F             ,                   ,                  ,                  ,                  ,                ,              ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,          ,                  ,                   ,                  ,                     ,                  ,                         ,                   ,               ,F                 ,               ,                      ,                ,           ,                    ,             ,                ,             ,                  ,                  ,                ,                      ,               ,                    ,                      ,              ,                 ,                     ,              ,R                      ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,R                 ,                    ,                 ,             ,                 ,R                    ,F                   ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,                    ,C                         ,               ,                    ,                 ,"B/P: 1/90, strong fragmentation"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A,  9,H,CC,  27.00,     82.9800,benthics ,Benthic Foraminifers                         ,C              ,M                 ,                     ,               ,                           ,                    ,               ,               ,F                          ,                ,                 ,F                ,R             ,                   ,                  ,R                 ,                  ,                ,              ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,          ,                  ,                   ,                  ,                     ,                  ,                         ,                   ,               ,                  ,               ,                      ,                ,           ,                    ,             ,                ,             ,                  ,                  ,                ,                      ,               ,                    ,                      ,              ,                 ,                     ,              ,C                      ,                   ,                   ,                  ,                 ,                   ,                    ,T                       ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,                 ,             ,                 ,R                    ,                    ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,                    ,C                         ,R              ,                    ,                 ,B/P: 1/90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 10,H,CC,  30.00,     93.4100,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                     ,               ,                           ,                    ,               ,               ,                           ,                ,                 ,C                ,rR            ,                   ,                  ,                  ,                  ,                ,              ,                  ,             ,              ,                        ,R                   ,                  ,                ,            ,F         ,                  ,                   ,                  ,F                    ,                  ,                         ,                   ,               ,                  ,               ,                      ,                ,           ,                    ,             ,                ,             ,                  ,                  ,                ,                      ,               ,F                   ,                      ,              ,                 ,                     ,              ,F                      ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,R                 ,                    ,                 ,             ,                 ,                     ,R                   ,R                    ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,                    ,                          ,               ,                    ,                 ,B/P: 1/95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 11,H,CC,  18.00,    102.5900,benthics ,Benthic Foraminifers                         ,C              ,M                 ,                     ,               ,                           ,                    ,               ,               ,R                          ,                ,                 ,F                ,R             ,                   ,                  ,F                 ,                  ,                ,              ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,T         ,                  ,                   ,                  ,F                    ,                  ,                         ,                   ,               ,R                 ,               ,R                     ,                ,           ,                    ,             ,                ,             ,                  ,T                 ,                ,                      ,               ,                    ,                      ,              ,                 ,                     ,              ,                       ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,R                       ,                  ,                    ,                 ,             ,                 ,R                    ,R                   ,                     ,                        ,                  ,                ,R                  ,                          ,                 ,                       ,                               ,                  ,                    ,C                         ,               ,                    ,                 ,B/P: 1/95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 12,H,CC,  35.00,    112.0600,benthics ,Benthic Foraminifers                         ,C              ,M                 ,                     ,               ,                           ,                    ,               ,               ,C                          ,                ,R                ,                 ,              ,                   ,                  ,R                 ,                  ,                ,              ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,R         ,                  ,                   ,                  ,                     ,                  ,                         ,R                  ,               ,                  ,               ,                      ,                ,           ,                    ,             ,                ,             ,F                 ,F                 ,R               ,R                     ,               ,F                   ,R                     ,              ,                 ,                     ,              ,T                      ,                   ,                   ,R                 ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,                 ,             ,                 ,R                    ,                    ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,R                   ,                          ,               ,                    ,                 ,B/P: 1/95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 13,X,CC,  15.00,    115.9500,benthics ,Benthic Foraminifers                         ,C              ,P                 ,                     ,               ,T                          ,                    ,               ,               ,C                          ,                ,R                ,F                ,R             ,                   ,                  ,R                 ,                  ,                ,R             ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,          ,                  ,                   ,                  ,                     ,                  ,                         ,                   ,               ,                  ,               ,                      ,                ,           ,                    ,             ,                ,R            ,                  ,                  ,                ,                      ,               ,                    ,T                     ,              ,                 ,                     ,              ,                       ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,                 ,             ,                 ,                     ,                    ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,                    ,                          ,               ,                    ,                 ,"B/P: 1/95, strong fragmentation, possibly warmer waters, moderate to low oxygenation, moderate to high Corg-flux"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 14,X,CC,  25.00,    125.8100,benthics ,Benthic Foraminifers                         ,C              ,M                 ,                     ,               ,R                          ,                    ,               ,               ,C                          ,                ,F                ,R                ,              ,                   ,                  ,                  ,                  ,                ,              ,R                 ,             ,              ,                        ,F                   ,                  ,                ,            ,R         ,                  ,                   ,                  ,R                    ,                  ,                         ,                   ,               ,R                 ,               ,                      ,                ,           ,                    ,             ,                ,R            ,                  ,                  ,R               ,                      ,               ,                    ,R                     ,              ,                 ,                     ,              ,F                      ,                   ,                   ,                  ,                 ,R                  ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,                 ,             ,                 ,C                    ,                    ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,                    ,                          ,               ,                    ,                 ,B/P: 1/99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 15,X,CC,  12.00,    132.8900,benthics ,Benthic Foraminifers                         ,C              ,M                 ,                     ,               ,                           ,                    ,               ,               ,C                          ,                ,                 ,                 ,R             ,                   ,                  ,R                 ,                  ,                ,R             ,                  ,             ,              ,                        ,                    ,                  ,                ,            ,          ,                  ,                   ,                  ,F                    ,                  ,                         ,F                  ,               ,R                 ,               ,                      ,                ,           ,                    ,             ,                ,R            ,                  ,R                 ,R               ,                      ,               ,                    ,R                     ,              ,                 ,                     ,              ,F                      ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,R               ,                ,                   ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,                 ,             ,                 ,F                    ,                    ,R                    ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,                    ,                          ,               ,                    ,                 ,B/P: 1/99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 16,X,CC,  15.00,    144.8600,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                     ,               ,                           ,                    ,               ,               ,C                          ,                ,R                ,                 ,R             ,                   ,                  ,                  ,                  ,                ,              ,                  ,             ,              ,                        ,F                   ,                  ,                ,            ,R         ,R                 ,                   ,R                 ,F                    ,                  ,                         ,F                  ,R              ,                  ,               ,                      ,                ,           ,                    ,             ,                ,             ,R                 ,T                 ,                ,                      ,               ,R                   ,                      ,              ,                 ,                     ,              ,R                      ,                   ,                   ,R                 ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,F                 ,                    ,                 ,             ,                 ,R                    ,R                   ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,R                 ,                    ,                          ,               ,                    ,                 ,"B/P: 1/99, B. capsula is a bolboformid, high organic carbon, reduced oxygenation"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 17,X,CC,  17.00,    154.3100,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                     ,               ,                           ,                    ,               ,               ,C                          ,                ,                 ,                 ,              ,                   ,                  ,F                 ,                  ,                ,              ,                  ,             ,              ,                        ,R                   ,                  ,                ,            ,          ,R                 ,                   ,R                 ,                     ,                  ,                         ,                   ,               ,R                 ,               ,                      ,                ,           ,                    ,             ,                ,             ,R                 ,                  ,                ,                      ,               ,                    ,F                     ,              ,                 ,                     ,              ,C                      ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,                 ,             ,                 ,F                    ,                    ,R                    ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,F                 ,                    ,                          ,               ,                    ,                 ,"B/P: 1/99, B. capsula is a bolboformid, well oxygenated?, moderate Corg-flux"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 18,X,CC,  29.00,    164.8800,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                     ,               ,T                          ,                    ,               ,               ,F                          ,                ,F                ,R                ,R             ,                   ,                  ,R                 ,                  ,R               ,              ,                  ,R            ,R             ,                        ,R                   ,R                 ,                ,            ,          ,R                 ,                   ,                  ,                     ,                  ,                         ,                   ,F              ,R                 ,               ,R                     ,                ,           ,                    ,             ,                ,             ,R                 ,F                 ,                ,T                     ,               ,                    ,R                     ,T             ,                 ,                     ,T             ,C                      ,                   ,                   ,                  ,                 ,T                  ,                    ,                        ,R               ,F               ,                   ,                    ,                   ,                  ,                    ,                        ,R                 ,                    ,                 ,             ,                 ,F                    ,R                   ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,F                              ,                  ,                    ,                          ,               ,                    ,                 ,B/P: 1/99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 19,X,CC,  16.00,    175.2300,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                     ,               ,                           ,                    ,               ,               ,C                          ,                ,                 ,                 ,R             ,                   ,                  ,R                 ,                  ,                ,              ,R                 ,             ,              ,                        ,                    ,                  ,                ,            ,          ,                  ,                   ,                  ,R                    ,                  ,                         ,                   ,               ,R                 ,               ,                      ,                ,           ,                    ,             ,                ,             ,                  ,                  ,                ,                      ,               ,                    ,R                     ,              ,                 ,                     ,              ,F                      ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,                  ,                    ,                 ,             ,                 ,C                    ,                    ,                     ,                        ,                  ,                ,                   ,                          ,                 ,                       ,                               ,                  ,                    ,                          ,               ,                    ,                 ,"B/P: 1/99, well oxygenated"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,A, 20,X,CC,  25.00,    184.2000,benthics ,Benthic Foraminifers                         ,F              ,G                 ,                     ,               ,                           ,                    ,               ,               ,                           ,                ,                 ,                 ,R             ,                   ,                  ,                  ,                  ,                ,R             ,R                 ,             ,              ,                        ,                    ,                  ,R               ,            ,          ,                  ,R                  ,                  ,                     ,                  ,                         ,F                  ,R              ,                  ,               ,                      ,                ,           ,                    ,             ,                ,             ,                  ,R                 ,T               ,                      ,               ,                    ,                      ,              ,                 ,                     ,R             ,                       ,                   ,                   ,                  ,                 ,                   ,                    ,                        ,                ,                ,                   ,                    ,                   ,                  ,                    ,                        ,R                 ,                    ,                 ,             ,                 ,C                    ,                    ,                     ,                        ,                  ,                ,F                  ,                          ,                 ,                       ,                               ,                  ,                    ,                          ,               ,                    ,                 ,"B/P: 1/150, well oxygenated, moderate flux of organic carbon?"
