Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Subbotina angiporoides,Paragloborotalia nana,Globorotaloides suteri,Globigerinatheka index,Globigerina officinalis,Tenuitellinata insolita,Subbotina brevis,Catapsydrax dissimilis,Tenuitella gemma,Dentoglobigerina globularis,Chiloguembelina cubensis,Catapsydrax unicavus,Turborotalia euapertura,Paragloborotalia semivera,Paragloborotalia continuosa,Globoturborotalita woodi,Globoquadrina dehiscens,Globigerina praebulloides,Globigerina bulloides,Dentoglobigerina baroemoenensis,Globoturborotalita connecta,Globoturborotalita brazieri,Globigerinoides immaturus,Globigerinita glutinata,Globigerina ciperoensis,Globorotalia praescitula,Globorotalia incognita,Globorotalia zealandica,Globorotalia miozea,Globorotalia conoidea,Globigerinoides trilobus,Globigerinella obesa,Sphaeroidinellopsis paenedehiscens,Praeorbulina sicana,Globigerinita uvula,Praeorbulina curva,Orbulina suturalis,Praeorbulina transitoria,Globorotalia peripheroronda,Globorotalia miotumida,Globorotalia panda,Globigerinoides diminutus,Paragloborotalia mayeri,Globorotalia scitula,Globigerinella pseudobesa,Paragloborotalia nympha,Globoturborotalita druryi,Globigerinoides obliquus,Orbulina universa,Globoturborotalita nepenthes,Globoturborotalita decoraperta,Globigerina quinqueloba,Globoturborotalita apertura,Globorotalia pliozea,Globigerina falconensis,Neogloboquadrina pachyderma (sinistral),Globorotalia inflata,Globorotalia explicationis,Globorotalia conomiozea,Globigerinella aequilateralis,Tenuitellinata angustiumbilicata,Globorotalia sphericomiozea,Globorotalia crassula,Globigerinoides kennetti,Globorotalia crassaformis,Globorotalia crassaconica,Globorotalia puncticulata,Globorotalia hirsuta,Globigerinoides elongatus,Globorotalia margaritae,Globorotalia ungulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN13          ,189,1168,A,  5,H,CC,  38.00,     45.9600,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,                    ,+                      ,+                                      ,+                   ,                          ,                       ,+                            ,                                ,                           ,+                    ,                        ,+                        ,+                        ,+                        ,                    ,+                        ,+                      ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN12b         ,189,1168,A,  6,H,CC,  26.00,     55.2400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,+                   ,+                      ,+                                      ,                    ,                          ,                       ,                             ,                                ,                           ,+                    ,                        ,+                        ,+                        ,+                        ,                    ,+                        ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN12a         ,189,1168,A,  7,H,CC,  24.00,     64.9300,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,+                   ,+                      ,                                       ,                    ,                          ,                       ,+                            ,                                ,                           ,                     ,                        ,+                        ,+                        ,+                        ,+                   ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,A,  8,H,CC,   8.00,     73.5800,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,+                   ,+                      ,+                                      ,                    ,                          ,                       ,                             ,                                ,+                          ,                     ,                        ,+                        ,+                        ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,A,  9,H,CC,  27.00,     82.9800,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,                      ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,+                   ,+                      ,+                                      ,                    ,                          ,+                      ,                             ,                                ,+                          ,                     ,+                       ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,A, 10,H,CC,  30.00,     93.4100,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,+                     ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,                    ,                       ,+                                      ,                    ,                          ,+                      ,                             ,                                ,+                          ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,A, 11,H,CC,  18.00,    102.5900,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,+                     ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,                    ,                       ,+                                      ,                    ,                          ,+                      ,+                            ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,A, 12,H,CC,  35.00,    112.0600,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,+                      ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,+                     ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,+                          ,                    ,                       ,+                                      ,                    ,                          ,+                      ,                             ,+                               ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,A, 13,X,CC,  15.00,    115.9500,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,+                      ,                       ,                        ,                      ,                       ,                   ,                     ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,+                     ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,                       ,+                          ,                    ,+                      ,+                                      ,                    ,                          ,+                      ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1168,A, 14,X,CC,  25.00,    125.8100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,+                    ,                               ,                           ,                           ,                         ,+                      ,                       ,                        ,                      ,                       ,                   ,+                    ,                        ,                    ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,+                     ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,+                             ,+                      ,+                          ,                    ,+                      ,+                                      ,                    ,                          ,+                      ,                             ,+                               ,+                          ,+                    ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,rare questionable specimens of G. conomiozea (mixed) and some rare specimens of Gr. sphericomiozea (v. weak keel) are present
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN10          ,189,1168,A, 15,X,CC,  12.00,    132.8900,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,+                      ,                         ,+                    ,                               ,                           ,                           ,                         ,+                      ,                       ,                        ,                      ,                       ,                   ,+                    ,                        ,+                   ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,+                     ,+                 ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,+                      ,+                          ,                    ,+                      ,+                                      ,+                   ,                          ,                       ,+                            ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,Gr inflata & Gr conomiozea present probable represent contamination
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN10          ,189,1168,A, 16,X,CC,  15.00,    144.8600,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,+                          ,+                       ,+                      ,                         ,+                    ,                               ,                           ,                           ,                         ,+                      ,                       ,                        ,                      ,                       ,                   ,+                    ,                        ,+                   ,                                  ,                   ,                   ,                  ,                  ,                        ,                           ,+                     ,+                 ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,+                      ,+                          ,+                   ,+                      ,+                                      ,+                   ,+                         ,+                      ,+                            ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,Gr inflata & Gr conomiozea present probable represent contamination
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN9           ,189,1168,A, 17,X,CC,  17.00,    154.3100,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,+                          ,+                       ,+                      ,+                        ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,+                    ,                        ,                    ,                                  ,                   ,                   ,+                 ,                  ,                        ,                           ,+                     ,                  ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,                              ,+                      ,+                          ,+                   ,+                      ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN9           ,189,1168,A, 18,X,CC,  29.00,    164.8800,forams   ,Planktonic Foraminifers                      ,               ,VG                ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,+                          ,                        ,+                      ,                         ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,                   ,+                    ,+                       ,                    ,                                  ,                   ,                   ,+                 ,+                 ,                        ,                           ,+                     ,+                 ,                         ,                       ,+                   ,                         ,                       ,                         ,                        ,+                ,                            ,+                             ,+                      ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN8           ,189,1168,A, 19,X,CC,  16.00,    175.2300,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,+                          ,                        ,+                      ,                         ,+                    ,                               ,                           ,                           ,                         ,+                      ,                       ,                        ,                      ,                       ,+                  ,+                    ,                        ,                    ,                                  ,                   ,                   ,+                 ,+                 ,                        ,                           ,+                     ,+                 ,                         ,                       ,                    ,                         ,+                      ,                         ,                        ,+                ,+                           ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN8           ,189,1168,A, 20,X,CC,  25.00,    184.2000,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,+                          ,+                       ,+                      ,+                        ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,+                  ,+                    ,                        ,                    ,                                  ,                   ,                   ,+                 ,+                 ,                        ,+                          ,+                     ,+                 ,                         ,                       ,                    ,                         ,+                      ,                         ,                        ,+                ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN8           ,189,1168,A, 21,X,CC,  17.00,    194.6200,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,+                          ,+                       ,+                      ,+                        ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,+                  ,                     ,                        ,                    ,                                  ,                   ,                   ,+                 ,+                 ,                        ,+                          ,+                     ,+                 ,                         ,                       ,                    ,                         ,+                      ,+                        ,+                       ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN7           ,189,1168,A, 22,X,CC,  29.00,    205.1100,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,+                          ,+                       ,+                      ,+                        ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,                        ,                      ,                       ,+                  ,+                    ,                        ,                    ,                                  ,                   ,                   ,+                 ,+                 ,+                       ,+                          ,+                     ,+                 ,                         ,+                      ,                    ,                         ,+                      ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN7           ,189,1168,A, 23,X,CC,  22.00,    214.6900,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,+                       ,+                      ,+                        ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,+                       ,                      ,                       ,+                  ,                     ,                        ,                    ,                                  ,                   ,                   ,+                 ,+                 ,                        ,                           ,+                     ,+                 ,                         ,+                      ,+                   ,+                        ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,"chalky sediments, abundant axially compressed morphs"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN6           ,189,1168,A, 24,X,CC,  21.00,    224.2700,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,+                      ,+                        ,+                    ,                               ,                           ,                           ,                         ,                       ,                       ,+                       ,                      ,+                      ,+                  ,                     ,                        ,                    ,                                  ,                   ,                   ,+                 ,+                 ,                        ,+                          ,                      ,+                 ,+                        ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN6           ,189,1168,A, 25,X,CC,  21.00,    233.1200,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                   ,                      ,                     ,                      ,                      ,                       ,                       ,                ,                      ,                ,                           ,                        ,                    ,                       ,                         ,                           ,                        ,                       ,                         ,                     ,                               ,                           ,                           ,                         ,                       ,                       ,+                       ,                      ,                       ,+                  ,                     ,                        ,                    ,                                  ,                   ,                   ,+                 ,+                 ,                        ,+                          ,                      ,                  ,                         ,                       ,                    ,                         ,                       ,                         ,                        ,                 ,                            ,                              ,                       ,                           ,                    ,                       ,                                       ,                    ,                          ,                       ,                             ,                                ,                           ,                     ,                        ,                         ,                         ,                         ,                    ,                         ,                       ,                     ,chalky sediments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
