Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis subdehiscens,Sphaeroidinella dehiscens,Orbulina universa,Globorotalia margaritae margaritae,Globorotalia margaritae evoluta,Globorotalia cibaoensis,Globoquadrina altispira altispira,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinoides extremus,Globigerinoides conglobatus,Globigerinella obesa,Globigerinella aequilateralis,Globigerina decoraperta,Globigerina nepenthes,Globoquadrina venezuelana,Globorotalia crassula,Globorotalia pseudomiocenica,Globorotalia merotumida,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Globorotalia plesiotumida,Globorotalia menardii,Globorotalia crassaformis crassaformis,Globorotalia limbata,Globorotalia crassaformis ronda,Neogloboquadrina acostaensis,Globorotalia cf. Gr. plesiotumida,Globigerina cf. incisa,Globorotalia crassaformis oceanica,Globigerinita glutinata,Globigerina falconensis,Orbulina bilobata,Globoquadrina baroemoenensis,Globigerinoides sacculifer,Candeina nitida,Globorotalia cf. crassaformis viola,Globorotalia cf. Gr. multicamerata,Globorotalia cf. Gr. cibaoensis,Globorotalia multicamerata,Globigerina rubescens,Globorotalia miocenica,Globorotalia cf. Gr. conoidea,Globorotalia scitula,Globorotalia exilis,Globorotalia crassaformis viola,Globorotalia truncatulinoides,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Globorotalia inflata,Neogloboquadrina continuosa,Neogloboquadrina incompta,Globorotalia ungulata,Globorotalia tumida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 631,A,  3,H, 3,  25.00,     22.8500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,R                        ,F                ,                                  ,                               ,                       ,                                 ,R                       ,C                    ,R                            ,F                        ,T                       ,R                          ,R                   ,                             ,F                      ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,R                              ,                            ,                                 ,                      ,                                  ,R                      ,                       ,R                ,                            ,R                         ,               ,                                   ,                                  ,                               ,                          ,                     ,R                     ,                             ,T                   ,R                  ,R                              ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 631,A,  3,H,CC,   5.00,     29.1600,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                                ,R                        ,F                ,                                  ,                               ,                       ,                                 ,F                       ,C                    ,R                            ,R                        ,R                       ,R                          ,R                   ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,R                                     ,                    ,                               ,                            ,                                 ,                      ,                                  ,R                      ,                       ,R                ,                            ,R                         ,T              ,                                   ,                                  ,                               ,                          ,                     ,R                     ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 631,A,  4,H, 3,  25.00,     32.7500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,F                        ,F                ,                                  ,                               ,                       ,                                 ,F                       ,C                    ,R                            ,F                        ,                        ,F                          ,R                   ,R                            ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,R                                     ,R                   ,F                              ,                            ,                                 ,T                     ,                                  ,R                      ,                       ,R                ,                            ,F                         ,               ,                                   ,R                                 ,                               ,                          ,                     ,R                     ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 631,A,  4,H,CC,   5.00,     38.3900,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,F                        ,F                ,                                  ,                               ,                       ,                                 ,F                       ,C                    ,F                            ,F                        ,F                       ,R                          ,R                   ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,T                                     ,                    ,F                              ,                            ,                                 ,                      ,                                  ,                       ,                       ,R                ,                            ,F                         ,               ,                                   ,R                                 ,                               ,R                         ,                     ,R                     ,T                            ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. exilis         ,              ,101, 631,A,  5,H, 3,  25.00,     42.3500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,F                        ,F                ,                                  ,                               ,                       ,                                 ,F                       ,F                    ,F                            ,F                        ,F                       ,F                          ,F                   ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,r                        ,                     ,                                      ,R                   ,F                              ,                            ,                                 ,                      ,                                  ,F                      ,                       ,R                ,                            ,R                         ,               ,                                   ,R                                 ,                               ,                          ,R                    ,T                     ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 631,A,  5,H,CC,   3.00,     48.6300,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,P                        ,P                ,                                  ,                               ,                       ,P                                ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,P                                     ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,P                ,                            ,                          ,               ,                                   ,P                                 ,                               ,                          ,                     ,P                     ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 631,A,  6,H, 3,  25.00,     51.9500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,F                        ,F                ,                                  ,                               ,                       ,R                                ,F                       ,                     ,                             ,F                        ,R                       ,R                          ,R                   ,R                            ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,R                                     ,F                   ,F                              ,                            ,                                 ,                      ,                                  ,R                      ,T                      ,R                ,                            ,F                         ,               ,                                   ,                                  ,                               ,                          ,R                    ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 631,A,  6,H,CC,  20.00,     58.5100,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,F                ,                                  ,                               ,                       ,R                                ,F                       ,F                    ,F                            ,F                        ,R                       ,R                          ,R                   ,R                            ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,R                                     ,R                   ,R                              ,                            ,                                 ,                      ,                                  ,R                      ,                       ,R                ,                            ,F                         ,T              ,                                   ,                                  ,                               ,                          ,R                    ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 631,A,  7,H, 3,  25.00,     61.4500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,F                ,                                  ,                               ,                       ,T                                ,F                       ,F                    ,R                            ,F                        ,R                       ,R                          ,F                   ,R                            ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,T                                 ,                         ,                     ,R                                     ,R                   ,T                              ,                            ,                                 ,                      ,                                  ,F                      ,T                      ,R                ,                            ,F                         ,T              ,                                   ,                                  ,                               ,                          ,R                    ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 631,A,  7,H,CC,  13.00,     67.8300,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,P                        ,P                ,                                  ,                               ,                       ,                                 ,P                       ,P                    ,                             ,                         ,P                       ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,P                                ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,P                                 ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 631,A,  8,H, 3,  25.00,     71.2500,Melillo  ,Planktonic Foraminifers                      ,               ,M                 ,                                ,                         ,F                ,                                  ,                               ,                       ,                                 ,                        ,F                    ,F                            ,F                        ,F                       ,R                          ,R                   ,T                            ,                       ,                     ,                         ,                     ,F                           ,                       ,                              ,                                  ,                         ,F                    ,R                                     ,                    ,F                              ,T                           ,F                                ,                      ,                                  ,R                      ,                       ,R                ,                            ,F                         ,               ,                                   ,F                                 ,R                              ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 631,A,  8,H,CC,  22.00,     77.6600,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,T                               ,                         ,C                ,                                  ,                               ,                       ,                                 ,F                       ,F                    ,F                            ,F                        ,R                       ,R                          ,R                   ,                             ,                       ,                     ,                         ,                     ,R                           ,                       ,                              ,                                  ,R                        ,C                    ,R                                     ,                    ,                               ,                            ,                                 ,                      ,                                  ,F                      ,                       ,R                ,                            ,F                         ,               ,                                   ,                                  ,                               ,T                         ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 631,A,  9,H, 3,  25.00,     80.7500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,F                ,                                  ,                               ,                       ,                                 ,                        ,F                    ,F                            ,F                        ,F                       ,R                          ,R                   ,                             ,                       ,                     ,                         ,R                    ,                            ,                       ,                              ,                                  ,R                        ,                     ,                                      ,                    ,R                              ,                            ,                                 ,                      ,                                  ,R                      ,                       ,R                ,                            ,C                         ,T              ,R                                  ,R                                 ,R                              ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,G. fistulosus     ,              ,101, 631,A,  9,H,CC,  18.00,     87.3900,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,F                ,                                  ,                               ,                       ,                                 ,R                       ,F                    ,R                            ,F                        ,F                       ,R                          ,R                   ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,F                    ,F                                     ,                    ,                               ,T                           ,R                                ,                      ,                                  ,R                      ,R                      ,R                ,                            ,C                         ,T              ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 10,H, 3,  25.00,     90.4500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,F                ,                                  ,                               ,                       ,R                                ,R                       ,F                    ,R                            ,C                        ,R                       ,R                          ,                    ,T                            ,                       ,                     ,R                        ,                     ,                            ,                       ,                              ,                                  ,T                        ,                     ,R                                     ,F                   ,                               ,                            ,                                 ,                      ,                                  ,R                      ,                       ,R                ,                            ,C                         ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 10,H,CC,  15.00,     96.8500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,                 ,                                  ,                               ,                       ,                                 ,                        ,P                    ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,P                             ,                                  ,                         ,                     ,                                      ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 11,X, 3,  25.00,     99.8500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,F                ,                                  ,                               ,                       ,R                                ,                        ,C                    ,F                            ,F                        ,R                       ,R                          ,R                   ,R                            ,                       ,                     ,T                        ,                     ,                            ,                       ,R                             ,                                  ,T                        ,                     ,                                      ,F                   ,R                              ,                            ,                                 ,R                     ,                                  ,R                      ,                       ,R                ,                            ,A                         ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 11,X,CC,   1.00,    105.1600,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,F                ,                                  ,                               ,                       ,                                 ,                        ,C                    ,F                            ,F                        ,F                       ,R                          ,R                   ,                             ,                       ,                     ,                         ,F                    ,                            ,                       ,                              ,                                  ,                         ,F                    ,                                      ,R                   ,R                              ,                            ,                                 ,R                     ,                                  ,R                      ,                       ,R                ,R                           ,F                         ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 12,X, 3,  25.00,    112.9500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,F                ,                                  ,                               ,                       ,                                 ,F                       ,C                    ,F                            ,F                        ,F                       ,R                          ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,R                   ,T                              ,                            ,                                 ,R                     ,T                                 ,R                      ,T                      ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 12,X,CC,  38.00,    119.5600,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,P                ,                                  ,                               ,                       ,                                 ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,P                                     ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 13,X, 3,  25.00,    122.4500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,P                ,P                                 ,                               ,                       ,                                 ,                        ,P                    ,                             ,P                        ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,P                        ,                     ,                                      ,P                   ,                               ,                            ,                                 ,P                     ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 13,X,CC,  45.00,    128.4500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,                 ,P                                 ,                               ,                       ,                                 ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,                    ,                               ,P                           ,P                                ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 14,X, 3,  25.00,    132.0500,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,                 ,                                  ,                               ,                       ,                                 ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,                            ,                       ,                              ,                                  ,                         ,                     ,                                      ,P                   ,P                              ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,G. m. evoluta     ,              ,101, 631,A, 14,X, 5,  47.00,    135.2700,Melillo  ,Planktonic Foraminifers                      ,               ,P                 ,                                ,                         ,                 ,                                  ,                               ,                       ,                                 ,                        ,                     ,                             ,                         ,                        ,                           ,                    ,                             ,                       ,                     ,                         ,                     ,P                           ,                       ,                              ,                                  ,                         ,                     ,P                                     ,                    ,                               ,                            ,                                 ,                      ,                                  ,                       ,                       ,                 ,                            ,                          ,               ,                                   ,                                  ,                               ,                          ,                     ,                      ,                             ,                    ,                   ,                               ,                             ,                               ,                            ,                    ,                           ,                         ,                     ,                   ,from Melillo; ODP 101 SR Ch1 Fig 10 p 34-35
