Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Sphenolithus heteromorphus,Cyclicargolithus floridanus,Umbilicosphaera sibogae,Rhabdosphaera procera,Dictyococcites antarcticus,Cyclicargolithus abisectus,Coccolithus pelagicus,Calcidiscus macintyrei,Helicosphaera carteri,Braarudosphaera bigelowii,Calcidiscus leptoporus,Small Gephyrocapsa spp.,Scyphosphaera spp.,Reticulofenestra minuta,Rhabdosphaera clavigera,Gephyrocapsa caribbeanica,Pontosphaera pachymorpha,Pontosphaera japonica,Pseudoemiliania lacunosa,Gephyrocapsa aperta,Dictyococcites sp.,Helicosphaera kamptneri,Syracosphaera pulchra,Comment
  IR,                 ,Quaternary       ,                  ,NN19          ,182,1129,D,  5,R,CC,   0.00,    392.9400,Ladner   ,Nannofossils                                 ,A              ,P                 ,                       ,                          ,                           ,F                      ,                     ,                          ,                          ,                     ,                      ,                     ,                         ,F                     ,                       ,                  ,                       ,                       ,                         ,                        ,                     ,R                       ,A                  ,                  ,R                      ,                     ,"Some minor overgrowths, some species difficult to determine."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,NN19          ,182,1129,D,  7,R,CC,   0.00,    413.3400,Ladner   ,Nannofossils                                 ,C              ,M                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,                      ,                     ,                         ,F                     ,                       ,                  ,                       ,                       ,                         ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,NN19              ,NN19          ,182,1129,D,  8,R,CC,   0.00,    422.9700,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,C                     ,F                    ,                         ,C                     ,C                      ,                  ,                       ,                       ,C                        ,R                       ,                     ,C                       ,                   ,                  ,                       ,                     ,Reworked S. dissimilis.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D,  9,R,CC,  11.00,    434.7100,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,F                     ,F                    ,                         ,F                     ,F                      ,                  ,C                      ,                       ,C                        ,R                       ,R                    ,C                       ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 10,R,CC,  16.00,    442.5200,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,F                     ,F                    ,                         ,F                     ,C                      ,                  ,C                      ,                       ,C                        ,                        ,R                    ,                        ,                   ,C                 ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 11,R,CC,  17.00,    453.6400,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,C                     ,F                    ,                         ,                      ,C                      ,                  ,C                      ,                       ,C                        ,                        ,                     ,C                       ,C                  ,C                 ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 12,R,CC,  15.00,    462.0000,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,                      ,                     ,                         ,C                     ,C                      ,                  ,C                      ,                       ,C                        ,                        ,                     ,                        ,C                  ,C                 ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 13,R,CC,  13.00,    476.9300,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,C                     ,R                    ,                         ,C                     ,C                      ,R                 ,                       ,                       ,C                        ,F                       ,                     ,                        ,C                  ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 14,R,CC,   8.00,    481.7600,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,F                     ,F                    ,                         ,F                     ,C                      ,F                 ,                       ,                       ,                         ,R                       ,R                    ,                        ,C                  ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 15,R,CC,  19.00,    491.7100,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,C                    ,C                     ,F                    ,                         ,                      ,C                      ,F                 ,                       ,                       ,A                        ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 16,R,CC,  19.00,    507.6400,Shafik   ,Nannofossils                                 ,C              ,M                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,C                     ,C                    ,                         ,C                     ,                       ,C                 ,                       ,F                      ,C                        ,R                       ,R                    ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 17,R,CC,   0.00,    512.1500,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,F                     ,C                    ,                         ,C                     ,                       ,F                 ,C                      ,                       ,C                        ,                        ,                     ,R                       ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 18,R,CC,  37.00,    521.5200,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,F                     ,F                    ,C                        ,C                     ,                       ,                  ,                       ,                       ,F                        ,R                       ,R                    ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,182,1129,D, 19,R,CC,   0.00,    533.2000,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,                     ,F                     ,F                    ,                         ,R                     ,                       ,                  ,                       ,                       ,F                        ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN19          ,182,1129,D, 20,R,CC,  14.00,    546.3300,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,F                    ,                      ,F                    ,                         ,F                     ,                       ,                  ,                       ,F                      ,                         ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,Reworked C. formosus and H. compacta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Quaternary       ,                  ,NN19          ,182,1129,D, 21,R,CC,  31.00,    554.7000,Shafik   ,Nannofossils                                 ,C              ,P                 ,                       ,                          ,                           ,                       ,                     ,                          ,                          ,F                    ,C                     ,R                    ,                         ,R                     ,R                      ,C                 ,C                      ,                       ,                         ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Middle Miocene   ,NN4               ,NN5           ,182,1129,D, 22,R, 1, 105.00,    557.1500,Ladner   ,Nannofossils                                 ,C              ,P                 ,C                      ,F                         ,F                          ,                       ,                     ,                          ,C                         ,F                    ,                      ,                     ,                         ,                      ,                       ,                  ,                       ,                       ,                         ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Middle Miocene   ,NN4               ,NN5           ,182,1129,D, 22,R,CC,  16.00,    557.6800,Shafik   ,Nannofossils                                 ,C              ,M                 ,C                      ,R                         ,C                          ,                       ,                     ,                          ,                          ,                     ,                      ,F                    ,F                        ,F                     ,                       ,                  ,                       ,                       ,                         ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN4               ,NN5           ,182,1129,D, 23,R,CC,  11.00,    565.9100,Shafik   ,Nannofossils                                 ,C              ,P                 ,C                      ,R                         ,C                          ,                       ,                     ,                          ,                          ,                     ,                      ,R                    ,R                        ,                      ,                       ,                  ,                       ,                       ,                         ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Middle Miocene   ,NN4               ,NN5           ,182,1129,D, 24,R, 1,  20.00,    575.6000,Ladner   ,Nannofossils                                 ,C              ,P                 ,                       ,F                         ,                           ,C                      ,R                    ,C                         ,C                         ,F                    ,R                     ,                     ,                         ,                      ,                       ,                  ,                       ,                       ,                         ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN4               ,NN5           ,182,1129,D, 24,R,CC,   0.00,    575.8500,Shafik   ,Nannofossils                                 ,F              ,P                 ,R                      ,F                         ,F                          ,                       ,                     ,                          ,                          ,                     ,                      ,                     ,                         ,                      ,                       ,                  ,                       ,                       ,                         ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Middle Miocene   ,NN4               ,NN5           ,182,1129,D, 26,R,CC,  30.00,    594.9000,Shafik   ,Nannofossils                                 ,C              ,P                 ,C                      ,C                         ,C                          ,                       ,                     ,                          ,                          ,                     ,                      ,                     ,                         ,                      ,                       ,                  ,                       ,                       ,                         ,                        ,                     ,                        ,                   ,                  ,                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
