Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalmannammina conglobata  	Rhabdammina sp.	Reophax sp.	Stilostomella spp.	Pleurostomella spp.	Oridorsalis umbonatus	Saitoella globosa             	Fissurina spp.	Cibicidoides spp.	Pullenia bulloides	Globocassidulina spp.	Bolivina spp.	Sphaeroidina bulloides	Pyrgo murrhina	Cibicidoides wuellerstorfi	Cibicidoides renzi	Lenticulina spp.	Bulimina rostrata	Uvigerina sp. A	Melonis barleeanus	Martinottiella spp.	Sigmoilopsis schlumbergeri	Hoeglundina elegans	Uvigerina senticosa	Uvigerina hispidocostata	Uvigerina hispida	Bulimina striata	Amphicoryna scalaris	Globobulimina affinis	Bolivinita quadrilatera	Chilostomella oolina	Comment
  SR	                 	                 	                  	              	126	 792	E	  5	R	 1	  35.00	    174.4500	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	C                 	                   	A                    	                              	R             	                 	C                 	R                    	             	R                     	R             	                          	                  	A               	                 	               	                  	                   	F                         	                   	C                  	F                       	R                	R               	C                   	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	  6	R	 1	  58.00	    184.2800	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	A                 	R                  	C                    	                              	F             	                 	C                 	R                    	             	                      	F             	                          	                  	F               	                 	               	                  	                   	F                         	R                  	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	  7	R	CC	   0.00	    193.7500	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	R                 	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	  8	R	 1	   4.00	    203.1400	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	F                 	                   	                     	                              	              	                 	                  	                     	             	                      	              	R                         	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 10	R	 2	 120.00	    224.9000	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	R                 	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 11	R	CC	  12.00	    234.5100	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	                     	                              	              	F                	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 12	R	 3	 116.00	    245.6600	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	R                 	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 12	R	CC	  11.00	    245.8000	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	R                    	                              	R             	R                	                  	R                    	             	                      	              	F                         	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 13	R	 1	  30.00	    251.5000	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	R                 	                   	                     	                              	              	F                	                  	                     	             	                      	              	R                         	                  	                	                 	               	                  	R                  	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 13	R	 2	  22.00	    252.9200	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	                     	                              	              	R                	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 14	R	CC	  21.00	    261.1100	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	R                  	                     	                              	              	R                	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 15	R	 1	 115.00	    271.6500	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	R                 	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 15	R	CC	   7.00	    273.9100	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	R                 	F                  	C                    	                              	              	C                	                  	                     	             	                      	              	                          	                  	                	F                	A              	F                 	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 16	R	CC	  10.00	    282.8200	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	                     	                              	R             	C                	                  	                     	             	C                     	              	F                         	                  	F               	R                	R              	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 19	R	CC	   7.00	    312.8800	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	R                 	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 20	R	CC	   7.00	    322.4500	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	                     	                              	              	F                	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 22	R	 3	  60.00	    341.5000	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	A                    	                              	              	R                	                  	                     	             	                      	              	                          	                  	                	R                	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 22	R	CC	   8.00	    342.5800	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	                     	                              	              	                 	                  	                     	             	                      	R             	                          	F                 	R               	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 23	R	 1	  59.00	    348.1900	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	F                 	F                  	                     	                              	R             	                 	                  	                     	             	R                     	R             	F                         	F                 	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 23	R	CC	  11.00	    349.6400	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	                     	                              	F             	                 	                  	                     	             	R                     	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 24	R	 1	  61.00	    357.9100	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	R                 	                   	F                    	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 26	R	CC	   6.00	    377.8500	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	F                 	C                  	F                    	                              	              	                 	F                 	R                    	R            	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 27	R	CC	  11.00	    391.5900	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	C                 	F                  	A                    	                              	              	F                	                  	C                    	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 28	R	CC	  13.00	    398.9900	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	R                  	F                    	                              	              	                 	R                 	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 29	R	CC	   9.00	    408.6000	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	                     	                              	              	F                	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 30	R	CC	  16.00	    423.5200	Kaiho    	Benthic Foraminifers                         	               	                  	                           	C              	           	R                 	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 32	R	 1	  11.00	    434.7100	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	F                 	                   	                     	A                             	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 33	R	 1	 136.00	    445.5600	Kaiho    	Benthic Foraminifers                         	               	                  	                           	C              	           	R                 	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 35	R	CC	  18.00	    466.1800	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	                  	                   	                     	                              	              	R                	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 36	R	CC	  14.00	    480.1100	Kaiho    	Benthic Foraminifers                         	               	                  	                           	C              	           	                  	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 57	R	 1	  97.00	    676.0700	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	F                 	                   	R                    	R                             	R             	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 57	R	CC	   9.00	    684.0100	Kaiho    	Benthic Foraminifers                         	               	                  	                           	               	           	F                 	F                  	C                    	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 63	R	CC	  12.00	    737.2100	Kaiho    	Benthic Foraminifers                         	               	                  	                           	C              	           	                  	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

  SR	                 	                 	                  	              	126	 792	E	 64	R	 1	  17.00	    742.3700	Kaiho    	Benthic Foraminifers                         	               	                  	R                          	C              	R          	                  	                   	                     	                              	              	                 	                  	                     	             	                      	              	                          	                  	                	                 	               	                  	                   	                          	                   	                   	                        	                 	                	                    	                     	                       	                    	from ODP Leg 126 SR Chapter 19 Figure 6 p. 295

