Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina inaequispira	Igorina broedermanni	Globorotaloides carcoselleensis	Acarinina bullbrooki	Subbotina utilisindex	Subbotina angiporoides minima	Planorotalites pseudoscitulus	Globigerinatheka micra	Globigerinatheka index	Acarinina rugosoaculeata	Acarinina pentacamerata	Turborotalia boweri	Subbotina angiporoides	Morozovella aragonensis	Chiloguembelina sp.	Acarinina primitiva	Turborotalia praecentralis	Tenuitella gemma	Subbotina hornibrooki	Dentoglobigerina galavisi	Turborotalia pseudomayeri	Turborotalia griffinae	Truncorotaloides topilensis	Truncorotaloides rohri	Morozovella lehneri	Hantkenina sp.	Globigerinatheka subconglobata	Catapsydrax unicavus	Acarinina matthewsae	Zeaglobigerina ampliapertura	Turborotalia pomeroli	Turborotalia cerroazulensis	Hantkenina longispina	Acarinina pseudotopilensis	Globigerina venezuelana	Subbotina eocaena	Pseudohastigerina micra	Globigerinatheka luterbacheri	Chiloguembelina cubensis	Turborotalia pseudoampliapertura	Subbotina linaperta	Globigerinatheka semiinvoluta	Subbotina praeturritilina	Comment
  SR	                 	                 	P10               	P12           	160	 966	F	 27	R	 6	  25.00	    315.0500	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	+                   	                     	                             	+                            	                      	                      	                        	+                      	                   	+                     	                       	                   	                   	                          	                	                     	                         	                         	                      	                           	                      	                   	              	+                             	+                   	+                   	                            	                     	                           	                     	                          	+                      	                 	                       	                             	                        	                                	                   	                             	                         	from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 28	R	 1	  58.00	    318.0800	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	+                   	                     	                             	+                            	                      	                      	+                       	+                      	                   	                      	                       	+                  	                   	                          	+               	                     	                         	+                        	                      	                           	                      	+                  	              	                              	                    	+                   	                            	                     	                           	                     	+                         	+                      	+                	                       	                             	                        	                                	                   	                             	                         	VR reworking. from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 28	R	 3	  74.00	    320.2800	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	+                   	                     	                             	+                            	                      	                      	+                       	+                      	+                  	                      	                       	                   	                   	+                         	                	                     	+                        	+                        	+                     	                           	+                     	                   	              	+                             	                    	+                   	                            	+                    	                           	                     	+                         	+                      	                 	                       	                             	                        	                                	                   	                             	                         	R/C reworking. from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 28	R	 6	 128.00	    325.2000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	+                   	                     	                             	+                            	                      	+                     	                        	+                      	                   	                      	                       	+                  	                   	+                         	                	                     	                         	                         	+                     	                           	                      	cf                 	              	                              	                    	                    	+                           	+                    	+                          	cf                   	+                         	                       	                 	                       	                             	                        	                                	                   	                             	                         	from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 29	R	 1	  73.00	    327.8300	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	+                   	                     	                             	+                            	+                     	+                     	+                       	+                      	+                  	+                     	                       	                   	                   	+                         	                	+                    	                         	+                        	+                     	+                          	+                     	+                  	+             	+                             	+                   	+                   	                            	                     	                           	                     	                          	                       	                 	                       	                             	                        	                                	                   	                             	                         	VR reworking. from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 29	R	 2	 130.00	    329.9000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	+                              	+                   	                     	+                            	+                            	                      	                      	+                       	+                      	                   	                      	                       	                   	                   	                          	+               	+                    	+                        	                         	                      	                           	                      	                   	              	                              	                    	                    	                            	                     	                           	                     	                          	                       	                 	                       	                             	                        	                                	                   	                             	                         	R reworking. from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 30	R	 1	  23.00	    337.0300	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	                    	                               	                    	                     	                             	                             	                      	                      	+                       	+                      	                   	                      	                       	                   	                   	+                         	                	                     	                         	                         	                      	                           	                      	                   	              	                              	                    	                    	                            	                     	                           	                     	                          	                       	                 	                       	                             	                        	                                	                   	                             	                         	from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 30	R	 3	  94.00	    340.7100	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	+                   	                               	                    	                     	                             	                             	                      	                      	+                       	+                      	+                  	+                     	+                      	+                  	+                  	                          	                	                     	                         	                         	                      	                           	                      	                   	              	                              	                    	                    	                            	                     	                           	                     	                          	                       	                 	                       	                             	                        	                                	                   	                             	                         	VR reworking. from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 31	R	 1	  80.00	    347.2000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                      	+                   	                               	+                   	+                    	+                            	+                            	+                     	+                     	+                       	+                      	                   	                      	                       	                   	                   	                          	                	                     	                         	                         	                      	                           	                      	                   	              	                              	                    	                    	                            	                     	                           	                     	                          	                       	                 	                       	                             	                        	                                	                   	                             	                         	VR reworking. from Leg 160SR Ch 30 Table 1

  SR	                 	                 	P10               	P12           	160	 966	F	 31	R	 3	   9.00	    349.3100	Premoli Silva	Planktonic Foraminifers                      	               	                  	+                     	+                   	+                              	+                   	                     	                             	                             	                      	                      	                        	                       	                   	                      	                       	                   	                   	                          	                	                     	                         	                         	                      	                           	                      	                   	              	                              	                    	                    	                            	                     	                           	                     	                          	                       	                 	                       	                             	                        	                                	                   	                             	                         	VR reworking. from Leg 160SR Ch 30 Table 1

