Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Siphonina reticulata,Pullenia spp.*,Pleurostomella spp.*,Ortomorphina jedlitskai,Oridorsalis stellatus,Gyroidinoides gr  soldanii*,Cibicides spp.,Brizalina cf. paralica,Rosalina spp.,Melonis spp.,Gyroidinoides laevigatus,Ammonia tepida,Uvigerina spp.,Uvigerina pygmaea-peregrina,Planulina ariminensis,Oridorsalis umbonatus,Oridorsalis spp.,Globocassidulina subglobosa,Epistominella exigua,Cibicidoides ungerianus,Cibicidoides pseudoungerianus,Brizalina-Bolivina gr.*,Pyramidulina stainforthi,Cibicidoides italicus,Trifarina bradyi,Lenticulina spp.*,Fissurina spp.,Dentalina filiformis,Chrysalogonium spp.,Astacolus cf. ovatus,Marginulina spp.,Bulimina spp.,Lenticulina inornata,Anomalinoides spp.,Stilostomella spp.,Hanzawaia boueana,Astrononion stelligerum,Anomalinoides alazanensis,Amphicoryna spp.,Fursenkoina squammosa,Pandaglandulina dinapolii,Nodosaria spp.,Dimorphina tuberosa,Sigmoilinita tenuis,Rectuvigerina gaudryinoides,Ortomorphina spp.*,Martinottiella spp.,Lenticulina rotulata,Gyroidinoides spp.,Alliatinella sp.,Karreriella bradyi,Bigenerina nodosaria,Spiroplectammina spp.*,Oolina spp.,Ellipsoidina ellipsoides,Eggerella bradyi,Dentalina leguminiformis,Quadrimorphina allomorphinoides,Dentalina spp.*,Nonion gr.*,Sphaeroidina bulloides,Saracenaria italica,Lagena spp.,Elphidium spp.,Discorbinella bertheloti,Cibicidoides spp.,Cassidulina spp.*,Valvulineria cf. bradyiana,Alabamina wilcoxensis,Sigmoilopsis spp.,Asterigerina planorbis,Textularia spp.,Plectofrondicularia tenuissima,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X,CC,  16.00,    302.4600,Iaccarino,Benthic Foraminifers                         ,               ,                  ,.4%                 ,1.6%          ,2.4%                ,4.4%                   ,16.7%                ,11.1%                      ,2.8%          ,                      ,.4%          ,            ,2.4%                    ,              ,.4%           ,3.2%                       ,                     ,2.8%                 ,.4%             ,17.9%                      ,                    ,1.2%                   ,                             ,4.8%                   ,                        ,.8%                  ,1.2%            ,                 ,.8%           ,.4%                 ,                   ,.8%                 ,                ,.8%          ,                    ,                  ,.4%               ,                 ,2.0%                   ,1.6%                     ,.4%             ,                     ,                         ,              ,                   ,2.4%               ,                           ,                  ,.8%                ,.4%                 ,                  ,                ,6.3%              ,1.6%                ,.4%                   ,           ,                        ,                ,.4%                     ,2.4%                           ,               ,1.6%       ,                      ,                   ,           ,              ,                        ,                 ,1.6%             ,                          ,                     ,                 ,.4%                   ,               ,                              ,total count=252 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 32,X,CC,  37.00,    302.6700,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,.7%           ,2.6%                ,8.5%                   ,14.4%                ,1.8%                       ,2.2%          ,                      ,             ,.4%         ,8.5%                    ,              ,.4%           ,11.1%                      ,                     ,2.6%                 ,2.2%            ,14.4%                      ,                    ,.7%                    ,                             ,1.5%                   ,                        ,.4%                  ,.4%             ,                 ,.4%           ,.7%                 ,.4%                ,                    ,                ,.4%          ,                    ,                  ,                  ,                 ,2.2%                   ,2.2%                     ,                ,                     ,                         ,              ,                   ,3.3%               ,                           ,                  ,4.4%               ,1.1%                ,                  ,                ,2.6%              ,                    ,.7%                   ,1.8%       ,                        ,                ,                        ,1.1%                           ,               ,4.1%       ,                      ,                   ,.7%        ,              ,                        ,                 ,.4%              ,.4%                       ,.4%                  ,                 ,                      ,               ,                              ,total count=271 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,   5.00,    302.4500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,1.3%          ,6.1%                ,5.6%                   ,7.4%                 ,8.7%                       ,2.3%          ,                      ,             ,            ,.8%                     ,              ,.8%           ,5.6%                       ,                     ,4.3%                 ,                ,21.6%                      ,                    ,1.0%                   ,                             ,1.8%                   ,                        ,                     ,.8%             ,.3%              ,.5%           ,1.0%                ,2.5%               ,1.0%                ,1.0%            ,             ,                    ,                  ,.5%               ,                 ,.5%                    ,2.5%                     ,.3%             ,                     ,                         ,.3%           ,                   ,.8%                ,                           ,                  ,1.3%               ,.8%                 ,                  ,                ,8.9%              ,2.3%                ,                      ,.8%        ,.3%                     ,                ,.3%                     ,1.5%                           ,.3%            ,2.5%       ,                      ,                   ,           ,              ,                        ,.3%              ,.5%              ,                          ,.3%                  ,                 ,                      ,               ,                              ,0.5% indet. specimens; total count=393 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  14.00,    302.5400,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,.5%           ,5.7%                ,3.6%                   ,14.6%                ,7.3%                       ,3.1%          ,                      ,             ,            ,3.6%                    ,              ,1.0%          ,2.6%                       ,                     ,5.7%                 ,1.6%            ,29.7%                      ,                    ,.5%                    ,                             ,.5%                    ,                        ,                     ,                ,                 ,              ,.5%                 ,.5%                ,.5%                 ,                ,             ,                    ,                  ,.5%               ,                 ,1.6%                   ,4.7%                     ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,1.0%               ,1.6%                ,                  ,                ,1.6%              ,.5%                 ,                      ,.5%        ,                        ,.5%             ,                        ,2.1%                           ,               ,2.6%       ,                      ,                   ,.5%        ,              ,                        ,                 ,                 ,                          ,                     ,.5%              ,                      ,               ,                              , total count=192 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  25.00,    302.6500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,.4%           ,5.5%                ,.9%                    ,10.6%                ,3.8%                       ,              ,                      ,             ,            ,9.4%                    ,              ,.9%           ,3.0%                       ,.4%                  ,1.3%                 ,.4%             ,41.7%                      ,                    ,2.6%                   ,.9%                          ,1.3%                   ,                        ,1.3%                 ,                ,.4%              ,              ,.4%                 ,                   ,                    ,.4%             ,.4%          ,                    ,                  ,                  ,                 ,.9%                    ,8.5%                     ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,                   ,3.4%                ,                  ,                ,.9%               ,                    ,                      ,           ,                        ,                ,                        ,.4%                            ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=235 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  35.00,    302.7500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,1.1%                ,.7%                    ,20.3%                ,9.8%                       ,1.1%          ,                      ,             ,            ,1.4%                    ,              ,1.1%          ,2.2%                       ,.7%                  ,.7%                  ,1.8%            ,41.3%                      ,                    ,1.4%                   ,1.4%                         ,1.4%                   ,                        ,1.1%                 ,1.4%            ,                 ,.4%           ,                    ,                   ,.4%                 ,                ,1.1%         ,.7%                 ,                  ,.4%               ,                 ,                       ,5.4%                     ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,.4%                ,1.8%                ,                  ,                ,                  ,                    ,                      ,           ,                        ,                ,                        ,                               ,               ,.4%        ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=276 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  40.00,    302.8000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,7.3%                ,3.8%                   ,8.0%                 ,12.2%                      ,3.5%          ,                      ,             ,            ,2.1%                    ,              ,              ,1.4%                       ,                     ,2.4%                 ,2.8%            ,25.9%                      ,                    ,2.4%                   ,                             ,2.4%                   ,                        ,.3%                  ,.7%             ,1.0%             ,.3%           ,.7%                 ,                   ,                    ,                ,.7%          ,                    ,                  ,                  ,                 ,2.8%                   ,4.5%                     ,                ,                     ,                         ,              ,                   ,.3%                ,                           ,.3%               ,1.0%               ,1.0%                ,                  ,                ,3.8%              ,1.4%                ,1.4%                  ,.3%        ,.3%                     ,                ,                        ,                               ,               ,2.8%       ,                      ,                   ,.3%        ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,1 % indet. specimens; total count=286 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  63.00,    303.0300,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,1.7%          ,4.2%                ,1.7%                   ,16.1%                ,5.9%                       ,2.5%          ,                      ,             ,            ,3.4%                    ,              ,              ,2.5%                       ,                     ,4.2%                 ,                ,22.0%                      ,                    ,                       ,2.5%                         ,3.4%                   ,                        ,                     ,.8%             ,1.7%             ,              ,                    ,                   ,                    ,                ,.8%          ,                    ,                  ,                  ,                 ,5.9%                   ,.8%                      ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,1.7%               ,1.7%                ,                  ,                ,5.1%              ,                    ,                      ,.8%        ,                        ,                ,                        ,2.5%                           ,               ,5.1%       ,                      ,                   ,1.7%       ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,0.8 % indet. specimens; total count=118 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  75.00,    303.1500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,1.4%          ,19.8%               ,3.2%                   ,7.3%                 ,7.7%                       ,1.4%          ,.4%                   ,.4%          ,.2%         ,5.1%                    ,              ,1.4%          ,                           ,.2%                  ,7.5%                 ,                ,11.5%                      ,                    ,1.4%                   ,.2%                          ,5.3%                   ,                        ,                     ,1.0%            ,1.6%             ,              ,1.6%                ,.4%                ,.4%                 ,.2%             ,.6%          ,                    ,                  ,1.0%              ,.2%              ,1.8%                   ,                         ,.2%             ,                     ,                         ,              ,                   ,1.2%               ,                           ,                  ,1.0%               ,.8%                 ,.4%               ,                ,4.0%              ,1.2%                ,.8%                   ,           ,                        ,                ,.2%                     ,1.6%                           ,.2%            ,3.4%       ,.2%                   ,.2%                ,.4%        ,.2%           ,.2%                     ,.2%              ,.2%              ,                          ,                     ,                 ,                      ,               ,                              ,total count=495 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1,  83.00,    303.2300,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,4.8%                ,2.4%                   ,14.3%                ,7.1%                       ,              ,                      ,             ,            ,9.5%                    ,              ,              ,                           ,                     ,2.4%                 ,                ,16.7%                      ,                    ,                       ,                             ,                       ,                        ,                     ,                ,4.8%             ,2.4%          ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,7.1%                   ,                         ,                ,                     ,                         ,              ,                   ,2.4%               ,                           ,                  ,7.1%               ,2.4%                ,                  ,                ,9.5%              ,                    ,2.4%                  ,           ,                        ,                ,2.4%                    ,                               ,               ,2.4%       ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=42 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1, 100.00,    303.4000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,12.9%               ,                       ,16.1%                ,                           ,              ,                      ,             ,            ,6.5%                    ,              ,              ,                           ,                     ,3.2%                 ,                ,19.4%                      ,                    ,                       ,                             ,9.7%                   ,                        ,6.5%                 ,                ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,3.2%              ,                 ,6.5%                   ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,3.2%               ,3.2%                ,                  ,                ,6.5%              ,                    ,3.2%                  ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=31 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1, 117.00,    303.5700,Iaccarino,Benthic Foraminifers                         ,               ,                  ,2.0%                ,              ,8.2%                ,                       ,20.4%                ,6.1%                       ,              ,                      ,             ,            ,8.2%                    ,              ,              ,2.0%                       ,                     ,10.2%                ,                ,4.1%                       ,                    ,                       ,                             ,                       ,                        ,                     ,                ,                 ,              ,                    ,4.1%               ,                    ,                ,             ,                    ,                  ,6.1%              ,2.0%             ,8.2%                   ,                         ,                ,                     ,                         ,              ,                   ,2.0%               ,                           ,                  ,2.0%               ,4.1%                ,                  ,                ,6.1%              ,                    ,                      ,           ,                        ,                ,                        ,2.0%                           ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=49 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1, 125.00,    303.6500,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,2.6%                ,5.1%                   ,32.1%                ,5.1%                       ,1.3%          ,                      ,             ,            ,6.4%                    ,              ,1.3%          ,                           ,1.3%                 ,10.3%                ,                ,14.1%                      ,                    ,2.6%                   ,                             ,2.6%                   ,                        ,1.3%                 ,                ,                 ,              ,1.3%                ,                   ,1.3%                ,                ,             ,1.3%                ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,1.3%               ,1.3%                ,1.3%              ,                ,1.3%              ,2.6%                ,                      ,1.3%       ,                        ,                ,1.3%                    ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=78 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 1, 143.00,    303.8300,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,.8%           ,2.3%                ,9.2%                   ,26.2%                ,3.8%                       ,3.1%          ,                      ,             ,            ,3.8%                    ,              ,              ,.8%                        ,                     ,12.3%                ,1.5%            ,17.7%                      ,                    ,                       ,                             ,.8%                    ,                        ,1.5%                 ,.8%             ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,.8%                    ,                         ,                ,                     ,                         ,              ,                   ,2.3%               ,                           ,                  ,4.6%               ,                    ,                  ,                ,2.3%              ,.8%                 ,                      ,           ,2.3%                    ,                ,.8%                     ,                               ,               ,.8%        ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,0.8% indet. specimens; total count=130 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,   0.00,    303.9000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,5.4%                ,8.3%                   ,16.7%                ,8.3%                       ,2.2%          ,                      ,             ,1.1%        ,1.4%                    ,              ,.4%           ,.4%                        ,.7%                  ,10.1%                ,.4%             ,20.7%                      ,                    ,                       ,1.1%                         ,2.2%                   ,                        ,                     ,.4%             ,                 ,              ,1.8%                ,2.5%               ,.4%                 ,                ,1.4%         ,                    ,                  ,.4%               ,                 ,4.0%                   ,                         ,                ,                     ,                         ,              ,                   ,.4%                ,                           ,2.5%              ,1.4%               ,1.1%                ,.4%               ,                ,.7%               ,                    ,.4%                   ,           ,                        ,.7%             ,                        ,.4%                            ,.4%            ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,1.4% indet. specimens; total count=276 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  10.00,    304.0000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,1.4%                ,8.5%                   ,6.6%                 ,11.8%                      ,.9%           ,                      ,             ,            ,2.8%                    ,              ,              ,2.4%                       ,                     ,16.1%                ,.9%             ,16.1%                      ,                    ,1.4%                   ,.9%                          ,3.8%                   ,                        ,.9%                  ,                ,                 ,.5%           ,1.4%                ,.5%                ,                    ,.9%             ,.5%          ,                    ,                  ,1.4%              ,                 ,5.2%                   ,.5%                      ,                ,                     ,                         ,              ,                   ,.9%                ,                           ,.5%               ,3.3%               ,.9%                 ,                  ,                ,3.3%              ,1.9%                ,.9%                   ,.5%        ,.5%                     ,.5%             ,.9%                     ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=211 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 975,B, 33,X, 2,  20.00,    304.1000,Iaccarino,Benthic Foraminifers                         ,               ,                  ,                    ,              ,                    ,7.8%                   ,                     ,9.1%                       ,              ,                      ,             ,            ,7.8%                    ,              ,              ,                           ,                     ,18.2%                ,1.3%            ,29.9%                      ,                    ,                       ,                             ,                       ,                        ,                     ,                ,                 ,              ,                    ,                   ,                    ,                ,             ,                    ,                  ,                  ,                 ,                       ,                         ,                ,                     ,                         ,              ,                   ,                   ,                           ,                  ,6.5%               ,                    ,                  ,                ,16.9%             ,2.6%                ,                      ,           ,                        ,                ,                        ,                               ,               ,           ,                      ,                   ,           ,              ,                        ,                 ,                 ,                          ,                     ,                 ,                      ,               ,                              ,total count=77 ben. forams; from 161SR Ch.15 Appendix D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
