Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xiphophoridium alatum	Xenascus plotei	Trichodinium castanea	Subtilisphaera? habibi	Spiniferites ramosus ramosus	Spiniferites multibrevis	Pervosphaeridium truncatum	Pervosphaeridium paucispinum	Oligosphaeridium pulcherrimum	Oligosphaeridium complex	Oligosphaeridium ?asterigerum	Odontochitina operculata	Odontochitina costata	Kiokansium williamsii	Dinopterygium cladoides	Dinoflagellate Forma A	Cyclonephelium paucispinum	Cyclonephelium distinctum distinctum	Coronifera oceanica	Cometodinium whitei	Chlamydophorella nyei	Cepadinium? sp. BAHA	Tanyosphaeridium variecalamus	Protoellipsodinium conulum	Maghrebinia chleuh	Hystrichosphaeridium bowerbankii	Florentinia resex	Florentinia mantellii	Florentinia laciniata laciniata	Dapsilidinium laminaspinosum	Cyclonephelium distinctum longispinatum	Cyclonephelium chabaca	Compositosphaeridium? bahamaensis	Chlamydophorella discreta	Achomosphaera triangulata	Achomosphaera ramulifera	Maghrebinia perforata mirabilia	Pterodinium cf. campanula	Maghrebinia perforata perforata	Maghrebinia breviornata	Litosphaeridium sp. BAHA	Litosphaeridium siphoniphorum	Litosphaeridium arundum	Dapsilidinium duma	Cyclonephelium hystrix	Cribroperidinium intricatum	Coronifera striolata	Callaoisphaeridium asymmetricum	Achomosphaera sagena	Hystrichodinium pulchrum densispinum	Florentinia radiculata	Cyclonephelium compactum	Pterodinium cingulatum cingulatum	Leberidocysta chlamydata	Epelidosphaeridia spinosa	Florentinia  clavigera	Kleithriasphaeridium loffrense	Spiniferites cf. wetzelii	Senoniasphaera cf. rotundata	Heterosphaeridium heteracanthum	Dinogymnium microgranulosum	Dinoflagellate Forma B	Cassiculosphaeridia reticulata	Aldorfia deflandrei	Florentinia deanei	Angustidinium acribes	Hystrichostrogylon membraniphorum	Comment

  SR	Cenomanian       	                 	                  	              	101	 627	B	 39	X	 2	  50.00	    365.1000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	R              	                     	A                     	                            	                        	                          	R                           	                             	R                       	R                            	                        	                     	                     	                       	                      	                          	                                    	                   	                   	                     	                    	                             	                          	                  	                                	                 	R                    	                               	                            	                                       	                      	                                 	                         	                         	                        	                               	                         	                               	                       	                        	                             	                       	R                 	                      	                           	                    	                               	                    	                                    	                      	                        	                                 	                        	R                        	R                     	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 39	X	 4	  50.00	    368.1000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	               	                     	A                     	                            	                        	                          	                            	                             	                        	                             	                        	                     	                     	                       	                      	                          	                                    	                   	                   	                     	                    	                             	                          	                  	                                	                 	                     	                               	                            	                                       	R                     	                                 	                         	                         	                        	                               	                         	                               	                       	                        	                             	                       	                  	                      	                           	                    	                               	                    	                                    	                      	                        	                                 	                        	F                        	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 39	X	 6	  50.00	    371.1000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                     	R              	                     	C                     	                            	R                       	R                         	                            	                             	                        	                             	                        	R                    	                     	                       	                      	                          	                                    	                   	                   	                     	                    	                             	                          	                  	                                	R                	                     	                               	                            	R                                      	                      	                                 	                         	                         	                        	                               	                         	                               	                       	                        	                             	                       	                  	                      	R                          	                    	                               	                    	                                    	                      	                        	                                 	                        	F                        	R                     	R                             	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 40	X	 5	  50.00	    379.2000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                     	R              	                     	F                     	                            	                        	                          	                            	R                            	R                       	                             	                        	R                    	                     	                       	                      	                          	R                                   	                   	                   	                     	                    	                             	                          	                  	                                	                 	                     	                               	                            	                                       	R                     	                                 	                         	                         	R                       	                               	                         	                               	                       	                        	                             	                       	                  	                      	R                          	                    	                               	                    	                                    	R                     	                        	                                 	                        	C                        	R                     	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 41	X	 1	  50.00	    382.9000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                     	               	                     	A                     	                            	                        	                          	                            	R                            	                        	R                            	                        	                     	                     	                       	                      	                          	R                                   	                   	                   	                     	                    	                             	                          	                  	                                	                 	                     	                               	                            	                                       	R                     	                                 	                         	R                        	                        	                               	                         	                               	                       	                        	                             	                       	                  	                      	R                          	                    	                               	                    	                                    	R                     	                        	                                 	                        	F                        	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 41	X	 3	  50.00	    385.9000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	               	                     	A                     	                            	                        	                          	                            	R                            	                        	                             	                        	R                    	                     	R                      	                      	                          	                                    	                   	                   	                     	                    	                             	                          	                  	                                	                 	                     	                               	                            	                                       	R                     	                                 	                         	R                        	                        	                               	                         	                               	                       	                        	                             	                       	                  	                      	R                          	                    	                               	                    	                                    	                      	                        	                                 	                        	R                        	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 41	X	 6	  50.00	    390.4000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                     	R              	                     	A                     	                            	                        	                          	                            	                             	                        	                             	                        	R                    	                     	                       	                      	                          	                                    	R                  	R                  	                     	                    	                             	                          	                  	                                	                 	                     	                               	                            	                                       	C                     	                                 	                         	                         	                        	                               	                         	                               	                       	                        	                             	                       	                  	                      	R                          	                    	                               	                    	                                    	                      	                        	                                 	                        	C                        	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 43	X	 2	  50.00	    403.5000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                     	               	                     	                      	                            	                        	                          	                            	                             	                        	                             	                        	                     	                     	                       	                      	R                         	                                    	                   	                   	R                    	                    	R                            	                          	                  	R                               	                 	                     	R                              	R                           	                                       	F                     	                                 	                         	                         	                        	                               	                         	R                              	R                      	                        	R                            	                       	                  	                      	R                          	                    	                               	                    	                                    	                      	                        	                                 	                        	R                        	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Cenomanian       	                 	                  	              	101	 627	B	 43	X	 6	  50.00	    409.5000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                     	               	                     	R                     	                            	                        	                          	                            	                             	                        	                             	                        	                     	                     	                       	R                     	                          	                                    	R                  	                   	R                    	                    	R                            	                          	                  	                                	                 	                     	                               	                            	R                                      	R                     	R                                	                         	                         	                        	                               	                         	                               	R                      	                        	                             	                       	                  	                      	A                          	                    	                               	                    	                                    	                      	                        	R                                	F                       	R                        	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Albian           	                 	                  	              	101	 627	B	 46	X	 5	  50.00	    436.5000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	               	                     	F                     	                            	                        	R                         	                            	                             	R                       	R                            	                        	R                    	                     	F                      	                      	                          	                                    	R                  	                   	                     	                    	                             	                          	                  	                                	                 	R                    	                               	                            	                                       	R                     	                                 	                         	                         	                        	R                              	                         	                               	F                      	                        	                             	                       	                  	                      	                           	R                   	                               	                    	                                    	                      	R                       	                                 	                        	                         	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Albian           	                 	                  	              	101	 627	B	 47	X	 3	  50.00	    443.2000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	               	                     	R                     	                            	                        	R                         	                            	R                            	R                       	                             	                        	                     	R                    	                       	                      	R                         	                                    	                   	                   	                     	                    	R                            	                          	                  	                                	                 	                     	R                              	                            	                                       	R                     	                                 	R                        	R                        	R                       	F                              	                         	                               	R                      	                        	R                            	                       	                  	R                     	R                          	                    	R                              	R                   	R                                   	R                     	R                       	                                 	                        	                         	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Albian           	                 	                  	              	101	 627	B	 47	X	 5	  50.00	    446.2000	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	F                    	               	                     	R                     	                            	                        	                          	R                           	R                            	R                       	                             	                        	R                    	R                    	R                      	A                     	C                         	                                    	                   	R                  	R                    	                    	R                            	R                         	                  	                                	                 	R                    	                               	R                           	                                       	R                     	R                                	R                        	                         	                        	                               	R                        	F                              	R                      	F                       	R                            	R                      	R                 	R                     	R                          	R                   	R                              	R                   	                                    	                      	                        	                                 	                        	                         	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Albian           	                 	                  	              	101	 627	B	 49	X	 1	   9.00	    458.3900	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	R              	                     	R                     	                            	                        	                          	                            	                             	R                       	R                            	R                       	R                    	                     	                       	                      	                          	R                                   	R                  	                   	                     	                    	R                            	R                         	F                 	                                	                 	R                    	                               	                            	                                       	                      	                                 	                         	                         	                        	R                              	                         	                               	                       	                        	                             	                       	                  	                      	                           	                    	                               	                    	                                    	                      	                        	                                 	                        	                         	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Albian           	                 	                  	              	101	 627	B	 49	X	 1	  29.00	    458.5900	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	R              	                     	R                     	R                           	                        	R                         	                            	R                            	F                       	R                            	                        	R                    	R                    	                       	R                     	R                         	                                    	                   	R                  	                     	                    	R                            	R                         	R                 	R                               	R                	R                    	R                              	R                           	R                                      	R                     	R                                	R                        	R                        	R                       	                               	                         	                               	                       	                        	                             	                       	                  	                      	                           	                    	                               	                    	                                    	                      	                        	                                 	                        	                         	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Albian           	                 	                  	              	101	 627	B	 54	X	CC	   6.00	    506.9100	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                     	               	                     	                      	                            	                        	R                         	R                           	R                            	R                       	R                            	R                       	R                    	R                    	                       	C                     	R                         	R                                   	R                  	R                  	R                    	                    	                             	                          	                  	                                	                 	                     	                               	                            	                                       	                      	                                 	                         	                         	                        	                               	                         	                               	                       	                        	                             	                       	                  	                      	                           	                    	                               	                    	                                    	                      	                        	                                 	                        	                         	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

  SR	Albian           	                 	                  	              	101	 627	B	 57	X	CC	  37.00	    525.2700	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	R                    	R              	R                    	F                     	R                           	R                       	R                         	R                           	R                            	R                       	R                            	R                       	R                    	R                    	R                      	C                     	R                         	R                                   	R                  	R                  	R                    	R                   	                             	                          	                  	                                	                 	                     	                               	                            	                                       	                      	                                 	                         	                         	                        	                               	                         	                               	                       	                        	                             	                       	                  	                      	                           	                    	                               	                    	                                    	                      	                        	                                 	                        	                         	                      	                              	                         	                            	                               	                           	                      	                              	                   	                  	                     	                                 	from Masure; ODP 101 SR Chapter 7 Figure 2 p 123

