Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella raynaudi,Ticinella primula,Hedbergella planispira,Globigerinelloides bentonensis,Biticinella subbreggiensis,Hedbergella delrioensis,Rotalipora globotruncanoides,Praeglobotruncana stephani,Heterohelix moremani,Hedbergella simplex,Costellagerina libyca,Schackoina cenomana,Heterohelix reussi,Heterohelix planata,Heterohelix dentata,Hedbergella holmdelensis,Whiteinella baltica,Heterohelix globulosa,Archaeoglobigerina cretacea,Globigerinelloides messinae,Truncorotalia crassaformis,Sphaeroidinellopsis subdehiscens,Globorotalia inflata,Truncorotalia tosaensis,Sphaeroidinella dehiscens s.l.,Orbulina universa,Globorotalia tumida,Globigerina bulloides,Sphaeroidinellopsis seminulina,Globorotalia menardii,Truncorotalia truncatulinoides,Pulleniatina primalis,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (dextral),Globigerinoides extremus,Globigerinoides conglobatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,N21               ,N21           ,198,1213,A,  5,R,CC,   0.00,     39.6200,planks   ,Planktonic Foraminifers                      ,R              ,P                 ,                  ,                 ,                      ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,P                         ,                                ,F                   ,P                      ,F                             ,R                ,F                  ,R                    ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Pliocene   ,N19-N20           ,N19-N20       ,198,1213,A,  6,R,CC,  12.00,     52.9200,planks   ,Planktonic Foraminifers                      ,T              ,P                 ,                  ,                 ,R                     ,R                             ,                          ,R                      ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,P                         ,P                               ,P                   ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,"phillipsite, Mn micro-nodules; fish teeth; mixed  Pliocene Cretaceous"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Santonian        ,                  ,              ,198,1213,A,  7,R, 1,   2.00,     56.4200,planks   ,Planktonic Foraminifers                      ,               ,                  ,                  ,                 ,                      ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,P                  ,                  ,P                  ,                   ,P                       ,P                  ,P                    ,P                          ,P                          ,                          ,                                ,                    ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Santonian        ,                  ,              ,198,1213,A,  7,R, 1,  48.00,     56.8800,planks   ,Planktonic Foraminifers                      ,               ,                  ,                  ,                 ,                      ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,P                       ,                   ,                     ,P                          ,                           ,                          ,                                ,                    ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Santonian        ,                  ,              ,198,1213,A,  7,R, 1,  85.00,     57.2500,planks   ,Planktonic Foraminifers                      ,               ,                  ,                  ,                 ,P                     ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,P                  ,                  ,                   ,                   ,                        ,P                  ,P                    ,P                          ,                           ,                          ,                                ,                    ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1213,A,  7,R,CC,  22.00,     57.5300,planks   ,Planktonic Foraminifers                      ,               ,                  ,                  ,                 ,                      ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,P                  ,P                  ,P                       ,                   ,                     ,                           ,                           ,                          ,                                ,                    ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1213,A,  8,R,CC,  24.00,     66.3400,planks   ,Planktonic Foraminifers                      ,               ,                  ,                  ,                 ,P                     ,                              ,                          ,                       ,                            ,                          ,                    ,                   ,                     ,P                  ,P                 ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,                          ,                                ,                    ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Cenomanian       ,KS17              ,KS17          ,198,1213,A,  9,R,CC,  24.00,     76.0400,planks   ,Planktonic Foraminifers                      ,               ,                  ,                  ,                 ,P                     ,P                             ,                          ,P                      ,P                           ,P                         ,P                   ,P                  ,P                    ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,                          ,                                ,                    ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,rads A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Cenomanian       ,KS17              ,KS17          ,198,1213,A, 10,R,CC,   3.00,     85.4300,planks   ,Planktonic Foraminifers                      ,T              ,P                 ,                  ,                 ,R                     ,                              ,                          ,R                      ,R                           ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,                          ,                                ,                    ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,few rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1213,A, 14,R, 1, 103.00,    124.9300,planks   ,Planktonic Foraminifers                      ,               ,                  ,                  ,                 ,                      ,                              ,                          ,R                      ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,                          ,                                ,                    ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,common rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Albian           ,KS13              ,KS13          ,198,1213,A, 21,R, 1,   0.00,    189.3000,planks   ,Planktonic Foraminifers                      ,T              ,P                 ,R                 ,R                ,R                     ,R                             ,R                         ,                       ,                            ,                          ,                    ,                   ,                     ,                   ,                  ,                   ,                   ,                        ,                   ,                     ,                           ,                           ,                          ,                                ,                    ,                       ,                              ,                 ,                   ,                     ,                              ,                     ,                              ,                     ,                            ,                                     ,                        ,                           ,abundant rads; few benthics; rare planktics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
