Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triceraspyris coronata	Stylatractus universus	Stylatractus santaeannae	Rhopalastrum spp.	Pterocanium korotnevi	Prunopyle hayesi	Lithartractus timmsi?	Lampromitra sp.	Eucyrtidium cienkowskii	Desmospyris spongiosa	Dendrospyris megalocephalis	Cyrtocapsella japonica	Cycladophora spongothorax	Cycladophora bicornis	Actinomma golownini	Thyrsocyrtis clausa	Stylacontarium sp.	Stichopilium bicorne?	Desmospyris rhodospyroides	Calocyclas humerus	Velicucullus sp.	Sethoconus sp.	Prunopyle titan	Eucyrtidium pseudoinflatum	Druppatractus hastatus	Stylatractus universus var. transparum	Spongotrochus glacialis	Saturnalis circularis	Lychnocanium grande	Eucyrtidium calvertense	Dendrospyris cf. megalocephalis	Acrosphaera murrayana	Acrosphaera australis	Siphonosphaera vesuvius	Cyrtocapsella longithorax	Circodiscus microporus	Lithomelissa stigi	Didymocyrtis/Diartus spp.	Antarctissa deflandrei	Acrosphaera mercurius	Stichocorys peregrina	Actinomma magnifenestra	Spongoplegma sp.	Cycladophora pliocenica	Pterocanium charybdeum trilobum	Lamprocyclas aegles	Antarctissa strelkovi	Hexalonche philosophica?	Acrosphaera labrata	Anthocyrtidium spp.	Antarctissa denticulata	Antarctissa cylindrica	Helotholus vema	Comment

  SR	                 	                 	low. Tau          	              	120	 747	B	  4	H	 3	 112.00	     25.9200	Lazarus  	Radiolarians                                 	A              	M                 	                      	R                     	R                       	R                	R                    	                	                     	R              	                       	F                    	                           	                      	                         	                     	                   	                   	                  	                     	R                         	                  	                	              	F              	                          	                      	                                      	                       	                     	                   	C                      	                               	                     	                     	                       	                         	                      	                  	                         	                      	+                    	                     	                       	                	F                      	                               	                   	C                    	                        	                   	                   	A                      	A                     	R              	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	low. Tau          	              	120	 747	B	  4	H	 4	  32.00	     26.6200	Lazarus  	Radiolarians                                 	A              	M                 	F                     	+                     	+                       	+                	                     	                	                     	R              	                       	C                    	                           	                      	                         	                     	                   	                   	R                 	                     	                          	                  	                	              	C              	R                         	                      	                                      	R                      	                     	R                  	C                      	R                              	                     	                     	                       	                         	                      	                  	                         	                      	+                    	+                    	                       	                	F                      	                               	                   	A                    	                        	R                  	                   	A                      	F                     	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	                  	              	120	 747	B	  4	H	 4	 112.00	     27.4200	Lazarus  	Radiolarians                                 	A              	G                 	A                     	R                     	R                       	                 	R                    	                	+                    	R              	                       	                     	                           	                      	                         	                     	                   	                   	+                 	                     	                          	                  	                	              	C              	R                         	                      	                                      	R                      	                     	F                  	C                      	R                              	                     	+                    	                       	                         	                      	                  	                         	                      	+                    	+                    	                       	                	C                      	                               	+                  	A                    	                        	R                  	                   	R                      	R                     	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	                  	              	120	 747	B	  4	H	 5	  32.00	     28.1200	Lazarus  	Radiolarians                                 	F/C            	P-M               	C                     	R                     	R                       	                 	                     	                	R                    	               	                       	                     	                           	                      	                         	                     	                   	                   	                  	                     	+                         	                  	                	              	               	R                         	                      	                                      	                       	                     	F                  	C                      	                               	                     	                     	+                      	                         	                      	                  	                         	F                     	+                    	R                    	                       	                	C                      	                               	                   	A                    	                        	                   	+                  	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	                  	              	120	 747	B	  4	H	 5	 112.00	     28.9200	Lazarus  	Radiolarians                                 	F              	M                 	C                     	+                     	R                       	                 	                     	                	C                    	               	                       	                     	                           	                      	                         	                     	                   	                   	                  	                     	                          	                  	                	              	R              	                          	+                     	                                      	                       	                     	R                  	R                      	R                              	                     	                     	                       	                         	                      	                  	                         	F                     	                     	F                    	                       	                	C                      	                               	+                  	R                    	                        	+                  	C                  	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	                  	              	120	 747	B	  4	H	 6	  32.00	     29.6200	Lazarus  	Radiolarians                                 	F              	P-M               	C                     	R                     	R                       	                 	R                    	                	R                    	               	+                      	                     	+                          	                      	                         	                     	+                  	                   	+                 	                     	                          	                  	                	              	               	                          	                      	                                      	                       	                     	R                  	F                      	                               	                     	                     	                       	                         	                      	                  	                         	                      	                     	A                    	                       	                	R                      	                               	A                  	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	                  	              	120	 747	B	  4	H	 6	 112.00	     30.4200	Lazarus  	Radiolarians                                 	R              	P                 	R                     	                      	                        	                 	                     	                	                     	               	                       	                     	                           	                      	                         	                     	                   	                   	                  	                     	                          	                  	                	              	               	                          	                      	                                      	                       	                     	                   	                       	                               	                     	                     	                       	                         	                      	                  	                         	                      	                     	A                    	                       	                	                       	                               	A                  	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	                  	              	120	 747	B	  4	H	 6	 131.00	     30.6100	Lazarus  	Radiolarians                                 	A              	P-M               	F                     	R                     	                        	                 	F                    	                	                     	+              	                       	                     	                           	                      	                         	                     	                   	                   	                  	                     	                          	                  	                	              	F              	R                         	                      	                                      	                       	                     	R                  	F                      	R                              	                     	                     	                       	                         	                      	                  	F                        	R                     	                     	A                    	                       	                	F                      	                               	A                  	                     	R                       	R                  	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	                  	              	120	 747	B	  5	H	 1	  32.00	     31.6200	Lazarus  	Radiolarians                                 	F              	P-M               	R                     	R                     	F                       	R                	R                    	F               	                     	               	                       	                     	                           	                      	                         	R                    	                   	                   	R                 	                     	R                         	                  	                	              	               	F                         	                      	                                      	                       	                     	                   	C                      	                               	                     	                     	R                      	                         	                      	                  	                         	R                     	                     	R                    	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 1	 112.00	     32.4200	Lazarus  	Radiolarians                                 	C/A            	M                 	R                     	F                     	F                       	F                	R                    	F               	                     	R              	                       	                     	                           	                      	R                        	F                    	                   	                   	                  	                     	R                         	                  	                	              	               	F                         	                      	                                      	                       	                     	                   	C                      	                               	                     	                     	F                      	                         	                      	                  	                         	                      	+                    	C                    	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 2	  32.00	     33.1200	Lazarus  	Radiolarians                                 	C/A            	M                 	                      	F                     	F                       	F                	F                    	F               	                     	R              	R                      	                     	                           	                      	R                        	F                    	                   	                   	+                 	                     	F                         	                  	                	              	+              	F                         	                      	+                                     	+                      	                     	                   	C                      	+                              	                     	R                    	C                      	                         	                      	                  	                         	R                     	                     	C                    	                       	                	                       	                               	                   	R                    	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 2	 112.00	     33.9200	Lazarus  	Radiolarians                                 	A              	M-G               	C                     	R                     	F                       	F                	F                    	F               	                     	               	                       	                     	                           	                      	F                        	                     	                   	                   	                  	                     	F                         	                  	                	              	C              	C                         	                      	                                      	                       	                     	                   	C                      	                               	                     	                     	F                      	                         	                      	                  	                         	                      	                     	C                    	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 3	  32.00	     34.6200	Lazarus  	Radiolarians                                 	C              	M-G               	                      	F                     	F                       	F                	                     	F               	                     	+              	F                      	                     	                           	                      	F                        	C                    	                   	                   	                  	                     	F                         	                  	                	              	               	F                         	                      	                                      	+                      	                     	F                  	F                      	                               	                     	                     	C                      	                         	                      	                  	                         	+                     	                     	C                    	                       	                	+                      	                               	+                  	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 3	 112.00	     35.4200	Lazarus  	Radiolarians                                 	C              	M                 	F                     	F                     	F                       	F                	R                    	C               	                     	               	R                      	                     	                           	                      	R                        	                     	                   	                   	                  	                     	C                         	                  	                	              	               	F                         	                      	                                      	                       	                     	                   	F                      	                               	                     	                     	C                      	                         	                      	+                 	                         	                      	                     	C                    	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 4	  32.00	     36.1200	Lazarus  	Radiolarians                                 	C              	M-G               	                      	R                     	C                       	F                	R                    	C               	                     	               	R                      	                     	                           	                      	C                        	R                    	                   	                   	+                 	                     	C                         	                  	                	              	               	F                         	                      	                                      	                       	                     	                   	C                      	                               	                     	R                    	C                      	                         	                      	                  	                         	                      	                     	C                    	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 4	 112.00	     36.9200	Lazarus  	Radiolarians                                 	F              	M                 	                      	R                     	F                       	F                	R                    	C               	                     	               	F                      	                     	                           	                      	F                        	F                    	                   	                   	+                 	                     	C                         	                  	                	              	               	F                         	                      	                                      	                       	                     	                   	F                      	                               	                     	+                    	C                      	                         	                      	                  	                         	                      	                     	C                    	                       	R               	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 5	  32.00	     37.6200	Lazarus  	Radiolarians                                 	A              	G                 	F                     	F                     	R                       	F                	                     	F               	                     	+              	F                      	                     	R                          	                      	F                        	C                    	                   	                   	+                 	                     	R                         	                  	                	              	R              	F                         	                      	                                      	                       	                     	F                  	C                      	                               	                     	R                    	F                      	                         	                      	                  	F                        	                      	                     	+                    	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 5	 112.00	     38.4200	Lazarus  	Radiolarians                                 	C              	M                 	                      	                      	                        	F                	F                    	F               	                     	R              	C                      	                     	                           	                      	F                        	                     	                   	                   	                  	                     	C                         	                  	                	              	R              	F                         	                      	                                      	                       	                     	                   	F                      	                               	                     	                     	F                      	                         	                      	                  	R                        	R                     	                     	+                    	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 6	  32.00	     39.1200	Lazarus  	Radiolarians                                 	A              	G                 	                      	R                     	F                       	                 	                     	F               	                     	               	+                      	                     	R                          	                      	R                        	F                    	                   	                   	+                 	                     	F                         	                  	                	              	F              	F                         	                      	                                      	                       	                     	                   	                       	                               	                     	                     	+                      	                         	                      	R                 	R                        	F                     	+                    	                     	                       	                	+                      	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 6	 112.00	     39.9200	Lazarus  	Radiolarians                                 	C              	P-M               	                      	F                     	F                       	F                	                     	C               	                     	               	F                      	                     	R                          	                      	F                        	                     	                   	                   	F                 	                     	R                         	                  	                	              	F              	R                         	                      	                                      	                       	                     	                   	F                      	                               	                     	R                    	R                      	                         	                      	F                 	F                        	                      	                     	+                    	                       	+               	                       	+                              	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	 7	  32.00	     40.6200	Lazarus  	Radiolarians                                 	C              	M                 	                      	F                     	C                       	                 	F                    	C               	                     	               	                       	                     	                           	                      	R                        	C                    	                   	                   	                  	                     	C                         	                  	                	              	               	C                         	+                     	F                                     	                       	                     	                   	F                      	                               	                     	R                    	                       	                         	                      	F                 	F                        	                      	                     	                     	                       	R               	R                      	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  5	H	CC	  19.00	     41.0300	Lazarus  	Radiolarians                                 	A              	M                 	                      	C                     	R                       	F                	F                    	F               	                     	+              	F                      	                     	                           	                      	F                        	R                    	                   	                   	+                 	                     	C                         	+                 	                	              	F              	F                         	+                     	                                      	                       	                     	                   	R                      	R                              	                     	R                    	                       	                         	                      	R                 	R                        	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  6	H	 1	 112.00	     41.9200	Lazarus  	Radiolarians                                 	C              	M-G               	                      	F                     	F                       	R                	                     	F               	+                    	               	                       	                     	                           	                      	C                        	C                    	                   	                   	F                 	                     	F                         	+                 	                	+             	               	F                         	                      	R                                     	                       	                     	                   	C                      	                               	                     	+                    	                       	                         	                      	                  	R                        	                      	                     	                     	C                      	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  6	H	 2	  32.00	     42.6200	Lazarus  	Radiolarians                                 	F              	M                 	R                     	R                     	F                       	R                	                     	F               	                     	               	                       	                     	                           	                      	                         	                     	                   	                   	C                 	                     	F                         	                  	                	              	               	F                         	                      	                                      	                       	                     	                   	F                      	R                              	                     	+                    	                       	                         	                      	                  	F                        	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  6	H	 2	 113.00	     43.4300	Lazarus  	Radiolarians                                 	C              	P-M               	                      	F                     	C                       	F                	+                    	C               	                     	+              	                       	                     	                           	                      	C                        	                     	                   	                   	F                 	                     	R                         	                  	                	+             	               	F                         	R                     	                                      	                       	                     	                   	C                      	                               	                     	R                    	                       	                         	                      	                  	C                        	                      	                     	+                    	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  6	H	 3	  32.00	     44.1200	Lazarus  	Radiolarians                                 	A              	G                 	                      	C                     	F                       	F                	F                    	C               	                     	               	                       	                     	                           	                      	C                        	                     	                   	                   	F                 	                     	R                         	R                 	                	              	               	F                         	R                     	                                      	                       	                     	                   	C                      	+                              	                     	R                    	+                      	                         	                      	                  	F                        	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  6	H	 3	 113.00	     44.9300	Lazarus  	Radiolarians                                 	A              	G                 	C                     	C                     	F                       	F                	F                    	F               	                     	R              	F                      	                     	                           	                      	C                        	R                    	                   	                   	R                 	                     	                          	                  	                	R             	F              	F                         	                      	                                      	                       	                     	                   	                       	                               	                     	+                    	+                      	                         	                      	                  	                         	+                     	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  6	H	 4	  32.00	     45.6200	Lazarus  	Radiolarians                                 	A              	G                 	A                     	C                     	F                       	R                	F                    	F               	                     	               	R                      	                     	                           	                      	C                        	                     	                   	                   	F                 	                     	                          	                  	                	R             	F              	F                         	+                     	R                                     	+                      	                     	                   	C                      	R                              	R                    	+                    	                       	                         	                      	+                 	+                        	+                     	+                    	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  6	H	 4	 113.00	     46.4300	Lazarus  	Radiolarians                                 	A              	G                 	A                     	C                     	F                       	R                	R                    	C               	                     	R              	F                      	                     	                           	                      	C                        	                     	                   	                   	F                 	                     	                          	R                 	                	              	C              	R                         	                      	R                                     	                       	                     	                   	F                      	                               	                     	R                    	                       	                         	                      	                  	                         	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  6	H	 5	  32.00	     47.1200	Lazarus  	Radiolarians                                 	A              	M                 	F                     	F                     	F                       	F                	C                    	C               	R                    	               	F                      	                     	                           	R                     	R                        	C                    	F                  	                   	+                 	                     	                          	R                 	                	              	               	                          	                      	R                                     	                       	+                    	                   	C                      	R                              	R                    	                     	+                      	+                        	+                     	                  	                         	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	A. australais     	              	120	 747	B	  6	H	 5	 113.00	     47.9300	Lazarus  	Radiolarians                                 	A              	VG                	                      	C                     	C                       	R                	C                    	C               	                     	R              	C                      	                     	                           	                      	C                        	C                    	                   	                   	F                 	                     	C                         	                  	                	              	R              	+                         	                      	F                                     	+                      	R                    	+                  	F                      	R                              	R                    	R                    	                       	                         	                      	                  	                         	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	C. spongothorax   	              	120	 747	B	  6	H	 6	  32.00	     48.6200	Lazarus  	Radiolarians                                 	A              	M                 	F                     	F                     	F                       	R                	F                    	                	                     	+              	F                      	                     	                           	                      	F                        	                     	+                  	                   	F                 	                     	C                         	R                 	R               	+             	+              	R                         	R                     	                                      	                       	                     	                   	                       	                               	                     	                     	                       	                         	                      	                  	                         	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	C. spongothorax   	              	120	 747	B	  6	H	 6	 113.00	     49.4300	Lazarus  	Radiolarians                                 	F              	P                 	C                     	F                     	F                       	R                	F                    	C               	R                    	               	C                      	                     	                           	R                     	F                        	                     	F                  	                   	+                 	+                    	C                         	                  	R               	              	               	                          	                      	                                      	                       	                     	                   	                       	                               	                     	                     	                       	                         	                      	                  	                         	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	C. spongothorax   	              	120	 747	B	  6	H	 7	  16.00	     49.9600	Lazarus  	Radiolarians                                 	C              	P-M               	                      	F                     	R                       	                 	C                    	F               	R                    	               	F                      	                     	                           	C                     	R                        	                     	F                  	+                  	+                 	+                    	C                         	F                 	                	              	               	                          	                      	                                      	                       	                     	                   	                       	                               	                     	                     	                       	                         	                      	                  	                         	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

  SR	                 	                 	C. spongothorax   	              	120	 747	B	  6	H	CC	   9.00	     50.2100	Lazarus  	Radiolarians                                 	C              	M                 	F                     	R                     	R                       	F                	F                    	F               	R                    	+              	R                      	C                    	+                          	C                     	+                        	F                    	R                  	                   	                  	                     	                          	                  	                	              	               	                          	                      	                                      	                       	                     	                   	                       	                               	                     	                     	                       	                         	                      	                  	                         	                      	                     	                     	                       	                	                       	                               	                   	                     	                        	                   	                   	                       	                      	               	from ODP Leg 120 SR Vol 2 Chpater 41 Table 4 microfiche backpocket & Fig 5 p 790

