Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeroidinellopsis seminulina	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotalia margaritae	Globoquadrina altispira	Globigerinoides trilobus	Globigerinoides obliquus obliquus	Globigerina nepenthes	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina humerosa	Globorotaloides hexagona	Globorotalia miocenica	Globigerinoides obliquus extremus	Globigerina bulloides	Pulleniatina praecursor	Neogloboquadrina continuosa	Globorotalia exilis	Globorotalia crassaformis crassaformis	Globoquadrina venezuelana	Globigerinoides sacculifer	Globigerinoides ruber (white)	Globigerinoides conglobatus	Globigerinella aequilateralis	Sphaeroidinella dehiscens	Globorotalia tumida	Globorotalia limbata	Globigerina decoraperta	Neogloboquadrina acostaensis (dextral)	Globorotalia scitula	Globorotalia puncticulata	Globorotalia multicamerata	Globorotalia menardii	Globorotalia crassula	Globigerinita glutinata	Globigerinella obesa	Neogloboquadrina dutertrei	Beella digitata	Globorotalia pertenuis	Globigerinoides fistulosus	Globorotalia crassaformis hessi	Globigerina falconensis	Pulleniatina obliquiloculata	Globorotalia truncatulinoides	Globorotalia inflata	Globorotalia crassaformis viola	Comment

  SR	                 	                 	PL6               	              	108	 660	A	  6	H	 3	 121.00	     44.0100	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	R                	R                                    	                       	                       	F                       	                                 	                     	                                       	                         	R                       	                      	R                                	F                    	                       	                           	                   	                                      	                         	C                         	F                            	R                          	                             	F                        	                   	                    	R                      	                                      	R                   	                         	                          	                     	R                    	R                      	                    	C                         	R              	                      	                          	                               	                       	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL5               	              	108	 660	A	  6	H	 5	  90.00	     46.7000	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	R                	F                                    	                       	                       	R                       	                                 	                     	                                       	                         	                        	F                     	                                 	F                    	                       	                           	R                  	                                      	                         	R                         	C                            	                           	                             	R                        	                   	                    	F                      	                                      	R                   	R                        	                          	                     	R                    	R                      	                    	C                         	               	R                     	R                         	R                              	R                      	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL5               	              	108	 660	A	  6	H	CC	  20.00	     49.1300	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	F                	                                     	                       	                       	C                       	                                 	                     	                                       	                         	                        	F                     	R                                	                     	                       	                           	                   	                                      	                         	F                         	F                            	R                          	                             	                         	                   	                    	F                      	                                      	R                   	                         	                          	                     	R                    	                       	                    	F                         	               	                      	R                         	                               	                       	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL5               	              	108	 660	A	  7	H	 4	   3.00	     53.8300	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	R                	C                                    	                       	                       	R                       	                                 	                     	                                       	F                        	                        	R                     	R                                	F                    	                       	                           	                   	R                                     	                         	R                         	F                            	R                          	R                            	R                        	                   	                    	R                      	                                      	R                   	F                        	                          	                     	                     	R                      	                    	F                         	R              	R                     	R                         	                               	                       	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL4               	              	108	 660	A	  7	H	 5	 132.00	     56.6200	Weaver   	Planktonic Foraminifers                      	A              	M                 	                              	R                	R                                    	                       	F                      	F                       	R                                	                     	                                       	                         	R                       	R                     	R                                	R                    	                       	                           	                   	R                                     	                         	R                         	R                            	R                          	R                            	                         	                   	F                   	R                      	                                      	                    	R                        	                          	R                    	F                    	R                      	                    	C                         	R              	                      	                          	                               	                       	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL3               	              	108	 660	A	  7	H	CC	   5.00	     58.9500	Weaver   	Planktonic Foraminifers                      	A              	M                 	R                             	F                	                                     	                       	F                      	F                       	F                                	                     	                                       	F                        	R                       	                      	                                 	                     	                       	                           	                   	R                                     	                         	R                         	R                            	                           	R                            	                         	                   	F                   	R                      	F                                     	R                   	R                        	F                         	R                    	R                    	R                      	R                   	                          	               	                      	                          	                               	                       	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL3               	              	108	 660	A	  8	H	CC	   7.00	     68.2100	Weaver   	Planktonic Foraminifers                      	A              	M                 	C                             	R                	R                                    	                       	R                      	F                       	                                 	                     	                                       	F                        	R                       	                      	R                                	                     	R                      	                           	                   	R                                     	                         	F                         	                             	R                          	R                            	R                        	R                  	C                   	R                      	                                      	                    	                         	                          	                     	                     	                       	                    	                          	               	                      	                          	                               	                       	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL1               	              	108	 660	A	  9	H	 1	 111.00	     69.4100	Weaver   	Planktonic Foraminifers                      	A              	M                 	C                             	R                	                                     	R                      	F                      	F                       	                                 	                     	                                       	R                        	                        	                      	F                                	                     	R                      	R                          	R                  	R                                     	R                        	F                         	R                            	R                          	R                            	                         	                   	                    	                       	                                      	                    	                         	                          	                     	                     	                       	                    	                          	               	                      	                          	                               	                       	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL1               	              	108	 660	A	  9	H	 3	  75.00	     72.0500	Weaver   	Planktonic Foraminifers                      	F              	P                 	C                             	                 	R                                    	                       	R                      	                        	                                 	R                    	A                                      	C                        	R                       	R                     	R                                	R                    	                       	                           	                   	                                      	                         	                          	                             	                           	                             	                         	                   	                    	                       	                                      	                    	                         	                          	                     	                     	                       	                    	                          	               	                      	                          	                               	                       	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

  SR	                 	                 	PL1               	              	108	 660	A	  9	H	 6	  56.00	     76.3600	Weaver   	Planktonic Foraminifers                      	F              	P                 	P                             	P                	P                                    	P                      	P                      	P                       	P                                	P                    	                                       	                         	                        	                      	                                 	                     	                       	                           	                   	                                      	                         	                          	                             	                           	                             	                         	                   	                    	                       	                                      	                    	                         	                          	                     	                     	                       	                    	                          	               	                      	                          	                               	                       	                            	                             	                    	                               	from ODP Leg 108 SR Chapter 5 Table 7 p 81

