Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triorites africaensis	Corollina torosus	Ephedripites zaklinskaiae	Classopollis sp.	Araicaroacites australis	Ephedripites montanaensis	Elaterocolpites castelaini	Cyathidites minor	Elaterosporites protensus	Gnetaceaepollenites boltenhagenii	Corollina jardinei	Buttinia andreevi	Steevesipollenites binodosus	Ephedripites translucidus	Ephedripites dudarensis	Classopollis brasiliensis	Retimonocolpites sp.	Petallasporites distaverrucosus	Striatopollis sp.	Hexaporotricolpites emelianovi	Cycadopites carpentieri	Ephedripites sp. 8	Gnetaceaepollenites barghoornii	Leptolepidites tumulosus	Triorites cf. T. africaensis	Leiotriletes spp.	Ephedripites sp. 2	Elaterosporites castelaini	Circulina parva	Ephedripites sp. 7	Cicatricosisporites potomacensis/brevilaesuratus	Cicatricosisporites baconicus	Cretacaeiporites sp.	Galeacornea causea	Tricolporopollenites spp.	Elaterosporites sp.	Comment
  SR	Cenomanian       	                 	                  	              	159	 962	D	 34	R	 2	  70.00	    371.5000	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	+               	                        	                         	                          	                 	                         	+                                	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 35	R	 1	 134.00	    375.6400	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	+               	                        	+                        	                          	                 	+                        	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Albian           	                 	                  	              	159	 962	D	 35	R	 2	 140.00	    377.2000	Oboh-Ikuenobe	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	                          	+                	                         	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from 159SR Ch 25 Table 4

  SR	Cenomanian       	                 	                  	              	159	 962	D	 36	R	 1	 146.00	    385.3600	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	                         	+                         	                 	                         	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 36	R	 2	  19.00	    385.5900	Masure   	Pollen/Spores                                	               	                  	                     	                 	                         	                	                        	+                        	                          	                 	                         	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Cenomanian       	                 	                  	              	159	 962	D	 37	R	 4	  49.00	    393.4900	Masure   	Pollen/Spores                                	               	                  	+                    	                 	+                        	+               	+                       	                         	                          	                 	                         	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from Leg 159SR Ch 24 Fig 3

  SR	Albian           	                 	                  	              	159	 962	D	 37	R	 4	  81.00	    393.8100	Oboh-Ikuenobe	Pollen/Spores                                	               	                  	+                    	+                	                         	                	                        	                         	                          	                 	                         	                                 	                  	                 	                            	                         	                       	                         	                    	                               	                 	                              	                       	                  	                               	                        	                            	                 	                  	                          	               	                  	                                                	                             	                    	                  	                         	                   	from 159SR Ch 25 Table 4

