Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria loetterlei	Indeterminate sponge spicules	Indeterminate nodosariidae	Gavelinella barremiana	Lenticulina oligostegia	Dentalina nana	Lenticulina spp.	Indeterminate radiolarians	Indeterminate ostracodes	Indeterminate mollusc debris	Citharina spp.	Astacolus incurvata	Lenticulina subangulata	Lenticulina gaultina	Indeterminate polymorphinidae	Indeterminate echinoid debris	Haplophragmoides linki	Dorothia praeoxycona	Osangularia aff. brotzeni	Gyroidinoides primitiva	Gavelinella intermedia	Gavelinella berthelini	Dorothia filiformis	Praebulimina nannina	Osangularia insigna	Lingulogavelinella newtoni	Lingulogavelinella frankei	Gyroidinoides infracretacea	Gavelinella complanata	Gaudryina dividens	Eggerellina mariae	Osangularia utaturensis	Globorotalites rumanus	Lingulogavelinella kaptarenkae	Gaudryina pulvina	Eggerellina sp. 1	Marssonella oxycona	Verneuilina cretacea	Stensioina kelleri	Eponides sp.	Stensioina granulata granulata	Osangularia cordieriana	Nuttallides truempyi	Eponides simplex	Dorothia retusa	Valvulineria berthelini	Pleurostomella clavata	Nuttallides bronnimanni	Kalamopsis grzybowskii	Gyroidinoides nitidus	Globorotalites conicus	Bandyella greatvalleyensis	Aragonia ouezzanensis	Eponides beiselli	Clavulinoides whitei	Spiroplectammina semicomplanata	Praebulimina carseyae	Osangularia incisa	Lenticulina muensteri	Lagena apiculata	Lituotuba lituiformis	Gyroidinoides globosa	Dentalina communis	Aragonia velascoensis	Stensioina beccariiformis	Spiroplectammina excolata	Indeterminate fish bone fragments	Clavulinoides paleocenica	Tappanina selmensis	Anomalinoides welleri	Cibicidoides mexicanus	Gyroidinoides altiformis	Globocassidulina subglobosa	Clinapertina complanata	Cibicidoides praemundulus	Stilostomella subspinosa	Pullenia quinqueloba	Pullenia bulloides	Osangularia mexicana	Karreriella chapapotensis	Gaudryina laevigata	Cibicidoides grimsdalei	Bulimina semicostata	Anomalinoides spissiformis	Oridorsalis umbonatus	Vulvulina spinosa	Hoeglundina elegans	Gyroidinoides soldanii	Cibicidoides micrus	Cibicidoides eocaenus	Karreriella conversa	Globocassidulina moluccensis	Cibicidoides dutemplei	Comment

  IR	                 	                 	                  	              	192	1183	A	 22	R	CC	   1.00	    827.8500	Sikora   	Benthic Foraminifers                         	T              	M                 	                       	                             	                          	                      	                       	              	                	C                         	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	T                     	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Thin-section #6

  IR	                 	                 	                  	              	192	1183	A	 23	R	 6	  68.00	    836.7800	Sikora   	Benthic Foraminifers                         	T              	M                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	R                   	                            	                      	thin section #7 is nearly barren of benthic spp.

  IR	                 	                 	                  	              	192	1183	A	 24	R	 2	   0.00	    839.7000	Sikora   	Benthic Foraminifers                         	F              	G                 	                       	                             	                          	                      	                       	              	T               	T                         	T                       	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	R                                	                         	                   	                     	                      	T                       	C                          	                       	T                        	                        	                    	R                 	R                   	                         	                   	R                      	                    	                          	R                    	R                	C                  	T                     	T                  	F                    	                    	                            	                      	Strongly dominated by elegans, eocaenus and subglobosa

  IR	                 	                 	                  	              	192	1183	A	 24	R	 2	  25.00	    839.9500	Sikora   	Benthic Foraminifers                         	F              	G                 	                       	                             	R                         	                      	                       	              	                	                          	T                       	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	R                                	                         	                   	                     	                      	T                       	C                          	                       	R                        	R                       	                    	R                 	R                   	                         	                   	R                      	                    	F                         	R                    	                 	                   	                      	                   	                     	                    	                            	                      	eocaenus and elegans absent; rise in praemundulus, appearance of spissiformis

  IR	                 	                 	                  	              	192	1183	A	 24	R	 2	  75.00	    840.4500	Sikora   	Benthic Foraminifers                         	R              	G                 	                       	                             	T                         	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	R                       	F                          	                       	                         	R                       	T                   	T                 	T                   	T                        	T                  	C                      	T                   	F                         	                     	                 	                   	                      	                   	                     	                    	                            	                      	Drop in abundance; no praemundulus; rise in grimsdalei; more agglut species

  IR	                 	                 	                  	              	192	1183	A	 24	R	 2	 114.00	    840.8400	Sikora   	Benthic Foraminifers                         	R              	P                 	                       	                             	                          	                      	                       	              	                	                          	T                       	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	T                       	T                          	T                      	R                        	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Major decline in benthic abundance and preservation

  IR	                 	                 	                  	              	192	1183	A	 25	R	CC	   2.00	    849.1000	Sikora   	Benthic Foraminifers                         	T              	G                 	                       	                             	                          	                      	                       	              	T               	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	benthic species are very rare in thin section #11

  IR	                 	                 	                  	              	192	1183	A	 27	R	CC	  19.00	    866.7900	Sikora   	Benthic Foraminifers                         	T              	G                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	T                   	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Thin-section #13

  IR	                 	                 	                  	              	192	1183	A	 32	R	 1	  32.00	    915.0200	Sikora   	Benthic Foraminifers                         	T              	M                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	T                     	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Thin-section #19; almost barren of benthic species

  IR	                 	                 	                  	              	192	1183	A	 36	R	 4	  72.00	    958.2700	Sikora   	Benthic Foraminifers                         	               	                  	                       	                             	                          	                      	                       	              	                	R                         	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	T                        	                         	F                                	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	       

  IR	                 	                 	                  	              	192	1183	A	 37	R	 4	  97.00	    968.1400	Sikora   	Benthic Foraminifers                         	               	                  	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	R                        	                         	T                                	T                        	                   	T                    	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	       

  IR	                 	                 	                  	              	192	1183	A	 39	R	 4	   9.00	    986.5900	Sikora   	Benthic Foraminifers                         	               	                  	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	T                   	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	T                        	                         	                                 	                         	T                  	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	       

  IR	                 	                 	                  	              	192	1183	A	 39	R	 4	  13.00	    986.6300	Sikora   	Benthic Foraminifers                         	T              	P                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	R                        	T                        	T                                	R                        	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	       

  IR	                 	                 	                  	              	192	1183	A	 40	R	 2	  31.00	    993.4600	Sikora   	Benthic Foraminifers                         	T              	P                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	T                   	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	T                    	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Thin-section #32

  IR	                 	                 	                  	              	192	1183	A	 40	R	 3	  58.00	    995.2300	Sikora   	Benthic Foraminifers                         	T              	M                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	T                    	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	A single benthic specimen was noted on thin-section #33

  IR	                 	                 	                  	              	192	1183	A	 40	R	CC	   0.00	    995.3600	Sikora   	Benthic Foraminifers                         	R              	G                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	T                    	                      	                          	                     	T                	                    	T                              	                     	                  	T                    	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Benthics remain very rare

  IR	                 	                 	                  	              	192	1183	A	 41	R	CC	   0.00	   1004.2600	Sikora   	Benthic Foraminifers                         	T              	G                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	T                	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Benthics nearly absent

  IR	                 	                 	                  	              	192	1183	A	 42	R	CC	  14.00	   1014.8800	Sikora   	Benthic Foraminifers                         	T              	G                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	T                  	                    	                  	            	                              	                       	                    	                	               	                       	R                     	                       	                      	                     	                      	                          	                     	T                	                    	                               	                     	                  	                     	                	                     	                     	                  	R                    	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Benthics very rare again

  IR	                 	                 	                  	              	192	1183	A	 43	R	 1	  67.00	   1021.4700	Sikora   	Benthic Foraminifers                         	T              	G                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	T                   	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Benthics nearly absent; thin-section #36

  IR	                 	                 	                  	              	192	1183	A	 43	R	CC	   0.00	   1022.0800	Sikora   	Benthic Foraminifers                         	R              	M                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	T                            	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	R                      	T                   	                	               	                       	R                     	                       	                      	T                    	                      	                          	                     	                 	                    	                               	                     	                  	R                    	                	                     	T                    	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Very slight increase in benthics over 44CC

  IR	                 	                 	                  	              	192	1183	A	 44	R	CC	   0.00	   1031.2800	Sikora   	Benthic Foraminifers                         	T              	M                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	T                    	T                 	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Major decline in foram abundance; PB questionable

  IR	                 	                 	                  	              	192	1183	A	 45	R	 1	  18.00	   1040.1801	Sikora   	Benthic Foraminifers                         	T              	M                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	T                    	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	       

  IR	                 	                 	                  	              	192	1183	A	 45	R	 1	  78.00	   1040.7800	Sikora   	Benthic Foraminifers                         	T              	G                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	T                     	                       	                      	                     	                      	                          	                     	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Major decline in foram abundance; PB questionable

  IR	                 	                 	                  	              	192	1183	A	 45	R	 2	  21.00	   1041.7100	Sikora   	Benthic Foraminifers                         	T              	P                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	T                    	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Benthics nearly absent; thin-section #38

  IR	                 	                 	                  	              	192	1183	A	 45	R	 3	   1.00	   1042.7100	Sikora   	Benthic Foraminifers                         	C              	G                 	                       	T                            	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	F                      	                    	F               	               	                       	T                     	T                      	                      	T                    	                      	                          	T                    	R                	                    	T                              	T                    	R                 	T                    	T               	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Uphole increase in benthics; similar to, but shallower than 48 CC assemblage

  IR	                 	                 	                  	              	192	1183	A	 46	R	CC	   0.00	   1051.6500	Sikora   	Benthic Foraminifers                         	T              	P                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	T               	               	                       	                      	T                      	                      	                     	                      	                          	T                    	                 	T                   	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Benthics remain rare

  IR	                 	                 	                  	              	192	1183	A	 47	R	CC	   0.00	   1060.7000	Sikora   	Benthic Foraminifers                         	T              	M                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	                    	                	               	                       	                      	                       	                      	                     	                      	                          	T                    	                 	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Major uphole decrease in benthic foraminifera

  IR	                 	                 	                  	              	192	1183	A	 48	R	 1	  37.00	   1069.1700	Sikora   	Benthic Foraminifers                         	R              	M                 	                       	                             	                          	                      	                       	              	                	                          	                        	                            	              	                   	                       	                    	                             	                             	                      	                    	                         	                       	                      	                      	                   	                    	                   	                          	                          	                           	                      	                  	                  	                       	                      	                              	                 	                 	                   	                    	                  	            	                              	                       	R                   	                	               	                       	                      	                       	                      	                     	                      	                          	T                    	T                	                    	                               	                     	                  	                     	                	                     	                     	                  	                     	                         	                         	                                 	                         	                   	                     	                      	                        	                           	                       	                         	                        	                    	                  	                    	                         	                   	                       	                    	                          	                     	                 	                   	                      	                   	                     	                    	                            	                      	Rare benthic species in overall poorly fossiliferous sample; thin-section #40

