Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sp. (big opening)	Umbilicosphaera sibogae	Umbilicosphaera dilatata	Thorosphaera flabellata	Sphenolithus moriformis	Sphenolithus abies	Reticulofenestra pseudoumbilicus	Reticulofenestra minutula	Reticulofenestra minuta	Pemma sp.	Helicosphaera carteri	Discoaster spp. (6 rays)	Dictyococcites productus	Coccolithus pelagicus	Calcidiscus premacintyrei	Calcidiscus pataecus	Calcidiscus leptoporus	Braarudosphaera bigelowii	Oolithotus antillarum	Hayaster perplexus	Calcidiscus tropicus	Cyclicargolithus floridanus	Coccolithus miopelagicus	Thoracosphaera heimii	Helicosphaera euphratis	Discolithina sp.	Discoaster variabilis	Discoaster brouweri	Coronocyclus nitescens	Helicosphaera aff. obliqua	Discoaster formosus	Dictyococcites antarcticus	Rhabdosphaera procera	Gephyrocapsa spp. (small)	Cryptococcolithus takayamae	Oolithotus fragilis	Helicosphaera orientalis	Scapholithus fossilis	Discoaster deflandrei	Thoracosphaera fossata	Syracosphaera histrica	Cricosphaera quadrilaminata	Umbilicosphaera spp.	Thoracosphaera saxea	Discoaster surculus	Florisphaera profunda	Rhabdosphaera clavigera	Discoaster spp. (5 rays)	Umbilicosphaera lexus	Syracosphaera pulchra	Syracosphaera binodata	Scyphosphaera pulcherrima	Scyphosphaera apsteinii	Rhabdosphaera longistylis	Helicosphaera wallichii	Helicosphaera aff. inversa	Gephyrocapsa muellerae	Gephyrocapsa margerelii	Discosphaera tubifera	Discolithina japonica	Discolithina indooceanica	Discolithina discopora	Discoaster pentaradiatus	Discoaster adamanteus	Ceratolithus cristatus	Ceratolithus acutus	Discoaster blackstockae	Umbilicosphaera sp. aff. U. sibogae	Discoaster bergenii	Discoaster quinqueramus	Cyclococcolithus cricotus	Amaurolithus primus	Discoaster neorectus	Amaurolithus delicatus	Helicosphaera sellii	Discoaster challengeri	Discoaster triradiatus	Discoaster intercalaris	Discoaster asymmetricus	Amaurolithus amplificus	Discoaster prepentaradiatus	Cyclolithella annula	Triquetrorhabdulus rugosus	Discoaster neohamatus	Discoaster pansus	Ceratolithus rugosus	Amaurolithus tricorniculatus	Sphenolithus sp.	Discolithina multipora	Amaurolithus bizarrus	Discoaster loeblichii	Oolithotus sp.	Discoaster sp. cf. D. surculus	Discoaster tamalis	Pseudoemiliania lacunosa	Coccolithus minimus	Cyclolithella sp.	Discolithina rimosa	Discoaster quadramus	Syracosphaera nodosa	Gephyrocapsa oceanica s.l.	Discolithina scutellum	Umbellosphaera irregularis	Rhabdosphaera stylifera	Holodiscolithus macroporus	Helicosphaera hyalina	Gephyrocapsa caribbeanica	Emiliania huxleyi	Umbilicosphaera hulburtiana	Syracosphaera lamina	Thoracosphaera sp.	Umbellosphaera tenuis	Ceratolithus telesmus	Comment

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  1	H	CC	  18.00	      5.7300	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	R                 	                    	                           	                        	R                    	                       	                	                     	                   	                      	                          	                   	                          	                     	F                        	                           	                   	                        	F                    	                     	                      	F                     	VR                         	                    	VR                  	                   	F                    	F                      	                        	C                    	F                    	                      	                         	                       	                         	                       	                          	                      	VR                     	R                    	VR                   	                         	VR                    	                        	                     	R                     	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	R                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	VR                  	F                         	VR                    	R                         	VR                     	                          	F                    	                         	A                	                           	R                   	                  	R                    	VR                   	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  2	H	 1	  38.00	      6.0800	Gartner  	Nannofossils                                 	               	                  	                                 	C                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	F                       	                     	                         	                    	C                     	                         	F                    	                  	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	                   	                        	F                    	                     	                      	F                     	VR                         	                    	VR                  	                   	C                    	R                      	                        	C                    	F                    	                      	                         	VR                     	                         	                       	                          	                      	                       	R                    	                     	VR                       	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	R                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	VR                  	C                         	                      	F                         	F                      	VR                        	R                    	                         	C                	                           	R                   	                  	VR                   	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  2	H	 2	  38.00	      7.5800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	F                       	                     	                         	                    	F                     	                         	F                    	VR                	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	C                        	                           	                   	                        	F                    	                     	                      	F                     	VR                         	                    	                    	                   	F                    	R                      	                        	F                    	F                    	                      	                         	                       	                         	                       	                          	                      	VR                     	F                    	                     	                         	VR                    	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	R                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	R                   	F                         	                      	R                         	F                      	VR                        	VR                   	                         	A                	                           	R                   	                  	VR                   	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  2	H	 3	  38.00	      9.0800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	F                       	                     	                         	                    	F                     	                         	F                    	VR                	                    	                           	                        	R                    	                       	                	                     	                   	                      	                          	                   	                          	                     	C                        	                           	                   	                        	F                    	                     	                      	F                     	                           	                    	                    	                   	C                    	F                      	                        	F                    	F                    	                      	                         	VR                     	                         	                       	                          	                      	                       	R                    	                     	                         	                      	                        	                     	VR                    	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	F                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	VR                  	C                         	                      	C                         	F                      	                          	R                    	R                        	C                	                           	R                   	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  2	H	 4	  38.00	     10.5800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	A                      	                       	                  	                                	                         	                       	         	VR                   	                        	R                       	                     	                         	                    	F                     	                         	F                    	F                 	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	                   	                        	F                    	                     	                      	VR                    	VR                         	                    	                    	                   	C                    	R                      	                        	C                    	F                    	                      	                         	                       	                         	                       	                          	                      	                       	F                    	                     	VR                       	                      	                        	                     	VR                    	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	A                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	R                   	F                         	                      	                          	F                      	                          	VR                   	                         	C                	                           	R                   	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  2	H	 6	  38.00	     13.5800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	F                       	                     	                         	                    	F                     	                         	F                    	R                 	                    	                           	                        	R                    	                       	                	                     	                   	                      	                          	                   	                          	                     	C                        	                           	                   	                        	F                    	                     	                      	                      	                           	                    	                    	                   	C                    	F                      	                        	F                    	F                    	                      	                         	                       	                         	                       	                          	                      	VR                     	VR                   	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	R                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	                    	C                         	VR                    	F                         	R                      	                          	R                    	F                        	C                	                           	VR                  	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  2	H	 7	  38.00	     15.0800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	F                       	                     	                         	                    	F                     	                         	F                    	                  	                    	                           	                        	R                    	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	                   	                        	F                    	                     	                      	F                     	                           	                    	R                   	                   	C                    	F                      	                        	C                    	F                    	VR                    	                         	                       	                         	VR                     	                          	                      	                       	R                    	                     	                         	VR                    	                        	                     	                      	                   	                       	                                   	                   	                       	F                        	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	F                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	                    	C                         	VR                    	F                         	R                      	                          	                     	F                        	C                	                           	R                   	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  2	H	CC	  14.00	     15.3400	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	F                       	                     	                         	                    	F                     	                         	F                    	                  	                    	                           	                        	R                    	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	                   	                        	C                    	                     	                      	F                     	VR                         	                    	VR                  	                   	C                    	F                      	                        	C                    	F                    	VR                    	                         	                       	VR                       	                       	                          	                      	                       	F                    	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	F                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	VR                      	                   	R                	                   	                    	VR                  	A                         	R                     	F                         	F                      	VR                        	R                    	VR                       	C                	                           	R                   	                  	R                    	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  3	H	 1	  38.00	     15.5800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	F                    	                        	F                       	                     	                         	                    	F                     	                         	F                    	R                 	                    	                           	                        	VR                   	                       	                	                     	                   	                      	                          	                   	                          	                     	A                        	                           	                   	                        	F                    	                     	                      	F                     	                           	                    	                    	                   	F                    	F                      	                        	C                    	F                    	                      	                         	                       	                         	                       	                          	                      	                       	F                    	                     	                         	                      	                        	                     	R                     	                   	                       	                                   	                   	                       	VR                       	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	F                   	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	R                   	C                         	VR                    	F                         	R                      	                          	VR                   	VR                       	F                	                           	R                   	                  	VR                   	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  3	H	 2	  38.00	     17.0800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	R                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	                  	                    	                           	                        	                     	                       	                	                     	                   	                      	                          	                   	                          	                     	C                        	                           	                   	                        	F                    	                     	                      	F                     	                           	                    	VR                  	                   	F                    	R                      	                        	F                    	F                    	                      	                         	                       	                         	                       	                          	                      	                       	R                    	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	VR                  	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	VR                  	F                         	                      	R                         	R                      	                          	                     	A                        	                 	                           	VR                  	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket

  SR	Pleistocene      	                 	CN15              	              	133	 817	A	  3	H	 3	  38.00	     18.5800	Gartner  	Nannofossils                                 	               	                  	                                 	F                      	                        	C                      	                       	                  	                                	                         	                       	         	R                    	                        	C                       	                     	                         	                    	F                     	                         	F                    	F                 	                    	                           	                        	                     	                       	                	                     	                   	                      	                          	                   	                          	                     	C                        	                           	                   	                        	F                    	                     	                      	F                     	VR                         	                    	                    	                   	C                    	F                      	                        	                     	F                    	                      	                         	                       	                         	                       	                          	                      	                       	F                    	                     	                         	                      	                        	                     	                      	                   	                       	                                   	                   	                       	                         	                   	                    	                      	                    	                      	                      	                       	                       	                       	                           	VR                  	                          	                     	                 	                    	                            	                	                      	                     	                     	              	                              	                  	                        	                   	                 	                   	                    	F                   	C                         	VR                    	F                         	                       	VR                        	R                    	A                        	F                	                           	R                   	                  	                     	                     	from ODP 133 SR Chapter 1 Figure 9 p 15 & Table 2 backpocket
