Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys peregrina	Solenosphaera omnitubus	Didymocyrtis prismatica	Didymocyrtis penultima	Didymocyrtis antepenultima	Diartus hughesi	Lychnodictyum audax	Stichocorys delmontensis	Phormostichoartus doliolum	Dendrospyris bursa	Phormostichoartus fistula	Lithopera bacca	Siphostichartus corona	Anthocyrtidium michelinae	Anthocyrtidium jenghisi	Pterocanium prismatium	Didymocyrtis avita	Acrobotrys tritubus	Didymocyrtis tetrathalamus	Anthocyrtidium prolatum	Amphirhopalum ypsilon	Comment
  SR	                 	                 	S. pentas         	              	115	 707	A	  6	H	 2	 101.00	     47.6100	Johnson  	Radiolarians                                 	C              	M                 	F                    	-                      	                       	-                     	                          	               	F                  	                        	R                         	                  	R                        	F              	                      	                         	                       	R                     	F                 	                   	R                         	                       	-                    	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. pentas         	              	115	 707	A	  6	H	 4	 101.00	     50.6100	Johnson  	Radiolarians                                 	C              	G                 	C                    	-                      	                       	-                     	                          	               	C                  	                        	C                         	                  	R                        	R              	                      	F                        	R                      	R                     	R                 	                   	-                         	R                      	-                    	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. pentas         	              	115	 707	A	  6	H	 6	 101.00	     53.6100	Johnson  	Radiolarians                                 	C              	G                 	C                    	-                      	                       	R                     	                          	               	F                  	                        	F                         	R                 	R                        	C              	                      	R                        	F                      	-                     	F                 	                   	-                         	R                      	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. peregrina(SWSR85)	              	115	 707	A	  6	H	CC	   8.00	     54.5800	Johnson  	Radiolarians                                 	C              	G                 	C                    	R                      	                       	R                     	                          	               	F                  	-                       	C                         	                  	R                        	F              	                      	F                        	                       	-                     	F                 	                   	-                         	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. peregrina(SWSR85)	              	115	 707	A	  7	H	 2	 101.00	     57.2100	Johnson  	Radiolarians                                 	F              	M                 	F                    	R                      	                       	R                     	                          	               	F                  	-                       	F                         	                  	R                        	R              	                      	R                        	R                      	-                     	F                 	                   	-                         	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. peregrina(SWSR85)	              	115	 707	A	  7	H	 4	 101.00	     60.2100	Johnson  	Radiolarians                                 	C              	M                 	C                    	F                      	                       	R                     	                          	               	C                  	-                       	F                         	                  	                         	F              	                      	F                        	F                      	-                     	F                 	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. peregrina(SWSR85)	              	115	 707	A	  7	H	 6	 101.00	     63.2100	Johnson  	Radiolarians                                 	C              	G                 	C                    	F                      	                       	R                     	                          	               	C                  	-                       	F                         	R                 	R                        	C              	                      	R                        	                       	VR                    	F                 	R                  	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. peregrina(SWSR85)	              	115	 707	A	  7	H	CC	  14.00	     63.5900	Johnson  	Radiolarians                                 	C              	G                 	C                    	R                      	                       	R                     	                          	               	C                  	-                       	C                         	R                 	                         	R              	                      	R                        	                       	-                     	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. peregrina(SWSR85)	              	115	 707	A	  8	H	CC	  14.00	     74.0300	Johnson  	Radiolarians                                 	F              	M                 	C                    	R                      	                       	R                     	                          	               	F                  	R                       	F                         	                  	R                        	R              	                      	F                        	                       	-                     	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	S. peregrina(SWSR85)	              	115	 707	A	  9	H	 2	 101.00	     76.5100	Johnson  	Radiolarians                                 	C              	M                 	C                    	R                      	                       	F                     	                          	               	F                  	F                       	R                         	                  	R                        	F              	-                     	F                        	                       	-                     	R                 	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	D. penultima (RN8)	              	115	 707	A	  9	H	 4	 101.00	     79.5100	Johnson  	Radiolarians                                 	F              	M                 	F                    	R                      	                       	R                     	-                         	-              	F                  	C                       	F                         	R                 	                         	F              	-                     	R                        	R                      	                      	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	D. penultima (RN8)	              	115	 707	A	  9	H	 6	 101.00	     82.5100	Johnson  	Radiolarians                                 	R              	M                 	-                    	-                      	                       	R                     	-                         	-              	R                  	F                       	                          	                  	R                        	               	                      	                         	                       	                      	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	D. penultima (RN8)	              	115	 707	A	  9	H	CC	  12.00	     83.5100	Johnson  	Radiolarians                                 	C              	M                 	VR                   	-                      	R                      	R                     	-                         	-              	F                  	F                       	                          	F                 	                         	R              	                      	                         	                       	                      	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	D. antepenultima RN7	              	115	 707	A	 10	H	 2	 101.00	     86.1100	Johnson  	Radiolarians                                 	F              	M                 	-                    	-                      	                       	VR                    	R                         	R              	F                  	F                       	                          	                  	R                        	               	                      	                         	                       	                      	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	D. antepenultima RN7	              	115	 707	A	 10	H	 4	 101.00	     89.1100	Johnson  	Radiolarians                                 	R              	M                 	-                    	-                      	                       	VR                    	R                         	R              	R                  	R                       	                          	R                 	                         	               	                      	                         	                       	                      	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	D. antepenultima RN7	              	115	 707	A	 10	H	 6	 101.00	     92.1100	Johnson  	Radiolarians                                 	R              	P                 	-                    	-                      	                       	-                     	R                         	R              	R                  	R                       	                          	                  	                         	               	                      	                         	                       	                      	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	D. antepenultima RN7	              	115	 707	A	 10	H	CC	  17.00	     92.3100	Johnson  	Radiolarians                                 	R              	P                 	-                    	-                      	                       	-                     	R                         	R              	R                  	R                       	R                         	                  	                         	               	                      	                         	                       	                      	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	D. antepenultima RN7	              	115	 707	A	 11	H	 1	  40.00	     93.6000	Johnson  	Radiolarians                                 	R              	P                 	-                    	-                      	                       	-                     	R                         	R              	R                  	                        	                          	                  	                         	               	                      	                         	                       	                      	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

  SR	                 	                 	D. antepenultima RN7	              	115	 707	A	 11	H	CC	  16.00	     94.1600	Johnson  	Radiolarians                                 	R              	P                 	-                    	-                      	R                      	-                     	R                         	R              	                   	                        	                          	                  	                         	               	                      	                         	                       	                      	                  	                   	                          	                       	                     	from 115 SR. Chapter 22. Table 2. page 396.

