Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira vulnifica,Thalassiosira kolbei,Nitzschia weaveri,Coscinodiscus insignis,Hemidiscus karstenii,Actinocyclus ingens var. planus,Simonseniella barboi,Thalassiosira elliptipora,Comment
  SR,                 ,                 ,                  ,              ,114, 701,C,  2,H, 5,  15.00,     12.4500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,.1%                            ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  2,H, 5,  89.00,     13.1900,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,.1%                            ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  2,H, 6,  15.00,     13.9500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,.3%                            ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  2,H, 6,  69.00,     14.4900,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,1.1%                           ,                    ,.4%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  2,H, 6,  95.00,     14.7500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,1.3%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  2,H,CC,  18.00,     14.9500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,.1%                            ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 1,   0.00,     15.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,1.1%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 1,  25.00,     16.0500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,.6%                            ,                    ,.3%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 1,  50.00,     16.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,1.9%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 1, 100.00,     16.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,.4%                            ,                    ,.3%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 1, 125.00,     17.0500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,2.6%                           ,                    ,1.3%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 2,   0.00,     17.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,9.0%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 2,  25.00,     17.5500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,14.6%                          ,                    ,.4%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 2,  50.00,     17.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,3.4%                           ,                    ,.3%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 2,  75.00,     18.0500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,9.0%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 2,  98.00,     18.2800,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,.3%                   ,                    ,3.9%                           ,                    ,.6%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 2, 100.00,     18.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,.1%                 ,                 ,.5%                   ,                    ,2.8%                           ,                    ,.1%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 2, 125.00,     18.5500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,4.9%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 2, 147.00,     18.7700,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,2.9%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 3,   0.00,     18.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,4.1%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 3,  25.00,     19.0500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,3.9%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 3,  50.00,     19.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,2.5%                           ,                    ,.7%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 3,  75.00,     19.5500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,5.0%                           ,                    ,.3%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 3, 100.00,     19.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,.3%                 ,                 ,                      ,                    ,4.4%                           ,                    ,.7%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 3, 125.00,     20.0500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,5.5%                           ,                    ,.3%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 4,   0.00,     20.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,.0%                 ,                 ,                      ,                    ,5.3%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 4,  25.00,     20.5500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,5.9%                           ,                    ,.3%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 4,  50.00,     20.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,10.2%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 4,  75.00,     21.0500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,7.6%                           ,                    ,.4%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 4, 100.00,     21.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,9.4%                           ,                    ,2.3%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 4, 100.00,     21.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,                               ,                    ,1.4%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 4, 125.00,     21.5500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,4.2%                           ,                    ,1.0%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 4, 147.00,     21.7700,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,8.2%                           ,                    ,1.5%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 5,   0.00,     21.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,8.3%                           ,                    ,.8%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 5,  25.00,     22.0500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,.1%                 ,                 ,                      ,                    ,10.2%                          ,                    ,.9%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 5,  50.00,     22.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,10.2%                          ,                    ,2.0%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 5,  75.00,     22.5500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,9.4%                           ,                    ,9.9%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 5,  98.00,     22.7800,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,6.5%                           ,                    ,9.4%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 5, 125.00,     23.0500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,16.3%                          ,                    ,8.5%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 5, 147.00,     23.2700,Fenner   ,Diatoms                                      ,               ,                  ,.4%                    ,                    ,                 ,                      ,                    ,18.5%                          ,                    ,10.8%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 6,   0.00,     23.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,16.1%                          ,                    ,5.9%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 6,  25.00,     23.5500,Fenner   ,Diatoms                                      ,               ,                  ,1.3%                   ,                    ,                 ,                      ,                    ,11.6%                          ,                    ,15.1%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 6,  50.00,     23.8000,Fenner   ,Diatoms                                      ,               ,                  ,.7%                    ,                    ,                 ,                      ,                    ,10.1%                          ,                    ,8.6%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 6,  68.00,     23.9800,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,                               ,                    ,19.0%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 6,  75.00,     24.0500,Fenner   ,Diatoms                                      ,               ,                  ,.8%                    ,                    ,                 ,                      ,                    ,9.2%                           ,                    ,11.2%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 6, 100.00,     24.3000,Fenner   ,Diatoms                                      ,               ,                  ,1.8%                   ,                    ,                 ,                      ,                    ,14.1%                          ,                    ,14.4%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 6, 125.00,     24.5500,Fenner   ,Diatoms                                      ,               ,                  ,.5%                    ,                    ,                 ,                      ,                    ,18.9%                          ,                    ,22.2%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 6, 147.00,     24.7700,Fenner   ,Diatoms                                      ,               ,                  ,2.0%                   ,                    ,                 ,                      ,                    ,16.9%                          ,                    ,7.5%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 7,   0.00,     24.8000,Fenner   ,Diatoms                                      ,               ,                  ,.7%                    ,                    ,                 ,                      ,                    ,7.1%                           ,                    ,4.8%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H, 7,  25.00,     25.0500,Fenner   ,Diatoms                                      ,               ,                  ,.7%                    ,                    ,                 ,                      ,                    ,12.9%                          ,                    ,10.7%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  3,H,CC,  12.00,     25.5700,Fenner   ,Diatoms                                      ,               ,                  ,1.3%                   ,                    ,                 ,                      ,                    ,7.7%                           ,                    ,32.3%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 1,  10.00,     25.4000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,1.2%                           ,                    ,.3%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 1,  35.00,     25.6500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,2.6%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 1,  60.00,     25.9000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,8.0%                           ,                    ,.3%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 1,  85.00,     26.1500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,3.1%                           ,                    ,.6%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 1, 110.00,     26.4000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,3.3%                           ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 1, 135.00,     26.6500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,5.0%                           ,                    ,.9%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 2,  85.00,     27.6500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,6.7%                           ,                    ,2.3%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 2, 135.00,     28.1500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,13.7%                          ,                    ,4.4%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 3,  10.00,     28.4000,Fenner   ,Diatoms                                      ,               ,                  ,.4%                    ,                    ,                 ,                      ,                    ,5.6%                           ,                    ,8.3%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 3,  35.00,     28.6500,Fenner   ,Diatoms                                      ,               ,                  ,.3%                    ,                    ,                 ,                      ,                    ,8.8%                           ,                    ,33.2%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 3,  60.00,     28.9000,Fenner   ,Diatoms                                      ,               ,                  ,1.6%                   ,                    ,                 ,                      ,                    ,6.4%                           ,                    ,15.9%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 3,  85.00,     29.1500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,5.1%                           ,                    ,20.4%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 3, 110.00,     29.4000,Fenner   ,Diatoms                                      ,               ,                  ,2.7%                   ,                    ,                 ,                      ,                    ,10.1%                          ,                    ,8.1%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 3, 135.00,     29.6500,Fenner   ,Diatoms                                      ,               ,                  ,1.4%                   ,                    ,                 ,                      ,                    ,2.5%                           ,                    ,7.4%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 4,  10.00,     29.9000,Fenner   ,Diatoms                                      ,               ,                  ,5.4%                   ,                    ,                 ,                      ,                    ,7.8%                           ,                    ,11.5%                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 4,  35.00,     30.1500,Fenner   ,Diatoms                                      ,               ,                  ,1.4%                   ,                    ,                 ,                      ,                    ,7.3%                           ,                    ,3.2%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 4,  60.00,     30.4000,Fenner   ,Diatoms                                      ,               ,                  ,1.9%                   ,                    ,                 ,                      ,                    ,1.3%                           ,                    ,5.8%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 4,  86.00,     30.6600,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,4.3%                           ,                    ,7.2%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 5,  10.00,     31.4000,Fenner   ,Diatoms                                      ,               ,                  ,5.4%                   ,                    ,                 ,                      ,                    ,14.9%                          ,                    ,2.7%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 5,  35.00,     31.6500,Fenner   ,Diatoms                                      ,               ,                  ,3.0%                   ,                    ,                 ,                      ,                    ,5.3%                           ,                    ,5.3%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 5,  60.00,     31.9000,Fenner   ,Diatoms                                      ,               ,                  ,11.0%                  ,                    ,                 ,                      ,                    ,6.2%                           ,                    ,.5%                      ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 5,  85.00,     32.1500,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                    ,                 ,                      ,                    ,5.8%                           ,                    ,4.5%                     ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 701,C,  4,H, 6,  10.00,     32.9000,Fenner   ,Diatoms                                      ,               ,                  ,4.5%                   ,                    ,                 ,                      ,                    ,25.0%                          ,                    ,                         ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,
