Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Saturnalis circularis	Lamprocyclas hannai	Eucyrtidium calvertense	Axoprunum angelinum	Pterocanium trilobum	Stichocorys peregrina	Phormostichoartus fistula	Lamprocyrtis heteroporos	Stichocorys delmontensis	Didymocyrtis avita	Eucyrtidium teuscheri teuscheri	Didymocyrtis penultima	Spongurus pylomaticus	Didymocyrtis tetrathalamus tetrathalamus	Lamprocyrtis neoheteroporos	Phormostichoartus corbula	Cycladophora cornutoides	Pterocanium praetextum eucolpum	Cycladophora pliocenica	Eucyrtidium acuminatum	Cycladophora sakaii	Amphirhopalum ypsilon	Cycladophora davisiana	Theocorythium trachelium trachelium	Comment
  IR	                 	                 	                  	              	175	1082	A	 25	X	CC	  33.00	    231.4600	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	1                      	+                  	+                   	                     	                         	                        	                        	                  	+                              	                      	+                    	                                        	                           	1                        	+                       	                               	                       	                      	1                  	1                    	+                     	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 26	X	CC	  14.00	    244.3800	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                       	+                  	+                   	                     	                         	+                       	                        	                  	1                              	                      	                     	                                        	+                          	                         	+                       	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 27	X	CC	  25.00	    252.1200	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	1                      	+                  	+                   	                     	                         	                        	                        	                  	+                              	                      	1                    	                                        	                           	1                        	+                       	                               	                       	1                     	+                  	+                    	+                     	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 28	X	CC	  15.00	    262.1400	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                       	1                  	+                   	                     	                         	+                       	                        	                  	+                              	                      	1                    	                                        	                           	                         	                        	                               	                       	                      	+                  	                     	+                     	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 29	X	CC	  18.00	    273.1600	Motoyama 	Radiolarians                                 	C              	G                 	                     	+                  	                       	                   	+                   	                     	                         	                        	                        	                  	+                              	                      	+                    	                                        	+                          	                         	                        	                               	                       	                      	+                  	                     	+                     	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 30	X	CC	  64.00	    280.5300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	+                  	+                   	                     	                         	+                       	                        	                  	+                              	                      	+                    	                                        	                           	                         	+                       	                               	                       	                      	+                  	+                    	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 31	X	CC	  22.00	    289.1000	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	+                  	+                   	                     	                         	+                       	                        	                  	+                              	                      	+                    	                                        	                           	+                        	                        	                               	+                      	                      	+                  	+                    	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 32	X	CC	  16.00	    299.6200	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	                       	+                  	+                   	                     	                         	+                       	                        	                  	+                              	                      	+                    	                                        	+                          	+                        	+                       	1                              	+                      	                      	+                  	+                    	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 33	X	CC	  14.00	    309.6300	Motoyama 	Radiolarians                                 	R              	M                 	                     	+                  	                       	                   	                    	                     	                         	1                       	                        	                  	+                              	                      	                     	                                        	                           	1                        	+                       	                               	+                      	                      	1                  	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 34	X	CC	  52.00	    317.6700	Motoyama 	Radiolarians                                 	A              	M                 	                     	                   	                       	                   	+                   	                     	+                        	+                       	                        	                  	+                              	                      	+                    	                                        	                           	                         	+                       	+                              	+                      	1                     	+                  	+                    	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 35	X	CC	  24.00	    328.6000	Motoyama 	Radiolarians                                 	A              	G                 	                     	                   	+                      	                   	+                   	                     	                         	+                       	                        	                  	+                              	                      	                     	1                                       	                           	+                        	+                       	                               	+                      	1                     	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 36	X	CC	  23.00	    328.5500	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	1                  	1                   	                     	                         	+                       	                        	                  	+                              	                      	                     	1                                       	                           	1                        	                        	                               	+                      	                      	1                  	T                    	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 37	X	CC	  20.00	    337.0100	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                       	+                  	                    	                     	                         	+                       	                        	                  	+                              	T                     	+                    	                                        	                           	                         	                        	                               	+                      	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 38	X	CC	  20.00	    349.2300	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	                       	1                  	+                   	                     	                         	                        	                        	                  	+                              	                      	+                    	1                                       	                           	+                        	+                       	1                              	+                      	+                     	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 39	X	CC	  45.00	    356.4900	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	+                  	+                   	1                    	                         	+                       	                        	                  	+                              	                      	+                    	                                        	                           	+                        	+                       	                               	+                      	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 40	X	CC	  42.00	    366.4600	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	+                  	                    	+                    	                         	+                       	                        	                  	+                              	                      	+                    	1                                       	+                          	+                        	+                       	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 41	X	CC	  13.00	    378.2900	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	+                  	+                   	+                    	                         	+                       	                        	                  	+                              	                      	+                    	1                                       	                           	+                        	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 42	X	CC	  27.00	    386.9700	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	                   	+                   	+                    	                         	+                       	                        	                  	+                              	                      	+                    	                                        	1                          	                         	                        	+                              	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 43	X	CC	  35.00	    396.0600	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	+                  	                    	                     	                         	+                       	                        	                  	+                              	                      	+                    	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 44	X	CC	  13.00	    405.0700	Motoyama 	Radiolarians                                 	A              	G                 	                     	+                  	+                      	+                  	+                   	+                    	                         	+                       	                        	                  	+                              	                      	+                    	                                        	                           	+                        	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 45	X	CC	  39.00	    414.9800	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	                   	                    	+                    	                         	+                       	                        	                  	+                              	                      	+                    	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 46	X	CC	  60.00	    424.1100	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	+                  	+                   	                     	                         	                        	                        	                  	                               	                      	+                    	                                        	                           	+                        	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 47	X	CC	  20.00	    432.9600	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	                   	+                   	+                    	                         	+                       	                        	                  	                               	                      	+                    	                                        	+                          	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 48	X	CC	  20.00	    442.7000	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	+                  	+                   	+                    	                         	+                       	                        	                  	+                              	                      	+                    	                                        	1                          	1                        	1                       	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 49	X	CC	  13.00	    455.8500	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	                   	                    	+                    	                         	+                       	                        	                  	+                              	                      	+                    	                                        	1                          	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 51	X	CC	  43.00	    472.7500	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	+                      	+                  	                    	+                    	                         	+                       	                        	                  	+                              	                      	+                    	                                        	+                          	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 52	X	CC	  29.00	    482.4000	Motoyama 	Radiolarians                                 	A              	G                 	1                    	+                  	+                      	+                  	                    	+                    	1                        	+                       	1                       	                  	                               	                      	+                    	1                                       	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 53	X	CC	  31.00	    491.8500	Motoyama 	Radiolarians                                 	A              	M                 	                     	+                  	                       	+                  	                    	+                    	                         	+                       	                        	                  	+                              	                      	+                    	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 54	X	CC	  32.00	    503.5600	Motoyama 	Radiolarians                                 	A              	M                 	1                    	+                  	+                      	+                  	                    	+                    	                         	+                       	1                       	                  	                               	                      	+                    	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 55	X	CC	  33.00	    513.6000	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	+                      	+                  	                    	+                    	                         	                        	                        	                  	+                              	T                     	                     	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 56	X	CC	  33.00	    523.1500	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	+                      	+                  	+                   	+                    	                         	1                       	+                       	T                 	                               	                      	                     	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 57	X	CC	  47.00	    532.6800	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	+                      	+                  	                    	+                    	                         	                        	                        	                  	                               	                      	                     	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 60	X	CC	  39.00	    561.1300	Motoyama 	Radiolarians                                 	A              	M                 	+                    	+                  	+                      	+                  	                    	                     	                         	+                       	                        	                  	                               	                      	                     	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 61	X	CC	  70.00	    570.4800	Motoyama 	Radiolarians                                 	A              	M                 	1                    	+                  	+                      	+                  	                    	+                    	                         	+                       	                        	                  	                               	                      	                     	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 62	X	CC	  80.00	    579.7700	Motoyama 	Radiolarians                                 	C              	P                 	                     	                   	+                      	+                  	                    	1                    	1                        	                        	                        	                  	                               	                      	                     	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 63	X	CC	  36.00	    590.0500	Motoyama 	Radiolarians                                 	A              	M                 	1                    	                   	+                      	+                  	1                   	                     	                         	                        	                        	                  	                               	                      	                     	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

  IR	                 	                 	                  	              	175	1082	A	 64	X	CC	  76.00	    599.9800	Motoyama 	Radiolarians                                 	A              	P                 	+                    	+                  	+                      	+                  	                    	                     	                         	                        	                        	                  	                               	                      	                     	                                        	                           	                         	                        	                               	                       	                      	                   	                     	                      	                                   	       

