Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rigaudella aemula	Peridictyocysta mirabilis	Oligosphaeridium sp. A	Meiourogonyaulax maculata	Meiourogonyaulax diaphanis	Leptodinium eumorphum	Egmontodinium torynum	Belodinium nereidis	Batioladinium spp.	Amphorula sp. A	Acanthaulax granulata	Wanaea spp.	Scriniodinium attadalense	Perisseiasphaeridium inusitatum	Gonyaulacysta jurassica	Fromea cylindrica	Wallodinium luna	Tubotuberella spp.	Meiourogonyaulax sp. A	Hystrichodinium group B	Dingodinium jurassicum	Ellipsoidictyum cinctum	Bourkidinium spp.	Tetrachacysta sp. A	Scriniodinium ceratophorum	Papuadinium apiculatum	Meiourogonyaulax stoveri	Prolixosphaeridium spp.	Meiourogonyaulax cf. maculatum	Sentusidinium sp. A	Pareodinia spp.	Scriniodinium crystallinum	Tanyosphaeridium spp.	Nannoceratopsis pellucida	Systematophora areolata	Leptodinium mirabile	Amphorula? sp. B	Hystrichodinium group A	Wallodinium spp.	Canninginopsis tabulata	Dissimulidinium lobispinosum	Scriniodinium playfordii	Tetrachacysta sp. B	Stiphrosphaeridium anthophorum	Pareodinia robusta	Liesbergia sp. A	Oligosphaeridium diluculum	Batioladinium reticulatum	Balcattia sp. A	Apteodinium granulatum	Dapsilidinium warrenii	Cassiculosphaeridia magna	Circulodinium deflandrei	Comment

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  8	R	 1	  46.00	    671.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	+                         	+                    	+                    	                   	+                 	               	                     	           	                         	                               	                       	                 	                	+                 	+                     	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	+               	                       	                	+                      	                            	                        	                   	+                             	                  	+               	                          	                         	               	                      	                      	                         	+                       	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  8	R	 2	  40.00	    672.5000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	+                    	+                    	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	+                      	                      	                       	                 	+                  	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	+                             	                  	+               	                          	                         	               	+                     	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  8	R	 3	  46.00	    674.0600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	                         	                          	                     	+                    	                   	                  	               	                     	           	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	+               	                       	                            	                        	                   	                              	                  	                	                          	                         	               	+                     	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  9	R	 1	  48.00	    676.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	+               	                       	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	+                     	                      	                         	+                       	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  9	R	 2	  48.00	    677.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	                       	                	                       	                            	                        	                   	+                             	                  	                	                          	                         	               	+                     	                      	                         	+                       	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  9	R	 3	  47.00	    679.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	+                     	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	+               	                          	+                        	               	+                     	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  9	R	 4	  47.00	    680.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	+                      	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	+               	                          	+                        	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  9	R	 5	  47.00	    682.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	  9	R	 6	  44.00	    683.5400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	+                      	+r                  	                	                       	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	+                        	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	 10	R	 1	 106.00	    686.1600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	+                     	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiii             	              	122	 763	C	 10	R	 2	  48.00	    687.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	                         	                          	                     	+                    	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 10	R	 3	 107.00	    689.1700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	+                    	                     	                   	                  	               	                     	           	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	+                      	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	+                        	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 10	R	 5	  47.00	    691.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 10	R	 6	 103.00	    693.6300	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	+                        	                          	                     	                     	                   	+                 	               	                     	           	                         	                               	                       	+                	                	+                 	                      	+                      	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	                       	+               	                       	+                           	                        	                   	                              	                  	+               	                          	+                        	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 11	R	 1	  44.00	    695.0400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 11	R	 2	  14.00	    696.2400	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 12	R	 1	  49.00	    704.5900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	+                     	                      	                         	+                       	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 12	R	 2	  47.00	    706.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	+                      	                              	                   	               	                          	+                    	                         	                       	                    	+               	                       	                	                       	                            	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	+                        	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 13	R	 1	  48.00	    714.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	+                     	                         	                          	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	+               	                       	                	+                      	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 13	R	 2	  48.00	    715.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	+                     	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 13	R	 3	  48.00	    717.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 13	R	 4	  48.00	    718.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	+                        	                       	                    	                	                       	                	+                      	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 14	R	 1	  49.00	    723.5900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	                         	                      	+                        	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	+                        	                       	+r                  	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	+                     	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 14	R	 2	  47.00	    725.0700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	+                    	                     	                   	                  	               	                     	           	                         	                               	                       	+                	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	+                      	+                           	                        	                   	                              	                  	+               	                          	                         	               	+                     	                      	+                        	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 14	R	 3	  46.00	    726.5600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	+                        	                               	                       	                 	                	+                 	                      	+                      	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	+r                        	+                    	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	+               	                          	+                        	+              	                      	                      	+                        	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4aiv              	              	122	 763	C	 14	R	 4	  48.00	    728.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	                         	                          	                     	                     	                   	                  	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	+                           	                        	                   	                              	                  	+               	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513
