Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Bolboforma reticulata,Bolboforma compressibadenensis,Bolboforma pseudohystrix,Bolboforma laevis,Bolboforma compressispinosa,Bolboforma clodiusi,Bolboforma badenensis,Bolboforma spinosa,Bolboforma voeringensis,Bolboforma fragori,Bolboforma subfragori,Bolboforma metzmacheri,Bolboforma intermedia,Bolboforma c. costairregularis,Comment
  SR,                 ,                 ,B. metzmacheri    ,              ,104, 642,B, 15,H, 3,  74.00,    127.2400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,R                ,                           ,                   ,                     ,                  ,                       ,                  ,                     ,A                     ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 16,H, 6,  69.00,    135.5400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,R                       ,A                ,                           ,                   ,                     ,C                 ,                       ,A                 ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 16,H, 7,  69.00,    137.0400,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,R                       ,                 ,                           ,                   ,                     ,R                 ,                       ,A                 ,C                    ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 16,H,CC,   8.00,    137.7200,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,A                ,                           ,R                  ,                     ,                  ,                       ,A                 ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 17,H, 1,  71.00,    138.7100,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,A                ,                           ,                   ,                     ,R                 ,                       ,A                 ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 17,H, 2,  71.00,    140.2100,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,R                       ,A                ,R                          ,C                  ,                     ,R                 ,                       ,R                 ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 17,H, 3,  71.00,    141.7100,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,R                       ,C                ,                           ,                   ,                     ,R                 ,                       ,A                 ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 17,H, 4,  71.00,    143.2100,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,R                       ,R                ,                           ,                   ,                     ,R                 ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 17,H, 5,  71.00,    144.7100,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,R                ,R                          ,                   ,                     ,                  ,                       ,R                 ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 17,H, 6,  71.00,    146.2100,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,R                       ,A                ,C                          ,                   ,                     ,                  ,C                      ,R                 ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 17,H,CC,  13.00,    147.5300,Qvale    ,Bolboforms                                   ,               ,                  ,R                    ,                              ,                        ,                 ,A                          ,                   ,                     ,                  ,                       ,R                 ,R                    ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 18,H, 1,  72.00,    148.5200,Qvale    ,Bolboforms                                   ,               ,                  ,R                    ,                              ,                        ,                 ,R                          ,                   ,C                    ,                  ,C                      ,C                 ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 18,H, 2,  72.00,    150.0200,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,R                       ,C                ,A                          ,R                  ,                     ,C                 ,A                      ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 18,H, 3,  72.00,    151.5200,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,R                       ,C                ,A                          ,                   ,C                    ,                  ,C                      ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. fragori        ,              ,104, 642,B, 18,H, 4,  72.00,    153.0200,Qvale    ,Bolboforms                                   ,               ,                  ,R                    ,                              ,                        ,R                ,A                          ,R                  ,R                    ,                  ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,B, 18,H, 5,  82.00,    154.6200,Qvale    ,Bolboforms                                   ,               ,                  ,                     ,                              ,                        ,R                ,A                          ,                   ,                     ,                  ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,B, 18,H, 6,  72.00,    156.0200,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,                              ,                        ,R                ,R                          ,                   ,                     ,C                 ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,B, 18,H,CC,   0.00,    157.3300,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,                              ,R                       ,                 ,R                          ,                   ,A                    ,R                 ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,B, 19,H, 1,  72.00,    158.4200,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,                              ,R                       ,                 ,R                          ,                   ,                     ,                  ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,B, 19,H, 2,  89.00,    160.0900,Qvale    ,Bolboforms                                   ,               ,                  ,C                    ,                              ,C                       ,C                ,A                          ,C                  ,A                    ,                  ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,B, 19,H, 3,  72.00,    161.4200,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,                              ,C                       ,R                ,R                          ,C                  ,                     ,                  ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,B. reticulata     ,              ,104, 642,B, 19,H, 4,  72.00,    162.9200,Qvale    ,Bolboforms                                   ,               ,                  ,A                    ,A                             ,                        ,                 ,                           ,                   ,                     ,                  ,                       ,                  ,                     ,                      ,                     ,                              ,Table reconstructed from diagram; ODP 104 SR Chapter 27 Figure 2 p 489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
