Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ticinella madecassiana,Ticinella cf. roberti,Heterohelix moremani,Heterohelix cf. angolae,Hedbergella delrioensis,Globigerinelloides caseyi,Costellagerina libyca,Hedbergella sp.,Globigerinoides sacculifer,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis paenedehiscens,Sphaeroidinella dehiscens,Neogloboquadrina humerosa,Neogloboquadrina dutertrei,Neogloboquadrina acostaensis,Globorotalia menardii,Globigerinoides extremus,Globigerinita glutinata,Sphaeroidinellopsis kochi,Orbulina universa,Globoturborotalita woodi,Globorotalia tumida,Globorotalia crassaformis,Globoquadrina venezuelana,Globigerinoides obliquus,Globigerinella obesa,Dentoglobigerina altispira,Globigerinoides ruber,Globigerinoides conglobatus,Globoturborotalita apertura,Globorotalia scitula,Globorotalia pertenuis,Globorotalia miocenica,Globorotalia inflata,Globorotaloides hexagona,Turborotalita humilis,Pulleniatina obliquiloculata,Globoturborotalita decoraperta,Neogloboquadrina pachyderma (dextral),Candeina nitida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,PL6               ,Pt1           ,159, 962,B,  2,H, 4,  50.00,     12.5000,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,                          ,                              ,                                  ,                         ,                         ,C                         ,                            ,F                    ,                        ,                       ,                         ,                 ,                        ,F                  ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,PL6               ,Pt1           ,159, 962,B,  2,H, 5,  50.00,     14.0000,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,                          ,                              ,                                  ,                         ,                         ,R                         ,                            ,R                    ,                        ,                       ,                         ,                 ,                        ,                   ,R                        ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,PL6               ,Pt1           ,159, 962,B,  2,H, 6,  50.00,     15.5000,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,F                         ,                              ,                                  ,                         ,                         ,C                         ,                            ,                     ,                        ,R                      ,                         ,                 ,                        ,                   ,F                        ,                         ,                        ,                    ,                          ,C                    ,R                          ,                           ,                    ,                      ,                      ,R                   ,                        ,R                    ,C                           ,R                             ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,PL5               ,Pt1           ,159, 962,B,  2,H, 7,  50.00,     16.6000,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,                          ,                              ,                                  ,                         ,                         ,R                         ,                            ,                     ,                        ,                       ,                         ,                 ,                        ,                   ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,R                       ,                     ,                            ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,PL5               ,Pt1           ,159, 962,B,  2,H,CC,  21.00,     17.0400,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,F                         ,                              ,                                  ,                         ,                         ,R                         ,                            ,                     ,                        ,                       ,                         ,                 ,                        ,R                  ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,PL5               ,              ,159, 962,B,  3,H, 1,  53.00,     17.5300,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,C                         ,                              ,                                  ,                         ,                         ,C                         ,F                           ,                     ,F                       ,R                      ,                         ,F                ,R                       ,                   ,R                        ,                         ,                        ,                    ,                          ,                     ,                           ,F                          ,R                   ,R                     ,F                     ,R                   ,                        ,                     ,                            ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Late Pliocene    ,PL1               ,PL3           ,159, 962,B,  3,H, 2,  50.00,     19.0000,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,R                         ,                              ,F                                 ,F                        ,                         ,F                         ,                            ,                     ,R                       ,                       ,                         ,                 ,                        ,                   ,                         ,R                        ,                        ,                    ,                          ,R                    ,R                          ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Late Pliocene    ,PL1               ,PL3           ,159, 962,B,  3,H, 4,  50.00,     22.0000,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,R                         ,F                             ,                                  ,                         ,                         ,C                         ,R                           ,R                    ,F                       ,R                      ,R                        ,F                ,R                       ,C                  ,R                        ,R                        ,F                       ,R                   ,F                         ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,Late Pliocene    ,PL1               ,PL3           ,159, 962,B,  3,H,CC,  24.00,     26.5300,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,F                         ,R                             ,R                                 ,F                        ,R                        ,F                         ,T                           ,R                    ,R                       ,R                      ,                         ,                 ,                        ,                   ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,159, 962,B,  4,H,CC,  18.00,     36.3300,Norris   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                     ,                    ,                       ,                       ,                         ,                     ,               ,T                         ,                              ,                                  ,                         ,                         ,                          ,                            ,                     ,                        ,                       ,                         ,                 ,                        ,                   ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,From Leg 159SR Ch 34 Table 8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  8,H,CC,  21.00,     74.4600,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                     ,                    ,                       ,+                      ,                         ,                     ,+              ,                          ,                              ,                                  ,                         ,                         ,                          ,                            ,                     ,                        ,                       ,                         ,                 ,                        ,                   ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,from Leg 160SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B,  9,H,CC,  27.00,     83.1100,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,                      ,                     ,                    ,                       ,+                      ,                         ,                     ,+              ,                          ,                              ,                                  ,                         ,                         ,                          ,                            ,                     ,                        ,                       ,                         ,                 ,                        ,                   ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,from Leg 160SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B, 10,H,CC,  23.00,     83.7300,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                     ,                     ,+                   ,                       ,+                      ,                         ,                     ,               ,                          ,                              ,                                  ,                         ,                         ,                          ,                            ,                     ,                        ,                       ,                         ,                 ,                        ,                   ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,from Leg 160SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,                  ,              ,159, 962,B, 10,H,CC,  40.00,     83.9000,Bellier  ,Planktonic Foraminifers                      ,               ,                  ,+                     ,+                    ,+                   ,+                      ,+                      ,+                        ,+                    ,               ,                          ,                              ,                                  ,                         ,                         ,                          ,                            ,                     ,                        ,                       ,                         ,                 ,                        ,                   ,                         ,                         ,                        ,                    ,                          ,                     ,                           ,                           ,                    ,                      ,                      ,                    ,                        ,                     ,                            ,                              ,                                     ,               ,from Leg 160SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
