Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Quadrum trifidum	Micula prinsii	Micula murus	Micula decussata	Cyclagelosphaera margerelii	Ceratolithoides aculeus	Arkhangelskiella cymbiformis	Prediscosphaera cretacea	Cribrosphaerella ehrenbergii	Quadrum sp.	Quadrum sissinghii	Quadrum gothicum	Cylindralithus sp.	Cretarhabdus crenulatus	Thoracosphaera spp.	Markalius astroporus	Biantholithus sparsus	Micrantholithus spp.	Lithraphidites quadratus	Sphenolithus primus	Fasciculithus tympaniformis	Ellipsolithus macellus	Discoaster nobilis	Discoaster multiradiatus	Discoaster mohleri	Coccolithus pelagicus	Comment
  IR	Early Paleocene  	                 	                  	              	130	 803	D	 68	R	 1	  26.00	    622.0600	Takayama 	Nannofossils                                 	               	                  	+                   	                	              	            	                	                           	                       	                            	                        	                            	           	                  	                	                  	                       	+                  	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Early Paleocene  	                 	                  	              	130	 803	D	 68	R	 1	  30.00	    622.1000	Takayama 	Nannofossils                                 	               	                  	+                   	                	              	+           	                	                           	                       	                            	                        	                            	           	                  	                	                  	                       	+                  	+                   	+                    	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Early Paleocene  	                 	                  	              	130	 803	D	 68	R	 1	  38.00	    622.1800	Takayama 	Nannofossils                                 	               	                  	+                   	                	              	            	+               	                           	                       	                            	                        	                            	           	                  	                	                  	                       	+                  	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Early Paleocene  	                 	                  	              	130	 803	D	 68	R	 1	  47.00	    622.2700	Takayama 	Nannofossils                                 	               	                  	+                   	                	+             	+           	                	+                          	+                      	                            	+                       	                            	           	                  	                	                  	                       	+                  	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	K/T Layer.from 130IR.Chapter 5.Table 4.page 122.

  IR	Cretaceous       	                 	                  	              	130	 803	D	 68	R	 1	  53.00	    622.3300	Takayama 	Nannofossils                                 	               	                  	+                   	                	+             	+           	                	                           	                       	+                           	                        	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  SR	Maestrichtian    	                 	NC23              	              	130	 803	D	 68	R	 1	  54.00	    622.3400	Mao      	Nannofossils                                 	A              	P                 	A                   	F               	R             	C           	C               	                           	                       	F                           	                        	F                           	R          	F                 	F               	F                 	C                      	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130SR.Chapter 6.Table 2.page 91.

  IR	Cretaceous       	                 	                  	              	130	 803	D	 68	R	 1	  59.00	    622.3900	Takayama 	Nannofossils                                 	               	                  	+                   	                	+             	+           	+               	                           	+                      	+                           	+                       	+                           	           	                  	                	                  	                       	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Cretaceous       	                 	                  	              	130	 803	D	 68	R	 1	  60.00	    622.4000	Takayama 	Nannofossils                                 	               	                  	+                   	                	+             	+           	+               	                           	                       	                            	+                       	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Cretaceous       	                 	                  	              	130	 803	D	 68	R	 1	  61.00	    622.4100	Takayama 	Nannofossils                                 	               	                  	+                   	                	+             	+           	+               	                           	                       	+                           	                        	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Cretaceous       	                 	                  	              	130	 803	D	 68	R	 1	  63.00	    622.4300	Takayama 	Nannofossils                                 	               	                  	+                   	                	+             	+           	+               	+                          	+                      	                            	                        	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Cretaceous       	                 	                  	              	130	 803	D	 68	R	 1	  68.00	    622.4800	Takayama 	Nannofossils                                 	               	                  	+                   	                	+             	+           	+               	+                          	                       	                            	                        	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  IR	Cretaceous       	                 	                  	              	130	 803	D	 68	R	 1	  73.00	    622.5300	Takayama 	Nannofossils                                 	               	                  	+                   	                	+             	+           	+               	+                          	+                      	                            	                        	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130IR.Chapter 5.Table 4.page 122.

  SR	Maestrichtian    	                 	NC23              	              	130	 803	D	 68	R	 2	  82.00	    624.1200	Mao      	Nannofossils                                 	C              	P                 	C                   	                	              	            	                	                           	                       	                            	                        	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130SR.Chapter 6.Table 2.page 91.

  SR	Maestrichtian    	                 	NC23              	              	130	 803	D	 68	R	 3	  56.00	    625.3600	Mao      	Nannofossils                                 	R              	P                 	R                   	R               	              	            	                	                           	                       	                            	                        	                            	           	                  	                	                  	                       	                   	                    	                     	                    	                        	                   	                           	                      	                  	                        	                  	                     	from 130SR.Chapter 6.Table 2.page 91.

