Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Bolboforma sp. 2	Bolboforma spiralis	Bolboforma rotunda	Bolboforma irregularis	Bolboforma sp. 1 aff. B. spinosa	Bolboforma reticulata	Bolboforma cyst	Bolboforma spinosa	Bolboforma badenensis	Bolboforma danielsi	Bolboforma compressibadenensis	Bolboforma subfragori	Bolboforma fragori	Bolboforma capsula	Bolboforma laevis	Bolboforma metzmacheri	Bolboforma groenlandica	Bolboforma sp. B	Comment
  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 33	R	 1	  93.00	    590.9300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	R                	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. metzmacheri    	              	152	 918	D	 34	R	 1	 121.00	    600.8100	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	F                	F                     	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. laevis         	              	152	 918	D	 36	R	 1	 130.00	    620.2000	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	A                	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. laevis         	              	152	 918	D	 36	R	 2	  75.00	    621.1500	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	A                	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Miocene     	                 	B. laevis         	              	152	 918	D	 36	R	 2	 123.00	    621.6300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	R                	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. subfragoris    	              	152	 918	D	 37	R	 3	  13.00	    631.7300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	C                    	                   	                              	R                    	F                 	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. subfragoris    	              	152	 918	D	 37	R	 3	  58.00	    632.1800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	R              	                  	F                    	                   	R                             	A                    	R                 	R                 	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. compressispinosa	              	152	 918	D	 37	R	 4	   8.00	    633.1800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	               	                  	                     	                   	C                             	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. badenensis     	              	152	 918	D	 37	R	 5	  20.00	    634.2800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	R              	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. badenensis     	              	152	 918	D	 38	R	 1	  98.00	    639.1800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	F              	                  	A                    	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. danielsi       	              	152	 918	D	 38	R	 2	 114.00	    640.8400	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	F                    	R                  	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 38	R	 3	  60.00	    641.8000	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	                  	A                    	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 38	R	 4	  14.00	    642.8400	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	F              	                  	A                    	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 38	R	 4	  52.00	    643.2200	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	C              	                  	A                    	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 38	R	 5	  13.00	    644.3300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	C                    	C              	                  	C                    	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 39	R	 2	  16.00	    649.5600	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 39	R	 4	  16.00	    652.5600	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 39	R	 4	  95.00	    653.3500	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 39	R	 6	   0.00	    655.4000	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 39	R	 6	  73.00	    656.1300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	               	R                 	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 40	R	 1	  41.00	    657.9100	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	R                 	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 40	R	 3	  34.00	    660.8400	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	                     	               	R                 	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 40	R	 3	 116.00	    661.6600	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	               	F                 	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 40	R	 4	  64.00	    662.6400	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 41	R	 1	  76.00	    667.9600	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	                 	                 	                  	              	152	 918	D	 41	R	 2	  63.00	    669.3300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 41	R	 3	  32.00	    670.5200	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 41	R	 3	 121.00	    671.4100	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 41	R	 4	  34.00	    672.0400	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 41	R	 4	 118.00	    672.8800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	R              	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 41	R	 6	  16.00	    674.8600	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	C                    	R              	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 41	R	 6	  78.00	    675.4800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 42	R	 1	  79.00	    677.5900	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 42	R	 2	 109.00	    679.3900	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 42	R	 3	 132.00	    681.1200	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 42	R	 4	 127.00	    682.5700	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 42	R	 6	  95.00	    685.2500	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	F              	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 43	R	 1	  24.00	    686.6400	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	C              	R                 	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 43	R	 1	 103.00	    687.4300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	R              	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 43	R	 2	  48.00	    688.3800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	R              	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 43	R	 2	 145.00	    689.3500	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 44	R	 1	  96.00	    697.0600	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	A                    	F              	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 44	R	 2	  97.00	    698.5700	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	R                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Middle Miocene   	                 	B. reticulata     	              	152	 918	D	 44	R	 3	  98.00	    700.0800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Early Miocene    	                 	B. reticulata     	              	152	 918	D	 47	R	 2	  95.00	    726.1500	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	                                	F                    	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Early Miocene    	                 	                  	              	152	 918	D	 52	R	 1	  41.00	    773.3100	Spezzaferri	Bolboforms                                   	               	                  	                	R                  	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Early Miocene    	                 	B. sp.1 aff. spinosa	              	152	 918	D	 55	R	 2	  88.00	    804.1800	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	R                               	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Early Miocene    	                 	B. sp.1 aff. spinosa	              	152	 918	D	 55	R	 3	  40.00	    805.2000	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	R                               	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Early Miocene    	                 	B. sp.1 aff. spinosa	              	152	 918	D	 55	R	 3	  66.00	    805.4600	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	F                               	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Early Miocene    	                 	B. sp.1 aff. spinosa	              	152	 918	D	 55	R	 4	  72.00	    807.0200	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	F                               	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Early Miocene    	                 	B. sp.1 aff. spinosa	              	152	 918	D	 55	R	 5	  11.00	    807.6300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	F                               	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Early Miocene    	                 	B. sp.1 aff. spinosa	              	152	 918	D	 55	R	 5	 107.00	    808.5900	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	R                               	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Early Miocene    	                 	B. sp.1 aff. spinosa	              	152	 918	D	 55	R	 6	  31.00	    809.3300	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	                      	R                               	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Oligocene   	                 	B. spinosa        	              	152	 918	D	 58	R	 1	  42.00	    831.1200	Spezzaferri	Bolboforms                                   	               	                  	                	                   	                  	F                     	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Oligocene   	                 	B. spinosa        	              	152	 918	D	 62	R	 1	  87.00	    870.1700	Spezzaferri	Bolboforms                                   	               	                  	                	C                  	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	                 	                 	                  	              	152	 918	D	 62	R	 2	  77.00	    871.3600	Spezzaferri	Bolboforms                                   	               	                  	                	R                  	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Oligocene   	                 	B. spinosa        	              	152	 918	D	 86	R	 1	  28.00	   1098.7800	Spezzaferri	Bolboforms                                   	               	                  	F               	R                  	R                 	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

  SR	Late Oligocene   	                 	B. spinosa        	              	152	 918	D	 86	R	 2	  69.00	   1100.6899	Spezzaferri	Bolboforms                                   	               	                  	R               	                   	                  	                      	                                	                     	               	                  	                     	                   	                              	                     	                  	                  	                 	                      	                       	                	From Leg 152SR; Ch 14; Table 1; p 203

