Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina nepenthes	Sphaeroidinellopsis kochi	Globorotalia plesiotumida	Globorotalia margaritae	Globorotalia cibaoensis	Globigerinoides extremus	Globigerinoides conglobatus	Pulleniatina primalis	Dentoglobigerina altispira	Globorotalia tumida	Pulleniatina (S)	Globorotalia multicamerata	Sphaeroidinellopsis seminulina	Pulleniatina (D)	Globorotalia tosaensis	Globigerinoides fistulosus	Globorotalia crassaformis	Globorotalia truncatulinoides	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globorotalia menardii	Globigerinoides ruber	Candeina nitida	Beella digitata	Globigerinoides ruber (pink)	Globigerinoides sacculifer	Comment
  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1143	B	 12	H	CC	  29.00	    110.2200	forams   	Planktonic Foraminifers                      	A              	VG                	                        	                         	                         	                       	                       	                        	                           	                     	                          	                   	                	R                         	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	       

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1143	B	 13	H	CC	   0.00	    118.6900	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                         	                         	                       	                       	                        	                           	                     	                          	                   	                	R                         	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	2.4~3.09 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1143	B	 14	H	CC	  29.00	    129.0200	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                         	                         	                       	                       	                        	                           	                     	F                         	                   	                	P                         	                              	                	P                     	P                         	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	>3.09 Ma

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	184	1143	B	 15	H	CC	  23.00	    138.3000	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                         	                         	                       	                       	                        	                           	                     	F                         	                   	                	P                         	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	<3.12 Ma

  IR	Late Pliocene    	Late Pliocene    	N20               	N20           	184	1143	B	 16	H	CC	  31.00	    148.1400	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                         	                         	                       	                       	                        	                           	                     	F                         	                   	                	P                         	R                             	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	<3.58 Ma

  IR	Late Pliocene    	Late Pliocene    	N20               	N20           	184	1143	B	 17	H	CC	  10.00	    157.5600	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                         	                         	P                      	                       	                        	                           	                     	F                         	                   	                	                          	R                             	P               	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	<3.95 Ma

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1143	B	 18	H	CC	  65.00	    167.2400	forams   	Planktonic Foraminifers                      	A              	G                 	                        	                         	                         	                       	                       	                        	                           	                     	F                         	                   	R               	                          	R                             	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	<4.2 Ma

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1143	B	 19	H	CC	  20.00	    175.2400	forams   	Planktonic Foraminifers                      	A              	G                 	P                       	P                        	                         	P                      	                       	                        	                           	                     	                          	                   	                	P                         	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	>4.2 Ma

  IR	Early Pliocene   	Early Pliocene   	N19               	N19           	184	1143	B	 20	X	CC	  23.00	    182.2200	forams   	Planktonic Foraminifers                      	A              	G                 	P                       	P                        	                         	P                      	                       	                        	                           	                     	                          	P                  	R               	                          	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	4.2~4.6 Ma

  IR	Late Miocene     	Early Pliocene   	N18               	N19           	184	1143	B	 21	X	CC	  24.00	    190.8000	forams   	Planktonic Foraminifers                      	A              	G                 	P                       	R                        	                         	P                      	P                      	F                       	                           	R                    	                          	P                  	                	                          	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	>4.6 Ma

  IR	Late Miocene     	Early Pliocene   	N18               	N19           	184	1143	B	 22	X	CC	  10.00	    196.3300	forams   	Planktonic Foraminifers                      	A              	G                 	                        	R                        	                         	                       	P                      	                        	                           	R                    	                          	P                  	                	                          	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	       

  IR	Late Miocene     	Early Pliocene   	N18               	N19           	184	1143	B	 23	X	CC	  23.00	    208.0900	forams   	Planktonic Foraminifers                      	A              	G                 	P                       	R                        	                         	                       	P                      	                        	P                          	P                    	                          	P                  	                	                          	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	       

  IR	Late Miocene     	Early Pliocene   	N18               	N19           	184	1143	B	 24	X	CC	  38.00	    214.5000	forams   	Planktonic Foraminifers                      	A              	G                 	P                       	R                        	                         	                       	P                      	F                       	P                          	                     	                          	P                  	                	                          	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	       

  IR	Late Miocene     	Late Miocene     	N17b              	N17b          	184	1143	B	 25	X	CC	  33.00	    227.5800	forams   	Planktonic Foraminifers                      	A              	G                 	P                       	                         	                         	                       	P                      	R                       	P                          	P                    	F                         	                   	                	                          	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	<6.2 Ma

  IR	Late Miocene     	Late Miocene     	N17b              	N17b          	184	1143	B	 26	X	CC	  33.00	    236.0500	forams   	Planktonic Foraminifers                      	A              	G                 	R                       	R                        	                         	                       	P                      	F                       	P                          	P                    	                          	                   	                	                          	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	       

  IR	Late Miocene     	Late Miocene     	N17b              	N17b          	184	1143	B	 27	X	CC	  31.00	    248.6800	forams   	Planktonic Foraminifers                      	A              	G                 	P                       	R                        	                         	P                      	                       	                        	P                          	                     	                          	                   	                	                          	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	       

  IR	Late Miocene     	Late Miocene     	N17b              	N17b          	184	1143	B	 28	X	CC	  26.00	    256.5800	forams   	Planktonic Foraminifers                      	A              	G                 	R                       	R                        	P                        	P                      	P                      	F                       	P                          	                     	                          	                   	                	                          	                              	                	                      	                          	                         	                             	                         	                            	                          	                     	                     	               	               	                            	                          	<6.2 Ma

