Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Orbulina suturalis,Neogloboquadrina praehumerosa,Neogloboquadrina incompta (sinsitral),Neogloboquadrina incompta (dextral),Neogloboquadrina acostaensis (sinistral),Neogloboquadrina acostaensis (dextral),Globorotaloides spp.,Globorotalia scitula (sinistral),Globorotalia scitula (dextral),Globorotalia menardii group,Globoquadrina spp.,Globigerinoides trilobus s.l.,Globigerinoides obliquus obliquus,Globigerinoides bulloideus,Globigerinita uvula,Globigerinita glutinata,Globigerinids sp.,Globigerinella pseudobesa,Globigerinella praecalida,Globigerina quinqueloba,Globigerina nepenthes,Globigerina multiloba,Globigerina foliata,Globigerina falconensis,Globigerina decoraperta,Globigerina cf. woodi,Globigerina bulloides,Beella praedigitata,Neogloboquadrina pachyderma,Hastigerina siphonifera,Globigerinoides obliquus extremus,Globigerinella obesa,Globigerina apertura,Orbulina bilobata,Globigerinoides ruber,Globigerinoides trilobus,Sphaeroidinellopsis seminulina,Globigerinoides quadrilobatus,Turborotalita sp.,Globigerinoides conglobatus,Globigerinoides sacculifer,Globorotalia margaritae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 4, 130.00,    190.3000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,C                ,F                 ,                             ,                                     ,F                                  ,                                        ,C8.4%                                 ,R                   ,                                ,F1.0%                         ,                           ,                  ,                             ,A                                ,                          ,                   ,A                      ,C                ,F                        ,                         ,                       ,F1.3%                ,                     ,R                  ,F                      ,C                      ,                     ,C                    ,F                  ,                           ,R                      ,R                                ,F                   ,R                   ,F                ,R                    ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 5,  53.00,    191.0300,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,C                ,F                 ,R                            ,                                     ,F                                  ,R.3%                                    ,A15.3%                                ,R                   ,                                ,C5.8%                         ,                           ,                  ,                             ,F                                ,                          ,                   ,A                      ,F                ,F                        ,R                        ,F                      ,F3.0%                ,                     ,F                  ,F                      ,A                      ,                     ,C                    ,R                  ,F                          ,R                      ,                                 ,F                   ,R                   ,                 ,                     ,                        ,F1.0%                         ,                             ,                 ,                           ,                          ,R.3%                   ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 6,  99.00,    192.9900,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,R                            ,                                     ,F                                  ,                                        ,C11.4%                                ,                    ,                                ,R.3%                          ,                           ,R                 ,C                            ,C                                ,                          ,                   ,A                      ,F                ,F                        ,                         ,R                      ,R1.0%                ,                     ,R                  ,R                      ,A                      ,                     ,F                    ,F                  ,F                          ,R                      ,                                 ,R                   ,                    ,                 ,                     ,                        ,F1.3%                         ,R                            ,                 ,                           ,R                         ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 6, 103.00,    193.0300,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,                                     ,C                                  ,R.3%                                    ,C14.7%                                ,                    ,                                ,R1.0%                         ,                           ,                  ,C                            ,C                                ,                          ,                   ,A                      ,F                ,F                        ,                         ,F                      ,F1.6%                ,                     ,R                  ,F                      ,C                      ,                     ,C                    ,R                  ,R                          ,F                      ,R                                ,                    ,                    ,                 ,                     ,R                       ,                              ,F                            ,                 ,                           ,F                         ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 6, 122.00,    193.2200,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,                                     ,F                                  ,R.3%                                    ,C13.2%                                ,R                   ,                                ,F4.6%                         ,                           ,                  ,R                            ,C                                ,R                         ,                   ,A                      ,F                ,F                        ,                         ,F                      ,F3.0%                ,                     ,F                  ,F                      ,C                      ,R                    ,C                    ,F                  ,R                          ,F                      ,                                 ,R                   ,R                   ,                 ,                     ,                        ,R.8%                          ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 6, 140.00,    193.4000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,R                 ,R                            ,R                                    ,F                                  ,R.6%                                    ,C13.6%                                ,F                   ,                                ,C5.7%                         ,                           ,                  ,                             ,C                                ,                          ,                   ,A                      ,F                ,R                        ,                         ,F                      ,C9.6%                ,                     ,F                  ,C                      ,A                      ,R                    ,F                    ,F                  ,                           ,F                      ,                                 ,F                   ,                    ,                 ,                     ,                        ,R.6%                          ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 7,  17.00,    193.6700,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,R                            ,                                     ,F                                  ,                                        ,C12.1%                                ,R                   ,                                ,C6.8%                         ,                           ,                  ,                             ,C                                ,R                         ,                   ,A                      ,F                ,F                        ,                         ,F                      ,C5.1%                ,                     ,                   ,F                      ,C                      ,                     ,C                    ,C                  ,R                          ,F                      ,                                 ,F                   ,R                   ,                 ,                     ,R                       ,F1.1%                         ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X, 7,  35.00,    193.8500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,R                 ,                             ,                                     ,F                                  ,                                        ,C10.1%                                ,R                   ,                                ,F3.6%                         ,                           ,                  ,                             ,C                                ,                          ,R                  ,A                      ,F                ,F                        ,                         ,F                      ,F2.4%                ,                     ,F                  ,C                      ,C                      ,R                    ,C                    ,F                  ,R                          ,F                      ,R                                ,R                   ,R                   ,                 ,                     ,R                       ,F1.2%                         ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 21,X,CC,  30.00,    194.3400,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,C                ,F                 ,R                            ,                                     ,R                                  ,1.3%                                    ,C11.0%                                ,R                   ,R.3%                            ,F2.9%                         ,                           ,                  ,F                            ,C                                ,                          ,R                  ,C                      ,C                ,F                        ,                         ,R                      ,F2.6%                ,                     ,R                  ,F                      ,C                      ,                     ,C                    ,F                  ,                           ,                       ,R                                ,R                   ,R                   ,R                ,R                    ,                        ,F                             ,C                            ,                 ,                           ,F                         ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 1,  20.00,    194.3000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,F                            ,                                     ,C                                  ,R.3%                                    ,C8.2%                                 ,F                   ,                                ,C6.6%                         ,                           ,                  ,                             ,                                 ,                          ,                   ,C                      ,C                ,F                        ,                         ,F                      ,C5.7%                ,                     ,F                  ,C                      ,C                      ,R                    ,A                    ,R                  ,R                          ,F                      ,R                                ,R                   ,R                   ,                 ,                     ,                        ,R.9%                          ,                             ,R                ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 1,  37.00,    194.4700,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,R                            ,                                     ,F                                  ,R.3%                                    ,C9.2%                                 ,F                   ,                                ,F2.9%                         ,                           ,                  ,                             ,F                                ,                          ,R                  ,C                      ,F                ,F                        ,                         ,F                      ,F2.3%                ,                     ,F                  ,C                      ,C                      ,                     ,A                    ,R                  ,                           ,R                      ,                                 ,R                   ,                    ,                 ,                     ,R                       ,F2.3%                         ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 1,  57.00,    194.6700,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,                  ,                             ,                                     ,F                                  ,R.6%                                    ,A15.6%                                ,R                   ,                                ,C6.6%                         ,                           ,R                 ,                             ,F                                ,                          ,R                  ,C                      ,C                ,F                        ,                         ,F                      ,R.9%                 ,                     ,C                  ,C                      ,C                      ,                     ,C                    ,R                  ,R                          ,R                      ,                                 ,F                   ,                    ,R                ,                     ,R                       ,F2.5%                         ,                             ,F                ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 1,  80.00,    194.9000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R                ,                  ,                             ,R                                    ,F                                  ,                                        ,A15.2%                                ,F                   ,                                ,C8.3%                         ,                           ,                  ,                             ,C                                ,                          ,                   ,C                      ,F                ,R                        ,                         ,R                      ,F2.3%                ,                     ,C                  ,C                      ,C                      ,                     ,C                    ,F                  ,R                          ,R                      ,                                 ,                    ,F                   ,                 ,                     ,                        ,R.7%                          ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 1, 100.00,    195.1000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R                ,                  ,                             ,R                                    ,F                                  ,                                        ,C12.2%                                ,F                   ,                                ,C5.5%                         ,                           ,                  ,                             ,C                                ,                          ,                   ,C                      ,C                ,F                        ,                         ,F                      ,F2.6%                ,                     ,R                  ,C                      ,C                      ,R                    ,A                    ,R                  ,R                          ,F                      ,R                                ,R                   ,R                   ,                 ,                     ,                        ,R1.0%                         ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 1, 120.00,    195.3000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,                                     ,F                                  ,                                        ,C12.5%                                ,F                   ,                                ,F5.0%                         ,                           ,R                 ,R                            ,C                                ,                          ,                   ,C                      ,F                ,F                        ,                         ,F                      ,C5.6%                ,                     ,F                  ,C                      ,C                      ,                     ,A                    ,F                  ,R                          ,F                      ,                                 ,R                   ,F                   ,                 ,                     ,                        ,R.6%                          ,R                            ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 1, 140.00,    195.5000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R                ,F                 ,R                            ,                                     ,F                                  ,R.7%                                    ,C8.7%                                 ,F                   ,                                ,F2.8%                         ,                           ,                  ,F                            ,C                                ,                          ,                   ,C                      ,F                ,F                        ,R                        ,R                      ,C9.1%                ,                     ,F                  ,C                      ,A                      ,                     ,C                    ,                   ,F                          ,                       ,R                                ,F                   ,R                   ,                 ,                     ,                        ,R.3%                          ,R                            ,                 ,R                          ,F                         ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 2,  10.00,    195.7000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,R                ,F                 ,R                            ,                                     ,C                                  ,R.3%                                    ,C14.4%                                ,R                   ,                                ,R.7%                          ,                           ,                  ,R                            ,C                                ,                          ,                   ,C                      ,F                ,F                        ,                         ,F                      ,C9.2%                ,                     ,F                  ,C                      ,C                      ,                     ,C                    ,                   ,R                          ,R                      ,                                 ,                    ,R                   ,                 ,                     ,                        ,F1.6%                         ,                             ,                 ,R                          ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 2,  34.00,    195.9400,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,R                                    ,C                                  ,R.7%                                    ,A15.7%                                ,F                   ,                                ,F1.7%                         ,                           ,                  ,R                            ,C                                ,                          ,                   ,C                      ,C                ,F                        ,                         ,F                      ,F4.7%                ,                     ,F                  ,C                      ,C                      ,                     ,C                    ,F                  ,                           ,R                      ,R                                ,F                   ,R                   ,                 ,                     ,                        ,F1.5%                         ,R                            ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 2,  56.00,    196.1600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,C                ,F                 ,R                            ,                                     ,F                                  ,R.3%                                    ,C9.1%                                 ,F                   ,                                ,                              ,                           ,                  ,R                            ,C                                ,                          ,R                  ,C                      ,C                ,F                        ,R                        ,F                      ,C5.8%                ,                     ,F                  ,C                      ,C                      ,                     ,C                    ,F                  ,R                          ,R                      ,                                 ,                    ,R                   ,                 ,                     ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 2,  77.00,    196.3700,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,R                                    ,F                                  ,F1.4%                                   ,A17.4%                                ,F                   ,                                ,F3.6%                         ,                           ,                  ,                             ,F                                ,R                         ,                   ,C                      ,C                ,F                        ,                         ,F                      ,F3.6%                ,                     ,F                  ,C                      ,C                      ,                     ,C                    ,                   ,R                          ,F                      ,                                 ,R                   ,                    ,                 ,                     ,R                       ,F1.9%                         ,R                            ,R                ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 2,  98.00,    196.5800,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,R                                    ,F                                  ,R.8%                                    ,C11.6%                                ,F                   ,                                ,F3.9%                         ,                           ,                  ,                             ,C                                ,R                         ,                   ,A                      ,F                ,F                        ,                         ,F                      ,F3.9%                ,                     ,                   ,C                      ,C                      ,R                    ,C                    ,F                  ,R                          ,                       ,                                 ,R                   ,                    ,                 ,                     ,                        ,                              ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 2, 115.00,    196.7500,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,R                                    ,C                                  ,R1.0%                                   ,C11.1%                                ,R                   ,                                ,C5.3%                         ,                           ,                  ,                             ,C                                ,                          ,R                  ,A                      ,F                ,F                        ,R                        ,R                      ,C11.1%               ,                     ,F                  ,F                      ,C                      ,                     ,C                    ,R                  ,R                          ,R                      ,                                 ,                    ,R                   ,R                ,                     ,R                       ,F1.3%                         ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 2, 136.00,    196.9600,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,R                                    ,C                                  ,                                        ,C9.8%                                 ,R                   ,                                ,F4.4%                         ,                           ,                  ,                             ,C                                ,                          ,                   ,A                      ,F                ,F                        ,                         ,F                      ,C10.0%               ,                     ,F                  ,C                      ,C                      ,                     ,C                    ,R                  ,R                          ,R                      ,R                                ,R                   ,R                   ,                 ,                     ,R                       ,R.9%                          ,                             ,R                ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 3,  10.00,    197.2000,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,F                                    ,R                                  ,C8.8%                                   ,F2.0%                                 ,                    ,                                ,F3.4%                         ,                           ,                  ,R                            ,C                                ,                          ,                   ,C                      ,F                ,R                        ,R                        ,F                      ,C10.5%               ,                     ,F                  ,C                      ,A                      ,                     ,C                    ,                   ,R                          ,                       ,                                 ,                    ,                    ,R                ,                     ,                        ,F1.1%                         ,R                            ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 3,  28.00,    197.3800,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,C                ,F                 ,                             ,F                                    ,R                                  ,C13.7%                                  ,R.6%                                  ,F                   ,                                ,                              ,                           ,                  ,R                            ,C                                ,                          ,R                  ,F                      ,F                ,F                        ,                         ,R                      ,F1.6%                ,                     ,                   ,A                      ,C                      ,                     ,A                    ,F                  ,                           ,R                      ,F                                ,                    ,F                   ,F                ,                     ,                        ,F1.2%                         ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 3,  42.00,    197.5200,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,                             ,C                                    ,F                                  ,C9.9%                                   ,                                      ,R                   ,                                ,                              ,                           ,                  ,                             ,F                                ,F                         ,R                  ,C                      ,F                ,R                        ,                         ,F                      ,C6.3%                ,                     ,F                  ,C                      ,C                      ,                     ,C                    ,F                  ,                           ,                       ,                                 ,R                   ,R                   ,                 ,                     ,                        ,F2.1%                         ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 3,  62.00,    197.7200,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,R                 ,R                            ,F                                    ,R                                  ,C8.8%                                   ,F1.9%                                 ,R                   ,                                ,                              ,                           ,                  ,                             ,F                                ,                          ,                   ,C                      ,F                ,F                        ,                         ,F                      ,C8.5%                ,                     ,R                  ,C                      ,A                      ,R                    ,C                    ,                   ,R                          ,                       ,                                 ,                    ,R                   ,                 ,                     ,                        ,R.6%                          ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 3,  81.00,    197.9100,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,R                            ,C                                    ,                                   ,C10.9%                                  ,F1.9%                                 ,R                   ,                                ,                              ,                           ,                  ,                             ,F                                ,                          ,                   ,C                      ,F                ,F                        ,R                        ,R                      ,F3.5%                ,                     ,F                  ,C                      ,A                      ,                     ,C                    ,                   ,                           ,R                      ,                                 ,                    ,                    ,                 ,                     ,R                       ,R1.0%                         ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,161, 974,B, 22,X, 3, 102.00,    198.1200,Iaccarino,Planktonic Foraminifers                      ,               ,                  ,F                ,F                 ,R                            ,R                                    ,C                                  ,R.5%                                    ,C11.2%                                ,R                   ,                                ,R.7%                          ,                           ,R                 ,                             ,C                                ,F                         ,R                  ,C                      ,F                ,F                        ,                         ,F                      ,F4.1%                ,                     ,R                  ,C                      ,C                      ,                     ,C                    ,                   ,                           ,R                      ,R                                ,R                   ,F                   ,R                ,                     ,                        ,R.2%                          ,                             ,                 ,                           ,                          ,                       ,from 161SR.Ch. 15. Table 2 and Appendix A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
