Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina velascoensis	Pseudohastigerina wilcoxensis	Parasubbotina varianta	Parasubbotina paleocenica	Morozovella subbotinae	Morozovella allisonensis	Morozovella aequa	Morozovella acuta	Globanomalina pseudoimitata	Globanomalina planoconica	Globanomalina ovalis	Chiloguembelina wilcoxensis	Acarinina soldadoensis	Acarinina sibaiyaensis	Acarinina nitida	Acarinina coalingensis	Acarinina africana	Subbotina patagonica	Morozovella velascoensis	Morozovella marginodentata	Morozovella apanthesma	Morozovella gracilis	Acarinina wilcoxensis	Igorina broedermanni	Acarinina berggreni	Subbotina triangularis	Acarinina quetra	Comment
  IR	                 	                 	                  	              	199	1220	B	 20	X	 1	  59.00	    197.9900	planks   	Planktonic Foraminifers                      	R              	P                 	                      	                             	                      	                         	R                     	                        	                 	                 	                           	                         	P                   	                           	F                     	                      	R               	F                     	                  	P                   	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	   0.00	    198.9000	planks   	Planktonic Foraminifers                      	A              	G                 	                      	                             	                      	                         	F                     	                        	A                	R                	R                          	                         	                    	                           	A                     	                      	F               	F                     	                  	F                   	                        	R                         	                      	F                   	R                    	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	   6.00	    198.9600	planks   	Planktonic Foraminifers                      	F              	M                 	                      	                             	                      	                         	P                     	                        	R                	                 	P                          	                         	                    	                           	F                     	                      	                	F                     	                  	P                   	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  13.00	    199.0300	planks   	Planktonic Foraminifers                      	F              	M                 	P                     	                             	                      	R                        	R                     	                        	A                	                 	P                          	P                        	P                   	                           	A                     	                      	F               	A                     	                  	R                   	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  13.00	    199.0300	planks   	Planktonic Foraminifers                      	F              	M                 	                      	                             	                      	                         	F                     	                        	                 	                 	                           	P                        	                    	                           	A                     	                      	                	A                     	R                 	F                   	R                       	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  21.00	    199.1100	planks   	Planktonic Foraminifers                      	A              	M                 	                      	R                            	F                     	R                        	                      	R                       	A                	A                	                           	F                        	F                   	F                          	A                     	R                     	                	A                     	F                 	A                   	R                       	+                         	R                     	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  28.00	    199.1800	planks   	Planktonic Foraminifers                      	C              	M                 	                      	P                            	                      	R                        	                      	R                       	F                	R                	                           	R                        	F                   	P                          	A                     	R                     	                	A                     	F                 	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  35.00	    199.2500	planks   	Planktonic Foraminifers                      	F              	M                 	                      	                             	R                     	                         	A                     	                        	F                	R                	                           	                         	F                   	                           	A                     	F                     	                	A                     	F                 	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  50.00	    199.4000	planks   	Planktonic Foraminifers                      	R              	M                 	                      	P                            	                      	                         	P                     	                        	                 	                 	                           	                         	                    	                           	P                     	                      	                	                      	                  	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  57.00	    199.4700	planks   	Planktonic Foraminifers                      	R              	M                 	                      	                             	                      	                         	                      	P                       	                 	P                	                           	                         	P                   	                           	                      	P                     	                	P                     	                  	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  65.50	    199.5550	planks   	Planktonic Foraminifers                      	F              	P                 	                      	                             	                      	                         	F                     	                        	P                	                 	                           	                         	                    	A                          	A                     	                      	                	F                     	                  	F                   	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  68.00	    199.5800	planks   	Planktonic Foraminifers                      	R              	P                 	                      	                             	                      	                         	                      	                        	R                	P                	                           	                         	                    	                           	                      	                      	                	P                     	                  	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	 2	  74.00	    199.6400	planks   	Planktonic Foraminifers                      	R              	P                 	                      	                             	                      	                         	P                     	                        	                 	                 	                           	P                        	                    	                           	P                     	                      	                	                      	                  	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

  IR	                 	                 	                  	              	199	1220	B	 20	X	CC	   8.00	    199.9300	planks   	Planktonic Foraminifers                      	A              	M                 	R                     	R                            	R                     	R                        	A                     	R                       	A                	F                	P                          	F                        	F                   	R                          	A                     	R                     	F               	A                     	A                 	                    	                        	                          	                      	                    	                     	                    	                   	                      	                	       

