Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Globorotalia truncatulinoides,Globorotalia menardii,Globorotalia inflata,Globigerinoides ruber,Neogloboquadrina dutertrei,Globorotalia crassaformis,Globorotalia tumida,Globigerinoides ruber (pink),Sphaeroidinella dehiscens,Comment
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A,  9,H,CC,  27.00,     83.4600,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                     ,F                   ,A                    ,F                         ,R                        ,                   ,                            ,P                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 10,H,CC,  20.00,     92.5000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,R                            ,                     ,F                   ,A                    ,F                         ,                         ,                   ,                            ,P                        ,<0.12 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 11,H,CC,   9.00,    102.2600,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,                             ,                     ,F                   ,A                    ,F                         ,R                        ,                   ,R                           ,P                        ,>0.12 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 12,H,CC,  26.00,    111.6400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                     ,F                   ,A                    ,F                         ,                         ,                   ,R                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 13,H,CC,  14.00,    121.1600,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,                             ,                     ,F                   ,A                    ,F                         ,F                        ,                   ,R                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 14,H,CC,  33.00,    130.9300,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,                             ,                     ,A                   ,F                    ,A                         ,P                        ,                   ,F                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 15,H,CC,  29.00,    140.6200,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                            ,R                            ,F                    ,F                   ,                     ,A                         ,                         ,                   ,R                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 16,H,CC,  44.00,    150.0900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,P                            ,F                    ,                    ,F                    ,A                         ,                         ,                   ,P                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 17,H,CC,  20.00,    159.4000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                            ,                             ,F                    ,                    ,A                    ,A                         ,R                        ,                   ,R                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 18,H,CC,  11.00,    168.8900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,R                            ,F                    ,F                   ,F                    ,A                         ,                         ,                   ,R                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 19,H,CC,   0.00,    177.9800,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                     ,F                   ,                     ,A                         ,                         ,                   ,F                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 20,H,CC,   0.00,    187.1400,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,R                    ,R                   ,A                    ,A                         ,                         ,                   ,R                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 21,H,CC,  22.00,    197.4100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,R                            ,F                    ,                    ,                     ,                          ,R                        ,                   ,R                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 22,H,CC,   0.00,    206.4900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                     ,A                   ,A                    ,                          ,P                        ,                   ,F                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 23,H,CC,  16.00,    216.3700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                     ,A                   ,A                    ,A                         ,P                        ,                   ,R                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 24,H,CC,  17.00,    225.2500,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,                             ,R                    ,                    ,A                    ,A                         ,                         ,                   ,P                           ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 25,H,CC,  22.00,    235.3700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                            ,                             ,                     ,F                   ,F                    ,F                         ,R                        ,                   ,                            ,                         ,>0.40 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 26,X,CC,  28.00,    242.4900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,R                           ,R                            ,                     ,A                   ,A                    ,F                         ,                         ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 27,X,CC,  37.00,    250.7700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,R                           ,P                            ,                     ,A                   ,A                    ,A                         ,                         ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 28,X,CC,  39.00,    260.3900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,R                           ,                             ,                     ,F                   ,A                    ,F                         ,                         ,R                  ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 29,X,CC,  35.00,    270.2700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,P                            ,F                    ,F                   ,R                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 30,X,CC,  31.00,    279.7900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                     ,A                   ,R                    ,F                         ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 31,X,CC,  21.00,    289.3100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,P                            ,                     ,F                   ,R                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 32,X,CC,  37.00,    299.1700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,                             ,                     ,A                   ,F                    ,A                         ,                         ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 33,X,CC,  40.00,    308.8800,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,                             ,                     ,A                   ,R                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 34,X,CC,  32.00,    318.4600,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                            ,R                            ,                     ,                    ,                     ,                          ,P                        ,                   ,                            ,                         ,<0.62 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 35,X,CC,  23.00,    327.9500,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,                             ,R                    ,F                   ,                     ,A                         ,P                        ,                   ,                            ,                         ,>0.62 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 36,X,CC,  22.00,    337.5200,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,P                            ,                     ,A                   ,R                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 37,X,CC,  27.00,    347.2200,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,F                    ,A                   ,A                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 38,X,CC,  31.00,    356.8700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,R                           ,                             ,F                    ,A                   ,A                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 39,X,CC,  30.00,    366.5200,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                     ,F                   ,A                    ,                          ,                         ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 40,X,CC,  30.00,    376.1900,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,                             ,F                    ,                    ,F                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 41,X,CC,  33.00,    385.8700,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,F                    ,                    ,F                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 42,X,CC,  31.00,    395.4100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,R                            ,F                    ,                    ,F                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 43,X,CC,  36.00,    405.0200,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,R                            ,                     ,                    ,F                    ,                          ,                         ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 44,X,CC,  26.00,    414.5100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,R                            ,R                    ,F                   ,F                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 45,X,CC,  32.00,    424.2800,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,A                           ,R                            ,F                    ,                    ,A                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 46,X,CC,  42.00,    433.8000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,R                            ,R                    ,R                   ,F                    ,                          ,P                        ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 47,X,CC,  23.00,    443.3500,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,                     ,                    ,A                    ,A                         ,                         ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,184,1144,A, 48,X,CC,  31.00,    453.0200,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,F                           ,P                            ,F                    ,F                   ,A                    ,                          ,                         ,                   ,                            ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,
