Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tritaxia rugolosa,Tritaxia globulifera,Tritaxa spp.,Pseudoclavulina rugolosa,Pseudoclavulina globulifera,Oridorsalis umbonatus,Nuttallides truempyi,Lenticulina spp.,Dentalina spp.,Aragonia velascoensis,Aragonia ouezzanensis,Spiroplectammina spectabilis,Spiroplectammina jarvisi,Osangularia velascoensis,Osangularia plummerae,Gyroidinoides spp.,Gyroidinoides globosa,Gavelinella beccariiformis,Gaudryina pyramidata,Buliminella grata,Bulimina velascoensis,Stilostomella subspinosa,Stilostomella spp.,Quadratobuliminella pyramidalis,Nodosaria spp.,Conorbinoides hillebrandti,Bulimina trinitatensis,Neoflabellina semireticulata,Marssonella trochoides,Bulimina midwayensis,Quadrimorphina profunda,Pleurostomella spp.,Oridorsalis tener,Clinapertina complanata,Bulimina semicostata,Bulimina jarvisi,Bulimina impendens,Stilostomella gracillima,Stilostomella abyssorum,Pyrgo murrhina,Pullenia quinqueloba,Pullenia bulloides,Martinottiella sp.,Karreriella bradyi,Gaudryina spp.,Anomalinoides globulosus,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Uvigerina hispidocostata,Quadrimorphina spp.,Chrysalogonium longicostatum,Uvigerina spinicostata,Uvigerina hispida,Pyrgo lucernula,Gyroidinoides girardanus,Eggerella bradyi,Uvigerina peregrina,Sphaeroidina bulloides,Cibicidoides subspiratus,Cibicidoides robertsonianus,Cibicidoides incrassatus,Cibicidoides bradyi,Bulimina striata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A,  7,H,CC,  22.00,     57.3600,benthics ,Benthic Foraminifers                         ,A              ,G                 ,                 ,                    ,            ,                        ,                           ,                     ,                    ,                ,R             ,                     ,                     ,                            ,                        ,                        ,                     ,                  ,                     ,                          ,                    ,                 ,                     ,C                       ,+                 ,                               ,              ,                          ,                      ,                            ,                      ,                    ,                       ,R                  ,R                ,                       ,                    ,                ,                  ,F                       ,A                      ,F             ,R                   ,R                 ,F                 ,F                 ,R             ,R                       ,                          ,                     ,                        ,                   ,                            ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A,  8,H,CC,  11.00,     66.4900,benthics ,Benthic Foraminifers                         ,R              ,M                 ,                 ,                    ,            ,                        ,                           ,                     ,R                   ,                ,R             ,                     ,                     ,                            ,                        ,                        ,                     ,                  ,                     ,                          ,                    ,R                ,                     ,                        ,                  ,                               ,              ,                          ,                      ,                            ,                      ,                    ,                       ,                   ,T                ,T                      ,+                   ,A               ,T                 ,                        ,                       ,              ,                    ,                  ,                  ,                  ,              ,                        ,                          ,                     ,                        ,                   ,                            ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A,  9,H,CC,   6.00,     75.7800,benthics ,Benthic Foraminifers                         ,T              ,M                 ,                 ,                    ,            ,                        ,                           ,R                    ,A                   ,T               ,T             ,T                    ,                     ,                            ,                        ,                        ,                     ,                  ,                     ,                          ,                    ,                 ,                     ,                        ,                  ,                               ,R             ,                          ,T                     ,T                           ,                      ,                    ,R                      ,T                  ,+                ,+                      ,                    ,                ,                  ,                        ,                       ,              ,                    ,                  ,                  ,                  ,              ,                        ,                          ,                     ,                        ,                   ,                            ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,very rare and small-size test
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A, 10,H,CC,  11.00,     85.8800,benthics ,Benthic Foraminifers                         ,C              ,G                 ,                 ,                    ,C           ,                        ,                           ,C                    ,F                   ,R               ,R             ,                     ,T                    ,                            ,T                       ,                        ,                     ,R                 ,                     ,                          ,                    ,                 ,                     ,                        ,R                 ,R                              ,R             ,R                         ,                      ,T                           ,R                     ,T                   ,                       ,                   ,                 ,                       ,                    ,                ,                  ,                        ,                       ,              ,                    ,                  ,                  ,                  ,              ,                        ,                          ,                     ,                        ,                   ,                            ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A, 11,H,CC,  15.00,     92.2000,benthics ,Benthic Foraminifers                         ,F              ,G                 ,C                ,                    ,F           ,+                       ,                           ,F                    ,R                   ,T               ,R             ,                     ,T                    ,                            ,R                       ,                        ,                     ,                  ,R                    ,                          ,                    ,                 ,                     ,T                       ,R                 ,T                              ,R             ,R                         ,R                     ,                            ,                      ,                    ,                       ,                   ,                 ,                       ,                    ,                ,                  ,                        ,                       ,              ,                    ,                  ,                  ,                  ,              ,                        ,                          ,                     ,                        ,                   ,                            ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A, 12,H, 5,  20.00,     96.1000,benthics ,Benthic Foraminifers                         ,A              ,G                 ,                 ,R                   ,C           ,                        ,                           ,C                    ,F                   ,T               ,R             ,C                    ,T                    ,T                           ,R                       ,R                       ,                     ,R                 ,R                    ,T                         ,R                   ,R                ,                     ,                        ,                  ,                               ,              ,                          ,                      ,                            ,                      ,                    ,                       ,                   ,                 ,                       ,                    ,                ,                  ,                        ,                       ,              ,                    ,                  ,                  ,                  ,              ,                        ,                          ,                     ,                        ,                   ,                            ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A, 12,H,CC,  14.00,     99.7900,benthics ,Benthic Foraminifers                         ,A              ,M                 ,                 ,T                   ,F           ,                        ,+                          ,C                    ,F                   ,                ,T             ,C                    ,T                    ,T                           ,F                       ,+                       ,R                    ,R                 ,R                    ,T                         ,R                   ,T                ,R                    ,                        ,                  ,                               ,              ,                          ,                      ,                            ,                      ,                    ,                       ,                   ,                 ,                       ,                    ,                ,                  ,                        ,                       ,              ,                    ,                  ,                  ,                  ,              ,                        ,                          ,                     ,                        ,                   ,                            ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,198,1212,A, 13,H,CC,   0.00,    106.3300,benthics ,Benthic Foraminifers                         ,F              ,G                 ,R                ,R                   ,R           ,+                       ,+                          ,F                    ,R                   ,T               ,T             ,T                    ,T                    ,                            ,                        ,                        ,                     ,                  ,                     ,                          ,                    ,                 ,                     ,                        ,                  ,                               ,              ,                          ,                      ,                            ,                      ,                    ,                       ,                   ,                 ,                       ,                    ,                ,                  ,                        ,                       ,              ,                    ,                  ,                  ,                  ,              ,                        ,                          ,                     ,                        ,                   ,                            ,                      ,                 ,               ,                        ,                ,                   ,                      ,                        ,                           ,                        ,                   ,                ,contaminated with Neogene fauna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
