Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongaster tetras,Spongaster (unspecified taxon or taxa),Theocorythium trachelium dianae,Stylochlamidium asteriscus,Eucyrtidium (unspecified taxon or taxa),Didymocyrtis tetrathalamus,Carpocanistrum (unspecified taxon or taxa),Amphirhopalum ypsilon,Spongocore puella,Spongaster tetras tetras,Lamprocyclas maritalis maritalis,Tetrapyle octacantha,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 15,H,CC,  17.00,    138.3500,Aitchison,Radiolarians                                 ,R              ,P                 ,                 ,R                                     ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 16,H,CC,   6.00,    148.5200,Aitchison,Radiolarians                                 ,R              ,P                 ,                 ,                                      ,R                              ,F                         ,R                                      ,                          ,                                          ,                     ,                 ,                        ,R                               ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 17,H,CC,  11.00,    157.4800,Aitchison,Radiolarians                                 ,R              ,P                 ,                 ,R                                     ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 19,H,CC,  11.00,    177.7400,Aitchison,Radiolarians                                 ,R              ,P                 ,                 ,R                                     ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 21,H,CC,   5.00,    188.9500,Aitchison,Radiolarians                                 ,R              ,P                 ,                 ,R                                     ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 22,H,CC,  14.00,    206.3000,Aitchison,Radiolarians                                 ,F              ,M                 ,                 ,                                      ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,R                       ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 31,X,CC,   0.00,    274.9000,Aitchison,Radiolarians                                 ,F              ,M                 ,                 ,                                      ,                               ,F                         ,                                       ,                          ,                                          ,R                    ,R                ,                        ,R                               ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 32,X,CC,   0.00,    284.6000,Aitchison,Radiolarians                                 ,C              ,M                 ,                 ,                                      ,                               ,R                         ,R                                      ,                          ,                                          ,R                    ,R                ,R                       ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 35,X,CC,   0.00,    313.6000,Aitchison,Radiolarians                                 ,F              ,M                 ,                 ,                                      ,                               ,R                         ,R                                      ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 38,X,CC,   0.00,    342.6000,Aitchison,Radiolarians                                 ,C              ,M                 ,                 ,                                      ,R                              ,R                         ,R                                      ,R                         ,R                                         ,R                    ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 40,X,CC,  30.00,    362.5000,Aitchison,Radiolarians                                 ,R              ,P                 ,                 ,R                                     ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 41,X,CC,   4.00,    371.7400,Aitchison,Radiolarians                                 ,R              ,M                 ,                 ,R                                     ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 791,A, 46,X,CC,  24.00,    419.0400,Aitchison,Radiolarians                                 ,R              ,P                 ,R                ,                                      ,                               ,                          ,                                       ,                          ,                                          ,                     ,                 ,                        ,                                ,                    ,from ODP Leg 126 SR Chapter 21 Table 5 p 325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
