Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cytheropteron hamatum	Krithe sp. (juvenile)	Cytheropteron alatum	Cytheropteron arcuatum	Krithe cf. bartonensis	Cytheropteron crassipinatum	Cytheropteron sp. (juvenile)	Cytheropteron cf. sedovi	Argilloecia conoidea	Cytheropteron cf. testudo	Eucytheridea sp. (juvenile)	Rabilimis mirabilis	Elofsonella concinna	Cytheropteron inflatum	Cytheromorpha fuscata	Cytheropteron latissimum	Krithe glacialis	Roundstonia globulifera	Comment
  SR	                 	                 	                  	              	104	 644	A	  2	H	 1	  20.00	      9.4000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  2	H	 3	 102.00	     13.2200	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	+                          	                   	                    	                      	                     	                        	                	                       	Total specimens = 2; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  2	H	 4	  60.00	     14.3000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  2	H	 5	  60.00	     15.8000	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	                      	                      	+                          	                            	                        	+                   	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 2; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  3	H	 2	  40.00	     18.1000	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	                      	                      	                           	                            	                        	                    	+                        	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 2; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  3	H	 3	  60.00	     19.8000	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	                      	                      	                           	                            	                        	+                   	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  4	H	 4	  60.00	     30.8000	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	                      	                      	                           	                            	+                       	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 2; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  4	H	 5	  80.00	     32.5000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 2; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  5	H	 2	  60.00	     37.3000	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	                      	                      	                           	+                           	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 3; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  5	H	 3	  40.00	     38.6000	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	                      	                      	+                          	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  5	H	 3	  60.00	     38.8000	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	                      	                      	+                          	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  5	H	 4	  20.00	     39.9000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	+                     	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 2; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  6	H	 2	  20.00	     46.4000	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	+                     	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  7	H	 2	  62.00	     56.3200	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	+                     	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  7	H	 4	  63.00	     59.3300	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	+                     	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  8	H	 1	  19.00	     63.8900	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	+                     	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  8	H	 1	  56.00	     64.2600	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	+                     	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 4; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	  8	H	 2	 100.00	     66.2000	Malz     	Ostracodes                                   	               	                  	                     	                     	                    	+                     	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	 11	H	 3	 140.00	     96.6000	Malz     	Ostracodes                                   	               	                  	                     	                     	+                   	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	 12	H	 2	 120.00	    104.4000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	 12	H	 3	  60.00	    105.3000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	 12	H	 4	  60.00	    106.8000	Malz     	Ostracodes                                   	               	                  	                     	+                    	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 7; from ODP 104 SR Chapter 38 Table 5 p 772

  SR	                 	                 	                  	              	104	 644	A	 14	H	 4	  60.00	    125.3000	Malz     	Ostracodes                                   	               	                  	+                    	                     	                    	                      	                      	                           	                            	                        	                    	                         	                           	                   	                    	                      	                     	                        	                	                       	Total specimens = 1; from ODP 104 SR Chapter 38 Table 5 p 772

