Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spumellaria indetrminant immature forms	Spongaster ?tetras	Siphocampe arachnea	Pseudodictyophimus gracilipes tetracanthus	Lophospyris quadripes	Lophospyris pentagona quadriforis	Hexacontium pachydermum	Cycladophora davisiana davisiana	Corocalyptra craspedota	Ceratocyrtis histricosa	Botryostrobus auritus group	Artostrobus seriatus	Artostrobus lineata	Artostrobus jorgenseni	Antarctissa whitei	Stylodictya tenuispina	Lithomelissa setosa	Echinomma leptodemum	Corythospyris fiscella	Amphimelissa setosa	Lithelius spiralis	Pseudodictyophimus gracilipes	Cycladophora davisiana	Eucyrtidium acuminatum	Cromyechinus borealis	Comment
  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 19	H	CC	  13.00	    175.7000	Goll     	Radiolarians                                 	C              	M                 	A                                      	-                 	-                  	-                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	R                   	R                  	-                     	-                 	                      	                   	                    	T                     	?                  	                  	+                            	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 20	H	 2	  25.00	    179.4500	Goll     	Radiolarians                                 	R              	P                 	-                                      	-                 	-                  	-                                         	                     	-                                	-                      	C                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 20	H	 5	 103.00	    184.7300	Goll     	Radiolarians                                 	R              	M                 	                                       	                  	                   	                                          	                     	                                 	                       	                                	                       	                       	                           	                    	                   	                      	                  	                      	                   	                    	                      	                   	C                 	                             	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 21	H	CC	  32.00	    186.8200	Goll     	Radiolarians                                 	R              	G                 	C                                      	-                 	-                  	-                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	                    	+                  	-                     	-                 	                      	T                  	                    	                      	?                  	                  	                             	                      	T                     	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 22	H	 5	  25.00	    193.0500	Goll     	Radiolarians                                 	R              	M                 	C                                      	-                 	-                  	-                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 22	H	 6	  25.00	    194.0500	Goll     	Radiolarians                                 	F              	M                 	A                                      	-                 	-                  	-                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 22	H	CC	  35.00	    194.4400	Goll     	Radiolarians                                 	C              	M                 	-                                      	-                 	-                  	-                                         	                     	-                                	-                      	A                               	+                      	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	T                     	                   	                  	+                            	C                     	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 23	H	 1	  24.00	    194.3400	Goll     	Radiolarians                                 	A              	M                 	-                                      	-                 	-                  	T                                         	                     	-                                	-                      	T                               	                       	R                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 23	H	 2	  24.00	    195.8400	Goll     	Radiolarians                                 	A              	M                 	A                                      	-                 	-                  	-                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 23	H	CC	  39.00	    201.9900	Goll     	Radiolarians                                 	F              	M                 	                                       	                  	                   	                                          	                     	                                 	                       	                                	                       	                       	                           	                    	                   	                      	                  	                      	                   	                    	T                     	                   	C                 	                             	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 28	H	CC	  31.00	    221.4900	Goll     	Radiolarians                                 	F              	M                 	                                       	                  	                   	                                          	                     	                                 	                       	                                	                       	                       	                           	+                   	                   	                      	                  	                      	                   	                    	T                     	                   	A                 	T                            	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  IR	                 	                 	C. d. davisiana   	              	104	 644	A	 29	H	CC	  30.00	    226.0500	Goll     	Radiolarians                                 	R              	M                 	                                       	                  	                   	                                          	                     	                                 	                       	                                	                       	                       	                           	                    	                   	                      	                  	                      	                   	                    	                      	                   	+                 	                             	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 30	H	 1	  25.00	    226.3500	Goll     	Radiolarians                                 	F              	M                 	C                                      	-                 	-                  	-                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 30	H	 2	  25.00	    227.8500	Goll     	Radiolarians                                 	C              	M                 	-                                      	-                 	-                  	-                                         	                     	-                                	-                      	F                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 30	H	 3	  25.00	    229.3500	Goll     	Radiolarians                                 	A              	G                 	-                                      	-                 	-                  	T                                         	                     	-                                	-                      	C                               	                       	                       	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	C. d. davisiana   	              	104	 644	A	 31	H	 3	  25.00	    235.3500	Goll     	Radiolarians                                 	A              	G                 	-                                      	C                 	-                  	T                                         	                     	-                                	-                      	-                               	                       	                       	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	S. ?tetras        	              	104	 644	A	 31	H	 4	  25.00	    236.8500	Goll     	Radiolarians                                 	A              	G                 	-                                      	R                 	-                  	                                          	                     	-                                	-                      	-                               	                       	T                      	-                          	                    	                   	-                     	F                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  IR	                 	                 	NRS12             	              	104	 644	A	 31	H	CC	  17.00	    237.7400	Goll     	Radiolarians                                 	C              	M                 	-                                      	-                 	R                  	-                                         	C                    	F                                	T                      	-                               	+                      	T                      	F                          	                    	+                  	F                     	T                 	R                     	+                  	R                   	+                     	+                  	                  	                             	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  SR	                 	                 	S. ?tetras        	              	104	 644	A	 32	H	 2	  25.00	    239.4600	Goll     	Radiolarians                                 	C              	G                 	-                                      	C                 	-                  	T                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	S. ?tetras        	              	104	 644	A	 32	H	 3	  25.00	    240.9600	Goll     	Radiolarians                                 	A              	G                 	-                                      	R                 	-                  	-                                         	                     	-                                	                       	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	S. ?tetras        	              	104	 644	A	 32	H	 4	  25.00	    242.4600	Goll     	Radiolarians                                 	A              	G                 	A                                      	-                 	-                  	-                                         	                     	-                                	                       	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  IR	                 	                 	NRS12             	              	104	 644	A	 32	H	CC	   9.00	    243.6600	Goll     	Radiolarians                                 	C              	M                 	A                                      	-                 	-                  	-                                         	T                    	-                                	T                      	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	R                     	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  SR	                 	                 	S. ?tetras        	              	104	 644	A	 33	H	 1	  25.00	    243.9500	Goll     	Radiolarians                                 	C              	M                 	A                                      	-                 	-                  	-                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  IR	                 	                 	NRS12             	              	104	 644	A	 33	H	CC	  24.00	    245.9500	Goll     	Radiolarians                                 	C              	M                 	                                       	                  	                   	                                          	-                    	                                 	                       	                                	                       	                       	                           	                    	                   	                      	                  	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

  SR	                 	                 	S. ?tetras        	              	104	 644	A	 34	H	 1	  25.00	    246.2500	Goll     	Radiolarians                                 	C              	M                 	A                                      	T                 	-                  	-                                         	                     	-                                	                       	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	S. ?tetras        	              	104	 644	A	 34	H	 2	  25.00	    247.7500	Goll     	Radiolarians                                 	A              	M                 	A                                      	T                 	-                  	-                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	                    	                   	-                     	-                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	S. ?tetras        	              	104	 644	A	 34	H	 5	  25.00	    251.1000	Goll     	Radiolarians                                 	C              	P                 	A                                      	-                 	-                  	-                                         	                     	-                                	-                      	-                               	                       	T                      	-                          	                    	                   	-                     	T                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  SR	                 	                 	S. ?tetras        	              	104	 644	A	 34	H	 6	  25.00	    252.6000	Goll     	Radiolarians                                 	A              	G                 	-                                      	R                 	-                  	F                                         	                     	-                                	-                      	-                               	                       	-                      	-                          	                    	                   	-                     	R                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 SR Chapter 35 Table 6 p 719

  IR	                 	                 	NRS12             	              	104	 644	A	 34	H	 7	  24.00	    254.0900	Goll     	Radiolarians                                 	F              	M                 	-                                      	T                 	R                  	F                                         	R                    	R                                	-                      	-                               	T                      	T                      	F                          	+                   	+                  	-                     	R                 	                      	                   	                    	                      	                   	                  	                             	                      	                      	                     	from ODP 104 IR  Chapter 6  Table 3  p 629

