Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra cf. pseudoumbilica,Pseudoemiliania lacunosa,Pontosphaera pacifica,Helicosphaera sellii,Helicosphaera carteri,Discolithina japonica,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Braarudosphaera bigelowii,Gephyrocapsa sp.,Syracosphaera pulchra,Syracosphaera mediterranea,Comment
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  6,R,CC,  15.00,    394.0400,Spiegler ,Nannofossils                                 ,F              ,                  ,F                                  ,R                       ,T                    ,                    ,R                    ,                     ,R                    ,R                     ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  7,R, 1,  35.00,    400.4500,Spiegler ,Nannofossils                                 ,A              ,G                 ,R                                  ,C                       ,                     ,                    ,C                    ,R                    ,C                    ,F                     ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  7,R, 2,  70.00,    402.3000,Spiegler ,Nannofossils                                 ,C              ,G                 ,F                                  ,F                       ,                     ,                    ,F                    ,R                    ,C                    ,R                     ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  7,R, 3, 130.00,    404.2500,Spiegler ,Nannofossils                                 ,C              ,G                 ,                                   ,                        ,                     ,F                   ,F                    ,                     ,R                    ,F                     ,F                     ,                         ,                ,R                    ,R                         ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  7,R,CC,   8.00,    404.3700,Spiegler ,Nannofossils                                 ,C              ,G                 ,                                   ,F                       ,                     ,                    ,                     ,R                    ,F                    ,F                     ,F                     ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  8,R, 1,  46.00,    410.2600,Spiegler ,Nannofossils                                 ,C              ,G                 ,F                                  ,                        ,R                    ,                    ,F                    ,                     ,F                    ,R                     ,R                     ,T                        ,                ,R                    ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  8,R,CC,   7.00,    410.9900,Spiegler ,Nannofossils                                 ,C              ,G                 ,T                                  ,C                       ,T                    ,                    ,                     ,                     ,F                    ,F                     ,                      ,T                        ,F               ,                     ,R                         ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  9,R, 1, 120.00,    420.6000,Spiegler ,Nannofossils                                 ,F              ,M                 ,R                                  ,                        ,                     ,                    ,F                    ,                     ,F                    ,R                     ,                      ,                         ,                ,T                    ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D,  9,R,CC,  17.00,    424.3400,Spiegler ,Nannofossils                                 ,C              ,G                 ,                                   ,R                       ,                     ,                    ,                     ,R                    ,C                    ,F                     ,F                     ,R                        ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 11,R, 2,  52.00,    440.5200,Spiegler ,Nannofossils                                 ,F              ,M                 ,                                   ,                        ,                     ,R                   ,F                    ,R                    ,F                    ,                      ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 11,R,CC,   8.00,    441.3600,Spiegler ,Nannofossils                                 ,F              ,G                 ,F                                  ,F                       ,                     ,                    ,                     ,                     ,F                    ,                      ,                      ,                         ,R               ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 12,R, 1,  86.00,    449.3600,Spiegler ,Nannofossils                                 ,C              ,G                 ,F                                  ,                        ,R                    ,                    ,                     ,R                    ,F                    ,F                     ,                      ,F                        ,                ,                     ,R                         ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 12,R, 3,  77.00,    451.7700,Spiegler ,Nannofossils                                 ,C              ,G                 ,F                                  ,R                       ,R                    ,                    ,                     ,R                    ,F                    ,F                     ,                      ,T                        ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 12,R,CC,  18.00,    452.0800,Spiegler ,Nannofossils                                 ,C              ,G                 ,F                                  ,C                       ,                     ,                    ,R                    ,F                    ,F                    ,F                     ,F                     ,T                        ,F               ,R                    ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 13,R, 1,  73.00,    458.8300,Spiegler ,Nannofossils                                 ,R              ,P                 ,                                   ,                        ,                     ,                    ,                     ,R                    ,F                    ,                      ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 13,R, 3,  60.00,    461.1300,Spiegler ,Nannofossils                                 ,R              ,P                 ,                                   ,                        ,                     ,                    ,                     ,                     ,R                    ,                      ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 13,R,CC,  15.00,    461.8900,Spiegler ,Nannofossils                                 ,R              ,P                 ,                                   ,R                       ,                     ,                    ,                     ,                     ,R                    ,R                     ,                      ,                         ,R               ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 14,R, 1,  52.00,    468.2200,Spiegler ,Nannofossils                                 ,F              ,M                 ,F                                  ,R                       ,                     ,F                   ,R                    ,                     ,F                    ,R                     ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 14,R,CC,  13.00,    468.9900,Spiegler ,Nannofossils                                 ,T              ,M                 ,                                   ,                        ,                     ,                    ,T                    ,                     ,T                    ,                      ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 15,R,CC,   9.00,    478.1200,Spiegler ,Nannofossils                                 ,R              ,M                 ,T                                  ,                        ,                     ,                    ,                     ,                     ,F                    ,                      ,                      ,T                        ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 16,R, 2,  35.00,    487.8500,Spiegler ,Nannofossils                                 ,R              ,M                 ,                                   ,                        ,                     ,                    ,                     ,                     ,R                    ,R                     ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 16,R, 3,  50.00,    488.6500,Spiegler ,Nannofossils                                 ,R              ,M                 ,                                   ,                        ,                     ,                    ,R                    ,                     ,R                    ,R                     ,                      ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NN16              ,              ,141, 861,D, 16,R,CC,  17.00,    489.0100,Spiegler ,Nannofossils                                 ,T              ,M                 ,F                                  ,T                       ,F                    ,C                   ,R                    ,T                    ,R                    ,R                     ,R                     ,                         ,                ,                     ,                          ,from ODP LEG 141; Chapter 14; Table 8; pp 206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
