Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera spp.,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera spp.,Helicosphaera inversa,Gephyrocapsa sp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Discolithina spp.,Coccolithus pelagicus,Calcidiscus leptoporus,Comment
  SR,                 ,                 ,                  ,              ,126, 790,C, 10,X, 1,  41.00,    165.3100,Firth    ,Nannofossils                                 ,A              ,G                 ,6                      ,0                         ,0                  ,1                    ,0                    ,2                 ,0                      ,0                       ,6                 ,0                    ,178                     ,28                   ,37                       ,26               ,0                ,0                    ,16                    ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 11,X, 1,  40.00,    175.0000,Firth    ,Nannofossils                                 ,A              ,G                 ,1                      ,0                         ,0                  ,0                    ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,127                     ,123                  ,27                       ,7                ,0                ,1                    ,14                    ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 12,X, 1, 120.00,    185.4000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,73                      ,25                   ,200                      ,0                ,0                ,0                    ,2                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 13,X, 1,  60.00,    194.5000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                    ,0                 ,0                      ,0                       ,2                 ,0                    ,49                      ,8                    ,235                      ,0                ,0                ,0                    ,6                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 14,X, 1,  40.00,    204.0000,Firth    ,Nannofossils                                 ,A              ,G                 ,1                      ,0                         ,0                  ,0                    ,0                    ,1                 ,0                      ,0                       ,1                 ,0                    ,137                     ,7                    ,152                      ,0                ,0                ,0                    ,1                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 14,X,CC,  19.00,    207.2900,Firth    ,Nannofossils                                 ,A              ,G                 ,1                      ,0                         ,0                  ,0                    ,0                    ,1                 ,0                      ,0                       ,1                 ,0                    ,107                     ,4                    ,183                      ,0                ,0                ,0                    ,3                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 16,X, 1,  40.00,    223.2000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                    ,0                 ,0                      ,2                       ,0                 ,0                    ,20                      ,1                    ,277                      ,0                ,0                ,0                    ,0                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 16,X, 3,  40.00,    226.2000,Firth    ,Nannofossils                                 ,A              ,G                 ,2                      ,0                         ,0                  ,0                    ,0                    ,1                 ,0                      ,6                       ,3                 ,0                    ,38                      ,3                    ,235                      ,0                ,1                ,0                    ,11                    ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 16,X, 6,  20.00,    230.5000,Firth    ,Nannofossils                                 ,A              ,G                 ,1                      ,0                         ,0                  ,0                    ,0                    ,0                 ,0                      ,3                       ,0                 ,0                    ,127                     ,63                   ,97                       ,0                ,0                ,0                    ,9                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 17,X, 1,  40.00,    232.8000,Firth    ,Nannofossils                                 ,A              ,M                 ,2                      ,0                         ,0                  ,0                    ,0                    ,1                 ,0                      ,5                       ,1                 ,0                    ,38                      ,39                   ,209                      ,0                ,0                ,1                    ,4                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 18,X, 1,  40.00,    242.5000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,1                    ,0                    ,1                 ,0                      ,0                       ,0                 ,0                    ,285                     ,3                    ,7                        ,0                ,0                ,0                    ,0                     ,Total count = 297; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 18,X,CC,  21.00,    248.4100,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,245                     ,15                   ,30                       ,0                ,2                ,0                    ,8                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 19,X, 1,  40.00,    252.1000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                    ,0                 ,10                     ,1                       ,1                 ,0                    ,132                     ,28                   ,113                      ,0                ,0                ,0                    ,15                    ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 19,X, 3,  40.00,    255.1000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                    ,0                 ,4                      ,1                       ,0                 ,0                    ,126                     ,28                   ,135                      ,0                ,0                ,0                    ,6                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 19,X, 5,  40.00,    258.1000,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                    ,1                 ,15                     ,0                       ,1                 ,0                    ,221                     ,23                   ,36                       ,0                ,0                ,0                    ,4                     ,Total count = 301; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 790,C, 20,X, 4,   8.00,    265.9800,Firth    ,Nannofossils                                 ,A              ,G                 ,0                      ,0                         ,0                  ,0                    ,0                    ,0                 ,6                      ,0                       ,0                 ,0                    ,187                     ,21                   ,85                       ,0                ,0                ,0                    ,1                     ,Total count = 300; from ODP Leg 126 SR Chapter 16 Table 2 p 240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
