Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus spp.,Reticulofenestra umbilica,Pseudoemiliania lacunosa,Helicosphaera sellii,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Coccolithus pelagicus,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Helicosphaera inversa,Helicosphaera carteri,Discoaster variabilis,Discoaster tamalis,Helicosphaera wallichii,Discoaster asymmetricus,Gephyrocapsa spp. (small),Discoaster triradiatus,Gephyrocapsa spp. medium,Gephyrocapsa spp. (large),Reticulofenestra asanoi,Gephyrocapsa sp.3 medium,Emiliania huxleyi,Gephyrocapsa omega,Comment
  IR,                 ,                 ,                  ,              ,172,1062,E,  5,H,CC,   0.00,     41.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,R                ,                         ,2                       ,                    ,                   ,                        ,                   ,F                    ,R                     ,                      ,A                     ,R                    ,F                    ,2                    ,                  ,                       ,                       ,A                        ,                      ,F                       ,                         ,                       ,                        ,F                ,                  ,< 0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E,  7,H,CC,   0.00,     61.0100,Raffi    ,Nannofossils                                 ,A              ,G                 ,F                ,                         ,A                       ,                    ,                   ,                        ,                   ,                     ,                      ,                      ,C                     ,F                    ,C                    ,                     ,                  ,                       ,                       ,A                        ,                      ,A                       ,                         ,A                      ,F                       ,                 ,                  ,> 0.46   < 1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,E,  8,H,CC,  16.00,     70.3100,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                    ,                   ,                        ,                   ,                     ,                      ,                      ,                      ,                     ,C                    ,                     ,                  ,                       ,                       ,A                        ,                      ,A                       ,                         ,                       ,                        ,                 ,                  ,reworked Miocene nannos - age: >0.46 <1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,E,  9,H,CC,  29.00,     80.1900,Raffi    ,Nannofossils                                 ,A              ,M                 ,                 ,                         ,A                       ,                    ,                   ,                        ,                   ,                     ,F                     ,                      ,                      ,                     ,                     ,                     ,                  ,                       ,                       ,                         ,                      ,F                       ,                         ,C                      ,                        ,                 ,                  ,age: >0.46 <1.0 - etching on nannos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,E, 10,H,CC,   0.00,     89.4200,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                    ,                   ,                        ,                   ,                     ,                      ,                      ,                      ,                     ,+                    ,                     ,                  ,+                      ,                       ,A                        ,                      ,-                       ,                         ,C                      ,                        ,                 ,                  ,age: >1.0 <1.24 - abundant transported material
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,              ,172,1062,E, 11,H,CC,  22.00,     99.4800,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,F                   ,                   ,                        ,                   ,                     ,                      ,                      ,                      ,                     ,                     ,                     ,                  ,                       ,                       ,A                        ,                      ,A                       ,R                        ,                       ,                        ,                 ,                  ,age: close to FO large Gephyrocapsa spp. (0.58 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,              ,172,1062,E, 12,H,CC,  13.00,    108.9000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,+                   ,                   ,r                       ,C                  ,                     ,F                     ,                      ,                      ,                     ,                     ,                     ,                  ,                       ,                       ,F                        ,F                     ,-                       ,                         ,                       ,                        ,                 ,                  ,"reworked nannos, mainly from early Pliocene and late Miocene"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1062,E, 14,H,CC,  15.00,    127.0500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,                        ,+                   ,-                  ,F                       ,A                  ,                     ,                      ,A                     ,A                     ,                     ,                     ,                     ,                  ,                       ,                       ,-                        ,+                     ,                        ,                         ,                       ,                        ,                 ,                  ,"abundant terrigenous input, and some reworking -age: >2.52 <2.83 Ma"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1062,E, 15,H,CC,  15.00,    137.6500,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                    ,R                  ,A                       ,C                  ,A                    ,F                     ,A                     ,C                     ,                     ,                     ,                     ,-                 ,                       ,                       ,-                        ,-                     ,                        ,                         ,                       ,                        ,                 ,                  ,"abundant terrigenous input, various fragments"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1062,E, 16,H,CC,   0.00,    145.4100,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,+                   ,C                  ,A                       ,F                  ,                     ,                      ,A                     ,                      ,                     ,+                    ,                     ,                  ,                       ,                       ,                         ,                      ,                        ,                         ,                       ,                        ,                 ,                  ,abundant fragments and reworked forms (Paleogene and Neogene)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1062,E, 17,X,CC,   9.00,    150.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,                    ,C                  ,F                       ,C                  ,                     ,                      ,                      ,                      ,                     ,                     ,                     ,R                 ,                       ,R                      ,                         ,                      ,                        ,                         ,                       ,                        ,                 ,                  ,abundant inorganic fraction. Age: >2.83 (?) <3.66 Ma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1062,E, 18,X,CC,  26.00,    159.6600,Raffi    ,Nannofossils                                 ,A              ,G                 ,                 ,                         ,A                       ,A                   ,C                  ,A                       ,A                  ,                     ,                      ,                      ,                      ,                     ,                     ,                     ,R                 ,                       ,R                      ,                         ,                      ,                        ,                         ,                       ,                        ,                 ,                  ,Strong reworking and abundant terrigenous input
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Pliocene  ,                  ,              ,172,1062,E, 19,X,CC,  33.00,    166.2100,Raffi    ,Nannofossils                                 ,R              ,P                 ,-                ,-                        ,R                       ,                    ,F                  ,R                       ,R                  ,R                    ,                      ,                      ,                      ,                     ,                     ,                     ,-                 ,                       ,                       ,                         ,                      ,                        ,                         ,                       ,                        ,                 ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E, 20,X,CC,  29.00,    177.7200,Raffi    ,Nannofossils                                 ,A              ,M                 ,                 ,                         ,A                       ,F                   ,F                  ,C                       ,F                  ,F                    ,F                     ,F                     ,F                     ,                     ,F                    ,                     ,R                 ,R                      ,                       ,                         ,                      ,                        ,                         ,                       ,                        ,                 ,                  ,> 2.83   < 3.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E, 21,X,CC,  25.00,    188.4400,Raffi    ,Nannofossils                                 ,A              ,M                 ,R                ,R                        ,A                       ,R                   ,R                  ,C                       ,F                  ,C                    ,                      ,C                     ,A                     ,                     ,F                    ,R                    ,2                 ,                       ,                       ,                         ,                      ,                        ,                         ,                       ,                        ,                 ,                  ,> 3.82   < 5.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E, 22,X,CC,  32.00,    199.4100,Raffi    ,Nannofossils                                 ,A              ,M                 ,-                ,R                        ,A                       ,R                   ,F                  ,A                       ,F                  ,C                    ,                      ,F                     ,A                     ,R                    ,F                    ,R                    ,R                 ,                       ,                       ,                         ,                      ,                        ,                         ,                       ,                        ,                 ,                  ,???? age - > 2.83 / 3.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1062,E, 23,X,CC,  22.00,    208.9200,Raffi    ,Nannofossils                                 ,A              ,M                 ,-                ,-                        ,A                       ,F                   ,F                  ,A                       ,F                  ,C                    ,R                     ,F                     ,C                     ,                     ,                     ,                     ,                  ,                       ,                       ,                         ,                      ,                        ,                         ,                       ,                        ,                 ,                  ,????? - > 2.83 / 3.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
