Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia crassaformis,Sphaeroidinella dehiscens,Menardella miocenica,Menardella limbata,Hirsutella hirsuta,Globoconella inflata,Globigerinoides fistulosus,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Pulleniatina obliquiloculata,Menardella menardii (sinistral),Globorotalia tumida,Globoturborotalita woodi,Globoturborotalita rubescens,Globoconella triangula,Globigerinoides obliquus,Globigerina falconensis,Truncorotalia crassaformis hessi,Neogloboquadrina pachyderma,Hirsutella margaritae,Globorotalia tumida flexuosa,Comment
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,E,9,H,CC,29,80.19,Chaisson ,Planktonic Foraminifers                      ,F              ,M                 ,R                         ,R                        ,                    ,                  ,                  ,R                   ,                          ,                                     ,F                                    ,R                           ,R                              ,R                  ,                        ,                            ,                      ,                        ,                       ,R                               ,R                          ,                     ,                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,E,10,H,CC,0,89.42,Chaisson ,Planktonic Foraminifers                      ,F              ,M                 ,R                         ,R                        ,                    ,                  ,                  ,F                   ,                          ,                                     ,F                                    ,R                           ,                               ,                   ,                        ,R                           ,                      ,R                       ,R                      ,                                ,                           ,                     ,                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N21           ,172,1062,E,11,H,CC,22,99.48,Chaisson ,Planktonic Foraminifers                      ,A              ,G                 ,A                         ,+                        ,                    ,                  ,+                 ,                    ,                          ,                                     ,                                     ,R                           ,+                              ,+                  ,R                       ,R                           ,+                     ,R                       ,R                      ,                                ,                           ,                     ,                            ,botrioidal pyrite   ostracodes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1062,E,12,H,CC,13,108.9,Chaisson ,Planktonic Foraminifers                      ,A              ,G                 ,A                         ,F                        ,                    ,                  ,F                 ,R                   ,                          ,F                                    ,F                                    ,R                           ,R                              ,F                  ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,pyrite ostracodes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N21           ,172,1062,E,13,H,CC,0,117.83,Chaisson ,Planktonic Foraminifers                      ,R              ,P                 ,                          ,                         ,                    ,                  ,1,                    ,                          ,                                     ,                                     ,                            ,                               ,                   ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,pyrite  very few forams
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N21           ,172,1062,E,14,H,CC,15,127.05,Chaisson ,Planktonic Foraminifers                      ,A              ,G                 ,+                         ,A                        ,R                   ,                  ,                  ,c1                  ,R                         ,                                     ,                                     ,                            ,                               ,                   ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N21           ,172,1062,E,15,H,CC,15,137.65,Chaisson ,Planktonic Foraminifers                      ,F              ,M                 ,A                         ,                         ,+                   ,                  ,+                 ,                    ,                          ,                                     ,                                     ,                            ,                               ,                   ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,pyrite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N21           ,172,1062,E,17,X,CC,9,150.6,Chaisson ,Planktonic Foraminifers                      ,R              ,P                 ,+                         ,                         ,1,+                 ,                  ,                    ,                          ,                                     ,                                     ,                            ,                               ,                   ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,pyrite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N21           ,172,1062,E,18,X,CC,26,159.66,Chaisson ,Planktonic Foraminifers                      ,F              ,P                 ,+                         ,                         ,R                   ,                  ,                  ,                    ,                          ,                                     ,                                     ,                            ,                               ,                   ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,pyrite small forams ostracodes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,N21           ,172,1062,E,22,X,CC,32,199.41,Chaisson ,Planktonic Foraminifers                      ,F              ,P                 ,+                         ,+                        ,R                   ,                  ,                  ,                    ,                          ,                                     ,                                     ,                            ,                               ,                   ,                        ,                            ,                      ,                        ,                       ,                                ,                           ,                     ,                            ,rich in sponge spicules ostracode
