Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella munda	Tenuitella gemma	Tenuitella clemenciae	Tenuitella angustiumbilicata	Subbotina praeturritilina	Subbotina angiporoides angiporoides	Subbotina angiporoides	Paragloborotalia siakensis	Paragloborotalia pseudocontinuosa	Paragloborotalia opima opima	Paragloborotalia opima nana	Globorotaloides variabilis	Globorotaloides suteri	Globorotaloides sp. 1	Globoquadrina tripartita	Globoquadrina tapuriensis	Globoquadrina sellii	Globoquadrina rohri	Globoquadrina praedehiscens	Globigerinoides praeprimordius	Globigerina venezuelana	Globigerina sp. aff. G. ampliapertura	Globigerina prasaepis	Globigerina praebulloides	Globigerina officinalis	Globigerina euapertura	Globigerina ampliapertura	Dentoglobigerina sp. aff. D. larmeui	Dentoglobigerina larmeui	Dentoglobigerina globularis	Dentoglobigerina galavisi	Dentoglobigerina baroemoenensis	Chiloguembelinid (unspecified taxon or taxa)	Catapsydrax unicavus	Catapsydrax martini	Catapsydrax dissimilis dissimilis	Cassigerinella chipolensis	Turborotalia pseudoampliapertura/increbescens	Turborotalia pseudoampliapertura	Turborotalia increbescens	Subbotina utilisindex	Subbotina gortanii	Paragloborotalia sp.	Globorotalia obesa	Globigerinita juvenilis	Globigerina ouachitaensis	Globigerina ciperoensis	Dentoglobigerina galavisi/baroemoenensis	Catapsydrax sp.	Tenuitella clemenciae/munda	Globigerina ciperoensis/anguliofficinalis	Catapsydrax dissimilis ciperoensis	Subbotina brazieri	Globigerina sp. 1	Globigerina anguliofficinalis	Protentella sp. 1	Protentella navazuelensis	Paragloborotalia semivera	Globigerinella? sp.	Globigerina praebulloides occlusa	Dentoglobigerina globularis/altispira globosa	Globigerina anguliofficinalis/angulisuturalis	Dentoglobigerina altispira globosa	Globorotaloides permicus	Globigerina angulisuturalis	Cassigerinella martinezpicoi	Protentella sp.	Subbotina praeturritilina/gortanii	Globigerinita juvenilis/uvula	Globigerinita uvula	Cassigerinella globulosa	Globigerina sp. 2	Globigerina fariasi	Globigerina woodi	Globorotaloides sp. 2	Globoquadrina binaiensis	Protentella sp. aff. P. prolixa	Globorotalia pseudokugleri (ancestral form)	Globorotalia pseudokugleri	Globigerinoides primordius	Globigerina ciperoensis ottnangiensis	Globorotalia obesa/praesiphonifera	Globoquadrina praedehiscens/dehiscens	Protentella clavaticamerata	Globoquadrina dehiscens	Globorotalia pseudokugleri/kugleri	Globorotaloides sp. aff. G. stainforthi	Globorotalia kugleri	Globorotaloides stainforthi	Globigerinita glutinata	Streptochilus sp.	Globigerinoides trilobus	Globigerinoides immaturus	Globigerinoides bollii	Comment

  SR	Miocene          	                 	N4                	              	115	 709	B	 21	X	 5	  80.00	    194.0000	Premoli Silva	Planktonic Foraminifers                      	               	                  	cf              	+               	                     	+                           	                         	                                   	                      	+                         	+                                	                            	+                          	                          	+                     	+                    	                        	+                        	+                   	+                  	+                          	                              	                       	                                     	                     	+                        	+                      	+                     	                         	+                                   	+                       	                           	+                        	+                              	                                            	+                   	                   	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	                                        	+              	+                          	                                         	+                                 	+                 	                 	                             	+                	                         	                         	                   	+                                	+                                            	                                             	+                                 	                        	                           	                            	+              	                                  	+                            	R                  	+                       	+                	                   	+                	                     	                        	                               	+                                          	+                         	+                         	+                                    	+                                 	C                                    	+                          	A                      	+                                 	+                                      	R                   	cf                         	+                      	R                	cf                      	+                        	cf                    	contamination present. from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	N4                	              	115	 709	B	 21	X	 6	  80.00	    195.5000	Premoli Silva	Planktonic Foraminifers                      	               	                  	cf              	+               	+                    	+                           	                         	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	+                      	                                     	+                    	+                        	+                      	                      	                         	+                                   	+                       	+                          	+                        	+                              	                                            	+                   	+                  	+                                	VR                        	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	cf                     	                                        	               	                           	                                         	+                                 	+                 	                 	                             	+                	+                        	+                        	+                  	                                 	+                                            	                                             	+                                 	                        	                           	                            	               	                                  	+                            	                   	                        	                 	+                  	cf               	C                    	+                       	+                              	+                                          	+                         	+                         	+                                    	+                                 	+                                    	                           	                       	C                                 	+                                      	R                   	+                          	+                      	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	N4                	              	115	 709	B	 22	X	 1	  80.00	    197.6000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                	+               	+                    	+                           	                         	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	                     	+                       	+                        	+                   	+                  	+                          	cf                            	                       	                                     	+                    	                         	+                      	                      	                         	+                                   	                        	+                          	+                        	cf                             	                                            	+                   	                   	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	                       	                                        	               	+                          	                                         	+                                 	+                 	                 	                             	+                	+                        	+                        	+                  	+                                	+                                            	                                             	+                                 	                        	                           	                            	               	                                  	                             	                   	+                       	                 	                   	cf               	+                    	+                       	                               	+                                          	+                         	                          	                                     	+                                 	C                                    	                           	F                      	+                                 	+                                      	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	N4                	              	115	 709	B	 22	X	 2	  80.00	    199.1000	Premoli Silva	Planktonic Foraminifers                      	               	                  	cf              	+               	+                    	+                           	cf/R                     	                                   	                      	+                         	+                                	                            	                           	+                         	+                     	                     	+                       	+                        	+                   	+                  	+                          	cf                            	                       	                                     	                     	+                        	+                      	cf                    	                         	+                                   	+                       	+                          	+                        	                               	                                            	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	cf                       	+                      	                                        	+              	+                          	                                         	+                                 	+                 	                 	                             	                 	+                        	                         	+                  	+                                	+                                            	                                             	+                                 	                        	                           	                            	+              	                                  	                             	                   	                        	                 	                   	+                	+                    	+                       	+                              	+                                          	+                         	+                         	+                                    	                                  	+                                    	                           	+                      	+                                 	+                                      	R                   	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P22               	              	115	 709	B	 22	X	 3	  80.00	    200.6000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	+                    	cf                      	                         	                    	+                  	+                          	                              	                       	                                     	cf                   	+                        	+                      	                      	                         	+                                   	                        	+                          	                         	+                              	                                            	+                   	                   	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	+                                       	+              	                           	                                         	+                                 	+                 	                 	+                            	+                	                         	+                        	                   	+                                	+                                            	+                                            	+                                 	                        	+                          	                            	+              	                                  	+                            	+                  	+                       	                 	+                  	+                	+                    	+                       	                               	+                                          	+                         	+                         	                                     	                                  	                                     	                           	                       	+                                 	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P22               	              	115	 709	B	 22	X	 4	  80.00	    202.1000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                	+               	+                    	+                           	                         	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	                     	+                       	                         	+                   	+                  	+                          	                              	                       	                                     	                     	+                        	+                      	                      	                         	+                                   	+                       	+                          	+                        	+                              	                                            	                    	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	                                        	+              	                           	                                         	+                                 	+                 	                 	+                            	+                	                         	+                        	+                  	+                                	+                                            	                                             	+                                 	                        	VR                         	                            	+              	                                  	+                            	                   	                        	+                	+                  	+                	+                    	+                       	+                              	+                                          	+                         	+                         	                                     	+                                 	+                                    	+                          	+                      	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P22               	              	115	 709	B	 22	X	 5	  80.00	    203.6000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	                     	+                       	                         	+                   	+                  	+                          	                              	                       	                                     	                     	+                        	+                      	                      	                         	+                                   	+                       	+                          	+                        	+                              	                                            	+                   	                   	+                                	+                         	                                             	                                	                         	                     	                  	                    	                  	+                      	+                        	+                      	                                        	+              	                           	                                         	+                                 	+                 	+                	+                            	                 	+                        	                         	+                  	+                                	+                                            	                                             	+                                 	+                       	                           	                            	+              	                                  	                             	                   	+                       	+                	                   	+                	                     	+                       	+                              	+                                          	C                         	+                         	                                     	+                                 	+                                    	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P22               	              	115	 709	B	 22	X	 6	  80.00	    205.1000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	                       	                                     	                     	+                        	+                      	+                     	                         	+                                   	+                       	+                          	+                        	cf                             	                                            	+                   	+                  	                                 	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	+                                       	+              	                           	                                         	+                                 	                  	                 	+                            	                 	                         	+                        	                   	                                 	+                                            	                                             	+                                 	                        	                           	                            	+              	                                  	cf                           	                   	                        	+                	+                  	                 	                     	                        	                               	+                                          	+                         	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P22               	              	115	 709	B	 23	X	 1	  80.00	    207.3000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                	+               	+                    	+                           	cf                       	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	                     	+                       	                         	+                   	+                  	+                          	cf                            	+                      	                                     	                     	+                        	+                      	                      	                         	+                                   	                        	+                          	+                        	                               	                                            	+                   	+                  	+                                	A                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	+                                       	+              	                           	                                         	+                                 	+                 	+                	+                            	                 	                         	+                        	                   	                                 	                                             	                                             	+                                 	                        	+                          	                            	+              	                                  	+                            	                   	+                       	+                	+                  	+                	                     	+                       	                               	+                                          	+                         	+                         	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P22               	              	115	 709	B	 23	X	 2	  80.00	    208.8000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	                     	+                           	+                        	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	                     	+                       	+                        	+                   	+                  	+                          	                              	+                      	                                     	+                    	                         	+                      	+                     	                         	+                                   	+                       	+                          	+                        	cf                             	                                            	                    	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	                                        	               	                           	                                         	+                                 	+                 	A                	+                            	                 	                         	                         	+                  	                                 	                                             	                                             	+                                 	                        	+                          	                            	+              	                                  	                             	                   	+                       	+                	                   	+                	                     	+                       	                               	+                                          	+                         	+                         	                                     	+                                 	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P22               	              	115	 709	B	 23	X	 3	  80.00	    210.3000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	                     	+                       	                         	+                   	+                  	+                          	+                             	+                      	                                     	+                    	+                        	+                      	+                     	                         	+                                   	                        	+                          	+                        	cf                             	                                            	                    	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	                                        	+              	                           	                                         	+                                 	+                 	+                	+                            	+                	                         	                         	                   	+                                	                                             	                                             	+                                 	+                       	R                          	                            	+              	                                  	                             	                   	+                       	+                	+                  	                 	                     	+                       	+                              	+                                          	VR                        	+                         	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P22               	              	115	 709	B	 23	X	 4	  80.00	    211.8000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	                            	+                          	+                         	C                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	                       	                                     	                     	+                        	+                      	                      	                         	+                                   	                        	+                          	+                        	                               	                                            	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	                                        	+              	                           	                                         	+                                 	+                 	                 	+                            	+                	                         	+                        	+                  	                                 	+                                            	                                             	+                                 	                        	+                          	                            	               	                                  	                             	                   	+                       	+                	+                  	                 	                     	cf                      	+                              	+                                          	+                         	+                         	+                                    	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P22               	              	115	 709	B	 23	X	 5	  80.00	    213.3000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	                            	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	VR                            	+                      	                                     	+                    	+                        	+                      	+                     	                         	+                                   	                        	+                          	+                        	                               	                                            	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	+                 	+                      	+                        	+                      	                                        	+              	                           	                                         	+                                 	+                 	+                	+                            	                 	                         	                         	+                  	                                 	+                                            	                                             	                                  	                        	+                          	                            	               	                                  	                             	                   	                        	+                	+                  	                 	                     	+                       	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21b              	              	115	 709	B	 24	X	 1	  80.00	    216.9000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	cf/VR                       	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	+                      	                                     	                     	R                        	+                      	+                     	                         	+                                   	                        	+                          	                         	                               	                                            	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	+                 	+                   	                  	+                      	+                        	+                      	                                        	+              	+                          	                                         	+                                 	+                 	+                	+                            	                 	                         	+                        	                   	+                                	+                                            	                                             	+                                 	+                       	R                          	                            	               	                                  	                             	                   	+                       	+                	                   	                 	cf                   	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21b              	              	115	 709	B	 24	X	 2	  80.00	    218.4000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	+                           	+                          	+                         	+                     	                     	+                       	+                        	+                   	+                  	+                          	                              	+                      	                                     	+                    	+                        	+                      	                      	                         	+                                   	                        	+                          	+                        	+                              	                                            	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	cf                	                    	+                 	+                      	+                        	+                      	                                        	+              	                           	                                         	+                                 	+                 	+                	+                            	                 	                         	                         	                   	+                                	+                                            	                                             	+                                 	+                       	+                          	                            	+              	                                  	+                            	                   	+                       	+                	                   	+                	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21b              	              	115	 709	B	 24	X	 3	  80.00	    219.9000	Premoli Silva	Planktonic Foraminifers                      	               	                  	                	+               	+                    	+                           	cf                       	                                   	                      	+                         	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	+                      	                                     	                     	                         	+                      	                      	                         	+                                   	+                       	+                          	+                        	+                              	                                            	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	                  	+                      	+                        	+                      	                                        	+              	+                          	+                                        	+                                 	C                 	                 	+                            	                 	                         	cf                       	                   	+                                	+                                            	                                             	+                                 	+                       	+                          	                            	               	                                  	                             	                   	                        	+                	+                  	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 24	X	 4	  80.00	    221.4000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	cf                    	                          	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	cf                            	+                      	                                     	                     	+                        	+                      	+                     	                         	+                                   	+                       	+                          	+                        	cf                             	+                                           	                    	+                  	+                                	A                         	                                             	                                	                         	                     	+                 	                    	                  	+                      	+                        	                       	+                                       	+              	+                          	                                         	+                                 	+                 	+                	+                            	                 	                         	                         	                   	                                 	+                                            	                                             	+                                 	+                       	+                          	                            	               	                                  	                             	                   	+                       	+                	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	reworking few. from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 24	X	 5	  80.00	    222.9000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	cf                    	+                         	+                                	+                           	+                          	+                         	+                     	                     	+                       	+                        	+                   	+                  	+                          	+                             	+                      	                                     	+                    	                         	+                      	+                     	                         	+                                   	+                       	+                          	                         	                               	C                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	                  	                    	                  	                       	cf                       	+                      	                                        	               	+                          	                                         	+                                 	+                 	+                	+                            	                 	                         	+                        	                   	+                                	+                                            	                                             	+                                 	+                       	+                          	                            	+              	                                  	                             	                   	+                       	+                	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 24	X	 6	  80.00	    224.4000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	+                           	+                          	+                         	+                     	                     	+                       	+                        	+                   	+                  	+                          	                              	+                      	                                     	                     	R                        	+                      	+                     	                         	+                                   	                        	+                          	+                        	R                              	+                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	R                 	                    	+                 	+                      	+                        	+                      	                                        	               	                           	+                                        	                                  	+                 	                 	+                            	                 	                         	                         	                   	                                 	+                                            	                                             	+                                 	                        	+                          	                            	               	                                  	                             	cf/R               	R                       	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 25	X	 1	  80.00	    226.6000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	+                      	                                     	+                    	                         	+                      	+                     	                         	+                                   	+                       	+                          	+                        	+                              	C                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	                  	+                   	+                 	                       	+                        	+                      	                                        	+              	                           	                                         	+                                 	                  	                 	+                            	                 	                         	cf                       	                   	                                 	+                                            	                                             	+                                 	+                       	C                          	                            	               	                                  	                             	cf                 	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

  SR	Oligocene        	                 	P21a              	              	115	 709	B	 25	X	 2	  80.00	    228.1000	Premoli Silva	Planktonic Foraminifers                      	               	                  	+               	+               	+                    	+                           	+                        	                                   	                      	+                         	+                                	+                           	+                          	+                         	+                     	+                    	+                       	+                        	+                   	+                  	+                          	                              	+                      	                                     	                     	+                        	+                      	+                     	                         	+                                   	+                       	+                          	+                        	+                              	F                                           	+                   	+                  	+                                	+                         	                                             	                                	                         	                     	+                 	+                   	+                 	                       	+                        	+                      	+                                       	               	                           	                                         	+                                 	+                 	                 	+                            	                 	                         	                         	                   	                                 	+                                            	+                                            	                                  	+                       	+                          	                            	               	                                  	+                            	                   	                        	                 	                   	                 	                     	                        	                               	                                           	                          	                          	                                     	                                  	                                     	                           	                       	                                  	                                       	                    	                           	                       	                 	                        	                         	                      	from 115 SR. Chapter 19. Table 5. pages 294-297.

