Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Truncorotalia truncatulinoides (sin.)	Truncorotalia truncatulinoides (dex.)	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina dutertrei	Globorotalia tumida flexuosa	Globorotalia tumida (right)	Globorotalia tumida (left)	Globorotalia scitula	Globorotalia menardii	Globorotalia inflata	Globorotalia hexagonus	Globorotalia crassaformis	Globigerinoides trilobus trilobus	Globigerinoides trilobus sacculifer	Globigerinoides ruber (white)	Globigerinoides ruber (pink)	Globigerinoides ruber (high)	Globigerinoides conglobatus	Globigerinita glutinata	Globigerina rubescens	Globigerina quinqueloba	Globigerina calida	Globigerina bulloides	Comment
  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	  6	H	CC	  18.00	     86.6200	Showers  	Planktonic Foraminifers                      	F              	G                 	-                                    	F                                    	-                           	-                	-                                      	-                                    	A                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	F                                	F                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	  7	H	CC	  26.00	     96.1900	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	R                                    	-                           	R                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	R                   	-                     	R                        	C                                	-                                  	C                            	-                           	-                           	R                          	R                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	  8	X	CC	   9.00	    103.0000	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	F                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	C                                	-                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	  9	X	CC	   9.00	    110.1300	Showers  	Planktonic Foraminifers                      	F              	M                 	-                                    	C                                    	-                           	R                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	F                                	R                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	 10	X	CC	  31.00	    123.4900	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	C                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	C                                	F                                  	F                            	-                           	-                           	R                          	R                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	 11	X	CC	  37.00	    133.0300	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	A                                    	-                           	-                	-                                      	-                                    	F                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	F                                	F                                  	F                            	-                           	-                           	R                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	Late Pleistocene 	                 	Y                 	              	155	 930	C	 12	X	CC	  18.00	    142.1000	Showers  	Planktonic Foraminifers                      	R              	G                 	R                                    	R                                    	-                           	-                	-                                      	-                                    	F                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	C                                	-                                  	C                            	R                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	                  	              	155	 930	C	 13	X	CC	  10.00	    205.3100	Showers  	Planktonic Foraminifers                      	B              	                  	-                                    	-                                    	-                           	-                	-                                      	-                                    	-                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	-                                	-                                  	-                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	R                 	Y             	155	 930	C	 14	X	CC	   9.00	    217.9400	Showers  	Planktonic Foraminifers                      	R              	G                 	-                                    	F                                    	F                           	-                	-                                      	-                                    	R                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	F                                	F                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	R                 	W             	155	 930	C	 15	X	CC	  28.00	    223.3700	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	-                                    	F                           	-                	-                                      	-                                    	F                         	-                           	-                          	R                         	-                   	-                    	-                   	-                     	-                        	C                                	-                                  	F                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	R                 	W             	155	 930	C	 16	X	CC	  25.00	    237.1400	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	F                                    	-                           	-                	-                                      	-                                    	C                         	-                           	-                          	R                         	-                   	-                    	-                   	-                     	-                        	F                                	-                                  	C                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

  IR	                 	                 	R                 	W             	155	 930	C	 17	X	CC	  31.00	    242.8000	Showers  	Planktonic Foraminifers                      	R              	M                 	-                                    	-                                    	-                           	-                	-                                      	-                                    	-                         	-                           	-                          	-                         	-                   	-                    	-                   	-                     	-                        	-                                	-                                  	-                            	-                           	-                           	-                          	-                      	-                    	-                      	-                 	-                    	from Leg 155IR p. 107 Table 5

