Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Osangularia sp.	Lenticulina spp.	Dentalina spp.	Saracenaria spp.	Ramulina tetrahedralis	Ramulina tappanae	Protosangularia utaturensis	Lagena spp.	Globulina spp.	Vaginulinopsis harpa	Oolina globosa	Lingulina loryi	Remesella sp.	Marginulinopsis spp.	Gaudryina dividens	Gavelinella spp.	Tristix excavata	Spirillina spp.	Protomarssonella pareoxycona	Praedorothia praehauteriviana	Gaudryina spp.	Frondicularia sp.	Bulimina spp.	Lingulina spp.	Kadriayina gradata	Dorothia gradata	Protosangularia albiana	Hanzawaia compressa	Pleurostomella spp.	Nodosaria spp.	Gyroidinoides infracretaceus	Gyroidinoides globosa	Dorothia conula	Astacolus parallelus	Tritaxia gaultina	Dorothia spp.	Protosangularia cenomaniana	Pseudoclavulina spp.	Comment
  IR	                 	                 	                  	              	198	1213	B	 12	R	 1	   9.00	    294.8900	benthics 	Benthic Foraminifers                         	F              	P                 	               	R               	T             	T               	                      	                 	                           	           	              	                    	              	               	C            	                    	                  	                	                	T              	A                           	F                            	              	T                	+            	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	glauconite

  IR	                 	                 	                  	              	198	1213	B	 12	R	 1	   9.00	    294.8900	benthics 	Benthic Foraminifers                         	R              	P                 	               	R               	R             	T               	                      	                 	                           	           	              	                    	              	               	             	                    	                  	                	+               	               	C                           	F                            	+             	R                	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	 14	R	 1	  17.00	    314.2700	benthics 	Benthic Foraminifers                         	T              	P                 	               	R               	              	                	                      	                 	                           	           	              	                    	              	               	             	                    	                  	T               	                	               	                            	                             	              	                 	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	 14	R	 1	 148.00	            	benthics 	Benthic Foraminifers                         	               	                  	               	+               	              	                	                      	                 	                           	           	+             	                    	              	               	             	                    	                  	+               	+               	               	+                           	+                            	              	                 	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	 19	R	 1	 112.00	    363.3200	benthics 	Benthic Foraminifers                         	T              	P                 	               	F               	              	                	                      	                 	                           	           	R             	                    	              	               	             	                    	                  	                	                	               	                            	                             	              	                 	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	gluaconite, pyrite

  IR	                 	                 	                  	              	198	1213	B	 20	R	 1	  33.00	    372.1300	benthics 	Benthic Foraminifers                         	T              	P                 	               	R               	R             	                	                      	                 	                           	           	              	                    	              	               	             	                    	                  	                	                	               	                            	                             	              	                 	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	 21	R	 1	 148.00	    382.8800	benthics 	Benthic Foraminifers                         	R              	P                 	               	F               	R             	                	                      	R                	                           	           	              	                    	              	               	R            	T                   	R                 	                	                	               	                            	                             	              	                 	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	 23	R	 1	  20.00	    400.9000	benthics 	Benthic Foraminifers                         	R              	M                 	               	F               	              	R               	                      	                 	                           	           	R             	R                   	R             	T              	             	                    	                  	                	                	               	                            	                             	              	                 	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	 24	R	 1	  37.00	    410.6700	benthics 	Benthic Foraminifers                         	R              	P                 	T              	R               	R             	T               	T                     	T                	                           	R          	T             	                    	              	               	             	                    	                  	                	                	               	                            	                             	              	                 	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

  IR	                 	                 	                  	              	198	1213	B	 24	R	 1	  38.00	    410.6800	benthics 	Benthic Foraminifers                         	R              	P                 	T              	R               	R             	T               	T                     	T                	+                          	R          	T             	                    	              	               	             	                    	                  	                	                	               	                            	                             	              	                 	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	barren

  IR	                 	                 	                  	              	198	1213	B	 25	R	 1	  29.00	    420.1900	benthics 	Benthic Foraminifers                         	R              	M                 	T              	F               	F             	                	                      	                 	                           	           	              	                    	              	               	             	                    	                  	                	                	               	                            	                             	              	                 	             	              	                  	                	                       	                   	                   	              	                            	                     	               	                    	                 	             	                           	                    	       

